Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Chad,TCD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,8800133653.75744,10043066925.3209,10926076308.6501,11460601786.4256,15856505589.2125,19136283422.444,19476613240.8477,21187652999.2917,21904385175.8703,24044099041.8111,27838693656.9463,29883813377.2662,31631603921.4643,27935456685.0434,29259240807.5811,34030983161.7861,31586636734.0096,32441938945.6218,35608249160.5227,39169088562.5993,37529590317.9341,43218223521.0611,46380436742.3519,49026253172.8855,54101215164.7594,58206822819.1046
Channel Islands,CHI,"Population, total",SP.POP.TOTL,148110,148850,149881,150960,152039,153126,154214,155309,156408,157511,158621,159706,160767,161777,162726,163454,163883,164319,164949,165639,166235,166741,167215,167691,168126,168466
Channel Islands,CHI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Population, total",SP.POP.TOTL,15503635,15683849,15857925,16024752,16187322,16348778,16509195,16671581,16838988,17009731,17181464,17351816,17519119,17687006,17864195,18047625,18267221,18558868,18893191,19197744,19370624,19456334,19553036,19658835,19764771,19859921
Chile,CHL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,140273829782.707,148283652106.984,154506370484.646,162902696561.708,174122121148.693,188981195876.113,228711518848.63,251050128190.79,254057986121.614,252743553342.144,287919841661.65,318741871183.897,353816711374.161,375186612626.904,385025200182.301,395546267627.688,413012764323.289,433363834230.272,458498081292.87,473289208934.458,460533015072.877,534278255969.18,574971560989.477,624426158236.123,679622451722.218,709595275089.718
China,CHN,"Population, total",SP.POP.TOTL,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000,1408975000,1406585000
China,CHN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3696927935988.22,4085855126339.75,4551519449145.32,5131260903937.11,5823899140075.9,6665173107787.85,7781421207642.79,9160431596242.31,10279428733590.2,11228365126918.6,12536239204128.7,13935727062246.9,15429858615026.6,16537047500727.9,17776179956535.4,18490592046582.9,19551764868088.8,20947567340458.7,22763849926082.5,24709480590705.4,25575086905083.5,29237453096281.7,32248173878597,35289110346039.3,37975983346755.9,41019094981425.1
Colombia,COL,"Population, total",SP.POP.TOTL,39089934,39709262,40324680,40937429,41543171,42128977,42691084,43235374,43758808,44271541,44777319,45259614,45715810,46151584,46565429,46969940,47437512,48131078,49024465,49907985,50629997,51188173,51737944,52321152,52886363,53425635
Colombia,COL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,259151794820.946,268582965379.278,278961087422.146,293399320717.908,317173276661.923,346168868858.313,380411642197.554,415229157115.866,435448537188.265,445341131243.507,468561552528.856,507405547213.148,531702488598.185,569416587290.375,604226852874.652,618044934989.2,658039414706.677,681250506662.521,728608189905.724,789964918998.858,778428458201.729,881765810050.178,1041653853681.36,1089266254057.74,1168725054412.7,1188603155472.88
Comoros,COM,"Population, total",SP.POP.TOTL,536080,547220,558923,569798,580704,592677,604753,616927,629307,641947,654836,668056,681630,696192,711503,726682,741741,756669,771590,786578,802163,818174,834188,850387,866628,882847
Comoros,COM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,934037589.695031,1007746563.0017,1066547365.5218,1107869720.84484,1171823874.16747,1278134790.58288,1295079768.77462,1346245643.46227,1421029149.10545,1476981462.70229,1552087023.40375,1650027468.1807,1823082832.81761,1972367806.95435,2098315465.79248,2154448542.20911,2341051172.79659,2544749985.26578,2563226038.80777,2618043788.81554,2628950925.68041,2835594482.24527,3112792739.38675,3330407832.13332,3527775381.39097,3761466756.41221
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,50507442,52132646,53750524,55343867,56997741,58775724,60615908,62477752,64390664,66412044,68563038,70849311,73254618,75789395,78403242,81035531,83956415,87083398,90047644,92947442,95989998,99148932,102396968,105789731,109276265,112832473
"Congo, Dem. Rep.",COD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,22094539748.1316,21434405574.0724,22798402132.2921,24767645438.9458,27020293227.6959,29262584031.3075,32033500380.0751,35571375224.8962,37983138727.9923,39089378773.356,43177852750.9248,43369818884.52,44932069378.5534,53004505900.3315,62035910026.4692,68649733841.8421,78129240680.8212,83792915211.804,90998976489.6501,92271352749.8521,101674741842.487,134360553387.149,154671272902.735,177736772208.495,193047355318.836,208601649653.457
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,3151345,3272537,3350771,3445753,3565554,3696393,3837409,3980430,4113517,4281219,4462290,4609724,4740450,4857099,4975880,5097581,5222536,5351011,5483118,5616661,5752791,5892183,6035104,6182885,6332961,6484437
"Congo, Rep.",COG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,8452353351.88565,8944207141.07105,9683416487.87237,10174159601.1947,10063354242.4858,11996328119.1351,14914724470.2584,14170790182.2328,16044263180.3819,18943153444.421,21257422403.6887,21470355525.6044,27165523910.1258,27686604305.841,28946115799.8532,23908515204.201,20224120130.4975,20651135353.0463,28959041247.2517,28888184780.4629,27296170367.2095,32795168622.1605,35758415681.8896,38033926771.9967,40006557952.7992,42086006733.8105
Costa Rica,CRI,"Population, total",SP.POP.TOTL,3937739,4008947,4075705,4138784,4200078,4261240,4321340,4380248,4440056,4499791,4555962,4609833,4663934,4716147,4767119,4818038,4866998,4913177,4957818,4999553,5034320,5059988,5081765,5105525,5129910,5152950
Costa Rica,CRI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,29605080516.4814,31326775610.6846,32899854253.4841,34991614541.2694,37671700482.1901,40596303279.6802,45306866325.1558,50527735192.261,54306653357.2195,53408231945.0194,57007226694.9711,60645839906.098,65343314863.0478,69220102922.4301,74925520509.7144,80823943682.1767,89513475204.1054,95448235920.1736,101067826672.647,110335832418.104,105544049017.515,114107801025.765,127003244452.276,137384397476.186,148685424626.612,158525836981.067
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,17699004,18178913,18654771,19125542,19595000,20068458,20546802,21030558,21514439,21997940,22488065,22982000,23467078,23939775,24527395,25246342,25989405,26733372,27464173,28193009,28915449,29639736,30395002,31165654,31934230,32711547
Cote d'Ivoire,CIV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,31597376299.7796,31754861872.6594,31966966776.6301,31705988245.3498,34425012203.6572,39004792037.3634,40899651408.7093,42690672688.7832,46072548182.6896,48329858660.4106,51905829427.317,48585323041.0442,55152187769.3865,60504327882.9193,98069384225.3277,108731649059.199,115130993832.18,121709257256.731,132046527045.751,151190324519.851,155606848537.078,173671121074.45,197585787733.214,217209293873.031,234508529878.789,253622078507.45
Croatia,HRV,"Population, total",SP.POP.TOTL,4468302,4299642,4302174,4303399,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4260368,4233922,4201598,4151725,4106867,4041407,3988775,3949390,3914206,3878981,3855641,3859686,3866200,3876200
Croatia,HRV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,46850663345.6587,49055374822.8499,54024029865.3104,57008783651.2666,62142858507.4351,65036632319.6606,74046789266.0433,82419959430.5069,87797452069.8102,84432783048.2773,83558740002.1039,88073746578.235,89175814121.3619,93180749182.5778,94087640530.7359,98373166968.0588,104064466977.189,112336283756.8,117553143319.012,129911988482.417,125121759239.183,142325061773.428,161798675909.385,184139634737.372,192139823504.369,195395191585.104
Cuba,CUB,"Population, total",SP.POP.TOTL,11109109,11144132,11177418,11209383,11238756,11262554,11278550,11287272,11291762,11294719,11297409,11301571,11303175,11298167,11285775,11275065,11265612,11247829,11227118,11202846,11176354,11122168,11059820,11019931,10979783,10937203
Cuba,CUB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,"Population, total",SP.POP.TOTL,133860,129047,129205,131897,134192,137658,141239,144056,145880,146833,148703,150831,152088,153822,155909,157980,159664,160175,159336,157441,155482,153948,153321,154654,155967,156263
Curacao,CUW,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,3370015788.52693,3538882707.35258,3725319278.95477,3797770026.03611,3746209435.43205,3845897938.72877,3911807566.19948,3740792304.61982,3714354165.19598,3714448849.93696,3742606010.52491,3704781412.94964,3850535354.04104,3900097602.24333,4015082849.61069,3400840480.08901,3878700968.63132,4483054937.27987,4826773469.32708,5198457739.27303,..
Cyprus,CYP,"Population, total",SP.POP.TOTL,947667,964127,981440,999590,1017875,1036151,1054418,1072714,1091026,1109371,1127816,1146493,1165397,1183895,1201801,1219502,1237112,1254275,1270737,1286671,1302247,1317309,1331370,1344976,1358282,1370754
Cyprus,CYP,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,13511003063.8208,14896728014.8356,15854142046.3616,16728173820.8355,17822625971.5691,19438130308.1273,21286606456.6929,23612720816.8454,26949457958.4646,27317305102.7539,27391248599.3955,29170263364.2294,27388158109.5385,25903062003.7824,25018951803.7517,26876685112.6197,29341431610.4122,32014034065.113,34321393291.0768,37659315618.2667,36076356162.5976,40032579615.2674,47460303114.1609,51340540702.552,54693552278.2607,56624039537.3052
Czechia,CZE,"Population, total",SP.POP.TOTL,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10505772,10672118,10864042,10905028,10886878
Czechia,CZE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,164249386635.636,175859473777.175,180358908894.055,193148385438.482,203909062957.715,215395056327.237,229613628229.706,253090738037.667,272425536116.179,269409565857.075,272045143380.775,282411754545.887,290486496949.585,306100277420.792,321734585195.396,333145514214.738,356471034544.78,390369373454.425,417308031796.881,456695505854.633,454932965670.631,487438196003.945,542061268119.898,586697358736.855,608227086676.39,630061269851.556
Denmark,DNK,"Population, total",SP.POP.TOTL,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5903037,5946952,5976992,6009169
Denmark,DNK,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,149483932511.669,155537154544.374,162811860298.173,164888165319.224,178652053253.151,187044004519.316,205770346715.439,214652227226.715,230335034883.627,226041478212.279,242660077787.477,252792877833.392,255908936592.362,271474888801.207,280019550603.561,286478265196.348,304284296177.775,325642976047.048,340870975851.748,362568099705.264,377351059071.427,422155353429.593,476316954042.098,475285386497.025,499230357420.594,513515618048.067
Djibouti,DJI,"Population, total",SP.POP.TOTL,747318,771313,795574,813519,826124,839167,855764,874528,892734,911527,930251,948558,966747,984824,1002717,1020313,1037653,1054841,1071882,1088709,1105188,1121248,1137096,1152944,1168722,1184076
Djibouti,DJI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,3654744303.13219,3946667943.98346,4302117802.17555,4457233321.50236,4706999425.71146,5182617582.56353,5698307537.28912,5916877685.12193,6563904655.24407,7671079011.26978,8558115297.99339,9396527669.8765,10252488425.63
Dominica,DMA,"Population, total",SP.POP.TOTL,68511,68288,68367,68531,68649,68734,68806,68847,68854,68864,68859,69053,69118,69715,70373,70410,69606,68496,68174,67880,67573,67202,66826,66510,66205,65871
Dominica,DMA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,435434940.227771,464746991.548043,453513782.879485,490409868.903288,517646963.457814,544641964.868504,610212632.262744,654777195.980813,719339876.874273,724272765.590261,738561783.558277,752843124.039695,741007607.848786,758676072.833696,826221292.75603,819193680.148982,870951698.858091,874572664.845272,1029676723.63637,1071448671.52554,978277529.499402,1063345345.52904,1262153353.4427,1349445224.82905,1377689493.25389,1457883756.53761
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,8584190,8720283,8852235,8980620,9104892,9225034,9341183,9455658,9573130,9695265,9820175,9945621,10070411,10193833,10315528,10434829,10551430,10666843,10782053,10894043,11008300,11123476,11230734,11331265,11427557,11520487
Dominican Republic,DOM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,54548734859.198,57166866235.1481,60671459023.5832,59567359221.6963,61689377010.2417,71751184312.5631,81115121334.7083,89422515944.942,95441404674.3761,97060078964.1604,106478696456.004,111785584086.094,113896391058.58,120532566247.103,132165760052.487,148086363236.176,164403135385.462,171074022240.57,185594090264.376,205511194932.346,198954583853.862,233128419879.385,266017084042.885,279812143246.455,298894082968.609,310773666835.914
Ecuador,ECU,"Population, total",SP.POP.TOTL,12689206,12910740,13138472,13372306,13608701,13846163,14086131,14328773,14575202,14825954,15076695,15326227,15572194,15807128,16035124,16266225,16505139,16759519,17049547,17340021,17546065,17682454,17823897,17980083,18135478,18289896
Ecuador,ECU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,66911195182.3083,72923599725.6892,78748823459.1575,82455806838.7198,90076142497.488,98650631049.7379,106666885731.699,111699997247.954,123343886008.44,125739257015.189,133183317759.64,147360488822.749,157225919896.862,176062331035.283,186961706891.019,173824904854.939,176153185406.284,193171305349.347,202185527103.686,211241305349.952,195334280825.807,235140283566.015,266472719837.34,279382868995.599,279623003577.407,297999449478.584
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,73083284,74652029,76239137,77853548,79477443,81101004,82700403,84276225,85864789,87501636,89196072,91093059,93161001,95333553,97528654,99597342,101644589,103696057,105682094,107553158,109315124,110957008,112618250,114535772,116538258,118365995
"Egypt, Arab Rep.",EGY,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,400278273324.915,426462274089.742,439074119076.482,460905800713.497,492032086404.896,530041790703.572,588330623968.067,649728960102.691,709166738606.38,741304645068.473,772581901820.088,797765801524.506,941144389250.992,976356868606.206,976523689101.184,1067147122529.07,1069524989723.49,1132371475178.36,1271820646752.67,1387655933041.16,1615817490975.2,1678130810767.4,1908272238016.47,2030620255434.78,2127981654075.68,2287719974337.03
El Salvador,SLV,"Population, total",SP.POP.TOTL,5943366,5968060,5986631,5998599,6004671,6005578,6002319,6009824,6029297,6048279,6068249,6090127,6113975,6138839,6162955,6183676,6200800,6213533,6219807,6222318,6234673,6255782,6280319,6309624,6338193,6365503
El Salvador,SLV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,25711465195.05,26517440008.2805,27243945032.5379,28031105346.0297,28998526649.8581,30709570775.2285,33235013904.2505,34784906277.7345,36412115260.3972,35499134042.7194,36795973470.191,38932390718.9747,39345347459.2873,41579745956.3746,44125662032.396,46774257454.8227,49730228036.5628,52611174848.1807,54011440208.0451,57680789655.4174,55323748378.7793,63692919937.2651,70016546214.4941,74833573570.2044,78593059096.6584,83655992333.1287
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,703279,749836,797957,847862,899917,947367,990343,1036044,1084530,1135673,1189085,1241835,1293483,1346218,1399828,1453923,1508186,1562396,1616422,1670177,1716468,1758786,1803545,1847549,1892516,1938431
Equatorial Guinea,GNQ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3565860967.83828,4054096187.85212,5414885553.76587,5383148098.80921,7066131362.35438,10650132479.0826,18328094265.9336,22041961721.1827,24532848157.1479,22324010892.9422,18268538213.8021,21558948718.4321,26620565424.9568,28385585960.9326,30765800121.0067,24299109100.823,20367573121.6732,26743437480.618,26229567497.8932,21866962421.1813,22666503304.2446,27491005078.3578,24330511874.0182,28721834380.8745,28762626667.1041,28315925921.6017
Eritrea,ERI,"Population, total",SP.POP.TOTL,2247031,2312079,2392978,2493903,2598284,2661215,2703502,2743222,2816327,2887885,2945186,2998485,3036988,3074360,3095173,3105546,3124698,3150347,3192760,3240194,3291271,3350183,3409447,3470390,3535603,3607003
Eritrea,ERI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3502952458.40605,3880612656.00432,4038045151.61892,3997353699.53294,4153130830.18324,4416845102.77044,4515258516.89522,4711818765.41161,4319551008.84921,4513815645.19563,4651755204.04337,5164760114.43522,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,"Population, total",SP.POP.TOTL,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326898,1329522,1330932,1348840,1370286,1372341,1366475
Estonia,EST,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,12669357453.7077,13617782386.9028,15237943834.898,16955758241.9392,18694312954.6021,21499501319.2193,24609299200.43,27452261662.1634,28896900312.8125,26509436700.1054,27231660035.6863,31059616888.1939,33285418461.875,35804442368.6507,37604813148.8546,38256073514.6397,41160634954.3146,44406888661.2277,48078818465.4677,52811288278.5753,53306858280.8297,57522186856.3939,63499918798.2858,65159244450.5723,67768490330.9116,70200795560.2544
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1041414,1051064,1059441,1066700,1073159,1079022,1084436,1090705,1098091,1105153,1111650,1117833,1123863,1129990,1136299,1142813,1149507,1158195,1168929,1179874,1192729,1206593,1218917,1230506,1242822,1256174
Eswatini,SWZ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,4675272199.96538,5075878452.01582,5035218344.45303,5250612868.9262,5703521629.52048,6587332266.86301,6882839660.68675,7431567145.61204,7579657997.55766,7582096954.48047,7719976044.12648,7939271361.75376,8142294522.02103,8889817970.96688,9090853955.74747,9198016115.54174,9215047347.34819,9284847482.40879,9288992343.69319,9772950121.59454,10086602562.0899,11145318418.4202,11932777330.0305,12989305987.1649,12833736959.9434,14309019579.3047
Ethiopia,ETH,"Population, total",SP.POP.TOTL,67411494,69487762,71635517,73832663,76077206,78367470,80703490,83103217,85543668,88007636,90538514,93149970,95798767,98438751,101115610,103867135,106718162,109666481,112664152,115737383,118917671,122138588,125384287,128691692,132059767,135472051
Ethiopia,ETH,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,31713478433.9468,35157264394.4661,36222515145.7443,36108792939.4354,42171697080.7789,48800096618.2872,55776261918.5527,64057268446.8563,72336649387.1956,79029657484.4828,89819143069.5582,102066933556.261,112693479432.346,123054467295.449,149706960402.231,168886194465.487,197586705772.362,218547997935.064,235010231989.652,257939268526.367,284581198465.731,314515207950.707,355038153499.318,393156515516.266,434095320327.137,489798906857.208
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,45754,46635,47335,48032,48384,48359,48335,48378,48547,48790,48656,48542,48290,48245,48427,48898,49463,50179,50997,51790,52561,53291,53903,54398,54640,54900
Faroe Islands,FRO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,2010588478.49903,1875622852.74722,1960020277.12284,2155650430.39359,2346914926.6717,2532856919.01816,2669043611.0677,2696162856.59672,2784848334.93501,2926123365.10612,3091134657.31042,3315013813.34155,3318617844.9052,3772244313.21095,4157340446.69143,4371070880.57775,4561187478.76349,..
Fiji,FJI,"Population, total",SP.POP.TOTL,840909,849596,858049,866286,874366,882379,890365,897832,903399,907239,910419,912989,914918,916352,917585,918578,919166,918759,917180,914899,914963,916711,919422,924145,928784,933154
Fiji,FJI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,4736134255.66577,4800325333.14429,5116247317.61422,5228726962.27912,5652012037.22983,5956347457.95559,5938417468.12148,6099456193.22216,6299844052.84774,6386244960.36808,6470388289.20539,6785193406.75997,7224099027.65405,7941108765.18504,9193434125.51809,9926803417.49299,10206801485.5218,10631975508.4893,11126810513.916,10872413775.3031,9153155942.42068,8893153128.90378,11299387198.4979,12773804972.3483,13479016747.5622,14334130193.4518
Finland,FIN,"Population, total",SP.POP.TOTL,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556106,5583911,5619911,5646436
Finland,FIN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,137769659489.3,144163694005.18,149168497584.991,150507846725.891,164241102297,168826779821.609,183022706550.285,200725842518.708,213324928052.624,205334235057.658,211613443288.348,221031146861.93,221547724533.432,226043428172.533,229376880766.305,233597870774.708,245945316978.755,260256097038.523,272727485692.466,289676738534.819,299192631452.964,319766640229.01,348291257954.801,355112319804.762,365777344501.255,374339527575.76
France,FRA,"Population, total",SP.POP.TOTL,60918661,61364377,61812142,62249855,62707588,63180854,63622342,64016890,64375116,64706436,65026211,65340830,65657659,65997932,66312067,66548272,66724104,66918020,67158348,67382061,67601110,67842811,68184457,68372286,68551653,68720337
France,FRA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1611056801125.1,1710208538061.98,1772499383797.54,1769527646858.31,1840514100884.81,1957541753140.9,2106182365535.64,2226510068624.65,2308039470491.25,2298102469213.09,2391922327825.71,2519178331298.93,2530884956905.18,2674780660955.62,2727161281135.26,2777257281493.37,2918879960617.61,3036125535476.15,3185264611209.71,3548150304410.77,3412349289807.98,3674360638970.36,4008095598692.89,4262163165930.74,4368454830096.32,4474299725067.19
French Polynesia,PYF,"Population, total",SP.POP.TOTL,240337,244097,247775,251637,255654,259507,263223,266438,268379,269481,270580,271727,273084,274728,276387,277866,279178,280087,279815,279034,279209,279792,280378,281118,281807,282465
French Polynesia,PYF,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,"Population, total",SP.POP.TOTL,1275572,1309589,1345135,1382350,1421609,1463495,1508337,1556237,1607175,1661556,1719879,1781985,1846889,1913059,1978399,2040989,2100306,2156900,2212318,2267706,2322539,2376722,2430747,2484789,2538952,2593130
Gabon,GAB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,14545610431.5392,15526882851.5667,16361999655.0559,16692429060.7233,16409960259.0566,18478041667.8045,17859620756.33,19104153712.0591,19004049980.3047,19708933357.0906,20937084616.1573,22729974762.4942,24306483887.967,25048343584.009,27856596913.337,26774535152.9298,28764231374.0481,29920423320.9147,32619231203.2644,34069215046.4346,32213461117.761,41415096872.2332,43249208012.846,47412717711.4165,52376176925.2188,56175181173.4491
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,1455084,1495011,1535691,1577611,1621312,1667037,1715275,1765774,1817852,1871422,1926630,1983784,2043094,2103820,2164528,2224529,2283769,2342189,2399632,2456844,2515733,2576010,2636470,2697845,2759988,2822093
"Gambia, The",GMB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2388674518.30822,2578451460.43821,2505602365.8762,2782118189.54728,3139183944.29109,3160196197.7005,3233082503.89361,3434320606.89873,3733969146.7642,3995538159.70926,4282709649.18308,4002461735.10188,4131377697.7513,4130762560.56277,4086929952.0286,4321340159.0319,4510338615.19933,4685813019.19955,5369508408.34943,5851376862.87667,6272279516.99147,6976646476.02658,7971189756.78147,8775011424.83316,9480044521.03558,10320873122.5157
Georgia,GEO,"Population, total",SP.POP.TOTL,4077131,4014373,3978515,3951736,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610,3712502,3715483,3812518,3935766
Georgia,GEO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,13043957186.5202,13896913903.3479,14839499692.9113,16794411445.2035,18460602474.5801,20765886000.0308,23681802151.9681,26925853091.2413,27883643630.5735,27047039616.8321,28692237889.1522,31284073684.4784,37129800254.7801,39415059833.3112,43223852487.0596,44676688236.3775,46495073155.0409,48687859141.1321,53871611079.6655,59570769715.4507,59555183444.0573,65780416560.1343,77575765856.9233,85992519848.5908,97082320499.5962,108504399258.92
Germany,DEU,"Population, total",SP.POP.TOTL,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83177813,83287273,83516593,83491249
Germany,DEU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2245214181930.02,2344162290235.12,2408914467669.01,2475184737517.03,2635935348595.39,2686671914621.05,2909833077954.75,3080558518676.02,3186244287854.35,3145302624372.77,3312905376960.99,3572246332436.97,3641714279907.42,3786623110441.1,3962765480136.86,4045526279940.68,4367324025256.18,4589054798511.78,4852963091884.13,5110755212505.83,5005950460927.29,5384870743755.81,5968173637429.3,6213481415126.37,6389419029709.13,6523709722627.16
Ghana,GHA,"Population, total",SP.POP.TOTL,19637087,20167069,20729388,21296705,21868298,22449438,23040702,23642279,24249946,24862664,25474995,26095088,26734268,27386193,28041592,28696068,29356742,30008354,30637585,31258945,31887809,32518665,33149152,33787914,34427414,35064272
Ghana,GHA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,44848820628.3867,47895928553.2225,50813617621.6396,54495591724.6817,59075711883.7333,64824781883.5772,70030320311.9966,76304253795.7778,84992608903.3175,89689915727.0159,96995228257.0429,111658379163.482,126870542214.88,138828155190.211,146624691257.904,144492868487.251,141337268710.443,147530650795.972,161990349853.475,179917385479.638,183478669234.922,203027114901.376,222395018073.794,242497150732.022,259614378347.738,283448233153.701
Gibraltar,GIB,"Population, total",SP.POP.TOTL,27709,27657,27831,28274,28715,29163,29594,30006,30413,30823,31248,31660,32029,32407,32813,33193,33658,34245,34854,35494,36173,36858,37609,38471,39329,40126
Gibraltar,GIB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,"Population, total",SP.POP.TOTL,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10570130,10437805,10407351,10405134,10413962
Greece,GRC,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,208485901080.867,225163624123.753,241957018906.564,255575273719.033,270538054602.788,276277726518.981,303018467904.598,310433584895.152,326552312236.299,324778295549.123,302740390926.387,277414313417.83,272193639790.671,280013309339.982,287547496052.427,285705311376.361,293037835128.615,304841430437.134,313817734400.034,337293538297.731,312769959886.921,351868192361.159,406311758212.251,430945739065.899,446535522223.475,461468418727.632
Greenland,GRL,"Population, total",SP.POP.TOTL,56185,56379,56595,56751,56898,56935,56775,56555,56328,56323,56534,56890,56810,56483,56295,56114,56186,56172,56023,56225,56367,56653,56661,56865,56836,56831
Greenland,GRL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1625434556.35557,1676917984.89945,1687393163.43934,1645198473.5576,1778365861.57923,1971063327.38878,1965147905.09353,2277578573.6213,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,"Population, total",SP.POP.TOTL,107451,107987,108404,108884,109323,109734,110135,110522,110896,111254,111586,112079,112775,113487,114132,114676,115130,115438,115691,115981,116341,116688,116913,117081,117207,117303
