Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Comoros,COM,"Population, total",SP.POP.TOTL,536758,547741,559047,570130,581154,592683,604658,616899,629470,642493,656024,670071,684553,699393,714612,730216,746232,761664,776313,790986,806166,821625,836774
Comoros,COM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,976788311.072541,1023026151.90821,1059240103.27356,1102100585.56448,1152318820.44598,1223230352.37198,1294996630.1933,1346023484.64695,1420672307.42057,1476965338.29748,1551863140.44777,1650025527.79945,1814962014.89786,1955354402.02041,2071221657.94722,2117437030.24571,2290888118.1283,2479457610.11061,2633149344.5423,2726064431.91739,2753906825.17943,2941322623.58321,3223916305.0913
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,48616317,50106657,51662071,53205639,54815607,56550247,58381630,60289422,62249724,64270232,66391257,68654269,70997870,73460021,76035588,78656904,81430977,84283273,87087355,89906890,92853164,95894118,99010212
"Congo, Dem. Rep.",COD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,20608363195.4106,19992879403.8804,21266093204.0851,23102819145.1526,25202900383.3811,27232749597.6436,29872916478.1036,32418993552.8375,34028500655.5069,36170952290.1952,39203673075.938,42414784447.5133,43696967208.0706,49142683508.0334,57377953169.9898,63954295208.4024,74312567453.5459,83831229357.6501,90135190414.5636,93934103991.5429,99711065803.5815,109521596026.949,127299527559.27
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,3134030,3254101,3331158,3424653,3543012,3672839,3813323,3956329,4089602,4257230,4437884,4584216,4713257,4828066,4944861,5064386,5186824,5312340,5441062,5570733,5702174,5835806,5970424
"Congo, Rep.",COG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,8451311511.90226,8943215089.608,9682774987.32851,10173414219.2203,10062158423.0095,11994945580.8897,14913258216.0597,14168468353.416,16040253074.6069,18942968901.5366,21254381086.756,21470355525.6044,27030906925.2395,27412885857.6535,27693342857.7399,23687637840.2868,21190855495.8002,26125070234.1389,24382175452.2977,26169187618.1983,22698006321.5662,22889482026.4892,24175152349.299
Costa Rica,CRI,"Population, total",SP.POP.TOTL,3979193,4053222,4122623,4188610,4252800,4315887,4378172,4440019,4501921,4563127,4622252,4679926,4736593,4791535,4844288,4895242,4945205,4993842,5040734,5084532,5123105,5153957,5180829
Costa Rica,CRI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,29599783943.8605,31321613298.9132,32893941529.3186,34986774589.2915,37665124458.1966,40592113664.9385,45305902567.5191,50536706953.3207,54302452210.9189,53431148071.3225,57034446187.5732,60678375079.9581,65069631805.126,68606627464.7249,73917762456.0251,79359173155.0658,89560838875.14,95456051415.6463,100873416317.615,108117707476.064,104666088592.429,109647620660.148,121064365758.727
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,16799670,17245468,17683897,18116451,18544903,18970215,19394057,19817700,20244449,20677762,21120042,21562914,22010712,22469268,22995555,23596741,24213622,24848016,25493988,26147551,26811790,27478249,28160542
Cote d'Ivoire,CIV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,31593481596.3013,31751339765.3689,31964849050.2473,31703665392.8448,34420921509.9308,39000296860.4881,40895630597.8841,42683677988.2208,46061032802.4283,48329387834.2861,51898403217.5467,48585323041.0442,54762839530.7784,59653079618.0681,96007042384.6619,105693634422.082,111124117363.021,116644132399.153,125423473406.755,135960423768.875,139950850332.607,156178558437.327,178437764982.649
Croatia,HRV,"Population, total",SP.POP.TOTL,4468302,4299642,4302174,4303399,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047680,3879000,3855600
Croatia,HRV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,46805293068.5858,49046140218.4306,54018270477.6796,56996826402.3026,62158534605.8347,64995463073.8942,74032288061.2919,82394225634.0396,87608217462.0173,83993622200.6613,83310436794.2101,87548812854.3124,88724109401.225,92607700122.0564,93597555575.7581,98859861926.2976,103867195360.673,112214767706.529,117978357768.613,128815489059.665,123164177267.101,137562844639.838,156562983028.07
Cuba,CUB,"Population, total",SP.POP.TOTL,11105791,11139127,11170051,11199217,11225294,11246114,11260630,11269887,11276609,11283185,11290417,11298710,11309290,11321579,11332026,11339894,11342012,11336405,11328244,11316697,11300698,11256372,11212191
Cuba,CUB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,"Population, total",SP.POP.TOTL,133860,129047,129205,131897,134192,137658,141239,144056,145880,146833,148703,150831,152088,153822,155909,157980,159664,160175,159336,157441,154947,152369,149996
Curacao,CUW,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,3369627405.04248,3538534802.72725,3724708899.89033,3796820810.77193,3746172940.12007,3845347702.94284,3911807569.75987,3752841478.91487,3738320739.13856,3750457567.29963,3791059547.85258,3764832964.17927,3925553140.61197,3957953922.04198,3939262312.6456,3279949819.50364,3567469084.95583,..
Cyprus,CYP,"Population, total",SP.POP.TOTL,948237,964830,982194,1000350,1018684,1037062,1055438,1073873,1092390,1110974,1129686,1145086,1156556,1166968,1176995,1187280,1197881,1208523,1218831,1228836,1237537,1244188,1251488
Cyprus,CYP,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,13508160829.5127,14896307187.9481,15854144524.8343,16730194441.939,17824632148.141,19438133153.0286,21288157031.5546,23610745079.7377,26949237503.8721,27305326459.3236,27398530574.0825,29170325403.7432,27387960617.5528,25902906234.4153,25019054275.3719,26876819266.3675,29340996985.8045,32014349879.759,34096877750.8601,36742243105.6023,34633186090.578,37872866993.0007,43321800295.0734
Czechia,CZE,"Population, total",SP.POP.TOTL,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10505772,10672118
Czechia,CZE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,163289184102.592,174990894366.907,179426297147.504,192484603500.455,203337684952.78,215196463957.099,229692877464.26,253278202423.726,272806085747.403,269926282568.773,270169548771.739,279834668447.068,287718348866.221,303447928479.576,318616318237.674,332984669940.748,355688613136.584,388039149500.853,413345788814.445,443315371395.955,435313277572.419,459814285286.038,500401699703.477
Denmark,DNK,"Population, total",SP.POP.TOTL,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5903037
Denmark,DNK,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,149568949160.096,155451305026.554,162670765274.646,164660673356.909,178237774088.162,186566260237.836,205442946149.714,214126550650.794,229296531979.344,224979284842.662,242457179177.274,252568140433.285,256181803182.809,270675687839.011,280163778604.424,287305055728.283,305037277594.345,326115786258.35,342287470715.698,358440302432.242,365985626551.361,402336760039.138,456741995213.202
Djibouti,DJI,"Population, total",SP.POP.TOTL,742033,765490,789129,806411,818373,830861,846947,865196,882886,901103,919199,936811,954297,971753,989087,1006259,1023261,1040233,1057198,1073994,1090156,1105557,1120849
Djibouti,DJI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,3640367439.63263,3939195109.04181,4301609937.92259,4422462225.9087,4615591697.45204,4933336290.1331,5383056941.96004,5517496175.25893,6085216796.39059,6732773700.70235
Dominica,DMA,"Population, total",SP.POP.TOTL,68346,68153,68262,68442,68574,68674,68742,68775,68782,68787,68755,68742,68888,68819,69371,70007,70075,70403,70823,71428,71995,72412,72737
Dominica,DMA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,399891562.555747,429072984.438737,418853475.437719,456800296.4661,477032748.67028,501328468.809462,565034929.073372,611971564.345754,672700084.289188,677525203.199246,696531243.385957,708013848.57651,691928396.38625,692344687.139737,751075194.046559,765269555.706674,820840503.84638,813271710.286844,860634484.250754,906804038.762616,790898103.448544,872285185.973601,982245124.416585
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,8540791,8669040,8795101,8919852,9043127,9164768,9284168,9402206,9522948,9648061,9775755,9903737,10030882,10157051,10282115,10405832,10527592,10647244,10765531,10881882,10999664,11117873,11228821
Dominican Republic,DOM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,54795340763.4849,57420258830.929,60947905837.3844,59868229227.1213,62009311689.6216,72079439405.5664,81482933426.3781,89737081386.4283,95716906105.3495,97308812710.2115,106678083148.086,111949190644.908,113509281367.5,119476175531.955,130354685179.135,145306712793.565,160308245042.034,167596990114.477,184433746623.663,196691855878.065,185329299211.708,217085464875.688,246147069175.89
Ecuador,ECU,"Population, total",SP.POP.TOTL,12626507,12845521,13070609,13301184,13534593,13770012,14009061,14251835,14496797,14742766,14989585,15237728,15483883,15722989,15957994,16195902,16439585,16696944,17015672,17343740,17588595,17797737,18001000
Ecuador,ECU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,69019538867.9904,74700827123.7799,79512467990.9829,83103548346.2177,91927899807.2355,100515339271.019,108710227984.446,113994194611.944,125631527132.266,127594993472.713,134535683705.727,147975619638.375,157133177890.528,172493513104.366,183940790238.329,176078605364.199,178491385667.622,190452902888.886,196713748004.245,199882255337.957,186008276986.111,206228427781.489,227146176190.793
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,71371371,72854261,74393759,75963322,77522427,79075310,80629670,82218755,83844783,85501064,87252413,89200054,91240376,93377890,95592324,97723799,99784030,101789386,103740765,105618671,107465134,109262178,110990103
"Egypt, Arab Rep.",EGY,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,400228934890.431,426414972799.404,439045031580.628,460872033704.439,491973618665.921,529979703117.61,588272785674.453,649622504544.298,708989489351.388,741297423322.699,772471367883.906,797765801524.506,936405442609.556,966549119173.092,961846565220.621,1045815284633.65,1042867889031.84,1098588254427.46,1178310551513.97,1252250922533.66,1320385566639.65,1425673854628.33,1620106530367.13
El Salvador,SLV,"Population, total",SP.POP.TOTL,5958482,5988095,6011275,6026849,6035655,6037817,6034436,6044131,6068099,6091188,6114034,6137349,6161289,6185642,6209526,6231066,6250510,6266654,6276342,6280217,6292731,6314167,6336392
El Salvador,SLV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,25716544653.0733,26523006149.5229,27250880999.0137,28038045014.3381,29004384027.4345,30715883811.6663,33242409204.2337,34790366024.8658,36414694483.7471,35510178284.5481,36802513506.9704,38932390718.9747,39142615687.2106,41152360305.4393,43447081739.4438,45817642299.8657,48462157551.1229,51005469953.4391,53442565171.7254,56077069898.7659,52338663446.0644,60628121646.2066,66280863085.3055
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,684977,719270,754115,789681,826355,864726,905418,948814,994971,1043686,1094524,1144588,1193636,1243941,1295183,1346973,1398927,1450694,1502091,1553031,1596049,1634466,1674908
Equatorial Guinea,GNQ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3565421438.58805,4053646525.63044,5414526832.0242,5382753717.18802,7065291700.21971,10648905085.5563,18326292446.1798,22038350231.5449,24526716413.0493,22323793413.9795,18265924518.9923,21889346128.883,25687593216.8693,25581464599.311,25707960045.8039,21190569158.2367,19263632756.1753,20954718048.3485,20920681047.1645,19271673467.2209,19106433533.0952,20077171651.3201,21416276863.0714
Eritrea,ERI,"Population, total",SP.POP.TOTL,2392880,2461927,2547424,2653390,2763140,2831732,2880093,2926168,3005779,3083888,3147727,3207570,3252596,3296367,3323425,3340006,3365287,3396933,3445374,3498818,3555868,3620312,3684032
Eritrea,ERI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3502520683.28036,3880182235.80024,4037777641.88576,3997060844.34791,4152637317.32313,4416336075.57327,4514814625.57345,4711046752.24592,4318471379.56046,4513771671.91731,4651089673.59473,5164760114.43522,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,"Population, total",SP.POP.TOTL,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326898,1329522,1330932,1348840
Estonia,EST,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,12667492838.5403,13617838206.7515,15237943834.898,16957852631.4056,18696395797.7984,21499501319.2193,24613079249.268,27450518224.9706,28894882167.8546,26495511627.9969,27236620889.9034,30933346364.3471,32958010835.542,35321118478.4772,36967108884.2073,37534878529.7072,40284437405.3942,43460557703.3808,47113819402.8105,51091852028.604,51647436864.3233,56440402560.8136,60962850854.9651
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1030496,1041396,1050809,1058797,1065764,1071886,1077735,1084008,1089870,1094886,1099920,1105371,1111444,1118319,1125865,1133936,1142524,1151390,1160428,1169613,1180655,1192271,1201670
Eswatini,SWZ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,4835544007.13925,5225310826.08034,5206397970.85704,5397562738.02488,5860596695.07402,6760034398.51757,7023595891.75963,7590309941.20346,7695967640.23254,7712694582.01823,7854478217.59055,8114103567.84471,8346171990.2146,9058385441.98997,9226708730.12028,9347907543.56745,9176866992.06291,8823555611.37799,9234790733.90683,9313972658.84204,9302155225.89224,11014786460.5919,11815171641.8058
Ethiopia,ETH,"Population, total",SP.POP.TOTL,67031867,69018932,71073215,73168838,75301026,77469940,79691050,81996185,84357105,86755585,89237791,91817929,94451280,97084366,99746766,102471895,105293228,108197950,111129438,114120594,117190911,120283026,123379924
Ethiopia,ETH,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,31709569421.4444,35153364909.1578,36220115501.7844,36106147528.8372,42166685855.7056,48794472563.372,55770778598.6658,64046772909.527,72318569548.452,79028887577.0133,89806292572.8253,102066933556.261,112283157655.966,122160005499.923,148077638928.901,166439908210.722,194015690748.877,213816795462.579,234225274025.696,257936024325.075,277262954043.391,306228964374.369,345439467982.422
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,45660,46245,46813,47392,47989,48291,48313,48361,48411,48429,48410,48386,48392,48418,48465,48816,49500,50230,50955,51681,52415,52889,53090
Faroe Islands,FRO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,"Population, total",SP.POP.TOTL,832509,841320,849891,858306,866694,874923,883083,890648,896731,901383,905169,908355,911059,913453,915560,917200,918371,919019,918996,918465,920422,924610,929766
Fiji,FJI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,4821962312.54806,4889918722.4298,5210367836.91124,5325630856.76595,5756533515.64823,6064912270.60871,6029914207.19363,6248426739.27117,6418545735.77951,6505552157.38816,6593835894.43265,6915550183.69762,7364419211.78208,8093222996.08199,9375291022.39162,10126984895.8987,10412234870.8023,10852371080.1822,11719392209.1653,11628233337.9505,9979030706.09105,9974208272.1513,12881055233.9484
Finland,FIN,"Population, total",SP.POP.TOTL,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017,5556106
Finland,FIN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,137806131108.521,144179084234.692,149214583627.633,150561254991.512,164276796769.437,168848220995.197,183088910459.9,200726865789.806,213338084144.169,205248674557.414,211629477125.489,221315089725.945,222320431042.548,226606741870.886,230341376307.58,235157775065.327,248052265025.91,262157314767.321,274554727049.966,287558398465.687,293943539783.871,308265492506.26,333224276937.647
France,FRA,"Population, total",SP.POP.TOTL,60921384,61367388,61816234,62256970,62716306,63188395,63628261,64021737,64379696,64710879,65030575,65345233,65662240,66002289,66312067,66548272,66724104,66918020,67158348,67388001,67571107,67764304,67971311
France,FRA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1614662595813.76,1717459279886.55,1781288096300.79,1776968684095.34,1847472145315.95,1959874866060.42,2106888554839.65,2227989588807.41,2308471504999.58,2295545432738.83,2388599175125.05,2511515271090.53,2528097207038.72,2666952095933.8,2719730300347.34,2777204974934.9,2924692709642.01,3050429224953.88,3197837511869.07,3476171529249.48,3288242581226.43,3558269685403.67,3831439131867.51
French Polynesia,PYF,"Population, total",SP.POP.TOTL,250927,255049,259137,263173,267132,271060,274901,278178,280558,282283,283788,285265,286584,288032,289873,291787,293541,295450,297606,299717,301920,304032,306279
French Polynesia,PYF,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,"Population, total",SP.POP.TOTL,1272935,1306590,1341696,1378398,1417110,1458353,1502534,1549774,1599978,1653542,1711105,1772500,1836705,1902226,1966855,2028517,2086206,2140215,2192012,2242785,2292573,2341179,2388992
Gabon,GAB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,14543817534.591,15525160679.1476,16360915716.1702,16691206135.5662,16408010278.0054,18475912132.9124,17857864991.8186,19101023570.8293,18999300104.9307,19708741354.0316,20934089130.2157,22729974762.4942,24187166236.5611,24803028471.2847,27448373201.6419,26252661543.3818,26457471076.3386,29027529828.7639,29887001626.8806,31113608660.0589,31876723949.6743,30117860004.1999,35527951625.548
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,1437539,1479449,1522223,1566257,1612225,1660368,1711294,1764883,1820542,1878119,1937275,1998212,2061014,2124869,2189019,2253133,2317206,2381182,2444916,2508883,2573995,2639916,2705992
"Gambia, The",GMB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2388380089.46494,2578165470.13148,2505436376.39486,2781914365.26791,3138810917.84187,3159831995.24929,3232764662.2328,3433757906.83412,3733035877.90226,3995499235.45418,4282096918.38596,4002461735.10188,4103967194.68281,4076131550.67062,4006121655.97443,4207793058.65318,4362686911.60081,4502345653.44125,4950842109.36375,5358326266.56029,5469746726.47597,5897028783.27854,6659395197.83357
Georgia,GEO,"Population, total",SP.POP.TOTL,4077131,4014373,3978515,3951736,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610,3712502
Georgia,GEO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,12804550170.5559,13640598614.8269,14565758055.3987,16484579453.8,18122655110.6218,20384085510.434,23250161215.7141,26427619848.6316,27361237697.1256,26546979472.6972,28147602157.8712,30519613226.4118,36257009738.4886,38723289569.7477,42492961933.5167,44015459770.8487,45709833895.1989,48181537162.6113,52276879822.4951,55540122569.9118,52345319525.4402,59397576296.504,69637465090.8984
Germany,DEU,"Population, total",SP.POP.TOTL,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985
Germany,DEU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2223925245140.92,2320182320935.18,2381368004844.2,2443495916355.9,2601184150079.19,2643689105682.11,2861415784500.06,3028970481260.68,3133424995825.21,3083319155021.96,3249163748740.81,3502470398953.27,3570904139239.83,3712581829258.22,3883389666513.64,3977709151007.17,4268495684340.31,4491247786267.96,4730327637032.14,4949031169284.13,4828839092857.67,5102420692212.32,5530047562033.85
Ghana,GHA,"Population, total",SP.POP.TOTL,19665502,20195577,20758326,21329514,21906444,22496951,23098586,23708320,24326087,24950762,25574719,26205941,26858762,27525597,28196358,28870939,29554303,30222262,30870641,31522290,32180401,32833031,33475870
Ghana,GHA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,44843292547.3196,47890616150.9889,50810251354.8494,54491599254.213,59068691969.1854,64817311035.8881,70023435689.2601,76291751640.7797,84971365836.6861,89689041974.0898,96981351069.8425,111658379163.482,126012760957.806,136957246170.144,143670731901.312,140624612115.261,136623482244.943,141646107789.028,154730989863.269,168439527387.336,180743097569.356,190378378899.62,214410418943.175
Gibraltar,GIB,"Population, total",SP.POP.TOTL,27741,27721,27892,28301,28716,29155,29587,29996,30398,30819,31262,31701,32160,32411,32452,32520,32565,32602,32648,32685,32709,32669,32649
Gibraltar,GIB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,"Population, total",SP.POP.TOTL,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10569207,10426919
Greece,GRC,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,308763168231.047,315638048469.423,331637075164.807,329717647726.869,303548758817.362,277177153049.163,277445806184.941,284938615777.952,291893761607.501,289335045232.896,295022258656.427,306093821136.232,314377061805.023,331031374285.147,302083158722.807,330131332887.296,382567947777.672
Greenland,GRL,"Population, total",SP.POP.TOTL,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483,56295,56114,56186,56172,56023,56225,56367,56653,56661
Greenland,GRL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,"Population, total",SP.POP.TOTL,107432,107936,108231,108740,109516,110254,110988,111725,112478,113249,114039,114918,115912,116945,117972,118980,119966,120921,121838,122724,123663,124610,125438
Grenada,GRD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,733974071.115943,723731280.153633,753291982.260362,843304275.921427,838339694.406903,1054320264.13558,1042689734.93986,1121243485.11449,1156566507.50408,1052580068.07276,1094428581.66484,1138673428.05648,1148161514.25938,1246679156.75531,1291260565.40894,1369067757.03206,1505244506.19547,1603862847.11622,1732027111.65556,1776218154.56181,1597573364.24812,1733981013.35711,1958599175.69483
Guam,GUM,"Population, total",SP.POP.TOTL,160188,161524,162563,163385,164004,164430,164675,164763,164725,164580,164905,165649,166392,167054,167543,167978,168346,168606,168678,168624,169231,170534,171774
Guam,GUM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,"Population, total",SP.POP.TOTL,11589761,11871565,12147518,12415334,12682108,12948292,13213330,13477017,13739299,14000190,14259687,14521515,14781942,15043981,15306316,15567419,15827690,16087418,16346950,16604026,16858333,17109746,17357886
Guatemala,GTM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,54463891154.5771,57440007121.4572,59906378594.8518,62706303613.8299,66230666005.1143,70494035986.7824,76186339569.8788,83014420336.9212,88167498292.8651,88867704977.67,91985130673.0567,97566174068.503,104298818856.498,109413614759.15,115639774629.872,124517142875.708,127323281384.073,131078217588.09,138868111220.923,147383098889.533,146650525628.685,164379823401.238,184024963449.263
Guinea,GIN,"Population, total",SP.POP.TOTL,8336967,8445717,8577790,8772254,8961039,9140114,9330625,9547082,9779785,10021323,10270728,10527712,10788692,11055430,11333365,11625998,11930985,12240789,12554864,12877539,13205153,13531906,13859341
Guinea,GIN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,9909271556.554,10456615817.2891,11322277520.3711,11203897478.7177,11750601774.3206,12292234695.6462,13583626121.4796,14896100221.6699,15760668716.0795,15493779478.8836,16667173170.9181,17815489450.0403,18819737532.1312,18776195192.3567,19471089653.473,20460340883.4776,23977048840.5844,29033817415.4821,30683947839.9874,32701274013.0599,32577037089.7884,33879699045.2103,39775506660.1207
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1230849,1257380,1285678,1315653,1347009,1379713,1414091,1450572,1488431,1527196,1567220,1609017,1652717,1697753,1743309,1788919,1834552,1879826,1924955,1970457,2015828,2060721,2105566
Guinea-Bissau,GNB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1243835258.82085,1290274910.66864,1323827827.35158,1354737412.43909,1434996790.57898,1542942633.95469,1643949134.06291,1751200254.89373,1822285316.90993,1902174064.03593,2030228734.21679,2262774007.23512,2187093803.73918,2205787895.62385,2415238570.21739,2842389875.31444,3191999767.76646,3526798653.49018,3526447615.19273,3965150370.87223,3905155802.51003,4170290340.56063,4674576493.11233
Guyana,GUY,"Population, total",SP.POP.TOTL,759051,759809,760323,760562,760424,759709,758367,756521,754150,751258,747932,744230,743966,747420,751115,755031,759087,763252,785514,798753,797202,804567,808726
Guyana,GUY,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,4370645986.30391,4551575568.88511,4667771311.60953,4764832874.73066,5004514206.46634,5092990914.35309,5406445629.93779,6112072117.16231,6333531399.86381,6601380258.55863,7020540230.15024,7491848905.65813,7962994678.15606,8426962216.80912,8414360301.65355,8643543597.91463,8704968441.42526,9284265203.32933,9896200509.70331,10578576209.6018,15066427326.6883,18395416683.8318,30935786479.0778
Haiti,HTI,"Population, total",SP.POP.TOTL,8360225,8511728,8661546,8812245,8961489,9111900,9266288,9420826,9575247,9730638,9842880,9954312,10108539,10261206,10412740,10563757,10713849,10863543,11012421,11160438,11306801,11447569,11584996
Haiti,HTI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,18476349981.439,18825088588.8413,19305894330.9875,20359669456.0773,20647008652.6019,21883626443.3199,23092847751.3537,24817619085.8354,25973515216.3268,27695557256.6333,26464857343.8593,28421083478.0413,28430225571.7826,30770903952.9245,31400066068.2763,31121716603.0832,33740329297.4266,34898553350.8227,36304204752.1323,36327453896.9087,35537648923.297,36435008232.5219,38346797634.9995
Honduras,HND,"Population, total",SP.POP.TOTL,6656725,6837861,7019908,7201881,7383407,7564613,7745200,7924462,8101777,8277302,8450933,8622504,8792367,8960657,9127846,9294505,9460798,9626842,9792850,9958829,10121763,10278345,10432860
Honduras,HND,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,16489981943.9831,17270928444.3925,18119495900.194,19185327117.2087,20779706441.4082,22835465525.1433,25035171357.1606,27773885528.1795,29596899240.9045,29347467679.6956,29984357601.5414,31543206984.345,32434184466.3081,33877209105.7523,36670949177.8273,40958557201.2629,44378738267.0099,49236539040.6263,51379944315.9186,53661323998.9654,50006582940.2238,57934180748.8276,64937900505.7671
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7346100
"Hong Kong SAR, China",HKG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,189604452124.468,197867815964.486,200969454371.108,215223345797.095,239197589331.266,260784898902.045,292986040326.05,322976357796.176,344928261544.409,329370142960.759,352837599993.759,379780810643.688,378882956243.058,392752239125.688,404211342098.222,418904765973.878,430388834197.364,461647487796.236,488114728882.808,489945876552.516,467306093620.183,525143925276.168,543338378965.212
Hungary,HUN,"Population, total",SP.POP.TOTL,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9771141,9750149,9709891,9643048
