# Producing single letter transliterations, some with lengtheners
ạ	𞤢𞥈
Slowaki	𞤅𞤤𞤮𞤱𞤢𞤳𞤭
Sloveni	𞤅𞤤𞤮𞤾𞤫𞤲𞤭
Duundeere Suleymaani	𞤁𞤵𞥅𞤲𞤣𞤫𞥅𞤪𞤫 𞤅𞤵𞤤𞤫𞤴𞤥𞤢𞥄𞤲𞤭
Somali	𞤅𞤮𞤥𞤢𞤤𞤭
Afrik worgo	𞤀𞤬𞤪𞤭𞤳 𞤱𞤮𞤪𞤺𞤮
Espaañ	𞤉𞤧𞤨𞤢𞥄𞤻
Siri Lanka	𞤅𞤭𞤪𞤭 𞤂𞤢𞤲𞤳𞤢
Sudaan	𞤅𞤵𞤣𞤢𞥄𞤲
Sudaan worgo	𞤅𞤵𞤣𞤢𞥄𞤲 𞤱𞤮𞤪𞤺𞤮
Surinaam	𞤅𞤵𞤪𞤭𞤲𞤢𞥄𞤥
Suwed	𞤅𞤵𞤱𞤫𞤣
Siwis	𞤅𞤭𞤱𞤭𞤧
Siiri	𞤅𞤭𞥅𞤪𞤭
Taywaan	𞤚𞤢𞤴𞤱𞤢𞥄𞤲
Tajikistaan	𞤚𞤢𞤶𞤭𞤳𞤭𞤧𞤼𞤢𞥄𞤲
Tansani	𞤚𞤢𞤲𞤧𞤢𞤲𞤭
Taylande	𞤚𞤢𞤴𞤤𞤢𞤲𞥋𞤣𞤫
Togo	𞤚𞤮𞤺𞤮
Tonga	𞤚𞤮𞤲𞥋𞤺𞤢
Trinidad e Tobago	𞤚𞤪𞤭𞤲𞤭𞤣𞤢𞤣 𞤫 𞤚𞤮𞤦𞤢𞤺𞤮
Tuunus	𞤚𞤵𞥅𞤲𞤵𞤧
Paula	𞤆𞤢𞤵𞤤𞤢
Turkmenistaan	𞤚𞤵𞤪𞤳𞤥𞤫𞤲𞤭𞤧𞤼𞤢𞥄𞤲
Tuwaalu	𞤚𞤵𞤱𞤢𞥄𞤤𞤵
Uganndaa	𞤓𞤺𞤢𞤲𞤣𞤢𞥄
Ukrani	𞤓𞤳𞤪𞤢𞤲𞤭
Emiraaji Arab Dentuɗi	𞤉𞤥𞤭𞤪𞤢𞥄𞤶𞤭 𞤀𞤪𞤢𞤦 𞤁𞤫𞤲𞤼𞤵𞤯𞤭
Leydi Biritaan	𞤂𞤫𞤴𞤣𞤭 𞤄𞤭𞤪𞤭𞤼𞤢𞥄𞤲
Leyɗeele dentuɗe Amerik	𞤂𞤫𞤴𞤯𞤫𞥅𞤤𞤫 𞤣𞤫𞤲𞤼𞤵𞤯𞤫 𞤀𞤥𞤫𞤪𞤭𞤳
Duundeere Virgin Amerik	𞤁𞤵𞥅𞤲𞤣𞤫𞥅𞤪𞤫 𞤜𞤭𞤪𞤺𞤭𞤲 𞤀𞤥𞤫𞤪𞤭𞤳
Uruguwaay	𞤓𞤪𞤵𞤺𞤵𞤱𞤢𞥄𞤴
Usbekistaan	𞤓𞤧𞤦𞤫𞤳𞤭𞤧𞤼𞤢𞥄𞤲
Vanuatu	𞤜𞤢𞤲𞤵𞤢𞤼𞤵
Wuro Vatikan	𞤏𞤵𞤪𞤮 𞤜𞤢𞤼𞤭𞤳𞤢𞤲
Wenesuela	𞤏𞤫𞤲𞤫𞤧𞤵𞤫𞤤𞤢
Wiyetnaam	𞤏𞤭𞤴𞤫𞤼𞤲𞤢𞥄𞤥
Cisjordanie	𞤕𞤭𞤧𞤶𞤮𞤪𞤣𞤢𞤲𞤭𞤫
Yemen	𞤒𞤫𞤥𞤫𞤲
Sammbi	𞤅𞤢𞤲𞤦𞤭
Simmbaabuwee	𞤅𞤭𞤲𞤦𞤢𞥄𞤦𞤵𞤱𞤫𞥅

# Some longer test cases
Daartol Afrik e teeminannde 20siire ina saɗti	𞤁𞤢𞥄𞤪𞤼𞤮𞤤 𞤀𞤬𞤪𞤭𞤳 𞤫 𞤼𞤫𞥅𞤥𞤭𞤲𞤢𞤲𞤣𞤫 𞥒𞥐𞤧𞤭𞥅𞤪𞤫 𞤭𞤲𞤢 𞤧𞤢𞤯𞤼𞤭
O adat tan omo adda.	𞤌 𞤢𞤣𞤢𞤼 𞤼𞤢𞤲 𞤮𞤥𞤮 𞤢𞤣𞥆𞤢.
'Ɗum ko konngol jarriborgol e ɗemngal Fulfulde!'	'𞤍𞤵𞤥 𞤳𞤮 𞤳𞤮𞤲𞤺𞤮𞤤 𞤶𞤢𞤪𞥆𞤭𞤦𞤮𞤪𞤺𞤮𞤤 𞤫 𞤯𞤫𞤥𞤲𞤺𞤢𞤤 𞤊𞤵𞤤𞤬𞤵𞤤𞤣𞤫!'
'Miɗo jogii miñiraaɓe tato worɓe e miñiraaɓe rewɓe ɗiɗo. Enen fof eɗen nguuri e wuro wooto, ko ina wona waktuuji ɗiɗi e wuro men adanngo.'	'𞤃𞤭𞤯𞤮 𞤶𞤮𞤺𞤭𞥅 𞤥𞤭𞤻𞤭𞤪𞤢𞥄𞤩𞤫 𞤼𞤢𞤼𞤮 𞤱𞤮𞤪𞤩𞤫 𞤫 𞤥𞤭𞤻𞤭𞤪𞤢𞥄𞤩𞤫 𞤪𞤫𞤱𞤩𞤫 𞤯𞤭𞤯𞤮. 𞤉𞤲𞤫𞤲 𞤬𞤮𞤬 𞤫𞤯𞤫𞤲 𞤲𞤺𞤵𞥅𞤪𞤭 𞤫 𞤱𞤵𞤪𞤮 𞤱𞤮𞥅𞤼𞤮, 𞤳𞤮 𞤭𞤲𞤢 𞤱𞤮𞤲𞤢 𞤱𞤢𞤳𞤼𞤵𞥅𞤶𞤭 𞤯𞤭𞤯𞤭 𞤫 𞤱𞤵𞤪𞤮 𞤥𞤫𞤲 𞤢𞤣𞤢𞤲𞤺𞤮.'
