Id	Print_Name	Inverted_Name
fli	Fali	Fali
fll	North Fali	Fali, North
flm	Falam Chin	Chin, Falam
fln	Flinders Island	Flinders Island
flr	Fuliiru	Fuliiru
fly	Tsotsitaal	Tsotsitaal
fmp	Fe'fe'	Fe'fe'
fmu	Far Western Muria	Muria, Far Western
fng	Fanagalo	Fanagalo
fni	Fania	Fania
fod	Foodo	Foodo
foi	Foi	Foi
fom	Foma	Foma
fon	Fon	Fon
for	Fore	Fore
fos	Siraya	Siraya
fpe	Fernando Po Creole English	Creole English, Fernando Po
fqs	Fas	Fas
fra	French	French
frc	Cajun French	French, Cajun
frd	Fordata	Fordata
frk	Frankish	Frankish
frm	Middle French (ca. 1400-1600)	French, Middle (ca. 1400-1600)
fro	Old French (842-ca. 1400)	French, Old (842-ca. 1400)
frp	Franco-Provençal	Franco-Provençal
frq	Forak	Forak
frr	Northern Frisian	Frisian, Northern
frs	Eastern Frisian	Frisian, Eastern
frt	Fortsenal	Fortsenal
fry	Western Frisian	Frisian, Western
fse	Finnish Sign Language	Finnish Sign Language
fsl	French Sign Language	French Sign Language
fss	Finnish-Swedish Sign Language	Finnish-Swedish Sign Language
fub	Adamawa Fulfulde	Fulfulde, Adamawa
fuc	Pulaar	Pulaar
fud	East Futuna	Futuna, East
fue	Borgu Fulfulde	Fulfulde, Borgu
fuf	Pular	Pular
fuh	Western Niger Fulfulde	Fulfulde, Western Niger
fui	Bagirmi Fulfulde	Fulfulde, Bagirmi
fuj	Ko	Ko
ful	Fulah	Fulah
fum	Fum	Fum
fun	Fulniô	Fulniô
fuq	Central-Eastern Niger Fulfulde	Fulfulde, Central-Eastern Niger
fur	Friulian	Friulian
fut	Futuna-Aniwa	Futuna-Aniwa
fuu	Furu	Furu
fuv	Nigerian Fulfulde	Fulfulde, Nigerian
fuy	Fuyug	Fuyug
fvr	Fur	Fur
fwa	Fwâi	Fwâi
fwe	Fwe	Fwe
gaa	Ga	Ga
gab	Gabri	Gabri
gad	Gaddang	Gaddang
gae	Guarequena	Guarequena
gaf	Gende	Gende
gag	Gagauz	Gagauz
gah	Alekano	Alekano
gai	Borei	Borei
gaj	Gadsup	Gadsup
gak	Gamkonora	Gamkonora
gal	Galoli	Galoli
gam	Kandawo	Kandawo
gan	Gan Chinese	Chinese, Gan
gao	Gants	Gants
gap	Gal	Gal
gaq	Gata'	Gata'
gar	Galeya	Galeya
gas	Adiwasi Garasia	Garasia, Adiwasi
gat	Kenati	Kenati
gau	Mudhili Gadaba	Gadaba, Mudhili
gav	Gabutamon	Gabutamon
gaw	Nobonob	Nobonob
gax	Borana-Arsi-Guji Oromo	Oromo, Borana-Arsi-Guji
gay	Gayo	Gayo
gaz	West Central Oromo	Oromo, West Central
gba	Gbaya (Central African Republic)	Gbaya (Central African Republic)
gbb	Kaytetye	Kaytetye
gbc	Garawa	Garawa
gbd	Karadjeri	Karadjeri
gbe	Niksek	Niksek
gbf	Gaikundi	Gaikundi
gbg	Gbanziri	Gbanziri
gbh	Defi Gbe	Gbe, Defi
gbi	Galela	Galela
gbj	Bodo Gadaba	Gadaba, Bodo
gbk	Gaddi	Gaddi
gbl	Gamit	Gamit
gbm	Garhwali	Garhwali
gbn	Mo'da	Mo'da
gbo	Northern Grebo	Grebo, Northern
gbp	Gbaya-Bossangoa	Gbaya-Bossangoa
gbq	Gbaya-Bozoum	Gbaya-Bozoum
gbr	Gbagyi	Gbagyi
gbs	Gbesi Gbe	Gbe, Gbesi
gbu	Gagadu	Gagadu
gbv	Gbanu	Gbanu
gbx	Eastern Xwla Gbe	Gbe, Eastern Xwla
gby	Gbari	Gbari
gbz	Zoroastrian Dari	Dari, Zoroastrian
gcc	Mali	Mali
gcd	Ganggalida	Ganggalida
gce	Galice	Galice
gcf	Guadeloupean Creole French	Creole French, Guadeloupean
gcl	Grenadian Creole English	Creole English, Grenadian
gcn	Gaina	Gaina
gcr	Guianese Creole French	Creole French, Guianese
gct	Colonia Tovar German	German, Colonia Tovar
gda	Gade Lohar	Lohar, Gade
gdb	Pottangi Ollar Gadaba	Gadaba, Pottangi Ollar
gdc	Gugu Badhun	Gugu Badhun
gdd	Gedaged	Gedaged
gde	Gude	Gude
gdf	Guduf-Gava	Guduf-Gava
gdg	Ga'dang	Ga'dang
gdh	Gadjerawang	Gadjerawang
gdi	Gundi	Gundi
gdj	Gurdjar	Gurdjar
gdk	Gadang	Gadang
gdl	Dirasha	Dirasha
gdm	Laal	Laal
gdn	Umanakaina	Umanakaina
gdo	Ghodoberi	Ghodoberi
gdq	Mehri	Mehri
gdr	Wipi	Wipi
gdu	Gudu	Gudu
gdx	Godwari	Godwari
gea	Geruma	Geruma
geb	Kire	Kire
gec	Gboloo Grebo	Grebo, Gboloo
ged	Gade	Gade
geg	Gengle	Gengle
geh	Hutterite German	German, Hutterite
gei	Gebe	Gebe
gej	Gen	Gen
gek	Yiwom	Yiwom
gel	Kag-Fer-Jiir-Koor-Ror-Us-Zuksun	Kag-Fer-Jiir-Koor-Ror-Us-Zuksun
gen	Geman Deng	Geman Deng
geq	Geme	Geme
ges	Geser-Gorom	Geser-Gorom
gew	Gera	Gera
gex	Garre	Garre
gey	Enya	Enya
gez	Geez	Geez
gfk	Patpatar	Patpatar
gft	Gafat	Gafat
gga	Gao	Gao
ggb	Gbii	Gbii
ggd	Gugadj	Gugadj
gge	Guragone	Guragone
ggg	Gurgula	Gurgula
ggh	Garreh-Ajuran	Garreh-Ajuran
ggk	Kungarakany	Kungarakany
ggl	Ganglau	Ganglau
ggn	Eastern Gurung	Gurung, Eastern
ggo	Southern Gondi	Gondi, Southern
ggr	Aghu Tharnggalu	Aghu Tharnggalu
ggt	Gitua	Gitua
ggu	Gagu	Gagu
ggw	Gogodala	Gogodala
gha	Ghadamès	Ghadamès
ghc	Hiberno-Scottish Gaelic	Gaelic, Hiberno-Scottish
ghe	Southern Ghale	Ghale, Southern
ghh	Northern Ghale	Ghale, Northern
ghk	Geko Karen	Karen, Geko
ghl	Ghulfan	Ghulfan
ghn	Ghanongga	Ghanongga
gho	Ghomara	Ghomara
ghr	Ghera	Ghera
ghs	Guhu-Samane	Guhu-Samane
ght	Kutang Ghale	Ghale, Kutang
gia	Kitja	Kitja
gib	Gibanawa	Gibanawa
gic	Gail	Gail
gid	Gidar	Gidar
gig	Goaria	Goaria
gil	Gilbertese	Gilbertese
gim	Gimi (Eastern Highlands)	Gimi (Eastern Highlands)
gin	Hinukh	Hinukh
gio	Gelao	Gelao
gip	Gimi (West New Britain)	Gimi (West New Britain)
giq	Green Gelao	Gelao, Green
gir	Red Gelao	Gelao, Red
gis	North Giziga	Giziga, North
git	Gitxsan	Gitxsan
giw	White Gelao	Gelao, White
gix	Gilima	Gilima
giy	Giyug	Giyug
giz	South Giziga	Giziga, South
gji	Geji	Geji
gjk	Kachi Koli	Koli, Kachi
gjn	Gonja	Gonja
gju	Gujari	Gujari
gka	Guya	Guya
gke	Ndai	Ndai
gkn	Gokana	Gokana
gkp	Guinea Kpelle	Kpelle, Guinea
gla	Scottish Gaelic	Gaelic, Scottish
gla	Gaelic	Gaelic
glc	Bon Gula	Bon Gula
gld	Nanai	Nanai
gle	Irish	Irish
glg	Galician	Galician
glh	Northwest Pashayi	Pashayi, Northwest
gli	Guliguli	Guliguli
glj	Gula Iro	Gula Iro
glk	Gilaki	Gilaki
glo	Galambu	Galambu
glr	Glaro-Twabo	Glaro-Twabo
glu	Gula (Chad)	Gula (Chad)
glv	Manx	Manx
glw	Glavda	Glavda
gly	Gule	Gule
gma	Gambera	Gambera
gmb	Gula'alaa	Gula'alaa
gmd	Mághdì	Mághdì
gmh	Middle High German (ca. 1050-1500)	German, Middle High (ca. 1050-1500)
gmn	Gimnime	Gimnime
gmo	Gamo-Gofa-Dawro	Gamo-Gofa-Dawro
gmu	Gumalu	Gumalu
gmx	Magoma	Magoma
gmy	Mycenaean Greek	Greek, Mycenaean
gna	Kaansa	Kaansa
gnb	Gangte	Gangte
gnc	Guanche	Guanche
gnd	Zulgo-Gemzek	Zulgo-Gemzek
gng	Ngangam	Ngangam
gnh	Lere	Lere
gni	Gooniyandi	Gooniyandi
gnk	//Gana	//Gana
gnl	Gangulu	Gangulu
gnm	Ginuman	Ginuman
gnn	Gumatj	Gumatj
gno	Northern Gondi	Gondi, Northern
gnq	Gana	Gana
gnr	Gureng Gureng	Gureng Gureng
gnt	Guntai	Guntai
gnu	Gnau	Gnau
gnw	Western Bolivian Guaraní	Guaraní, Western Bolivian
gnz	Ganzi	Ganzi
goa	Guro	Guro
gob	Playero	Playero
goc	Gorakor	Gorakor
god	Godié	Godié
goe	Gongduk	Gongduk
gog	Gogo	Gogo
goh	Old High German (ca. 750-1050)	German, Old High (ca. 750-1050)
goi	Gobasi	Gobasi
goj	Gowlan	Gowlan
gok	Gowli	Gowli
gol	Gola	Gola
gom	Goanese Konkani	Konkani, Goanese
gon	Gondi	Gondi
goo	Gone Dau	Gone Dau
gop	Yeretuar	Yeretuar
goq	Gorap	Gorap
gor	Gorontalo	Gorontalo
gos	Gronings	Gronings
got	Gothic	Gothic
gou	Gavar	Gavar
gow	Gorowa	Gorowa
gox	Gobu	Gobu
goy	Goundo	Goundo
goz	Gozarkhani	Gozarkhani
gpa	Gupa-Abawa	Gupa-Abawa
gpn	Taiap	Taiap
gqa	Ga'anda	Ga'anda
gqi	Guiqiong	Guiqiong
gqn	Guana (Brazil)	Guana (Brazil)
gqr	Gor	Gor
gra	Rajput Garasia	Garasia, Rajput
grb	Grebo	Grebo
grc	Ancient Greek (to 1453)	Greek, Ancient (to 1453)
grd	Guruntum-Mbaaru	Guruntum-Mbaaru
grg	Madi	Madi
grh	Gbiri-Niragu	Gbiri-Niragu
gri	Ghari	Ghari
grj	Southern Grebo	Grebo, Southern
grm	Kota Marudu Talantang	Kota Marudu Talantang
grn	Guarani	Guarani
gro	Groma	Groma
grq	Gorovu	Gorovu
grr	Taznatit	Taznatit
grs	Gresi	Gresi
grt	Garo	Garo
gru	Kistane	Kistane
grv	Central Grebo	Grebo, Central
grw	Gweda	Gweda
grx	Guriaso	Guriaso
gry	Barclayville Grebo	Grebo, Barclayville
grz	Guramalum	Guramalum
gsc	Gascon	Gascon
gse	Ghanaian Sign Language	Ghanaian Sign Language
gsg	German Sign Language	German Sign Language
gsl	Gusilay	Gusilay
gsm	Guatemalan Sign Language	Guatemalan Sign Language
gsn	Gusan	Gusan
gsp	Wasembo	Wasembo
gss	Greek Sign Language	Greek Sign Language
gsw	Swiss German	German, Swiss
gsw	Alemannic	Alemannic
gta	Guató	Guató
gti	Gbati-ri	Gbati-ri
gua	Shiki	Shiki
gub	Guajajára	Guajajára
guc	Wayuu	Wayuu
gud	Yocoboué Dida	Dida, Yocoboué
gue	Gurinji	Gurinji
guf	Gupapuyngu	Gupapuyngu
gug	Paraguayan Guaraní	Guaraní, Paraguayan
guh	Guahibo	Guahibo
gui	Eastern Bolivian Guaraní	Guaraní, Eastern Bolivian
guj	Gujarati	Gujarati
guk	Gumuz	Gumuz
gul	Sea Island Creole English	Creole English, Sea Island
gum	Guambiano	Guambiano
gun	Mbyá Guaraní	Guaraní, Mbyá
guo	Guayabero	Guayabero
gup	Gunwinggu	Gunwinggu
guq	Aché	Aché
gur	Farefare	Farefare
gus	Guinean Sign Language	Guinean Sign Language
gut	Maléku Jaíka	Maléku Jaíka
guu	Yanomamö	Yanomamö
guv	Gey	Gey
guw	Gun	Gun
gux	Gourmanchéma	Gourmanchéma
guz	Gusii	Gusii
gva	Guana (Paraguay)	Guana (Paraguay)
gvc	Guanano	Guanano
gve	Duwet	Duwet
gvf	Golin	Golin
gvj	Guajá	Guajá
gvl	Gulay	Gulay
gvm	Gurmana	Gurmana
gvn	Kuku-Yalanji	Kuku-Yalanji
gvo	Gavião Do Jiparaná	Gavião Do Jiparaná
gvp	Pará Gavião	Gavião, Pará
gvr	Western Gurung	Gurung, Western
gvs	Gumawana	Gumawana
gvy	Guyani	Guyani
gwa	Mbato	Mbato
gwb	Gwa	Gwa
gwc	Kalami	Kalami
gwd	Gawwada	Gawwada
gwe	Gweno	Gweno
gwf	Gowro	Gowro
gwg	Moo	Moo
gwi	Gwichʼin	Gwichʼin
gwj	/Gwi	/Gwi
gwn	Gwandara	Gwandara
gwr	Gwere	Gwere
gwt	Gawar-Bati	Gawar-Bati
gwu	Guwamu	Guwamu
gww	Kwini	Kwini
gwx	Gua	Gua
gxx	Wè Southern	Wè Southern
gya	Northwest Gbaya	Gbaya, Northwest
gyb	Garus	Garus
gyd	Kayardild	Kayardild
gye	Gyem	Gyem
gyf	Gungabula	Gungabula
gyg	Gbayi	Gbayi
gyi	Gyele	Gyele
gym	Ngäbere	Ngäbere
gyn	Guyanese Creole English	Creole English, Guyanese
gyr	Guarayu	Guarayu
gyy	Gunya	Gunya
gza	Ganza	Ganza
gzi	Gazi	Gazi
gzn	Gane	Gane
haa	Han	Han
hab	Hanoi Sign Language	Hanoi Sign Language
hac	Gurani	Gurani
had	Hatam	Hatam
hae	Eastern Oromo	Oromo, Eastern
haf	Haiphong Sign Language	Haiphong Sign Language
hag	Hanga	Hanga
hah	Hahon	Hahon
hai	Haida	Haida
haj	Hajong	Hajong
hak	Hakka Chinese	Chinese, Hakka
hal	Halang	Halang
ham	Hewa	Hewa
han	Hangaza	Hangaza
hao	Hakö	Hakö
hap	Hupla	Hupla
haq	Ha	Ha
har	Harari	Harari
has	Haisla	Haisla
hat	Haitian	Haitian
hat	Haitian Creole	Creole, Haitian
hau	Hausa	Hausa
hav	Havu	Havu
haw	Hawaiian	Hawaiian
hax	Southern Haida	Haida, Southern
hay	Haya	Haya
haz	Hazaragi	Hazaragi
hba	Hamba	Hamba
hbb	Huba	Huba
hbn	Heiban	Heiban
hbo	Ancient Hebrew	Hebrew, Ancient
hbs	Serbo-Croatian	Serbo-Croatian
hbu	Habu	Habu
hca	Andaman Creole Hindi	Creole Hindi, Andaman
hch	Huichol	Huichol
hdn	Northern Haida	Haida, Northern
hds	Honduras Sign Language	Honduras Sign Language
hdy	Hadiyya	Hadiyya
hea	Northern Qiandong Hmong	Hmong, Northern Qiandong
heb	Hebrew	Hebrew
hed	Herdé	Herdé
heg	Helong	Helong
heh	Hehe	Hehe
hei	Heiltsuk	Heiltsuk
hem	Hemba	Hemba
her	Herero	Herero
hgm	Hai//om	Hai//om
hgw	Haigwai	Haigwai
hhr	Kerak	Kerak
hia	Lamang	Lamang
hib	Hibito	Hibito
hid	Hidatsa	Hidatsa
hif	Fijian Hindustani	Hindustani, Fijian
hig	Kamwe	Kamwe
hih	Pamosu	Pamosu
hii	Hinduri	Hinduri
hij	Hijuk	Hijuk
hik	Seit-Kaitetu	Seit-Kaitetu
hil	Hiligaynon	Hiligaynon
hin	Hindi	Hindi
hio	Tsoa	Tsoa
hir	Himarimã	Himarimã
hit	Hittite	Hittite
hiw	Hiw	Hiw
hix	Hixkaryána	Hixkaryána
hka	Kahe	Kahe
hke	Hunde	Hunde
hla	Halia	Halia
hlb	Halbi	Halbi
hld	Halang Doan	Halang Doan
hlt	Nga La	Nga La
hlu	Hieroglyphic Luwian	Luwian, Hieroglyphic
hma	Southern Mashan Hmong	Hmong, Southern Mashan
hmb	Humburi Senni Songhay	Songhay, Humburi Senni
hmc	Central Huishui Hmong	Hmong, Central Huishui
hmd	Northeastern Dian Hmong	Hmong, Northeastern Dian
hme	Eastern Huishui Hmong	Hmong, Eastern Huishui
hmf	Hmong Don	Hmong Don
hmg	Southwestern Guiyang Hmong	Hmong, Southwestern Guiyang
hmh	Southwestern Huishui Hmong	Hmong, Southwestern Huishui
hmi	Northern Huishui Hmong	Hmong, Northern Huishui
hmj	Chonganjiang Hmong	Hmong, Chonganjiang
hmk	Maek	Maek
hml	Luopohe Hmong	Hmong, Luopohe
hmm	Central Mashan Hmong	Hmong, Central Mashan
hmn	Hmong	Hmong
hmo	Hiri Motu	Hiri Motu
hmp	Northern Mashan Hmong	Hmong, Northern Mashan
hmq	Eastern Qiandong Hmong	Hmong, Eastern Qiandong
hmr	Hmar	Hmar
hms	Southern Qiandong Hmong	Hmong, Southern Qiandong
hmt	Hamtai	Hamtai
hmu	Hamap	Hamap
hmv	Hmong Dô	Hmong Dô
hmw	Western Mashan Hmong	Hmong, Western Mashan
hmy	Southern Guiyang Hmong	Hmong, Southern Guiyang
hmz	Hmong Shua	Hmong Shua
hna	Mina (Cameroon)	Mina (Cameroon)
hnd	Southern Hindko	Hindko, Southern
hne	Chhattisgarhi	Chhattisgarhi
hnh	//Ani	//Ani
hni	Hani	Hani
hnn	Hanunoo	Hanunoo
hno	Northern Hindko	Hindko, Northern
hns	Caribbean Hindustani	Hindustani, Caribbean
hnu	Hung	Hung
hoa	Hoava	Hoava
hob	Mari (Madang Province)	Mari (Madang Province)
hoc	Ho	Ho
hod	Holma	Holma
hoe	Horom	Horom
hoh	Hobyót	Hobyót
hoi	Holikachuk	Holikachuk
hoj	Harauti	Harauti
hol	Holu	Holu
hom	Homa	Homa
hoo	Holoholo	Holoholo
hop	Hopi	Hopi
hor	Horo	Horo
hos	Ho Chi Minh City Sign Language	Ho Chi Minh City Sign Language
hot	Hote	Hote
hov	Hovongan	Hovongan
how	Honi	Honi
hoy	Holiya	Holiya
hoz	Hozo	Hozo
hpo	Hpon	Hpon
hps	Hawai'i Pidgin Sign Language	Hawai'i Pidgin Sign Language
hra	Hrangkhol	Hrangkhol
hre	Hre	Hre
hrk	Haruku	Haruku
hro	Haroi	Haroi
hrr	Horuru	Horuru
hrt	Hértevin	Hértevin
hru	Hruso	Hruso
hrv	Croatian	Croatian
hrz	Harzani	Harzani
hsb	Upper Sorbian	Sorbian, Upper
hsf	Southeastern Huastec	Huastec, Southeastern
hsh	Hungarian Sign Language	Hungarian Sign Language
hsl	Hausa Sign Language	Hausa Sign Language
hsn	Xiang Chinese	Chinese, Xiang
hss	Harsusi	Harsusi
hti	Hoti	Hoti
hto	Minica Huitoto	Huitoto, Minica
hts	Hadza	Hadza
htu	Hitu	Hitu
htx	Middle Hittite	Hittite, Middle
hub	Huambisa	Huambisa
huc	=/Hua	=/Hua
hud	Huaulu	Huaulu
hue	San Francisco Del Mar Huave	Huave, San Francisco Del Mar
huf	Humene	Humene
hug	Huachipaeri	Huachipaeri
huh	Huilliche	Huilliche
hui	Huli	Huli
huj	Northern Guiyang Hmong	Hmong, Northern Guiyang
huk	Hulung	Hulung
hul	Hula	Hula
hum	Hungana	Hungana
hun	Hungarian	Hungarian
huo	Hu	Hu
hup	Hupa	Hupa
huq	Tsat	Tsat
hur	Halkomelem	Halkomelem
hus	Veracruz Huastec	Huastec, Veracruz
hut	Humla	Humla
huu	Murui Huitoto	Huitoto, Murui
huv	San Mateo Del Mar Huave	Huave, San Mateo Del Mar
huw	Hukumina	Hukumina
hux	Nüpode Huitoto	Huitoto, Nüpode
huy	Hulaulá	Hulaulá
huz	Hunzib	Hunzib
hva	San Luís Potosí Huastec	Huastec, San Luís Potosí
hvc	Haitian Vodoun Culture Language	Haitian Vodoun Culture Language
hve	San Dionisio Del Mar Huave	Huave, San Dionisio Del Mar
hvk	Haveke	Haveke
hvn	Sabu	Sabu
hvv	Santa María Del Mar Huave	Huave, Santa María Del Mar
hwa	Wané	Wané
hwc	Hawai'i Creole English	Creole English, Hawai'i
hwo	Hwana	Hwana
hya	Hya	Hya
hye	Armenian	Armenian
iai	Iaai	Iaai
ian	Iatmul	Iatmul
iap	Iapama	Iapama
iar	Purari	Purari
iba	Iban	Iban
ibb	Ibibio	Ibibio
ibd	Iwaidja	Iwaidja
ibe	Akpes	Akpes
ibg	Ibanag	Ibanag
ibi	Ibilo	Ibilo
ibl	Ibaloi	Ibaloi
ibm	Agoi	Agoi
ibn	Ibino	Ibino
ibo	Igbo	Igbo
ibr	Ibuoro	Ibuoro
ibu	Ibu	Ibu
iby	Ibani	Ibani
ica	Ede Ica	Ede Ica
ich	Etkywan	Etkywan
icl	Icelandic Sign Language	Icelandic Sign Language
icr	Islander Creole English	Creole English, Islander
ida	Idakho-Isukha-Tiriki	Idakho-Isukha-Tiriki
idb	Indo-Portuguese	Indo-Portuguese
idc	Idon	Idon
idd	Ede Idaca	Ede Idaca
ide	Idere	Idere
idi	Idi	Idi
ido	Ido	Ido
idr	Indri	Indri
ids	Idesa	Idesa
idt	Idaté	Idaté
idu	Idoma	Idoma
ifa	Amganad Ifugao	Ifugao, Amganad
ifb	Batad Ifugao	Ifugao, Batad
ife	Ifè	Ifè
iff	Ifo	Ifo
ifk	Tuwali Ifugao	Ifugao, Tuwali
ifm	Teke-Fuumu	Teke-Fuumu
ifu	Mayoyao Ifugao	Ifugao, Mayoyao
ify	Keley-I Kallahan	Kallahan, Keley-I
igb	Ebira	Ebira
ige	Igede	Igede
igg	Igana	Igana
igl	Igala	Igala
igm	Kanggape	Kanggape
ign	Ignaciano	Ignaciano
igo	Isebe	Isebe
igs	Interglossa	Interglossa
igw	Igwe	Igwe
ihb	Iha Based Pidgin	Iha Based Pidgin
ihi	Ihievbe	Ihievbe
ihp	Iha	Iha
iii	Sichuan Yi	Yi, Sichuan
ijc	Izon	Izon
ije	Biseni	Biseni
ijj	Ede Ije	Ede Ije
ijn	Kalabari	Kalabari
ijs	Southeast Ijo	Ijo, Southeast
ike	Eastern Canadian Inuktitut	Inuktitut, Eastern Canadian
iki	Iko	Iko
ikk	Ika	Ika
ikl	Ikulu	Ikulu
iko	Olulumo-Ikom	Olulumo-Ikom
ikp	Ikpeshi	Ikpeshi
ikt	Western Canadian Inuktitut	Inuktitut, Western Canadian
iku	Inuktitut	Inuktitut
ikv	Iku-Gora-Ankwa	Iku-Gora-Ankwa
ikw	Ikwere	Ikwere
ikx	Ik	Ik
ikz	Ikizu	Ikizu
ila	Ile Ape	Ile Ape
ilb	Ila	Ila
ile	Interlingue	Interlingue
ilg	Garig-Ilgar	Garig-Ilgar
ili	Ili Turki	Ili Turki
ilk	Ilongot	Ilongot
ill	Iranun	Iranun
ilo	Iloko	Iloko
ilu	Ili'uun	Ili'uun
ilv	Ilue	Ilue
ilw	Talur	Talur
ime	Imeraguen	Imeraguen
imi	Anamgura	Anamgura
iml	Miluk	Miluk
imn	Imonda	Imonda
imo	Imbongu	Imbongu
imr	Imroing	Imroing
ims	Marsian	Marsian
imy	Milyan	Milyan
ina	Interlingua (International Auxiliary Language Association)	Interlingua (International Auxiliary Language Association)
inb	Inga	Inga
ind	Indonesian	Indonesian
ing	Degexit'an	Degexit'an
inh	Ingush	Ingush
inj	Jungle Inga	Inga, Jungle
inl	Indonesian Sign Language	Indonesian Sign Language
inm	Minaean	Minaean
inn	Isinai	Isinai
ino	Inoke-Yate	Inoke-Yate
inp	Iñapari	Iñapari
ins	Indian Sign Language	Indian Sign Language
int	Intha	Intha
inz	Ineseño	Ineseño
ior	Inor	Inor
iou	Tuma-Irumu	Tuma-Irumu
iow	Iowa-Oto	Iowa-Oto
ipi	Ipili	Ipili
ipk	Inupiaq	Inupiaq
ipo	Ipiko	Ipiko
iqu	Iquito	Iquito
ire	Iresim	Iresim
irh	Irarutu	Irarutu
iri	Irigwe	Irigwe
irk	Iraqw	Iraqw
irn	Irántxe	Irántxe
irr	Ir	Ir
iru	Irula	Irula
irx	Kamberau	Kamberau
iry	Iraya	Iraya
isa	Isabi	Isabi
isc	Isconahua	Isconahua
isd	Isnag	Isnag
ise	Italian Sign Language	Italian Sign Language
isg	Irish Sign Language	Irish Sign Language
ish	Esan	Esan
isi	Nkem-Nkum	Nkem-Nkum
isl	Icelandic	Icelandic
ism	Masimasi	Masimasi
isn	Isanzu	Isanzu
iso	Isoko	Isoko
isr	Israeli Sign Language	Israeli Sign Language
ist	Istriot	Istriot
isu	Isu (Menchum Division)	Isu (Menchum Division)
ita	Italian	Italian
itb	Binongan Itneg	Itneg, Binongan
ite	Itene	Itene
iti	Inlaod Itneg	Itneg, Inlaod
itk	Judeo-Italian	Judeo-Italian
itl	Itelmen	Itelmen
itm	Itu Mbon Uzo	Itu Mbon Uzo
ito	Itonama	Itonama
itr	Iteri	Iteri
its	Isekiri	Isekiri
itt	Maeng Itneg	Itneg, Maeng
itu	Itutang	Itutang
itv	Itawit	Itawit
itw	Ito	Ito
itx	Itik	Itik
ity	Moyadan Itneg	Itneg, Moyadan
itz	Itzá	Itzá
ium	Iu Mien	Mien, Iu
ivb	Ibatan	Ibatan
ivv	Ivatan	Ivatan
iwk	I-Wak	I-Wak
iwm	Iwam	Iwam
iwo	Iwur	Iwur
iws	Sepik Iwam	Iwam, Sepik
ixc	Ixcatec	Ixcatec
ixi	Nebaj Ixil	Ixil, Nebaj
ixj	Chajul Ixil	Ixil, Chajul
ixl	San Juan Cotzal Ixil	Ixil, San Juan Cotzal
iya	Iyayu	Iyayu
iyo	Mesaka	Mesaka
iyx	Yaka (Congo)	Yaka (Congo)
izh	Ingrian	Ingrian
izi	Izi-Ezaa-Ikwo-Mgbo	Izi-Ezaa-Ikwo-Mgbo
jaa	Jamamadí	Jamamadí
jab	Hyam	Hyam
jac	Eastern Jacalteco	Jacalteco, Eastern
jad	Jahanka	Jahanka
jae	Yabem	Yabem
jaf	Jara	Jara
jah	Jah Hut	Jah Hut
jai	Western Jacalteco	Jacalteco, Western
jaj	Zazao	Zazao
jak	Jakun	Jakun
jal	Yalahatan	Yalahatan
jam	Jamaican Creole English	Creole English, Jamaican
jao	Yanyuwa	Yanyuwa
jap	Jaruára	Jaruára
jaq	Yaqay	Yaqay
jar	Jarawa (Nigeria)	Jarawa (Nigeria)
jas	New Caledonian Javanese	Javanese, New Caledonian
jat	Jakati	Jakati
jau	Yaur	Yaur
jav	Javanese	Javanese
jax	Jambi Malay	Malay, Jambi
jay	Jarnango	Jarnango
jaz	Jawe	Jawe
jbe	Judeo-Berber	Judeo-Berber
jbj	Arandai	Arandai
jbn	Nafusi	Nafusi
jbo	Lojban	Lojban
jbt	Jabutí	Jabutí
jbu	Jukun Takum	Jukun Takum
jcs	Jamaican Country Sign Language	Jamaican Country Sign Language
jct	Judeo-Crimean Tatar	Judeo-Crimean Tatar
jda	Jad	Jad
jdg	Jadgali	Jadgali
jdt	Judeo-Tat	Judeo-Tat
jeb	Jebero	Jebero
jee	Jerung	Jerung
jeg	Jeng	Jeng
jeh	Jeh	Jeh
jei	Yei	Yei
jek	Jeri Kuo	Jeri Kuo
jel	Yelmek	Yelmek
jen	Dza	Dza
jer	Jere	Jere
jet	Manem	Manem
jeu	Jonkor Bourmataguil	Jonkor Bourmataguil
jgb	Ngbee	Ngbee
jge	Judeo-Georgian	Judeo-Georgian
jgo	Ngomba	Ngomba
jhi	Jehai	Jehai
jia	Jina	Jina
jib	Jibu	Jibu
jic	Tol	Tol
jid	Bu	Bu
jie	Jilbe	Jilbe
jig	Djingili	Djingili
jih	Shangzhai	Shangzhai
jii	Jiiddu	Jiiddu
jil	Jilim	Jilim
jim	Jimi (Cameroon)	Jimi (Cameroon)
jio	Jiamao	Jiamao
jiq	Guanyinqiao	Guanyinqiao
jit	Jita	Jita
jiu	Youle Jinuo	Jinuo, Youle
jiv	Shuar	Shuar
jiy	Buyuan Jinuo	Jinuo, Buyuan
jko	Kubo	Kubo
jku	Labir	Labir
jle	Ngile	Ngile
jma	Dima	Dima
jmb	Zumbun	Zumbun
jmc	Machame	Machame
jmd	Yamdena	Yamdena
jmi	Jimi (Nigeria)	Jimi (Nigeria)
jml	Jumli	Jumli
jmr	Kamara	Kamara
jms	Mashi (Nigeria)	Mashi (Nigeria)
jmx	Western Juxtlahuaca Mixtec	Mixtec, Western Juxtlahuaca
jna	Jangshung	Jangshung
jnd	Jandavra	Jandavra
jng	Yangman	Yangman
jni	Janji	Janji
jnj	Yemsa	Yemsa
