#Lcode	LanguageName	Status	Scode	ScriptName	References
rej	Rejang	secondary	Rjng	Rejang	
ria	Riang (India)	primary	Latn	Latin	
rjs	Rajbanshi	primary	Deva	Devanagari	
rkt	Rangpuri	primary	Beng	Bengali	
rm	Rhaeto-Romance	primary	Latn	Latin	
rmf	Kalo Finnish Romani	primary	Latn	Latin	
rmo	Sinte Romani	primary	Latn	Latin	
rmt	Domari	primary	Arab	Arabic	
rmu	Tavringer Romani	primary	Latn	Latin	"No information.  Based on Swedish, so if it was written down, Latn would be used."
rn	Rundi	primary	Latn	Latin	
rng	Ronga	primary	Latn	Latin	
ro	Romanian	primary	Latn	Latin	
ro	Romanian	secondary	Cyrl	Cyrillic	
rob	Tae'	primary	Latn	Latin	
rof	Rombo	primary	Latn	Latin	
rom	Romany	primary	Cyrl	Cyrillic	
rom	Romany	primary	Latn	Latin	
ru	Russian	primary	Cyrl	Cyrillic	
rue	Rusyn	primary	Cyrl	Cyrillic	
rup	Aromanian	primary	Latn	Latin	
rw	Kinyarwanda	primary	Latn	Latin	
rwk	Rwa	primary	Latn	Latin	
ryu	Central Okinawan	primary	Kana	Katakana	
sa	Sanskrit	secondary	Deva	Devanagari	
sa	Sanskrit	secondary	Gran	Grantha	
sa	Sanskrit	secondary	Shrd	Sharada	
sa	Sanskrit	secondary	Sidd	Siddham	
sa	Sanskrit	secondary	Sinh	Sinhala	
sad	Sandawe	primary	Latn	Latin	Tanzania
saf	Safaliba	primary	Latn	Latin	
sah	Yakut	primary	Cyrl	Cyrillic	
sam	Samaritan	secondary	Hebr	Hebrew	
sam	Samaritan Aramaic	secondary	Samr	Samaritan	
saq	Samburu	primary	Latn	Latin	
sas	Sasak	primary	Latn	Latin	
sat	Santali	primary	Latn	Latin	
sat	Santali	secondary	Beng	Bengali	
sat	Santali	secondary	Deva	Devanagari	
sat	Santali	secondary	Olck	Ol Chiki	
sat	Santali	secondary	Orya	Oriya	
saz	Saurashtra	primary	Saur	Saurashtra	
sbp	Sangu	primary	Latn	Latin	
sc	Sardinian	primary	Latn	Latin	
scn	Sicilian	primary	Latn	Latin	
sco	Scots	primary	Latn	Latin	
scs	North Slavey	primary	Latn	Latin	
sd	Sindhi	primary	Arab	Arabic	
sd	Sindhi	primary	Deva	Devanagari	
sd	Sindhi	secondary	Khoj	Khojki	
sd	Sindhi	secondary	Sind	Khudawadi	
sdh	Southern Kurdish	primary	Arab	Arabic	www.amar.org.ir
se	Northern Sami	primary	Latn	Latin	
se	Northern Sami	secondary	Cyrl	Cyrillic	
see	Seneca	primary	Latn	Latin	
sef	Cebaara Senoufo	primary	Latn	Latin	
seh	Sena	primary	Latn	Latin	
sel	Selkup	secondary	Cyrl	Cyrillic	
ses	Koyraboro Senni	primary	Latn	Latin	
sg	Sango	primary	Latn	Latin	
sga	Irish (Ancient)	secondary	Latn Ogam	"Latin, Ogham"	
shi	Tachelhit	primary	Arab	Arabic	
shi	Tachelhit	primary	Latn	Latin	
shi	Tachelhit	primary	Tfng	Tifinagh	
shn	Shan	primary	Mymr	Myanmar	
si	Sinhalese	primary	Sinh	Sinhala	
sid	Sidamo	primary	Latn	Latin	
sk	Slovak	primary	Latn	Latin	
sl	Slovenian	primary	Latn	Latin	
sm	Samoan	primary	Latn	Latin	
sma	Southern Sami	primary	Latn	Latin	
smj	Lule Sami	primary	Latn	Latin	
smn	Inari Sami	primary	Latn	Latin	
smp	Samaritan	secondary	Samr	Samaritan	
sms	Skolt Sami	primary	Latn	Latin	
sn	Shona	primary	Latn	Latin	
snk	Soninke	primary	Latn	Latin	
so	Somali	primary	Latn	Latin	
so	Somali	secondary	Arab	Arabic	
so	Somali	secondary	Osma	Osmanya	
sq	Albanian	primary	Latn	Latin	
sq	Albanian	secondary	Elba	Elbasan	
sr	Serbian	primary	Cyrl	Cyrillic	
sr	Serbian	primary	Latn	Latin	
srb	Sora	primary	Latn	Latin	
srb	Sora	secondary	Sora	Sora Sompeng	
srn	Sranan	primary	Latn	Latin	
srr	Serer-Sine	primary	Latn	Latin	
srx	Sirmauri	primary	Deva	Devanagari	
ss	Swati	primary	Latn	Latin	
ssy	Saho	primary	Latn	Latin	
st	Southern Sotho	primary	Latn	Latin	
su	Sundanese	primary	Latn	Latin	
su	Sundanese	secondary	Sund	Sundanese	
suk	Sukuma	primary	Latn	Latin	
sus	Susu	primary	Latn	Latin	
sus	Susu	secondary	Arab	Arabic	
sv	Swedish	primary	Latn	Latin	
sw	Swahili	primary	Latn	Latin	
swb	Comorian	primary	Arab	Arabic	http://en.wikipedia.org/wiki/Comorian_language
swb	Comorian	secondary	Latn	Latin	http://en.wikipedia.org/wiki/Comorian_language
swc	Congo Swahili	primary	Latn	Latin	
sxn	Sangir	primary	Latn	Latin	
syi	Seki	primary	Latn	Latin	not written with any script.  Latn is generally used to write Bantu languages.
syl	Sylheti	primary	Beng	Bengali	
syl	Sylheti	secondary	Sylo	Syloti Nagri	
syr	Syriac	secondary	Syrc	Syriac	
ta	Tamil	primary	Taml	Tamil	
tab	Tabassaran	primary	Cyrl	Cyrillic	
taj	Eastern Tamang	primary	Deva	Devanagari	"Principally spoken in Nepal, so Deva is probably the main script."
taj	Eastern Tamang	secondary	Tibt	Tibetan	
tbw	Tagbanwa	primary	Latn	Latin	
tbw	Tagbanwa	secondary	Tagb	Tagbanwa	
tcy	Tulu	primary	Knda	Kannada	
tdd	Tai Nüa	primary	Tale	Tai Le	
tdg	Western Tamang	primary	Deva	Devanagari	"Deva or Tibt. Principally spoken in Nepal, so Deva is probably the main script."
tdh	Thulung	primary	Deva	Devanagari	
te	Telugu	primary	Telu	Telugu	
tem	Timne	primary	Latn	Latin	
teo	Teso	primary	Latn	Latin	
ter	Tereno	primary	Latn	Latin	Brazil
tet	Tetum	primary	Latn	Latin	
tg	Tajik	primary	Arab	Arabic	
tg	Tajik	primary	Cyrl	Cyrillic	
tg	Tajik	primary	Latn	Latin	
th	Thai	primary	Thai	Thai	
thl	Dangaura Tharu	primary	Deva	Devanagari	
thq	Kochila Tharu	primary	Deva	Devanagari	
thr	Rana Tharu	primary	Deva	Devanagari	
ti	Tigrinya	primary	Ethi	Ethiopic	
tig	Tigre	primary	Ethi	Ethiopic	
tiv	Tiv	primary	Latn	Latin	
tk	Turkmen	primary	Arab	Arabic	
tk	Turkmen	primary	Cyrl	Cyrillic	
tk	Turkmen	primary	Latn	Latin	
tkl	Tokelau	primary	Latn	Latin	
tkt	Kathoriya Tharu	primary	Deva	Devanagari	
tli	Tlingit	primary	Latn	Latin	
tmh	Tamashek	primary	Latn	Latin	
tn	Tswana	primary	Latn	Latin	
to	Tonga (Tonga Islands)	primary	Latn	Latin	
tog	Nyasa Tonga	primary	Latn	Latin	Malawi; likely Latin if anything
tpi	Tok Pisin	primary	Latn	Latin	
tr	Turkish	primary	Latn	Latin	
tr	Turkish	secondary	Arab	Arabic	
tru	Turoyo	primary	Latn	Latin	
tru	Turoyo	secondary	Syrc	Syriac	
trv	Taroko	primary	Latn	Latin	
ts	Tsonga	primary	Latn	Latin	
tsf	Southwestern Tamang	primary	Deva	Devanagari	
tsg	Tausug	primary	Latn	Latin	http://members.aol.com/linggwistik/ http://www.ethnologue.com/show_language.asp?code=tsg
tsi	Tsimshian	primary	Latn	Latin	
tsj	Tshangla	primary	Tibt	Tibetan	
tt	Tatar	primary	Cyrl	Cyrillic	
ttj	Tooro	primary	Latn	Latin	
tts	Northeastern Thai	primary	Thai	Thai	http://en.wikipedia.org/wiki/Isan_language
tum	Tumbuka	primary	Latn	Latin	
tvl	Tuvalu	primary	Latn	Latin	
twq	Tasawaq	primary	Latn	Latin	
ty	Tahitian	primary	Latn	Latin	
tyv	Tuvinian	primary	Cyrl	Cyrillic	
tzm	Central Atlas Tamazight	primary	Latn	Latin	
tzm	Central Atlas Tamazight	primary	Tfng	Tifinagh (Berber)	
ude	Udihe	primary	Cyrl	Cyrillic	
udm	Udmurt	primary	Cyrl	Cyrillic	
udm	Udmurt	secondary	Latn	Latin	
ug	Uighur	primary	Arab	Arabic	
ug	Uighur	primary	Cyrl	Cyrillic	
ug	Uighur	secondary	Latn	Latin	
uga	Ugaritic	secondary	Ugar	Ugaritic	
uk	Ukrainian	primary	Cyrl	Cyrillic	
uli	Ulithian	primary	Latn	Latin	
umb	Umbundu	primary	Latn	Latin	
unr	Mundari	primary	Beng	Bengali	
unr	Mundari	primary	Deva	Devanagari	
unx	Munda	primary	Beng	Bengali	
unx	Munda	primary	Deva	Devanagari	
ur	Urdu	primary	Arab	Arabic	
uz	Uzbek	primary	Arab	Arabic	
uz	Uzbek	primary	Cyrl	Cyrillic	
uz	Uzbek	primary	Latn	Latin	
vai	Vai	primary	Latn	Vai	
vai	Vai	primary	Vaii	Vai	
ve	Venda	primary	Latn	Latin	
vi	Vietnamese	primary	Latn	Latin	
vi	Vietnamese	secondary	Hani	Han	
vic	Virgin Islands Creole English	primary	Latn	Latin	(Not specified in Ethnologue but seems highly likely: Keyman keyboard exists)
vo	Volapük	secondary	Latn	Latin	
vot	Votic	secondary	Latn	Latin	Moribund
vun	Vunjo	primary	Latn	Latin	
wa	Walloon	primary	Latn	Latin	
wae	Walser	primary	Latn	Latin	
wal	Walamo	primary	Ethi	Ethiopic	
war	Waray	primary	Latn	Latin	
was	Washo	primary	Latn	Latin	
wo	Wolof	primary	Latn	Latin	
wo	Wolof	secondary	Arab	Arabic	
xal	Kalmyk	primary	Cyrl	Cyrillic	
xav	Xavante	primary	Latn	Latin	
xcr	Carian (Ancient)	secondary	Cari	Carian	
xh	Xhosa	primary	Latn	Latin	
xlc	Lycian (Ancient)	secondary	Lyci	Lycian	
xld	Lydian (Ancient)	secondary	Lydi	Lydian	
xmn	Manichaean Middle Persian	secondary	Mani	Manichaean	
xmr	Meroitic	secondary	Merc	Meroitic Cursive	
xmr	Meroitic	secondary	Merc	Meroitic Hieroglyphs	
xna	Ancient North Arabian	secondary	Narb	Old North Arabian	
xog	Soga	primary	Latn	Latin	
xpr	Inscriptional Parthian	secondary	Prti	Inscriptional Parthian	
xsa	Sabaean	secondary	Sarb	Old S. Arabian	
xsr	Sherpa	primary	Deva	Devanagari	
xum	Umbrian	secondary	Latn Ital	Old Italic	
yao	Yao	primary	Latn	Latin	
yap	Yapese	primary	Latn	Latin	
yav	Yangben	primary	Latn	Latin	
ybb	Yemba	primary	Latn	Latin	
yi	Yiddish	primary	Hebr	Hebrew	
yo	Yoruba	primary	Latn	Latin	
yrk	Nenets	primary	Cyrl	Cyrillic	
yua	Yucateco	primary	Latn	Latin	
yue	Cantonese	primary	Hans	Han	
za	Zhuang	primary	Latn	Latin	
za	Zhuang	secondary	Hans	Han	
zap	Zapotec	primary	Latn	Latin	
zea	Zeeuws	primary	Latn	Latin	
zen	Zenaga	secondary	Tfng	Tifinagh (Berber)	"Berbers, likely Tifinagh if anything"
zgh	Standard Moroccan Tamazight	primary	Tfng	Tifinagh	
zh	Chinese	primary	Hans	Simplified Han	
zh	Chinese	primary	Hant	Traditional Han	
zh	Chinese	secondary	Bopo	Bopomofo	
zh	Chinese	secondary	Phag	Phags-pa	
zmi	Negeri Sembilan Malay	primary	Latn	Latin	
zu	Zulu	primary	Latn	Latin	
zun	Zuni	primary	Latn	Latin	
zza	Zaza	primary	Arab	Arabic	"Macrolanguage, probably Zaza Gorani; Indo-Iranian, probably Arabic using"
