Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Gabon,GAB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,14686158661.0752,15854589794.1284,16704227946.6697,17044867763.6097,21435379260.7759,23271285619.8072,26026974478.3463,28028833599.7605,31240233949.9753,31731850797.95,33001545474.4716,34309013219.048
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,1231844,1270495,1311349,1354194,1692149,1746363,1802125,1859324,1917852,1977590,2038501,2100568
"Gambia, The",GMB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1454578470.424,1562871599.92468,1516704089.09724,1671342446.54507,2640361965.26613,2568312969.26981,2771632725.28984,2983127210.62501,3004107749.9006,3212586484.75268,3221198399.14354,3489699577.98197
Georgia,GEO,"Population, total",SP.POP.TOTL,4418300,4386400,4357000,4301000,3926000,3875000,3825000,3776000,3727000,3717100,3719300,3717100
Georgia,GEO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,11836643311.0664,12341276732.7236,13130069753.323,14872222142.0035,25102132723.4905,27516606224.9813,30417818761.1158,31645188146.1091,34034953740.7782,34743833718.4849,35364389360.4789,37569271541.3156
Germany,DEU,"Population, total",SP.POP.TOTL,82211508,82349925,82488495,82534176,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82695000
Germany,DEU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2228952398723.11,2327174164652.43,2390131145997.24,2452664014840.71,3270947793231.81,3513624912677.07,3585851182476.63,3730248688666.78,3888972698673.62,3977535630284.23,4098522723193.91,4274017184829.31
Ghana,GHA,"Population, total",SP.POP.TOTL,18938762,19421605,19924522,20446782,24512104,25121796,25733049,26346251,26962563,27582821,28206728,28833629
Ghana,GHA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,32911554499.1009,35338354181.8186,37470379736.5387,40179278277.2459,72256006644.7486,82867099335.8828,90361101597.48,101589821645.44,105247716503.384,109768006618.812,115045078050.082,123512091390.608
Gibraltar,GIB,"Population, total",SP.POP.TOTL,31180,31374,31544,31720,33189,33405,33623,33831,34038,34228,34408,34571
Gibraltar,GIB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,"Population, total",SP.POP.TOTL,10805808,10862132,10902022,10928070,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10760421
Greece,GRC,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,212328865743.886,229640432365.898,246506012516.46,260092925667.164,306934275526.769,282370859957.681,281120340956.062,285824079577.244,294315512120.89,290196597811.287,289947135091.998,297160492216.658
Greenland,GRL,"Population, total",SP.POP.TOTL,56200,56350,56609,56765,56905,56890,56810,56483,56295,56114,56186,56171
Greenland,GRL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,"Population, total",SP.POP.TOTL,101619,101849,102100,102375,104677,105075,105481,105909,106360,106823,107317,107825
Grenada,GRD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,726949322.335766,716986465.559934,746099679.009068,835420110.855008,1087125304.08628,1130929356.42457,1136018540.64677,1191054184.35168,1231034887.2101,1288916795.33654,1382310652.2752,1479853774.21682
Guam,GUM,"Population, total",SP.POP.TOTL,155329,156401,157175,157714,159444,159678,159973,160375,160967,161797,162896,164229
Guam,GUM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,"Population, total",SP.POP.TOTL,11650743,11924946,12208848,12500478,14630417,14948919,15271056,15596214,15923559,16252429,16582469,16913503
Guatemala,GTM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,55405580031.6001,58461742661.7075,61060466012.0867,63816450741.9174,93689193329.5643,99121380660.1161,104925780162.153,110830637043.556,117025230990.225,123449465218.889,128888544418.414,135369678565.312
Guinea,GIN,"Population, total",SP.POP.TOTL,8808546,8971139,9137345,9309848,10794170,11035170,11281469,11536615,11805509,12091533,12395924,12717176
Guinea,GIN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,9676586047.84637,10192301716.2381,11104572171.3313,10769844534.316,15568186146.6111,16709590938.4493,18212675630.6513,19347684993.9165,20865013544.223,21972701977.512,24902428349.483,28376374201.4449
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1243229,1267512,1293523,1321202,1555880,1596154,1638139,1681495,1725744,1770526,1815698,1861283
Guinea-Bissau,GNB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1298456233.8296,1347277015.50257,1381993652.08066,1414545045.59942,2125581762.24524,2368745194.2087,2370083831.20324,2425942614.48824,2632068678.15688,2793724067.6964,3008962742.81166,3171054721.53338
Guyana,GUY,"Population, total",SP.POP.TOTL,753301,752263,751884,751857,746556,749100,753091,758081,763393,768514,773303,777859
Guyana,GUY,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2563928781.2676,2652549862.18004,2712960107.97045,2802949822.68179,4253406273.9491,4576051279.10365,4921855148.63872,5203424773.76774,5505513425.45337,5746825462.22277,6067917800.78365,6386052323.23971
Haiti,HTI,"Population, total",SP.POP.TOTL,8549200,8692567,8834733,8976552,9999617,10145054,10289210,10431776,10572466,10711061,10847334,10981229
Haiti,HTI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,11825238664.5667,11930753147.7604,12035723199.7828,12302932468.7996,14765431149.365,15929101063.5587,16742282537.6217,17652839162.6957,18511600582.444,18909569565.4614,19467358646.1482,20057507161.2092
Honduras,HND,"Population, total",SP.POP.TOTL,6524283,6693061,6863157,7033821,8194778,8351600,8505646,8657785,8809216,8960829,9112867,9265067
Honduras,HND,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,16679379234.4171,17473728520.0887,18328034947.8219,19410025988.9993,30410386069.9087,31919842263.2935,33369896848.4421,34673169031.6482,36052356262.8839,38394917938.735,40270829545.1794,42887063971.6332
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,6665000,6714300,6744100,6730800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7391700
"Hong Kong SAR, China",HKG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,181149147759.427,189092117470.434,192011820904.165,205671692148.517,338089895439.622,363860139557.707,372149837839.583,391614151772.735,410327280678.536,423799413721.127,441342581385.018,473816005287.576
Hungary,HUN,"Population, total",SP.POP.TOTL,10210971,10187576,10158608,10129552,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9781127
Hungary,HUN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,115198850456.156,128029086273.012,140048835765.977,149186736558.357,204502726286.593,216126556623.819,219050586415.254,234750618805.821,239863742506.335,242974854540.594,247384476956.573,263688157841.606
Iceland,ISL,"Population, total",SP.POP.TOTL,281205,284968,287523,289521,318041,319014,320716,323764,327386,330815,335439,341284
Iceland,ISL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,8060868714.07593,8788963767.63562,9390431859.41103,9380680644.23137,10239348449.4215,11022605832.7629,11766282593.5493,13631427233.6515,14240759323.4076,15344038674.8712,16621758717.4609,18182386775.2282
India,IND,"Population, total",SP.POP.TOTL,1053050912,1071477855,1089807112,1108027848,1230980691,1247236029,1263065852,1278562207,1293859294,1309053980,1324171354,1339180127
India,IND,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2060139545217.44,2213158605784.3,2337316775614.16,2569421425713.98,5254842052291.89,5731190432496.76,6136929130810.79,6629512757497.37,7253176438755.17,7931436125891.39,8604384569061.34,9348947390402.64
Indonesia,IDN,"Population, total",SP.POP.TOTL,211540429,214506502,217508059,220545214,242524123,245707511,248883232,252032263,255131116,258162113,261115456,263991379
Indonesia,IDN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,908921597569.651,993670593011.742,1062162052163.68,1125157972597.08,1950593279688.45,2111380501435.95,2278686915195.57,2439984220636.76,2598342369463.93,2755618016114.83,2934766583566.72,3140240568081.58
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,66131854,67096414,67983330,68812713,74567511,75491582,76453574,77435384,78411092,79360487,80277428,81162788
"Iran, Islamic Rep.",IRN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,687848201997.996,709970276154.037,775134439279.967,858841243139.963,1311100331011.84,1373456121278.43,1303623814499.14,1321844068107.73,1402134250126.94,1397986972993.31,1606423562123.43,1694621744619.36
Iraq,IRQ,"Population, total",SP.POP.TOTL,23565413,24251649,24939299,25627626,30762701,31727053,32776571,33883145,35006080,36115649,37202572,38274618
Iraq,IRQ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,226012366918.085,236295376305.803,221114484820.594,153675057334.036,387717490234.39,420294877136.849,490591644546.84,528470526321.171,541173342979.883,559462207143.463,639754903650.118,632580724916.383
Ireland,IRL,"Population, total",SP.POP.TOTL,3805174,3866243,3931947,3996521,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4813608
Ireland,IRL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,100076463397.064,107539141218.832,116063239398.898,124844043883.405,164857539679.267,169257301329.023,174456547300.844,188840590314.93,202512801068.567,255007229117.292,280560276394.26,297992251216.972
Isle of Man,IMN,"Population, total",SP.POP.TOTL,72554,73192,73870,74587,80072,80759,81406,82013,82590,83167,83737,84287
Isle of Man,IMN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,"Population, total",SP.POP.TOTL,6289000,6439000,6570000,6689700,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8712400
Israel,ISR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,147034598412.016,153861104489.773,159610145996.911,153447751355.156,215562522714.383,234224794239.857,244685842343.474,269733783740.141,278042494760.032,298147120258.478,314568855168.736,330295204123.408
Italy,ITA,"Population, total",SP.POP.TOTL,56942108,56974100,57059007,57313203,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60551416
Italy,ITA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1532836630749.78,1587859658416.47,1626940007698.95,1658549455026.99,2073069389477.72,2152582158386.79,2154531375588.28,2172610704748.01,2192795858548.17,2213146751080.19,2332088039867.11,2400027253336.45
Jamaica,JAM,"Population, total",SP.POP.TOTL,2656864,2677011,2695446,2712511,2817210,2829493,2840992,2851807,2862087,2871934,2881355,2890299
Jamaica,JAM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,16069191313.0358,16496589548.2738,16795116780.6604,17837035732.9952,21253605824.2405,22101414941.4774,22853821367.461,23090309275.6967,23648256447.4352,23871648148.0594,24211266116.1153,25261271413.7699
Japan,JPN,"Population, total",SP.POP.TOTL,126843000,127149000,127445000,127718000,128070000,127833000,127629000,127445000,127276000,127141000,126994511,126785797
Japan,JPN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3452953395263.81,3549332030097.2,3639730784809.42,3752140367055.71,4598281576709.05,4702730270932.62,4873844260962.84,5133797407300.4,5166025961476.02,5374340188121.32,5541130962365.6,5686343795546.21
Jordan,JOR,"Population, total",SP.POP.TOTL,5103130,5193482,5287488,5396774,7182390,7574943,7992573,8413464,8809306,9159302,9455802,9702353
Jordan,JOR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,29611972564.5122,32075909054.6513,34086360035.0848,36411996715.5927,66119346887.9921,69156949425.6786,72052127928.294,75474698764.6402,79083797219.8897,81861950185.8606,84878703830.372,88351719942.6614
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,14883626,14858335,14858948,14909018,16321872,16557201,16792089,17035550,17288285,17542806,17794055,18037646
Kazakhstan,KAZ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,109351764614.534,128676193846.298,144986647201.593,159786747672.026,279328323873.567,301583512406.376,325193602190.887,361952053836.813,385654804934.243,413137997711.779,407550030867.815,424345763265.596
Kenya,KEN,"Population, total",SP.POP.TOTL,31450483,32321482,33214009,34130852,41350152,42486839,43646629,44826849,46024250,47236259,48461567,49699862
Kenya,KEN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,52606885960.7784,55775025266.6009,57062500683.8296,59792489147.8016,99938529388.4695,108655317520.867,115165669681.787,123106366222.582,131596543427.522,141121584396.538,151469199528.456,161595597534.187
Kiribati,KIR,"Population, total",SP.POP.TOTL,84406,85858,87343,88895,102652,104656,106613,108535,110458,112407,114395,116398
Kiribati,KIR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,216304557.495702,231934918.086917,226416131.010661,222016623.651755,258698847.969254,254926735.893375,295742872.932972,345245362.228036,397967254.401176,478424347.386072,483606233.991482,497634230.595713
"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,22929075,23131810,23336681,23538540,24591599,24722298,24854034,24985976,25116363,25243917,25368620,25490965
"Korea, Dem. People’s Rep.",PRK,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,47008111,47370164,47644736,47892330,49554112,49936638,50199853,50428893,50746659,51014947,51245707,51466201
"Korea, Rep.",KOR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,843935306788.961,902537346911.562,985828020535.8,1019714022540.62,1506811930586.56,1568631167033.9,1627811703472.46,1656512685183.14,1709830640018.39,1800807016409.2,1882180197226.84,1973042453344.53
Kosovo,XKX,"Population, total",SP.POP.TOTL,1700000,1701154,1702310,1703466,1775680,1791000,1805200,1824100,1821800,1801800,1816200,1830700
Kosovo,XKX,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,13975403528.0041,15064908212.123,15898744506.4045,16587378405.9525,17047712802.4713,17859144398.499,18772218504.4795,20181859432.3455
Kuwait,KWT,"Population, total",SP.POP.TOTL,2050741,2109355,2143833,2169118,2998083,3191051,3395556,3598385,3782450,3935794,4052584,4136528
Kuwait,KWT,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,133840068635.9,133536971401.371,133126442714.029,156820224628.187,237103277874.553,261909682318.451,287989538163.956,296876201937.01,309381592252.389,318782586331.531,336959727711.359,344617274121.909
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,4898400,4945100,4990700,5043300,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6201500
Kyrgyz Republic,KGZ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,7572329784.67824,8340170944.6538,8491017166.82603,9304569714.27795,13945454348.3057,14393401502.2784,15968048603.3076,17405395617.8618,18754125551.5152,19743545516.2001,20568272791.3335,22422002646.7055
Lao PDR,LAO,"Population, total",SP.POP.TOTL,5329304,5414568,5497273,5579656,6246274,6333487,6415169,6494557,6576397,6663967,6758353,6858160
Lao PDR,LAO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,10067904744.5246,10910940928.8397,11763951504.1914,12469392381.3084,24181657065.2076,26541063220.8385,29451879352.0942,32532123298.9699,36001507021.4078,39023012654.558,42361978920.161,45625252999.1247
Latvia,LVA,"Population, total",SP.POP.TOTL,2367550,2337170,2310173,2287955,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1940740
Latvia,LVA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,18962592381.7457,21180532998.4863,23303218886.6971,25105388728.318,37293112588.6795,40716074301.5142,42941493212.3603,45634169163.1194,47426309543.732,48681067955.1655,50288025783.9425,54330757411.4327
Lebanon,LBN,"Population, total",SP.POP.TOTL,3235366,3359859,3522837,3701464,4337141,4588368,4916404,5276102,5603279,5851479,6006668,6082357
Lebanon,LBN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,32939926262.9053,34201461498.1495,34427399964.1535,31692857074.6733,68984943489.3626,71578309882.1387,75038478834.2756,78267879820.3285,80653925681.7042,81868280499.461,83870624119.5927,87258840773.1859
Lesotho,LSO,"Population, total",SP.POP.TOTL,1868699,1885955,1902312,1918097,2040551,2064166,2089928,2117361,2145785,2174645,2203821,2233339
Lesotho,LSO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3361402824.94879,4042130850.89964,4138025776.5751,4356118200.27167,6005608907.28495,6103484707.76889,6433653790.78176,6567180902.55849,6696509882.91244,6986165760.73933,7416662090.77542,7340289300.34129
Liberia,LBR,"Population, total",SP.POP.TOTL,2884522,2991132,3062863,3116233,3948125,4070167,4181563,4286291,4390737,4499621,4613823,4731906
Liberia,LBR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2630240504.32895,2591091712.80032,2716795375.47524,1870501393.313,3822483826.10409,4396321822.5236,4609681055.36885,5080424349.57909,5163888436.46969,5323706453.46379,5319380650.81019,5509543592.17154
Libya,LBY,"Population, total",SP.POP.TOTL,5355751,5440566,5527515,5615952,6169140,6193501,6198258,6195970,6204108,6234955,6293253,6374616
Libya,LBY,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,95244079770.0485,110607021547.421,179025380242.573,69433530943.1827,153823529304.256,137433809068.062,108515132246.839,102782975004.599,99824205210.5182,127232655434.125
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,33286,33671,34018,34321,36003,36264,36545,36834,37127,37403,37666,37922
Liechtenstein,LIE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,"Population, total",SP.POP.TOTL,3499536,3470818,3443067,3415213,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2827721
Lithuania,LTU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,29066758441.449,32362083216.6314,35750878864.519,40192838477.384,61067546399.3449,66664927599.4253,71449937778.7314,76802200023.8192,81544967626.4181,80546287497.2743,83090404939.591,90232373144.5201
Luxembourg,LUX,"Population, total",SP.POP.TOTL,436300,441525,446175,451630,506953,518347,530946,543360,556319,569604,582014,599449
Luxembourg,LUX,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,21453417717.0165,22284982414.5795,22231998148.3726,22170286307.1012,31421501258.0949,33200445476.1302,33825637688.9908,34690043272.6355,36591346599.739,38715487338.119,40528972635.082,43576800962.871
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,427979,438081,448896,460147,536969,549439,562531,575841,588781,600942,612167,622567
"Macao SAR, China",MAC,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,13209771590.5985,15073738329.6763,16648179473.1907,18661714068.0522,46065930027.971,55491749223.7671,60741599310.0761,67934614582.5458,69486427003.8076,59085434849.0499,59115547449.4353,65863917777.8596
"Macedonia, FYR",MKD,"Population, total",SP.POP.TOTL,2034819,2042842,2048928,2053426,2070739,2072383,2074036,2075739,2077495,2079308,2081206,2083160
"Macedonia, FYR",MKD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,12236106228.3893,12225502179.297,12772191009.3803,13190878817.0622,23019758026.6925,23634606286.5269,24026925257.945,25647349249.9115,27256465986.7856,27852402798.1671,29595708227.4638,30587586300.4692
Madagascar,MDG,"Population, total",SP.POP.TOTL,15766806,16260932,16765117,17279141,21151640,21743949,22346573,22961146,23589801,24234088,24894551,25570895
Madagascar,MDG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,17718226532.8979,19311626266.4848,17069470701.1246,19145330977.1813,28410602706.4713,29269019629.4989,30211820008.2679,31392704032.9461,33140077421.4231,34167855776.7731,35969315248.2064,38540656390.0468
Malawi,MWI,"Population, total",SP.POP.TOTL,11376172,11695863,12013711,12336687,15167095,15627618,16097305,16577147,17068838,17573607,18091575,18622104
Malawi,MWI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,7645611652.67198,7442500752.93154,7737067319.32817,8339603815.48633,15110821295.6223,16190322193.7146,16661659105.7795,17686796275.3501,19055104050.5455,19725068804.3231,20600213314.2317,21881672214.1951
Malaysia,MYS,"Population, total",SP.POP.TOTL,23185608,23698907,24198811,24688703,28112289,28635128,29170456,29706724,30228017,30723155,31187265,31624264
Malaysia,MYS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,275426913307.048,285762970540.096,308190986465.052,336652006176.493,562876248284.346,609984394638.503,646356152815.025,690156672864.588,744937817901.199,795761292981.986,839620659112.09,906285727289.504
Maldives,MDV,"Population, total",SP.POP.TOTL,280384,287027,294341,302209,364511,375131,386203,397397,408247,418403,427756,436330
Maldives,MDV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2066588093.4947,2072999201.38901,2264255099.60873,2604347479.45601,3771988492.80511,4246953323.89474,4492620790.24827,4810592926.12923,5340558043.01773,5647210867.16273,6142554884.36536,6600146043.30344
Mali,MLI,"Population, total",SP.POP.TOTL,10967690,11293258,11638929,12005128,15075085,15540989,16006670,16477818,16962846,17467905,17994837,18541980
Mali,MLI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,12588117318.498,14288478433.7241,14741098199.1587,16891540879.3675,26564614951.1853,28098046145.1435,28237091118.1225,29588422319.0378,32436394234.8233,34893834439.3888,37229503990.958,40047403241.5487
Malta,MLT,"Population, total",SP.POP.TOTL,390087,393028,395969,398582,414508,416268,420028,425967,434558,445053,455356,465292
Malta,MLT,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,7416752186.17763,7781725680.74561,8182924389.45337,8300787311.14294,10922623448.5068,11526739405.9454,11856768227.1393,12653000307.3761,13752768725.9108,15248993790.4468,16179533434.1953,17967971979.3481
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,52159,52183,52158,52116,52425,52542,52663,52793,52898,52994,53066,53127
Marshall Islands,MHL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,158747287.982064,170846223.780497,173948963.863687,175955969.281924,215889032.366015,224872243.117792,224729446.958278,241951857.644494,260602947.787159,285977120.479004,284849729.149958,296825810.670393
Mauritania,MRT,"Population, total",SP.POP.TOTL,2709359,2790729,2873228,2957117,3609543,3717672,3830239,3946170,4063920,4182341,4301018,4420184
Mauritania,MRT,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,5971085849.17154,6010847800.75797,6566112791.34279,7061621059.51029,11544228030.9141,12159105951.5901,13013972783.6084,14061831113.9738,14915285033.9975,15442676297.1675,16162426492.9657,17184281661.7979
Mauritius,MUS,"Population, total",SP.POP.TOTL,1186873,1196287,1204621,1213370,1250400,1252404,1255882,1258653,1260934,1262605,1263473,1264613
Mauritius,MUS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,10352995683.3904,10965120241.5248,11366447931.4829,11920043914.0287,19759605199.2536,20798674896.4042,21936952238.4812,23007249834.5088,23635472979.9314,25197982341.0835,26553089180.0808,28578292848.0064
Mexico,MEX,"Population, total",SP.POP.TOTL,101719673,103067068,104355608,105640453,117318941,119090017,120828307,122535969,124221600,125890949,127540423,129163276
Mexico,MEX,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1074894701248.28,1100463691326.91,1117965544638.39,1136679963327.4,1722456138330.57,1880967778368.16,1973881654847.08,2004429610701.39,2121554563909.1,2118380656589.9,2209685449566.76,2304297768942.84
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,107432,107165,106983,106816,103616,103468,103503,103702,104015,104433,104937,105544
"Micronesia, Fed. Sts.",FSM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,272791348.206234,282417258.905432,287818790.180389,298049936.37908,346703877.047428,363992378.548973,369078610.566759,372126193.583837,370347910.229487,432304872.869552,432115665.111119,452720753.980499
Moldova,MDA,"Population, total",SP.POP.TOTL,3639592,3631462,3623062,3612874,3562045,3559986,3559519,3558566,3556397,3554108,3551954,3549750
Moldova,MDA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,6807852640.2182,7736284464.42547,8478298109.92439,9669019397.67685,14787863158.4697,16102758556.6803,16731882437.4488,18551742600.929,19686641104.0539,19234326617.7337,20373146727.9944,21610786013.5778
Monaco,MCO,"Population, total",SP.POP.TOTL,32082,32360,32629,32933,37094,37497,37783,37971,38132,38307,38499,38695
Monaco,MCO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,"Population, total",SP.POP.TOTL,2397436,2419776,2443659,2469286,2712650,2761516,2814226,2869107,2923896,2976877,3027398,3075647
Mongolia,MNG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,8805377244.33371,9299803552.32343,9873256951.62886,10732416090.3785,18835306939.1683,22505271782.4175,25888698054.5577,30031790142.8663,32113783679.4347,33208154416.7474,34012743203.1017,34142064891.9896
Montenegro,MNE,"Population, total",SP.POP.TOTL,604950,607389,609828,612267,619428,620079,620601,621207,621810,622159,622303,622471
Montenegro,MNE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3814915214.30299,4319602322.86102,4572039047.78568,4750999673.58818,8387090620.10469,9046242959.8355,8749528862.95827,9417559913.21898,9684831525.42766,10386942662.8347,11215542891.8703,12291910864.6608
Morocco,MAR,"Population, total",SP.POP.TOTL,28849621,29181832,29512368,29843937,32409639,32858823,33333789,33824769,34318082,34803322,35276786,35739580
Morocco,MAR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,101610791482.529,111656541461.041,117284550331.147,127028853325.739,204771170622.524,219272498095.561,229255827161.436,245153299571.055,253671717870.11,269235093777.103,275897953521.098,291417290526.126
Mozambique,MOZ,"Population, total",SP.POP.TOTL,18067687,18588758,19139658,19716598,24221405,24939005,25676606,26434372,27212382,28010691,28829476,29668834
Mozambique,MOZ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,7733561724.97834,8833343141.92439,9014904157.02658,10797263992.5075,21048562819.736,23467220531.9072,25867435184.5159,28198802004.2438,30586408005.4739,32684878867.4171,34218578733.9333,35862862651.7907
Myanmar,MMR,"Population, total",SP.POP.TOTL,46095462,46627994,47140220,47624894,50155896,50553031,50986514,51448196,51924182,52403669,52885223,53370609
Myanmar,MMR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,47716896625.5997,54306327175.7445,61788569660.1152,71752392635.2414,182820540037.75,197034773408.762,206862942836.988,229162355254.043,250793989466.898,273360354886.32,295480210660.724,320923134037.465
Namibia,NAM,"Population, total",SP.POP.TOTL,1899257,1933596,1962147,1986535,2173170,2215621,2263934,2316520,2370992,2425561,2479713,2533794
Namibia,NAM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,9562305861.29446,9816201146.53415,10613482993.5112,11675252647.9004,17323826274.5548,18802155661.2605,19847157840.6741,22038610890.5368,23971552379.9966,25642614269.1841,25661866709.091,26089371601.0956
Nauru,NRU,"Population, total",SP.POP.TOTL,10037,10052,10080,10106,10025,10057,10279,10821,11853,12475,13049,13649
Nauru,NRU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,75417448.5751204,82081790.6299374,99179229.4281766,137977228.238503,187188254.214739,201960780.759473,228525993.096285,245192386.234036
Nepal,NPL,"Population, total",SP.POP.TOTL,23740911,24161777,24566342,24950623,27023137,27327147,27649925,27985310,28323241,28656282,28982771,29304998
Nepal,NPL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,29079468487.201,31176382194.7596,31529771618.0159,33425265667.6625,52983710927.2424,55810345453.6615,59705495328.0108,63153968754.256,68743057602.2867,71755458708.9959,73027968149.8696,79953508111.0972
