Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Czech Republic,CZE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,162502534411.128,174217616814.964,178561328109.951,190812000077.786,202080848190.613,213606488943.892,228333928255.814,251255180634.558,269804658614.43,267318302582.928,267665911505.762,279370310382.565,286391051564.635,301403153675.82,316634771841.133,329122356664.153,343673521758.157,370765113413.597
Denmark,DNK,"Population, total",SP.POP.TOTL,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5769603
Denmark,DNK,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,149888963578.185,155740879381.091,162786047384.101,164921410032.919,178694475958.381,186566260237.836,205269692870.299,213855608931.842,229296531979.344,224982718780.753,242686527292.604,252568140433.285,256181670980.004,270675551874.234,280163778604.424,285279506758.96,287932645324.799,297452299952.612
Djibouti,DJI,"Population, total",SP.POP.TOTL,717584,732711,746221,758615,770752,783254,796208,809402,822934,836840,851146,865937,881185,896688,912164,927414,942333,956985
Djibouti,DJI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,"Population, total",SP.POP.TOTL,69676,69670,69824,70093,70379,70627,70807,70950,71074,71229,71440,71718,72044,72400,72778,73162,73543,73925
Dominica,DMA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,398646995.15255,430029602.338848,424562667.287396,469132697.490139,491349733.805965,512797948.642297,567200819.175723,614075769.52533,675300339.798754,680945770.313649,700179483.77046,711578991.436185,717962326.765419,710887008.436893,760492719.449914,749319274.177057,781074348.200051,752071477.289904
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,8562622,8697126,8832285,8967760,9102998,9237566,9371338,9504353,9636520,9767758,9897985,10027095,10154950,10281296,10405844,10528394,10648791,10766998
Dominican Republic,DOM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,52563770020.6628,54226881163.5915,57487151505.4308,57204343332.3894,58486489923.3889,65872508675.7737,74618807173.5968,87429916162.0385,93284479378.3479,94944245326.601,103990318908.028,109083978280.964,114091494443.44,119273840901.548,130235954438.234,142051193571.618,152755011352.357,164661198448.179
Ecuador,ECU,"Population, total",SP.POP.TOTL,12628596,12852755,13072060,13289601,13509647,13735233,13967480,14205453,14447562,14691275,14934690,15177355,15419666,15661547,15903112,16144368,16385068,16624858
Ecuador,ECU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,68254141933.2252,74378623589.6409,79504422426.4539,83110047417.1701,91993900728.8098,100667833997.376,108857295248.127,114259453730.068,125897967504.886,127939743887.06,134808391633.729,148275025674.849,159698051140.397,170368972149.043,179845027287.099,181566967291.061,180744409465.886,188767386493.641
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,69905988,71226940,72590118,73981942,75381899,76778149,78159048,79537253,80953881,82465022,84107606,85897561,87813257,89807433,91812566,93778172,95688681,97553151
"Egypt, Arab Rep.",EGY,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,413205783495.261,438274853152.411,451098250997.093,473650467165.083,505855881845.589,545458290826.434,605429863975.46,668315970869.271,729712970687.027,763865245447.671,796125952246.023,822210899215.793,858054045145.008,888712469989.51,932850544871.99,990882989824.892,1051090471045.31,1108685384033.29
El Salvador,SLV,"Population, total",SP.POP.TOTL,5867626,5905962,5940303,5971535,6000775,6028961,6056478,6083475,6110301,6137276,6164626,6192560,6221246,6250777,6281189,6312478,6344722,6377853
El Salvador,SLV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,28753199102.9191,29936077584.5785,30910083205.9097,32019436568.9557,33599862145.3727,36000164288.7347,38801285499.3651,41396486481.5339,43660436873.2837,42058522896.3066,43073583472.7193,44769511733.8159,45253619011.1688,46682248178.7154,48490464200.9972,50842515809.0154,52423104122.1183,48080091785.1847
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,614323,639762,666407,694611,724817,757317,792217,829327,868418,909111,951104,994290,1038593,1083746,1129424,1175389,1221490,1267689
Equatorial Guinea,GNQ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3395388356.45272,3531708818.08831,4842611714.44784,4604975402.41094,5896206889.2973,10742850685.1668,18485580424.4826,22220986984.7212,24740573446.4181,22544952330.9096,18450447612.6514,22107638610.3946,24989008735.3383,25097531248.4557,25512398064.0809,26011945494.9176,24774145192.1977,24571140921.2191
Eritrea,ERI,"Population, total",SP.POP.TOTL,3392801,3497124,3614639,3738265,3858623,3969007,4066648,4153332,4232636,4310334,4390840,4474690,..,..,..,..,..,..
Eritrea,ERI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,4518654785.44589,5007151970.21323,5209318878.13445,5157822811.7886,5361987654.95306,5707005577.18944,5833510735.04018,6084617432.15973,5579971699.83979,5839188722.47495,6036740096.91546,6697806876.39949,..,..,..,..,..,..
Estonia,EST,"Population, total",SP.POP.TOTL,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1315480
Estonia,EST,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,12664763610.7735,13632254828.1402,15237944246.2133,16937071907.9499,18685948591.0731,21499500921.8641,24592350325.363,27415794566.9705,28710497105.7967,26523382053.1961,27238150336.4677,30946637998.4363,33031898254.1458,35403618516.7603,36514073146.1975,36944627847.8008,38373072257.1981,40778422662.9346
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1061468,1072927,1080930,1087392,1095053,1105873,1120514,1138434,1158897,1180675,1202843,1225258,1248158,1271456,1295097,1319011,1343098,1367254
Eswatini,SWZ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,5009542720.1048,5414708510.04431,5393866718.46916,5593036609.89949,6076701991.71209,7014866114.75887,7287421342.91789,7872264091.55969,7985267295.83505,8012044657.11077,8160908142.05332,8915944430.94028,9522446578.11766,10447106433.2917,10764106355.5913,11005006413.9171,11155979868.8253,11653197692.0224
Ethiopia,ETH,"Population, total",SP.POP.TOTL,66537331,68492257,70497192,72545144,74624405,76727083,78850689,81000409,83184892,85416253,87702670,90046756,92444183,94887724,97366774,99873033,102403196,104957438
Ethiopia,ETH,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,32367852815.3691,35892246701.7128,36972895787.5466,36863952965.4729,43079074812.2924,49889815940.8355,57015360784.1768,65449782389.7217,73934453947.6566,80889823110.7616,91938773642.5726,104477152060.005,115597742416.344,129892470770.081,145712442571.877,162385250476.549,177024389218.478,198104479326.419
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,47258,47526,47769,47974,48143,48285,48383,48448,48485,48517,48550,48608,48666,48747,48842,48965,49117,49290
Faroe Islands,FRO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,"Population, total",SP.POP.TOTL,811223,814218,815691,816628,818354,821817,827411,834812,843340,851967,859950,867086,873596,879715,885806,892149,898760,905502
Fiji,FJI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,4376026543.88669,4439298740.6984,4728748893.31687,4834511060.27341,5229011786.31238,5512815711.89045,5482891552.09806,5678343445.68127,5834393223.7851,5920417457.48339,6002460147.29883,6297184005.93723,6458781659.33575,6997719977.1651,7263168961.16634,7728323624.96678,7878395262.50573,8234613683.52944
Finland,FIN,"Population, total",SP.POP.TOTL,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5511303
Finland,FIN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,137593825287.585,144136130619.905,149009200176.73,150193235318.452,163894391675.884,168542939523.638,182691118031.309,199996367063.369,212770179525.833,204522359140.593,210782608309.037,220207155805.574,221064507784.853,225363033587.855,228549068021.737,232584893728.175,240256347087.151,252024077214.674
France,FRA,"Population, total",SP.POP.TOTL,60912500,61357430,61805267,62244886,62704895,63179351,63621381,64016227,64374989,64707044,65027507,65342775,65659789,65998660,66316092,66593366,66859768,67118648
France,FRA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1626307519013.57,1726392690454.31,1788044117875.64,1780825316760.26,1855020713006.23,1967313286588.15,2111154538074.22,2232183055457.22,2311511621841.67,2287109012867.58,2388278984573.73,2503922810779.2,2506840569891.54,2642478281707.6,2697532706345.62,2737022860899.32,2809548625328.5,2934407857150.02
French Polynesia,PYF,"Population, total",SP.POP.TOTL,237258,241273,245006,248499,251775,254886,257832,260594,263179,265581,267820,269843,271703,273528,275484,277690,280208,283007
French Polynesia,PYF,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,"Population, total",SP.POP.TOTL,1231122,1262259,1294409,1328146,1364205,1403126,1444844,1489193,1536411,1586754,1640210,1697101,1756817,1817271,1875713,1930175,1979786,2025137
Gabon,GAB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,14686315871.8671,15854759512.6146,16704406760.2699,17045050223.654,16766508447.8632,18894569894.5628,18260155780.1174,19523487589.5794,19427839038.746,20177007816.6232,21435382213.9358,23271340614.2618,26027349842.709,28029283989.7493,31240449913.8588,31732200730.8127,32998954495.565,34452614635.7977
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,1231844,1270495,1311349,1354194,1398573,1444204,1491021,1539116,1588572,1639560,1692149,1746363,1802125,1859324,1917852,1977590,2038501,2100568
"Gambia, The",GMB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1454578470.424,1562871599.92468,1516704089.09724,1671342446.54506,1859585873.88202,1900723400.27964,1976347560.71376,2115539022.09265,2294575390.51693,2449524099.41291,2640361965.26613,2568312969.26981,2771632725.28984,2973323803.08044,3043625805.23305,3197191365.76169,3319774547.7482,3502262776.4792
Georgia,GEO,"Population, total",SP.POP.TOTL,4418300,4386400,4357000,4301000,4245000,4190000,4136000,4082000,4030000,3978000,3926000,3875000,3825000,3776000,3727000,3717100,3719300,3717100
Georgia,GEO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,11868840467.3898,12376148980.8334,13166665748.2108,14913670503.3238,16415424940.4446,18465736166.3769,21053794717.4977,23867225649.8166,24474374496.8029,23821302333.9946,25102132868.8662,27516606244.2349,30417818963.6947,31645188373.4897,34034953901.033,34743833777.7532,35364389429.2282,37635077520.1878
Germany,DEU,"Population, total",SP.POP.TOTL,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82695000
Germany,DEU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2228952398723.11,2327174164652.43,2390131145997.24,2452664014840.71,2611597093017.28,2659840888439.72,2869675662613.68,3042256679924.32,3152657054294.18,3101465196045.8,3270947793231.81,3513624912677.07,3585851182476.63,3730248688666.78,3888972698673.62,3977535630284.23,4098522723193.91,4280487692034.84
Ghana,GHA,"Population, total",SP.POP.TOTL,18938762,19421605,19924522,20446782,20986536,21542009,22113425,22700212,23298640,23903831,24512104,25121796,25733049,26346251,26962563,27582821,28206728,28833629
Ghana,GHA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,32911554499.1007,35338354181.8186,37470379736.5384,40179278277.2459,43564842361.3222,48111992769.7292,53081501857.4467,56897092564.5363,63422800636.414,67030437743.1578,72256006644.7482,82867099335.8828,90361101597.4798,100872296690.158,104994870322.216,113321335890.17,118187286310.738,129397184544.478
Gibraltar,GIB,"Population, total",SP.POP.TOTL,31180,31374,31544,31720,31896,32085,32296,32510,32732,32956,33189,33405,33623,33831,34038,34228,34408,34571
Gibraltar,GIB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,"Population, total",SP.POP.TOTL,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10760421
Greece,GRC,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,212328865743.886,229640432365.898,246506012516.46,260092925667.164,275501040440.468,281471978035.928,308503000934.952,315238637893.25,331637075588.565,329722796253.34,306934275526.769,282370859957.681,281120340956.062,285824079577.244,294315512120.89,290196597811.287,289947135091.998,299394371604.198
Greenland,GRL,"Population, total",SP.POP.TOTL,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483,56295,56114,56186,56171
Greenland,GRL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,"Population, total",SP.POP.TOTL,101619,101849,102100,102375,102656,102949,103259,103586,103930,104296,104677,105075,105481,105909,106360,106823,107317,107825
Grenada,GRD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,726941392.497074,716978644.399859,746091540.271028,835410997.775849,831021125.109394,1045904614.61523,1034273511.191,1111741479.5308,1147273912.33945,1045345320.30047,1087117005.54684,1130918364.46605,1136006202.20287,1191051520.833,1299844001.56102,1402102725.38687,1472707731.58804,1553524563.31398
Guam,GUM,"Population, total",SP.POP.TOTL,155329,156401,157175,157714,158099,158402,158648,158855,159035,159231,159444,159678,159973,160375,160967,161797,162896,164229
Guam,GUM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,"Population, total",SP.POP.TOTL,11650743,11924946,12208848,12500478,12796925,13096028,13397008,13700286,14006366,14316208,14630417,14948919,15271056,15596214,15923559,16252429,16582469,16913503
Guatemala,GTM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,55405641992.6304,58461808040.498,61060534330.2259,63816522106.6156,67413600453.6021,71799749392.2764,77614533227.1069,84512860108.6404,88613554138.8951,89649158063.1253,93343683997.3594,98749611624.913,104587732951.655,110451601139.036,116649400127.596,123109340653.364,128728450037.654,135262744950.773
Guinea,GIN,"Population, total",SP.POP.TOTL,8808546,8971139,9137345,9309848,9490229,9679745,9881428,10096727,10323142,10556524,10794170,11035170,11281469,11536615,11805509,12091533,12395924,12717176
Guinea,GIN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,9676585977.39627,10192301642.0334,11104572090.4848,10769844455.9065,11291511027.1368,11730926199.5347,12435849219.5481,13951871796.5486,14559759844.3928,14512465563.4974,15588464242.4455,16768332647.3467,18254602719.3765,19328749102.006,20369722199.4653,21420681558.1447,23783805940.2169,28915714724.9675
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1243229,1267512,1293523,1321202,1350345,1380838,1412669,1445958,1480841,1517448,1555880,1596154,1638139,1681495,1725744,1770526,1815698,1861283
Guinea-Bissau,GNB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1298456233.77437,1347277015.44527,1381993652.02188,1414545045.53925,1499300671.07361,1613362505.45542,1718756887.32265,1830154159.13547,1905260329.13817,1991127998.00852,2125581762.1698,2368745194.2087,2370083831.12048,2425942614.23497,2632068677.74784,2793724067.28556,3008962742.56629,3171048265.80657
Guyana,GUY,"Population, total",SP.POP.TOTL,753301,752263,751884,751857,751652,750946,749601,747869,746314,745693,746556,749100,753091,758081,763393,768514,773303,777859
Guyana,GUY,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2502547725.2815,2583729964.39855,2675453656.45999,2725147261.40057,2669441187.24268,2958244435.58171,3506967143.55138,3817175822.90969,3918802735.14003,4024912066.58682,4301473815.69166,4576050795.78135,4965158867.91347,5203468911.58499,5505499538.43342,5759932005.56703,6051872402.40733,6313198587.80457
Haiti,HTI,"Population, total",SP.POP.TOTL,8549200,8692567,8834733,8976552,9119178,9263404,9409457,9556889,9705029,9852870,9999617,10145054,10289210,10431776,10572466,10711061,10847334,10981229
Haiti,HTI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,11825238664.5667,11930753147.7603,12035723199.7827,12302932468.7996,12219115108.9453,12774042981.5887,13582827194.0259,14410354600.8524,14824072380.9414,15414052635.0244,14765431149.365,15929101063.5587,16742282537.6217,17652839162.6957,18511600582.4438,18909569565.4613,19581812673.5611,20057507161.2092
Honduras,HND,"Population, total",SP.POP.TOTL,6524283,6693061,6863157,7033821,7204153,7373430,7541406,7707972,7872658,8035021,8194778,8351600,8505646,8657785,8809216,8960829,9112867,9265067
Honduras,HND,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,16679379234.4171,17473728520.0887,18328034947.8219,19410025988.9993,21036450582.9665,23136000907.7895,25361283627.7036,28124419119.8078,29722539870.6791,29043320119.2168,30410386065.6866,31919842265.4422,33369896848.2355,34673169032.0137,36052356264.6249,38394917938.3158,40270829541.4892,42887063971.6332
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7391700
"Hong Kong SAR, China",HKG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,181149147759.427,189092117470.434,192011820904.165,205671692148.517,228727265170.376,249567673796.058,280347784548.571,308920483427.666,330058727129.514,315542361071.878,338089895439.622,363860139557.707,372149837839.583,391614151772.735,410327280678.536,423799413721.127,441342581385.018,473816005287.576
Hungary,HUN,"Population, total",SP.POP.TOTL,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9781127
Hungary,HUN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,115198850456.156,128029086273.012,140048835765.977,149186736558.357,155032963285.586,162363033147.23,174126843444.395,177880457698.884,194000550588.18,196604445936.426,204502726286.593,216126556623.819,219050586415.254,234750618805.821,239863742506.335,242974854540.594,247384476956.573,266197472223.63
Iceland,ISL,"Population, total",SP.POP.TOTL,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330815,335439,341284
Iceland,ISL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,8060868714.07593,8788963767.63562,9390431859.41103,9380680644.23137,10028786935.5596,10526296722.7951,11029474048.0704,12071856633.6815,10807260433.594,10698112638.3977,10239348449.4215,11022605832.7629,11766282593.5493,13631427233.6515,14240759323.4076,15344038674.8712,16621758717.4609,18307379529.638
India,IND,"Population, total",SP.POP.TOTL,1053050912,1071477855,1089807112,1108027848,1126135777,1144118674,1161977719,1179681239,1197146906,1214270132,1230980691,1247236029,1263065852,1278562207,1293859294,1309053980,1324171354,1339180127
India,IND,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2060139521744.23,2213158580573.92,2337316748985.74,2569421396442.94,2850389151944.53,3214706246054.65,3617919670574.07,4093616453740.51,4328532646367.05,4731152186851.95,5254841992427.91,5731190432498.62,6136929060902.81,6629512681977.53,7253176356129.79,7931436035542.91,8604384471045.46,9448658813549.45
Indonesia,IDN,"Population, total",SP.POP.TOTL,211540429,214506502,217508059,220545214,223614649,226712730,229838202,232989141,236159276,239340478,242524123,245707511,248883232,252032263,255131116,258162113,261115456,263991379
Indonesia,IDN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,908921597569.645,993670593011.73,1062162052163.67,1125157972597.06,1204858658627.25,1310599747656.28,1434247562894.88,1568262556783.57,1705066027365.97,1798540997333.08,1950593279688.43,2111380501435.94,2278686915195.56,2439984220636.74,2598342369463.91,2755618016114.8,2934766583566.7,3140240568081.55
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,66131854,67096414,67983330,68812713,69617100,70421811,71227880,72031103,72845542,73687565,74567511,75491582,76453574,77435384,78411092,79360487,80277428,81162788
"Iran, Islamic Rep.",IRN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,687848201997.996,709970276154.048,775134439279.975,858841243139.952,917845727079.489,977414708602.242,1060176006641.01,1179872577024.55,1206710216325.88,1223737897636.54,1311100331011.84,1373456121278.42,1303623814499.15,1321844068107.74,1402134250126.95,1397986972993.33,1606423207699.99,1705244016034.15
Iraq,IRQ,"Population, total",SP.POP.TOTL,23565413,24251649,24939299,25627626,26316609,27008426,27697912,28390433,29111417,29894652,30762701,31727053,32776571,33883145,35006080,36115649,37202572,38274618
Iraq,IRQ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,226012366918.085,236295376305.803,221114484820.594,153675057334.036,243495337533.654,265895499802.196,301588711912.639,314839183964.963,359941628463.361,365766856162.891,387717490234.39,420294877136.849,490591644546.84,531533682467.15,544627295386.672,575486314401.991,646329957624.475,650876374623.876
Ireland,IRL,"Population, total",SP.POP.TOTL,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4813608
Ireland,IRL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,100076463397.064,107539141218.832,116063239398.898,124844043883.405,135884436523.142,145694648944.803,165761502204.528,177912914596.552,172080530193.859,157342200206.156,164857539679.267,169257301329.023,174456547300.844,188840590314.93,202512801068.567,255007229117.292,280560276394.26,300578227242.736
Isle of Man,IMN,"Population, total",SP.POP.TOTL,72554,73192,73870,74587,75341,76118,76914,77727,78534,79325,80072,80759,81406,82013,82590,83167,83737,84287
Isle of Man,IMN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,"Population, total",SP.POP.TOTL,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8712400
Israel,ISR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,147034598412.016,153861104489.773,159610145996.911,153447751355.156,166760040164.052,170512183338.055,180424175450.814,197157810805.81,196389136624.513,200851298667.048,215562522714.383,234224794239.857,244685842343.474,269733783740.141,278042494760.032,298147120258.478,314568855168.736,331598748534.565
Italy,ITA,"Population, total",SP.POP.TOTL,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60551416
Italy,ITA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1532836630749.78,1587859658416.47,1626940007698.95,1658549455026.99,1696439428159.12,1744720332016.2,1887466928285.83,1987930702551.14,2063595995375.75,2037999203944.49,2073069389477.72,2152582158386.79,2154531375588.28,2172610704748.01,2192795858548.17,2213146751080.19,2332088039867.11,2423780489517.36
Jamaica,JAM,"Population, total",SP.POP.TOTL,2656864,2677011,2695446,2712511,2728777,2744673,2760279,2775467,2790122,2804082,2817210,2829493,2840992,2851807,2862087,2871934,2881355,2890299
Jamaica,JAM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,16064179059.2884,16465003682.0461,16809480086.6135,17831466403.2918,18607111612.241,19316953886.4477,20676043978.9321,21529206367.7065,22003986383.7655,20901239121.0555,21256914960.4109,22187396305.326,22876869414.5867,23127291087.6545,23752061681.931,23989472607.3126,24343735866.4477,25108223022.9429
Japan,JPN,"Population, total",SP.POP.TOTL,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,126994511,126785797
Japan,JPN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3452953395263.81,3549332030097.2,3639730784809.42,3752140367055.71,3951946728105.86,4133438974348.17,4342658976945.83,4548909481011.59,4573202767880.07,4354111504144.27,4598281576709.05,4702730270932.62,4873844260962.84,5133797407300.4,5166025961476.02,5374340188121.32,5541130962365.6,5764750915748.77
Jordan,JOR,"Population, total",SP.POP.TOTL,5103130,5193482,5287488,5396774,5535595,5714111,5934232,6193191,6489822,6821116,7182390,7574943,7992573,8413464,8809306,9159302,9455802,9702353
Jordan,JOR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,29611972564.5122,32075909054.6513,34086360035.0848,36411996715.5927,41071333925.7785,45967589640.2062,51381770988.7613,57258867985.9185,61701079457.6358,65383351595.678,66119346887.9921,69156949425.6786,72052127928.294,75474698764.6402,79083797219.8897,81861950185.8606,84880574211.6769,88354217573.5342
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,14883626,14858335,14858948,14909018,15012985,15147029,15308084,15484192,15674000,16092822,16321872,16557201,16792089,17035550,17288285,17542806,17794055,18037646
Kazakhstan,KAZ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,109351764616.029,128676193846.284,144986647203.57,159786747674.463,178090483997.544,195691649949.941,217678839851.936,241466581654.712,248159641861.469,263513528974.305,279328323874.324,301583512406.376,325193602191,361952053837.529,385654804934.319,413137997710.949,407550030866.636,422793602006.114
Kenya,KEN,"Population, total",SP.POP.TOTL,31450483,32321482,33214009,34130852,35074931,36048288,37052050,38085909,39148416,40237204,41350152,42486839,43646629,44826849,46024250,47236259,48461567,49699862
Kenya,KEN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,52608777930.1446,55777031175.8518,57064552896.2212,59794639542.2935,64728035729.1344,71361399153.0559,78127883407.2115,85547400247.6776,87746886650.2082,91307406589.5568,99942123606.8434,108655317520.867,115348408834.701,123110790951.048,131601254107.426,141126670839.789,151474669577.468,161521607373.812
Kiribati,KIR,"Population, total",SP.POP.TOTL,84406,85858,87343,88895,90542,92325,94260,96311,98440,100568,102652,104656,106613,108535,110458,112407,114395,116398
Kiribati,KIR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,218254839.950581,234026129.694549,228457583.178494,224018408.222605,226823237.670197,233433306.341212,241792976.701868,239555643.273112,248504966.245236,241672726.209754,253079604.925021,245348537.888049,277445799.191961,323413193.386105,398053568.390771,488282467.380721,430340546.278538,448031753.584223
"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,22929075,23131810,23336681,23538540,23729498,23904167,24061097,24203289,24335146,24463021,24591599,24722298,24854034,24985976,25116363,25243917,25368620,25490965
"Korea, Dem. People’s Rep.",PRK,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51245707,51466201
"Korea, Rep.",KOR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,843935306788.961,902537346911.562,985828020535.8,1019714022540.62,1101100253872.48,1156781985289.3,1246381845745.39,1350407461950.59,1405611759231.35,1393108423291.55,1506811930586.56,1568631167033.9,1627811703472.46,1656512685183.14,1709830640018.39,1800807016409.2,1882180197226.84,1969177435470.22
Kosovo,XKX,"Population, total",SP.POP.TOTL,1700000,1701154,1702310,1703466,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1791000,1805200,1824100,1821800,1801800,1816200,1830700
