ababuj	أفافوخ
echarri	أتشاري
ecija	أثيخا
egues	أغيس
eibar	أيفار
ejulve	أخولفي
elanchove	ألانتشوفي
elche	ألتشي
elda	ألدا
elgoibar	ألغويفار
elizondo	أليثوندو
eljas	ألخاس
elorrio	ألوريو
embid	أمبيذ
embun	أمبون
empanadas	أمباناذاس
encinas	أنثيناس
encinasola	أنثيناسولا
encinedo	أنثينيذو
encinillas	أنثينيلياس
enciso	أنثيسو
endrinal	أندرينال
enfesta	أنفيستا
enguera	أنغيرا
enguidanos	أنغيذانوس
enix	أنيكس
entrena	أنترينا
entrimo	أنتريمو
enveija	أنبييخا
epila	أبيلا
erice	أريثي
erillas	أريلياس
eriste	أريستي
erla	أرلا
ermua	أرموا
errazu	أراثو
erro	أرو
erustes	أروستيس
escairon	أسكايرون
escalada	أسكالاذا
escalante	أسكالانتي
escalo	أسكالو
escalona	أسكالونا
escalonilla	أسكالونيليا
escamilla	أسكاميليا
escanuela	أسكانويلا
escarroz	أسكاروث
escatron	أسكاترون
esclavitud	أسكلافيتوذ
escombreas	أسكومبرياس
escorca	أسكوركا
escoriaza	أسكورياثا
escorihuela	أسكوريأيلا
escriche	أسكريتشي
escucha	أسكوتشا
escullar	أسكوليار
escurial	أسكوريال
escusa	أسكوسا
escuzar	أسكوثار
esfiliana	أسفيليانا
esgos	أسغوس
espadan	أسباذان
espadaña	أسباذانا
espadañedo	أسباذانيذو
espadilla	أسباذيليا
esparragalejo	أسباراغاليخو
esparraguera	أسباراغيرا
espasante	أسباسانتي
espeja	أسبيخا
espejo	أسبيخو
espeluy	أسبيلوي
espera	أسبيرا
espes	أسبيس
espiel	أسبيل
espigüete	أسبيغويتي
espin	أسبين
espina	أسبينا
espinama	أسبيناما
espinilla	أسبينيليا
espirdo	أسبيرذو
esplegares	أسبليغاريس
esplugas	أسبلوغاس
esplus	أسبلوس
espolla	أسبوليا
espot	أسبوت
esquivias	أسكيفياس
establiments	أستافليمينتس
estadilla	أستاذيليا
estallo	أستاليو
estanyol	أستانيول
esteban	أستيفان
estella	أستيليا
estena	أستينا
estepa	أستيبا
estepar	أستيبار
estepona	أستيبونا
estivella	أستيفيليا
estopiñan	أستوبينان
estremera	أستريميرا
etreros	أتريروس
eulate	أولاتي
extremadura	أستريماذورا
ezcaray	أثكاراي
ezcurra	أثكورا
fabara	فافارا
fabero	فافيرو
facinas	فاثيناس
falces	فالثيس
falconera	فالكونيرا
falset	فالسيت
famorca	فاموركا
fañanas	فاناناس
fanlo	فانلو
farajan	فاراخان
farasdues	فاراسذويس
farena	فارينا
fariza	فاريثا
fatarella	فاتاريليا
faura	فاورا
favareta	فافاريتا
fayon	فايون
febro	ففرو
felanitx	فلانيتش
felechosa	فليتشوسا
felix	فليكس
fene	فني
feria	فريا
fermoselle	فرموسيلي
fernancaballero	فرنانكافاليرو
ferreira	فرييرا
ferrerias	فريرياس
ferreruela	فريرويلا
figols	فيغولس
figueras	فيغيراس
figueroles	فيغيروليس
figuerosa	فيغيروسا
finana	فينانا
finestrat	فينيسترات
finisterre	فينيستيري
fiscal	فيسكال
fitero	فيتيرو
flassa	فلاسا
flix	فليكس
fondon	فوندون
fonelas	فونيلاس
fonfria	فونفريا
fonollosa	فونوليوسا
fonsagrada	فونساغراذا
fontanar	فونتانار
fontanarejo	فونتاناريخو
fontanosas	فونتانوساس
fontao	فونتاو
fontellas	فونتيلياس
fontioso	فونتيوسو
fontiveros	فونتيفيروس
fontllonga	فونتليونغا
fonz	فونث
forcarey	فوركاريي
foronda	فوروندا
forua	فوروا
foz	فوث
frades	فراذيس
fraga	فراغا
frailes	فرايليس
francos	فرانكوس
frechilla	فريتشيليا
fredes	فريذيس
freginals	فريخينالس
freila	فرييلا
fresnedilla	فريسنيذيليا
fresnedo	فريسنيذو
frias	فرياس
frigiliana	فريخيليانا
friol	فريول
fromista	فروميستا
frumales	فروماليس
fuencaliente	فوينكالينتي
fuencarral	فوينكارال
fuencemillan	فوينثيميليان
fuendejalon	فوينديخالون
fuendetodos	فوينديتوذوس
fuenferrada	فوينفيراذا
fuengirola	فوينخيرولا
fuenlabrada	فوينلافراذا
fuenllana	فوينليانا
fuenmayor	فوينمايور
fuensalida	فوينساليذا
fuensanta	فوينسانتا
fuentealbilla	فوينتيالفيليا
fuenteboa	فوينتيفوا
fuentecen	فوينتيثين
fuenteguinaldo	فوينتيغينالدو
fuenteheridos	فوينتيإِريذوس
fuentelapeña	فوينتيلابينا
fuentelcesped	فوينتيلثيسبيذ
fuentelmonje	فوينتيلمونخي
fuentelsaz	فوينتيلساث
fuentemilanos	فوينتيميلانوس
fuentenovilla	فوينتينوفيليا
fuentepelayo	فوينتيبيلايو
fuentepinilla	فوينتيبينيليا
fuenterrabia	فوينتيرافيا
fuenterrebollo	فوينتيريفوليو
fuenterrobles	فوينتيروفليس
fuentes	فوينتيس
fuentesaúco	فوينتيساوكو
fuentescusa	فوينتيسكوسا
fuentesecas	فوينتيسيكاس
fuentespalda	فوينتيسبالدا
fuentespina	فوينتيسبينا
fuentidueña	فوينتيذوينا
funes	فونيس
furnas	فورناس
fustiñana	فوستينانا
gabaldon	غافالدون
gabarret	غافاريت
gabasa	غافاسا
gador	غاذور
gajanejos	غاخانيخوس
gajates	غاخاتيس
galapagar	غالاباغار
galapagos	غالاباغوس
galar	غالار
galaroza	غالاروثا
galbarra	غالفارا
galdacano	غالداكانو
galdames	غالداميس
galende	غاليندي
galera	غاليرا
galicia	غاليثيا
galinduste	غاليندوستي
galisteo	غاليستيو
gallegos	غاليغوس
gallinal	غالينال
gallur	غاليور
galvez	غالفيث
gamonal	غامونال
ganame	غانامي
gandesa	غانديسا
gandia	غانديا
ganuelas	غانويلاس
garaballa	غارافاليا
garayoa	غارايوا
garcillan	غارثيليان
gargaligas	غارغاليغاس
gargallo	غارغاليو
gargüera	غارغويرا
garinoain	غارينواين
garoiez	غارويث
garraf	غاراف
garralda	غارالدا
garray	غاراي
garrigas	غاريغاس
garrovillas	غاروفيلياس
garrucha	غاروتشا
gascueña	غاسكوينا
gata	غاتا
gatova	غاتوفا
gaucin	غاوثين
gauna	غاونا
gava	غافا
gavanes	غافانيس
gelida	خليذا
gelsa	خلسا
gelves	خلفيس
genalguacil	خنالغواثيل
genave	خنافي
genevilla	خنيفيليا
gerena	خرينا
germade	خرماذي
gerona	خرونا
gerri	خري
gesera	خسيرا
geve	خفي
gibarroyo	خيفارويو
gijon	خيخون
gilena	خيلينا
gimenells	خيمينيليس
gironella	خيرونيليا
godall	غوذالي
godelleta	غوذيليتا
goiriz	غويريث
goizueta	غويثويتا
golada	غولاذا
golpejas	غولبيخاس
gomara	غومارا
gomecello	غوميثيليو
gomesende	غوميسيندي
gondomar	غوندومار
gor	غور
gorafe	غورافي
gormaz	غورماث
gotarrendura	غوتاريندورا
gozon	غوثون
gradefes	غراذيفيس
grado	غراذو
grajera	غراخيرا
granada	غراناذا
granadella	غراناذيليا
granadilla	غراناذيليا
granatula	غراناتولا
grandes	غرانديس
grañén	غرانين
granollers	غرانوليرس
graus	غراوس
gravalos	غرافالوس
grazalema	غراثاليما
griegos	غريغوس
griñón	غرينون
grisen	غريسين
grove	غروفي
guadahortuna	غواذاأرتونا
guadajoz	غواذاخوث
guadalajara	غواذالاخارا
guadalaviar	غواذالافيار
guadalcanal	غواذالكانال
guadalcazar	غواذالكاثار
guadalupe	غواذالوبي
guadamur	غواذامور
guadarrama	غواذاراما
guadarranque	غواذارانكي
guadasuar	غواذاسوار
guadix	غواذيكس
gualchos	غوالتشوس
gualta	غوالتا
guardiola	غوارذيولا
guardo	غوارذو
guareña	غوارينا
guaro	غوارو
guarroman	غوارومان
gudar	غوذار
guecho	غتشو
güeñes	غوينيس
güesa	غويسا
guetaria	غتاريا
guiana	غيانا
guijo	غيخو
guijuelo	غيخويلو
guillarey	غيلياريي
guillena	غيلينا
guillerias	غيليرياس
guimaray	غيماراي
guimera	غيميرا
guisona	غيسونا
guitiriz	غيتيريث
gulina	غولينا
guntin	غونتين
guriezo	غوريثو
gurp	غورب
hacinas	أثيناس
haro	أرو
hecho	أتشو
helechal	أليتشال
helechosa	أليتشوسا
hellin	ألين
henarejos	أناريخوس
henche	أنتشي
herbes	أرفيس
herencia	أرينثيا
hernani	أرناني
hernansancho	أرنانسانتشو
herramelluri	أراميليوري
herrera	أريرا
herreria	أريريا
herrerias	أريرياس
herreros	أريروس
herreruela	أريرويلا
hervas	أرفاس
higa	إِغا
higuera	إِغيرا
higueruela	إِغيرويلا
higueruelas	إِغيرويلاس
hijar	إِخار
hinodejo	إِنوذيخو
hinojal	إِنوخال
hinojales	إِنوخاليس
hinojares	إِنوخاريس
hinojos	إِنوخوس
hinojosa	إِنوخوسا
hinojosas	إِنوخوساس
holguera	ألغيرا
hombrados	أمبراذوس
honrubia	أنروفيا
hontalbilla	أنتالفيليا
hontanares	أنتاناريس
hontanaya	أنتانايا
hontecillos	أنتيثيليوس
hontoba	أنتوفا
horche	أرتشي
hornos	أرنوس
hospitalet	أسبيتاليت
hoyos	أيوس
hoyuelos	أيويلوس
huarte	أارتي
huelago	أيلاغو
huelamo	أيلامو
huelma	أيلما
huelva	أيلفا
huelves	أيلفيس
hueneja	أينيخا
huermeces	أيرميثيس
huerrios	أيريوس
huertahernando	أيرتاإِرناندو
huerteles	أيرتيليس
huerto	أيرتو
huesa	أيسا
huesca	أيسكا
huescar	أيسكار
huete	أيتي
humanes	أمانيس
humilladero	أميلياذيرو
husillos	أسيليوس
ibahernando	إِفاإِرناندو
ibdes	إِفذيس
ibi	إِفي
iborra	إِفورا
ibros	إِفروس
idocin	إِذوثين
iglesias	إِغليسياس
igualada	إِغوالاذا
igualeja	إِغواليخا
igüeña	إِغوينا
ilche	إِلتشي
ilerda	إِليرذا
ilipa	إِليبا
illana	إِليانا
illano	إِليانو
illas	إِلياس
illescas	إِليسكاس
illora	إِليورا
illueca	إِليويكا
imon	إِمون
incinillas	إِنثينيلياس
incio	إِنثيو
infantes	إِنفانتيس
infiesto	إِنفيستو
iniesta	إِنيستا
instincion	إِنستينثيون
irijo	إِريخو
irijoa	إِريخوا
irueste	إِرويستي
irun	إِرون
irura	إِرورا
irurita	إِروريتا
irurozqui	إِروروثكي
isaba	إِسافا
iscar	إِسكار
isil	إِسيل
isona	إِسونا
isso	إِسو
istan	إِستان
isuerre	إِسويري
itrabo	إِترافو
ituero	إِتويرو
izalzu	إِثالثو
izarra	إِثارا
iznájar	إِثناخار
iznalloz	إِثناليوث
iznatoraf	إِثناتوراف
jabaga	خافاغا
jabalera	خافاليرا
jabaloyas	خافالوياس
jabalquinto	خافالكينتو
jabarriega	خافاريغا
jabugo	خافوغو
jaca	خاكا
jadraque	خاذراكي
jaen	خاين
jalance	خالانثي
jalon	خالون
jaraba	خارافا
jaraco	خاراكو
jarafuel	خارافويل
jaraicejo	خارايثيخو
jarandilla	خارانديليا
jaray	خاراي
jarque	خاركي
jatar	خاتار
jatiel	خاتيل
jativa	خاتيفا
jaulin	خاولين
jaurrieta	خاوريتا
javea	خافيا
jayena	خاينا
jemenuño	خمينونو
jeresa	خريسا
jerica	خريكا
jerte	خرتي
jimena	خيمينا
jirueque	خيرويكي
jodar	خوذار
jorairatar	خورايراتار
jorcas	خوركاس
jorquera	خوركيرا
jove	خوفي
jubera	خوفيرا
jubrique	خوفريكي
judes	خوذيس
judio	خوذيو
jumilla	خوميليا
juncajo	خونكاخو
juncosa	خونكوسا
juneda	خونيذا
labacolla	لافاكوليا
labajos	لافاخوس
laborcillas	لافورثيلياس
lacalahorra	لاكالاأرا
lachar	لاتشار
lacumbre	لاكومبري
lage	لاخي
laguarres	لاغواريس
laguarta	لاغوارتا
lagunaseca	لاغوناسيكا
lagunilla	لاغونيليا
lalin	لالين
lama	لاما
lanaja	لاناخا
lancara	لانكارا
lanciego	لانثيغو
landete	لانديتي
lanestosa	لانيستوسا
langreo	لانغريو
languilla	لانغيليا
lanjaron	لانخارون
lantadilla	لانتاذيليا
lanteira	لانتييرا
lanz	لانث
lanza	لانثا
lapeza	لابيثا
lardero	لارذيرو
laredo	لاريذو
laroco	لاروكو
laroles	لاروليس
larrainzar	لاراينثار
larraona	لاراونا
larrion	لاريون
lasarte	لاسارتي
latina	لاتينا
latre	لاتري
lavadores	لافاذوريس
lavapiés	لافابيس
layana	لايانا
layna	لاينا
layos	لايوس
laza	لاثا
leache	لياتشي
lebrija	ليفريخا
lecera	ليثيرا
leciñena	ليثينينا
lecumberri	ليكومبيري
ledaña	ليذانا
ledanca	ليذانكا
ledesma	ليذيسما
leganés	ليغانيس
leganiel	ليغانيل
leiro	لييرو
leitariegos	لييتاريغوس
leiza	لييثا
lemona	ليمونا
lences	لينثيس
lepe	ليبي
lequeitio	ليكييتيو
lerga	ليرغا
lerida	ليريذا
lerin	ليرين
lerma	ليرما
les	ليس
lesaca	ليساكا
letur	ليتور
letux	ليتوكس
leza	ليثا
lezama	ليثاما
lezuza	ليثوثا
librilla	ليفريليا
libros	ليفروس
lidon	ليذون
liédena	ليذينا
lietor	ليتور
lijar	ليخار
lillol	ليليول
limpias	ليمبياس
linares	ليناريس
liñola	لينولا
liria	ليريا
lizarraga	ليثاراغا
llado	لياذو
llafranc	ليافرانك
llagostera	لياغوستيرا
llanes	ليانيس
llansa	ليانسا
llauri	لياوري
llera	ليرا
llerena	ليرينا
llers	ليرس
lles	ليس
llivia	ليفيا
llobregales	ليوفريغاليس
llodio	ليوذيو
llombay	ليومباي
lloseta	ليوسيتا
llovera	ليوفيرا
llubi	ليوفي
lluchmayor	ليوتشمايور
loarre	لواري
lobatejo	لوفاتيخو
lobera	لوفيرا
lobon	لوفون
lodosa	لوذوسا
loeches	لويتشيس
logroño	لوغرونو
logrosan	لوغروسان
loja	لوخا
lombrana	لومبرانا
longares	لونغاريس
lopera	لوبيرا
lorca	لوركا
lorcha	لورتشا
lorenzana	لورينثانا
lores	لوريس
lorqui	لوركي
losacino	لوساثينو
lousame	لووسامي
lovios	لوفيوس
lozoya	لوثويا
lozoyuela	لوثويويلا
luanco	لوانكو
luarca	لواركا
lubian	لوفيان
lubrin	لوفرين
lucar	لوكار
lucena	لوثينا
luceni	لوثيني
lucillo	لوثيليو
ludiente	لوذينتي
luelmo	لويلمو
luesia	لويسيا
luezas	لويثاس
lugan	لوغان
lugo	لوغو
lugones	لوغونيس
lugros	لوغروس
lujar	لوخار
lumbier	لومبير
lumbrales	لومبراليس
lumbreras	لومبريراس
lumpiaque	لومبياكي
luna	لونا
luque	لوكي
luyego	لويغو
luzaga	لوثاغا
luzon	لوثون
macael	ماكايل
maceda	ماثيذا
machero	ماتشيرو
macotera	ماكوتيرا
maderuelo	ماذيرويلو
madridejos	ماذريذيخوس
madrigalejo	ماذريغاليخو
madriguera	ماذريغيرا
madrigueras	ماذريغيراس
madrona	ماذرونا
madronera	ماذرونيرا
madroño	ماذرونو
maella	مايليا
maello	مايليو
maestre	مايستري
maestu	مايستو
magacela	ماغاثيلا
magallon	ماغاليون
magaña	ماغانا
magaz	ماغاث
magina	ماخينا
maguilla	ماغيليا
mahide	ماإِذي
mahon	ماأن
mahora	ماأرا
mainar	ماينار
majadas	ماخاذاس
majaelrayo	ماخايلرايو
mala	مالا
malagon	مالاغون
malaguilla	مالاغيليا
malanquilla	مالانكيليا
malcocinado	مالكوثيناذو
malgrat	مالغرات
mallen	مالين
malon	مالون
malpica	مالبيكا
maluenda	مالويندا
mampodre	مامبوذري
manacor	ماناكور
manchita	مانتشيتا
mandayona	ماندايونا
mañeru	مانيرو
manilva	مانيلفا
manises	مانيسيس
manlleu	مانليو
manresa	مانريسا
manresana	مانريسانا
mansilla	مانسيليا
mantañes	مانتانيس
mantiel	مانتيل
manzanares	مانثاناريس
manzaneda	مانثانيذا
manzanedo	مانثانيذو
manzaneque	مانثانيكي
manzanera	مانثانيرا
maqueda	ماكيذا
maracena	ماراثينا
maranchon	مارانتشون
marazoleja	ماراثوليخا
marbella	مارفيليا
marcilla	مارثيليا
marganell	مارغانيلي
mariana	ماريانا
marin	مارين
marinaleda	ماريناليذا
marines	مارينيس
marmolejo	مارموليخو
marron	مارون
marrube	ماروفي
marrupe	ماروبي
martorell	مارتوريلي
martos	مارتوس
marugan	ماروغان
masa	ماسا
masalaves	ماسالافيس
masamagrell	ماساماغريلي
masanasa	ماساناسا
mascaraque	ماسكاراكي
masegoso	ماسيغوسو
maside	ماسيذي
masquefa	ماسكيفا
massanas	ماساناس
matabuena	ماتافوينا
matagalls	ماتاغاليس
matalebreras	ماتاليفريراس
matallana	ماتاليانا
matamorosa	ماتاموروسا
matanza	ماتانثا
matapozuelos	ماتابوثويلوس
mataro	ماتارو
matarrubia	ماتاروفيا
matedeon	ماتيذيون
matienzo	ماتينثو
matute	ماتوتي
mausoleo	ماوسوليو
mayalde	مايالدي
mayals	مايالس
mayorga	مايورغا
mazarete	ماثاريتي
mazaricos	ماثاريكوس
mazarron	ماثارون
mazarulleque	ماثاروليكي
mazateron	ماثاتيرون
mazuecos	ماثويكوس
meano	مانو
meco	مكو
mediana	مذيانا
medina	مذينا
mediña	مذينا
medinaceli	مذيناثيلي
mediodia	مذيوذيا
mediona	مذيونا
meijaboy	ميخافوي
meira	ميرا
meis	ميس
mejorada	مخوراذا
meliana	مليانا
melida	مليذا
mellid	مليذ
melon	ملون
membrilla	ممبريليا
membrillar	ممبريليار
membrillera	ممبريليرا
membrio	ممبريو
menasalbas	مناسالفاس
mencal	منكال
mendavia	مندافيا
mendigorria	منديغوريا
meneses	منيسيس
mengabril	منغافريل
mengibar	منخيفار
mentrida	منتريذا
mequinenza	مكينينثا
mera	مرا
merida	مريذا
mesia	مسيا
mesones	مسونيس
mestanza	مستانثا
miajadas	مياخاذاس
miedes	ميذيس
mieras	ميراس
mieres	ميريس
mieza	ميثا
miguelturra	ميغيلتورا
mijares	ميخاريس
mijas	ميخاس
milagro	ميلاغرو
millana	ميليانا
millares	ميلياريس
millena	ميلينا
minana	مينانا
minateda	ميناتيذا
minaya	مينايا
minglanilla	مينغلانيليا
mingorria	مينغوريا
miño	مينو
mira	ميرا
mirabel	ميرافيل
mirambel	ميرامبيل
mirandilla	ميرانديليا
miravalles	ميرافاليس
miravet	ميرافيت
miravete	ميرافيتي
moaña	موانا
mocejon	موثيخون
mochales	موتشاليس
moclin	موكلين
moeche	مويتشي
mofrecho	موفريتشو
mogente	موخينتي
mogon	موغون
moguer	موغير
mohedas	موإِذاس
mohorte	موأرتي
mojacar	موخاكار
mojados	موخاذوس
mojina	موخينا
mola	مولا
molaton	مولاتون
molinaseca	موليناسيكا
molinicos	مولينيكوس
molinos	مولينوس
molledo	موليذو
mollerusa	موليروسا
mollet	موليت
mollina	مولينا
mollo	موليو
moluengo	مولوينغو
molvizar	مولفيثار
mombeltran	مومبيلتران
mombuey	مومبويي
monachil	موناتشيل
monbeltran	مونبيلتران
moncada	مونكاذا
moncalvo	مونكالفو
moncayo	مونكايو
moncloa	مونكلوا
moncofar	مونكوفار
monda	موندا
mondariz	مونداريث
mondejar	مونديخار
mondoñedo	موندونيذو
mondragon	موندراغون
monduber	موندوفير
monegrillo	مونيغريليو
monesterio	مونيستيريو
moneva	مونيفا
monfero	مونفيرو
monflorite	مونفلوريتي
mongo	مونغو
monistrol	مونيسترول
monleras	مونليراس
monovar	مونوفار
monreal	مونريال
monroy	مونروي
monroyo	مونرويو
monsagro	مونساغرو
monserrat	مونسيرات
montalban	مونتالفان
montalbanejo	مونتالفانيخو
montalbo	مونتالفو
montalbos	مونتالفوس
montalvos	مونتالفوس
montan	مونتان
montanchez	مونتانتشيث
montanyola	مونتانيولا
montarto	مونتارتو
monteagudo	مونتياغوذو
montearagon	مونتياراغون
montederramo	مونتيذيرامو
montefrio	مونتيفريو
montejaque	مونتيخاكي
montejicar	مونتيخيكار
montellano	مونتيليانو
montemolin	مونتيمولين
monterrey	مونتيريي
monterroso	مونتيروسو
monterrubio	مونتيروفيو
montesa	مونتيسا
montesclaros	مونتيسكلاروس
montiel	مونتيل
montijo	مونتيخو
montilla	مونتيليا
montillana	مونتيليانا
montizon	مونتيثون
montmelo	مونتميلو
monton	مونتون
montoro	مونتورو
montras	مونتراس
montroy	مونتروي
montuenga	مونتوينغا
montuiri	مونتويري
monturque	مونتوركي
monzon	مونثون
mora	مورا
moral	مورال
moraleja	موراليخا
morales	موراليس
moralina	مورالينا
moraña	مورانا
morante	مورانتي
moratalla	موراتاليا
morcillo	مورثيليو
moreda	موريذا
morell	موريلي
morella	موريليا
morentin	مورينتين
mores	موريس
morey	موريي
moriles	موريليس
morillejo	موريليخو
morla	مورلا
moros	موروس
mos	موس
mosqueruela	موسكيرويلا
mostoles	موستوليس
motilla	موتيليا
motilleja	موتيليخا
motos	موتوس
motril	موتريل
moya	مويا
moyuela	مويويلا
mozoncillo	موثونثيليو
muchamiel	موتشاميل
mucientes	موثينتيس
muel	مويل
mugaire	موغايري
mugardos	موغارذوس
mugia	موخيا
mugica	موخيكا
muiños	موينوس
mula	مولا
muñana	مونانا
munebrega	مونيفريغا
munera	مونيرا
mungia	مونخيا
munico	مونيكو
muniesa	مونيسا
munilla	مونيليا
muñogalindo	مونوغاليندو
muñogrande	مونوغراندي
muntadas	مونتاذاس
muras	موراس
murchante	مورتشانتي
murcia	مورثيا
murguia	مورغيا
muriel	موريل
muro	مورو
muros	موروس
murtas	مورتاس
murueta	مورويتا
nacimiento	ناثيمينتو
nagore	ناغوري
naharros	ناأروس
najera	ناخيرا
nambroca	نامبروكا
naquera	ناكيرا
narboneta	نارفونيتا
naron	نارون
nava	نافا
navacerrada	نافاثيراذا
navachica	نافاتشيكا
navaconcejo	نافاكونثيخو
navafria	نافافريا
navahermosa	نافاإِرموسا
navahondilla	نافاأنديليا
navajas	نافاخاس
naval	نافال
navalacruz	نافالاكروث
navalagamella	نافالاغاميليا
navalcaballo	نافالكافاليو
navalcan	نافالكان
navaleno	نافالينو
navalguijo	نافالغيخو
navalilla	نافاليليا
navalmanzano	نافالمانثانو
navalmoral	نافالمورال
navalmoralejo	نافالموراليخو
navalonguilla	نافالونغيليا
navalosa	نافالوسا
navalpino	نافالبينو
navalsauz	نافالساوث
navaluenga	نافالوينغا
navardun	نافارذون
navarres	نافاريس
navarrete	نافاريتي
navas	نافاس
navasa	نافاسا
navascues	نافاسكويس
navasfrias	نافاسفرياس
navata	نافاتا
navelgas	نافيلغاس
naves	نافيس
navia	نافيا
nebreda	نفريذا
neda	نذا
negredo	نغريذو
negreira	نغرييرا
neila	نيلا
nerja	نرخا
nerpio	نربيو
nerva	نرفا
nestar	نستار
niebla	نيفلا
nieves	نيفيس
nigran	نيغران
niguelas	نيغيلاس
nijar	نيخار
noain	نواين
noalejo	نواليخو
noblejas	نوفليخاس
noceda	نوثيذا
noez	نويث
nofuentes	نوفوينتيس
nogales	نوغاليس
nograles	نوغراليس
noguera	نوغيرا
nogueruelas	نوغيرويلاس
nois	نويس
nolay	نولاي
nombela	نومبيلا
nonaspe	نوناسبي
noreña	نورينا
novales	نوفاليس
novallas	نوفالياس
novelda	نوفيلدا
noves	نوفيس
novillas	نوفيلياس
noya	نويا
nueno	نوينو
nueva	نويفا
nules	نوليس
nulles	نوليس
numancia	نومانثيا
nuñomoral	نونومورال
obon	أفون
ocaña	أكانا
ocejon	أثيخون
ocentejo	أثينتيخو
ochagavia	أتشاغافيا
ochandiano	أتشانديانو
oden	أذين
odon	أذون
ohanes	أأنيس
oímbra	أيمبرا
ojen	أخين
ojos	أخوس
olalla	ألاليا
olave	ألافي
olazagutia	ألاثاغوتيا
olba	ألفا
oleiros	ألييروس
oliana	أليانا
olias	ألياس
oliete	أليتي
oliola	أليولا
olite	أليتي
oliva	أليفا
olivares	أليفاريس
olivella	أليفيليا
olivenza	أليفينثا
olleria	أليريا
ollo	أليو
olmedillas	ألميذيلياس
olmedo	ألميذو
olmillos	ألميليوس
olocau	ألوكاو
olombrada	ألومبراذا
olost	ألوست
olot	ألوت
olvan	ألفان
olvega	ألفيغا
olvena	ألفينا
olvera	ألفيرا
olza	ألثا
oña	أنا
oñate	أناتي
oncala	أنكالا
onda	أندا
ondara	أندارا
ondarroa	أنداروا
onis	أنيس
ontaneda	أنتانيذا
onteniente	أنتينينتي
ontur	أنتور
onzonilla	أنثونيليا
oquillas	أكيلياس
orbara	أرفارا
orce	أرثي
orcera	أرثيرا
orcheta	أرتشيتا
orduña	أرذونا
orea	أريا
orejo	أريخو
orense	أرينسي
ores	أريس
orgaña	أرغانا
orgaz	أرغاث
orgiva	أرخيفا
oria	أريا
orihuela	أريأيلا
orio	أريو
oris	أريس
orista	أريستا
orle	أرلي
orol	أرول
oropesa	أروبيسا
oroso	أروسو
orozco	أروثكو
orrios	أريوس
orrius	أريوس
orusco	أروسكو
osera	أسيرا
osor	أسور
osorno	أسورنو
ostiz	أستيث
osuna	أسونا
oteiza	أتييثا
oteo	أتيو
otero	أتيرو
otivar	أتيفار
otura	أتورا
oural	أورال
outes	أوتيس
ouviaño	أوفيانو
ovejo	أفيخو
oviedo	أفيذو
oya	أيا
oyarzun	أيارثون
oyon	أيون
ozaeta	أثايتا
padron	باذرون
padul	باذول
paguera	باغيرا
pajares	باخاريس
pajaron	باخارون
pajaroncillo	باخارونثيليو
palafrugell	بالافروخيلي
palamos	بالاموس
palancas	بالانكاس
palanques	بالانكيس
palanquinos	بالانكينوس
palencia	بالينثيا
palenciana	بالينثيانا
palentino	بالينتينو
palenzuela	بالينثويلا
pallares	بالياريس
pallars	باليارس
palleja	باليخا
pallerols	باليرولس
palma	بالما
palo	بالو
palomas	بالوماس
palomeque	بالوميكي
palomera	بالوميرا
pals	بالس
pampliega	بامبليغا
pamplona	بامبلونا
pancorbo	بانكورفو
pancrudo	بانكروذو
panes	بانيس
paniza	بانيثا
panticosa	بانتيكوسا
pantoja	بانتوخا
panton	بانتون
paones	باونيس
papeles	بابيليس
paracuellos	باراكويليوس
paradas	باراذاس
paradaseca	باراذاسيكا
paradela	باراذيلا
paramo	بارامو
parauta	باراوتا
parcent	بارثينت
pardilla	بارذيليا
paredes	باريذيس
pareja	باريخا
parets	باريتس
parga	بارغا
parla	بارلا
parlaba	بارلافا
parres	باريس
parrillas	باريلياس
partaloa	بارتالوا
parzan	بارثان
pasajes	باساخيس
pasaron	باسارون
pastoriza	باستوريثا
pastrana	باسترانا
pauls	باولس
pavias	بافياس
paymogo	بايموغو
pechina	بتشينا
pedralba	بذرالفا
pedralbes	بذرالفيس
pedreguer	بذريغير
pedrera	بذريرا
pedroche	بذروتشي
pedrola	بذرولا
pedroso	بذروسو
pedrouzos	بذرووثوس
pegalajar	بغالاخار
pego	بغو
pelahustan	بلاأستان
peleagonzalo	بلياغونثالو
pelegrina	بليغرينا
peloche	بلوتشي
peñacerrada	بناثيراذا
peñafiel	بنافيل
peñaflor	بنافلور
peñagolosa	بناغولوسا
penagos	بناغوس
peñalba	بنالفا
peñalen	بنالين
peñarrubia	بناروفيا
peñascosa	بناسكوسا
peñausende	بناوسيندي
peniscola	بنيسكولا
pepino	ببينو
peracense	براثينسي
perafita	برافيتا
peral	برال
peralejos	براليخوس
peralta	برالتا
peraltilla	برالتيليا
peralveche	برالفيتشي
peramola	برامولا
peranzanes	برانثانيس
peratallada	براتالياذا
perdiguera	برذيغيرا
perelada	بريلاذا
perello	بريليو
pereña	برينا
pereruela	بريرويلا
periana	بريانا
perorrubio	بروروفيو
pertusa	برتوسا
perves	برفيس
pesaguero	بساغيرو
pescueza	بسكويثا
pesquera	بسكيرا
pesues	بسويس
petin	بتين
pias	بياس
picacho	بيكاتشو
picasent	بيكاسينت
picon	بيكون
picorro	بيكورو
piedrabuena	بيذرافوينا
piedrafita	بيذرافيتا
