ababuj	آواووخ
elda	ايلدا
elgoibar	ايلغويوار
elizondo	ايليثوندو
eljas	ايلخاس
elorrio	ايلوريو
embid	ايمبيذ
embun	ايمبون
empanadas	ايمپاناذاس
encinas	اينثيناس
encinasola	اينثيناسولا
encinedo	اينثينيذو
encinillas	اينثينيلياس
enciso	اينثيسو
endrinal	ايندرينال
enfesta	اينفيستا
enguera	اينگيرا
enguidanos	اينگيذانوس
enix	اينيکس
entrena	اينترينا
entrimo	اينتريمو
enveija	اينبييخا
epila	ايپيلا
erice	ايريثه
erillas	ايريلياس
eriste	ايريسته
erla	ايرلا
ermua	ايرموا
errazu	ايراثو
erro	ايرو
erustes	ايروستيس
escairon	ايسکايرون
escalada	ايسکالاذا
escalante	ايسکالانته
escalo	ايسکالو
escalona	ايسکالونا
escalonilla	ايسکالونيليا
escamilla	ايسکاميليا
escanuela	ايسکانويلا
escarroz	ايسکاروث
escatron	ايسکاترون
esclavitud	ايسکلاويتوذ
escombreas	ايسکومبرياس
escorca	ايسکورکا
escoriaza	ايسکورياثا
escorihuela	ايسکورياويلا
escriche	ايسکريچه
escucha	ايسکوچا
escullar	ايسکوليار
escurial	ايسکوريال
escusa	ايسکوسا
escuzar	ايسکوثار
esfiliana	ايسفيليانا
esgos	ايسغوس
espadan	ايسپاذان
espadaña	ايسپاذانا
espadañedo	ايسپاذانيذو
espadilla	ايسپاذيليا
esparragalejo	ايسپاراغاليخو
esparraguera	ايسپاراغيرا
espasante	ايسپاسانته
espeja	ايسپيخا
espejo	ايسپيخو
espeluy	ايسپيلوي
espera	ايسپيرا
espes	ايسپيس
espiel	ايسپيل
espigüete	ايسپيغويته
espin	ايسپين
espina	ايسپينا
espinama	ايسپيناما
espinilla	ايسپينيليا
espirdo	ايسپيرذو
esplegares	ايسپليغاريس
esplugas	ايسپلوغاس
esplus	ايسپلوس
espolla	ايسپوليا
espot	ايسپوت
esquivias	ايسکيوياس
establiments	ايستاوليمينتس
estadilla	ايستاذيليا
estallo	ايستاليو
estanyol	ايستانيول
esteban	ايستيوان
estella	ايستيليا
estena	ايستينا
estepa	ايستيپا
estepar	ايستيپار
estepona	ايستيپونا
estivella	ايستيويليا
estopiñan	ايستوپينان
estremera	ايستريميرا
etreros	ايتريروس
eulate	ايولاته
extremadura	ايستريماذورا
ezcaray	ايثکاراي
ezcurra	ايثکورا
fabara	فاوارا
fabero	فاويرو
facinas	فاثيناس
falces	فالثيس
falconera	فالکونيرا
falset	فالسيت
famorca	فامورکا
fañanas	فاناناس
fanlo	فانلو
farajan	فاراخان
farasdues	فاراسذويس
farena	فارينا
fariza	فاريثا
fatarella	فاتاريليا
faura	فاورا
favareta	فاواريتا
fayon	فايون
febro	فيورو
felanitx	فيلانيچ
felechosa	فيليچوسا
felix	فيليکس
fene	فينه
feria	فيريا
fermoselle	فيرموسيله
fernancaballero	فيرنانکاواليرو
ferreira	فيرييرا
ferrerias	فيريرياس
ferreruela	فيريرويلا
figols	فيغولس
figueras	فيغيراس
figueroles	فيغيروليس
figuerosa	فيغيروسا
finana	فينانا
finestrat	فينيسترات
finisterre	فينيستيره
fiscal	فيسکال
fitero	فيتيرو
flassa	فلاسا
flix	فليکس
fondon	فوندون
fonelas	فونيلاس
fonfria	فونفريا
fonollosa	فونوليوسا
fonsagrada	فونساغراذا
fontanar	فونتانار
fontanarejo	فونتاناريخو
fontanosas	فونتانوساس
fontao	فونتاو
fontellas	فونتيلياس
fontioso	فونتيوسو
fontiveros	فونتيويروس
fontllonga	فونتليونگا
fonz	فونث
forcarey	فورکاريي
foronda	فوروندا
forua	فوروا
foz	فوث
frades	فراذيس
fraga	فراغا
frailes	فرايليس
francos	فرانکوس
frechilla	فريچيليا
fredes	فريذيس
freginals	فريخينالس
freila	فرييلا
fresnedilla	فريسنيذيليا
fresnedo	فريسنيذو
frias	فرياس
frigiliana	فريخيليانا
friol	فريول
fromista	فروميستا
frumales	فروماليس
fuencaliente	فوينکالينته
fuencarral	فوينکارال
fuencemillan	فوينثيميليان
fuendejalon	فوينديخالون
fuendetodos	فوينديتوذوس
fuenferrada	فوينفيراذا
fuengirola	فوينخيرولا
fuenlabrada	فوينلاوراذا
fuenllana	فوينليانا
fuenmayor	فوينمايور
fuensalida	فوينساليذا
fuensanta	فوينسانتا
fuentealbilla	فوينتيالويليا
fuenteboa	فوينتيووا
fuentecen	فوينتيثين
fuenteguinaldo	فوينتيغينالدو
fuenteheridos	فوينتيايريذوس
fuentelapeña	فوينتيلاپينا
fuentelcesped	فوينتيلثيسپيذ
fuentelmonje	فوينتيلمونخه
fuentelsaz	فوينتيلساث
fuentemilanos	فوينتيميلانوس
fuentenovilla	فوينتينوويليا
fuentepelayo	فوينتيپيلايو
fuentepinilla	فوينتيپينيليا
fuenterrabia	فوينتيراويا
fuenterrebollo	فوينتيريووليو
fuenterrobles	فوينتيرووليس
fuentes	فوينتيس
fuentesaúco	فوينتيساوکو
fuentescusa	فوينتيسکوسا
fuentesecas	فوينتيسيکاس
fuentespalda	فوينتيسپالدا
fuentespina	فوينتيسپينا
fuentidueña	فوينتيذوينا
funes	فونيس
furnas	فورناس
fustiñana	فوستينانا
gabaldon	گاوالدون
gabarret	گاواريت
gabasa	گاواسا
gador	گاذور
gajanejos	گاخانيخوس
gajates	گاخاتيس
galapagar	گالاپاغار
galapagos	گالاپاغوس
galar	گالار
galaroza	گالاروثا
galbarra	گالوارا
galdacano	گالداکانو
galdames	گالداميس
galende	گالينده
galera	گاليرا
galicia	گاليثيا
galinduste	گاليندوسته
galisteo	گاليستيو
gallegos	گاليغوس
gallinal	گالينال
gallur	گاليور
galvez	گالويث
gamonal	گامونال
ganame	گانامه
gandesa	گانديسا
gandia	گانديا
ganuelas	گانويلاس
garaballa	گاراواليا
garayoa	گارايوا
garcillan	گارثيليان
gargaligas	گارغاليغاس
gargallo	گارغاليو
gargüera	گارغويرا
garinoain	گارينواين
garoiez	گارويث
garraf	گاراف
garralda	گارالدا
garray	گاراي
garrigas	گاريغاس
garrovillas	گاروويلياس
garrucha	گاروچا
gascueña	گاسکوينا
gata	گاتا
gatova	گاتووا
gaucin	گاوثين
gauna	گاونا
gava	گاوا
gavanes	گاوانيس
gelida	خيليذا
gelsa	خيلسا
gelves	خيلويس
genalguacil	خينالغواثيل
genave	خيناوه
genevilla	خينيويليا
gerena	خيرينا
germade	خيرماذه
gerona	خيرونا
gerri	خيري
gesera	خيسيرا
geve	خيوه
gibarroyo	خيوارويو
gijon	خيخون
gilena	خيلينا
gimenells	خيمينيليس
gironella	خيرونيليا
godall	گوذالي
godelleta	گوذيليتا
goiriz	گويريث
goizueta	گويثويتا
golada	گولاذا
golpejas	گولپيخاس
gomara	گومارا
gomecello	گوميثيليو
gomesende	گوميسينده
gondomar	گوندومار
gor	گور
gorafe	گورافه
gormaz	گورماث
gotarrendura	گوتاريندورا
gozon	گوثون
gradefes	گراذيفيس
grado	گراذو
grajera	گراخيرا
granada	گراناذا
granadella	گراناذيليا
granadilla	گراناذيليا
granatula	گراناتولا
grandes	گرانديس
grañén	گرانين
granollers	گرانوليرس
graus	گراوس
gravalos	گراوالوس
grazalema	گراثاليما
griegos	گريغوس
griñón	گرينون
grisen	گريسين
grove	گرووه
guadahortuna	گواذااورتونا
guadajoz	گواذاخوث
guadalajara	گواذالاخارا
guadalaviar	گواذالاويار
guadalcanal	گواذالکانال
guadalcazar	گواذالکاثار
guadalupe	گواذالوپه
guadamur	گواذامور
guadarrama	گواذاراما
guadarranque	گواذارانکه
guadasuar	گواذاسوار
guadix	گواذيکس
gualchos	گوالچوس
gualta	گوالتا
guardiola	گوارذيولا
guardo	گوارذو
guareña	گوارينا
guaro	گوارو
guarroman	گوارومان
gudar	گوذار
guecho	گيچو
güeñes	گوينيس
güesa	گويسا
guetaria	گيتاريا
guiana	گيانا
guijo	گيخو
guijuelo	گيخويلو
guillarey	گيلياريي
guillena	گيلينا
guillerias	گيليرياس
guimaray	گيماراي
guimera	گيميرا
guisona	گيسونا
guitiriz	گيتيريث
gulina	گولينا
guntin	گونتين
guriezo	گوريثو
gurp	گورپ
hacinas	آثيناس
haro	آرو
hecho	ايچو
helechal	ايليچال
helechosa	ايليچوسا
hellin	ايلين
henarejos	ايناريخوس
henche	اينچه
herbes	ايرويس
herencia	ايرينثيا
hernani	ايرناني
hernansancho	ايرنانسانچو
herramelluri	ايراميليوري
herrera	ايريرا
herreria	ايريريا
herrerias	ايريرياس
herreros	ايريروس
herreruela	ايريرويلا
hervas	ايرواس
higa	ايغا
higuera	ايغيرا
higueruela	ايغيرويلا
higueruelas	ايغيرويلاس
hijar	ايخار
hinodejo	اينوذيخو
hinojal	اينوخال
hinojales	اينوخاليس
hinojares	اينوخاريس
hinojos	اينوخوس
hinojosa	اينوخوسا
hinojosas	اينوخوساس
holguera	اولغيرا
hombrados	اومبراذوس
honrubia	اونروويا
hontalbilla	اونتالويليا
hontanares	اونتاناريس
hontanaya	اونتانايا
hontecillos	اونتيثيليوس
hontoba	اونتووا
horche	اورچه
hornos	اورنوس
hospitalet	اوسپيتاليت
hoyos	اويوس
hoyuelos	اويويلوس
huarte	اوارته
huelago	اويلاغو
huelamo	اويلامو
huelma	اويلما
huelva	اويلوا
huelves	اويلويس
hueneja	اوينيخا
huermeces	اويرميثيس
huerrios	اويريوس
huertahernando	اويرتاايرناندو
huerteles	اويرتيليس
huerto	اويرتو
huesa	اويسا
huesca	اويسکا
huescar	اويسکار
huete	اويته
humanes	اومانيس
humilladero	اوميلياذيرو
husillos	اوسيليوس
ibahernando	ايواايرناندو
ibdes	ايوذيس
ibi	ايوي
iborra	ايوورا
ibros	ايوروس
idocin	ايذوثين
iglesias	ايغليسياس
igualada	ايغوالاذا
igualeja	ايغواليخا
igüeña	ايغوينا
ilche	ايلچه
ilerda	ايليرذا
ilipa	ايليپا
illana	ايليانا
illano	ايليانو
illas	ايلياس
illescas	ايليسکاس
illora	ايليورا
illueca	ايليويکا
imon	ايمون
incinillas	اينثينيلياس
incio	اينثيو
infantes	اينفانتيس
infiesto	اينفيستو
iniesta	اينيستا
instincion	اينستينثيون
irijo	ايريخو
irijoa	ايريخوا
irueste	ايرويسته
irun	ايرون
irura	ايرورا
irurita	ايروريتا
irurozqui	ايروروثکي
isaba	ايساوا
iscar	ايسکار
isil	ايسيل
isona	ايسونا
isso	ايسو
istan	ايستان
isuerre	ايسويره
itrabo	ايتراوو
ituero	ايتويرو
izalzu	ايثالثو
izarra	ايثارا
iznájar	ايثناخار
iznalloz	ايثناليوث
iznatoraf	ايثناتوراف
jabaga	خاواغا
jabalera	خاواليرا
jabaloyas	خاوالوياس
jabalquinto	خاوالکينتو
jabarriega	خاواريغا
jabugo	خاووغو
jaca	خاکا
jadraque	خاذراکه
jaen	خاين
jalance	خالانثه
jalon	خالون
jaraba	خاراوا
jaraco	خاراکو
jarafuel	خارافويل
jaraicejo	خارايثيخو
jarandilla	خارانديليا
jaray	خاراي
jarque	خارکه
jatar	خاتار
jatiel	خاتيل
jativa	خاتيوا
jaulin	خاولين
jaurrieta	خاوريتا
javea	خاويا
jayena	خاينا
jemenuño	خيمينونو
jeresa	خيريسا
jerica	خيريکا
jerte	خيرته
jimena	خيمينا
jirueque	خيرويکه
jodar	خوذار
jorairatar	خورايراتار
jorcas	خورکاس
jorquera	خورکيرا
jove	خووه
jubera	خوويرا
jubrique	خووريکه
judes	خوذيس
judio	خوذيو
jumilla	خوميليا
juncajo	خونکاخو
juncosa	خونکوسا
juneda	خونيذا
labacolla	لاواکوليا
labajos	لاواخوس
laborcillas	لاوورثيلياس
lacalahorra	لاکالااورا
lachar	لاچار
lacumbre	لاکومبره
lage	لاخه
laguarres	لاغواريس
laguarta	لاغوارتا
lagunaseca	لاغوناسيکا
lagunilla	لاغونيليا
lalin	لالين
lama	لاما
lanaja	لاناخا
lancara	لانکارا
lanciego	لانثيغو
landete	لانديته
lanestosa	لانيستوسا
langreo	لانگريو
languilla	لانگيليا
lanjaron	لانخارون
lantadilla	لانتاذيليا
lanteira	لانتييرا
lanz	لانث
lanza	لانثا
lapeza	لاپيثا
lardero	لارذيرو
laredo	لاريذو
laroco	لاروکو
laroles	لاروليس
larrainzar	لاراينثار
larraona	لاراونا
larrion	لاريون
lasarte	لاسارته
latina	لاتينا
latre	لاتره
lavadores	لاواذوريس
lavapiés	لاواپيس
layana	لايانا
layna	لاينا
layos	لايوس
laza	لاثا
leache	لياچه
lebrija	ليوريخا
lecera	ليثيرا
leciñena	ليثينينا
lecumberri	ليکومبيري
ledaña	ليذانا
ledanca	ليذانکا
ledesma	ليذيسما
leganés	ليغانيس
leganiel	ليغانيل
leiro	لييرو
leitariegos	لييتاريغوس
leiza	لييثا
lemona	ليمونا
lences	لينثيس
lepe	ليپه
lequeitio	ليکييتيو
lerga	ليرغا
lerida	ليريذا
lerin	ليرين
lerma	ليرما
les	ليس
lesaca	ليساکا
letur	ليتور
letux	ليتوکس
leza	ليثا
lezama	ليثاما
lezuza	ليثوثا
librilla	ليوريليا
libros	ليوروس
lidon	ليذون
liédena	ليذينا
lietor	ليتور
lijar	ليخار
lillol	ليليول
limpias	ليمپياس
linares	ليناريس
liñola	لينولا
liria	ليريا
lizarraga	ليثاراغا
llado	لياذو
llafranc	ليافرانک
llagostera	لياغوستيرا
llanes	ليانيس
llansa	ليانسا
llauri	لياوري
llera	ليرا
llerena	ليرينا
llers	ليرس
lles	ليس
llivia	ليويا
llobregales	ليووريغاليس
llodio	ليوذيو
llombay	ليومباي
lloseta	ليوسيتا
llovera	ليوويرا
llubi	ليووي
lluchmayor	ليوچمايور
loarre	لواره
lobatejo	لوواتيخو
lobera	لوويرا
lobon	لوون
lodosa	لوذوسا
loeches	لويچيس
logroño	لوغرونو
logrosan	لوغروسان
loja	لوخا
lombrana	لومبرانا
longares	لونگاريس
lopera	لوپيرا
lorca	لورکا
lorcha	لورچا
lorenzana	لورينثانا
lores	لوريس
lorqui	لورکي
losacino	لوساثينو
lousame	لووسامه
lovios	لوويوس
lozoya	لوثويا
lozoyuela	لوثويويلا
luanco	لوانکو
luarca	لوارکا
lubian	لوويان
lubrin	لوورين
lucar	لوکار
lucena	لوثينا
luceni	لوثيني
lucillo	لوثيليو
ludiente	لوذينته
luelmo	لويلمو
luesia	لويسيا
luezas	لويثاس
lugan	لوغان
lugo	لوغو
lugones	لوغونيس
lugros	لوغروس
lujar	لوخار
lumbier	لومبير
lumbrales	لومبراليس
lumbreras	لومبريراس
lumpiaque	لومپياکه
luna	لونا
luque	لوکه
luyego	لويغو
luzaga	لوثاغا
luzon	لوثون
macael	ماکايل
maceda	ماثيذا
machero	ماچيرو
macotera	ماکوتيرا
maderuelo	ماذيرويلو
madridejos	ماذريذيخوس
madrigalejo	ماذريغاليخو
madriguera	ماذريغيرا
madrigueras	ماذريغيراس
madrona	ماذرونا
madronera	ماذرونيرا
madroño	ماذرونو
maella	مايليا
maello	مايليو
maestre	مايستره
maestu	مايستو
magacela	ماغاثيلا
magallon	ماغاليون
magaña	ماغانا
magaz	ماغاث
magina	ماخينا
maguilla	ماغيليا
mahide	ماايذه
mahon	مااون
mahora	مااورا
mainar	ماينار
majadas	ماخاذاس
majaelrayo	ماخايلرايو
mala	مالا
malagon	مالاغون
malaguilla	مالاغيليا
malanquilla	مالانکيليا
malcocinado	مالکوثيناذو
malgrat	مالغرات
mallen	مالين
malon	مالون
malpica	مالپيکا
maluenda	مالويندا
mampodre	مامپوذره
manacor	ماناکور
manchita	مانچيتا
mandayona	ماندايونا
mañeru	مانيرو
manilva	مانيلوا
manises	مانيسيس
manlleu	مانليو
manresa	مانريسا
manresana	مانريسانا
mansilla	مانسيليا
mantañes	مانتانيس
mantiel	مانتيل
manzanares	مانثاناريس
manzaneda	مانثانيذا
manzanedo	مانثانيذو
manzaneque	مانثانيکه
manzanera	مانثانيرا
maqueda	ماکيذا
maracena	ماراثينا
maranchon	مارانچون
marazoleja	ماراثوليخا
marbella	مارويليا
marcilla	مارثيليا
marganell	مارغانيلي
mariana	ماريانا
marin	مارين
marinaleda	ماريناليذا
marines	مارينيس
marmolejo	مارموليخو
marron	مارون
marrube	مارووه
marrupe	ماروپه
martorell	مارتوريلي
martos	مارتوس
marugan	ماروغان
masa	ماسا
masalaves	ماسالاويس
masamagrell	ماساماغريلي
masanasa	ماساناسا
mascaraque	ماسکاراکه
masegoso	ماسيغوسو
maside	ماسيذه
masquefa	ماسکيفا
massanas	ماساناس
matabuena	ماتاووينا
matagalls	ماتاغاليس
matalebreras	ماتاليوريراس
matallana	ماتاليانا
matamorosa	ماتاموروسا
matanza	ماتانثا
matapozuelos	ماتاپوثويلوس
mataro	ماتارو
matarrubia	ماتاروويا
matedeon	ماتيذيون
matienzo	ماتينثو
matute	ماتوته
mausoleo	ماوسوليو
mayalde	مايالده
mayals	مايالس
mayorga	مايورغا
mazarete	ماثاريته
mazaricos	ماثاريکوس
mazarron	ماثارون
mazarulleque	ماثاروليکه
mazateron	ماثاتيرون
mazuecos	ماثويکوس
meano	ميانو
meco	ميکو
mediana	ميذيانا
medina	ميذينا
mediña	ميذينا
medinaceli	ميذيناثيلي
mediodia	ميذيوذيا
mediona	ميذيونا
meijaboy	مييخاووي
meira	مييرا
meis	مييس
mejorada	ميخوراذا
meliana	ميليانا
melida	ميليذا
mellid	ميليذ
melon	ميلون
membrilla	ميمبريليا
membrillar	ميمبريليار
membrillera	ميمبريليرا
membrio	ميمبريو
menasalbas	ميناسالواس
mencal	مينکال
mendavia	مينداويا
mendigorria	مينديغوريا
meneses	مينيسيس
mengabril	مينگاوريل
mengibar	مينخيوار
mentrida	مينتريذا
mequinenza	ميکينينثا
mera	ميرا
merida	ميريذا
mesia	ميسيا
mesones	ميسونيس
mestanza	ميستانثا
miajadas	مياخاذاس
miedes	ميذيس
mieras	ميراس
mieres	ميريس
mieza	ميثا
miguelturra	ميغيلتورا
mijares	ميخاريس
mijas	ميخاس
milagro	ميلاغرو
millana	ميليانا
millares	ميلياريس
millena	ميلينا
minana	مينانا
minateda	ميناتيذا
minaya	مينايا
minglanilla	مينگلانيليا
mingorria	مينگوريا
miño	مينو
mira	ميرا
mirabel	ميراويل
mirambel	ميرامبيل
mirandilla	ميرانديليا
miravalles	ميراواليس
miravet	ميراويت
miravete	ميراويته
moaña	موانا
mocejon	موثيخون
mochales	موچاليس
moclin	موکلين
moeche	مويچه
mofrecho	موفريچو
mogente	موخينته
mogon	موغون
moguer	موغير
mohedas	موايذاس
mohorte	مواورته
mojacar	موخاکار
mojados	موخاذوس
mojina	موخينا
mola	مولا
molaton	مولاتون
molinaseca	موليناسيکا
molinicos	مولينيکوس
molinos	مولينوس
molledo	موليذو
mollerusa	موليروسا
mollet	موليت
mollina	مولينا
mollo	موليو
moluengo	مولوينگو
molvizar	مولويثار
mombeltran	مومبيلتران
mombuey	مومبويي
monachil	موناچيل
monbeltran	مونبيلتران
moncada	مونکاذا
moncalvo	مونکالوو
moncayo	مونکايو
moncloa	مونکلوا
moncofar	مونکوفار
monda	موندا
mondariz	مونداريث
mondejar	مونديخار
mondoñedo	موندونيذو
mondragon	موندراغون
monduber	موندووير
monegrillo	مونيغريليو
monesterio	مونيستيريو
moneva	مونيوا
monfero	مونفيرو
monflorite	مونفلوريته
mongo	مونگو
monistrol	مونيسترول
monleras	مونليراس
monovar	مونووار
monreal	مونريال
monroy	مونروي
monroyo	مونرويو
monsagro	مونساغرو
monserrat	مونسيرات
montalban	مونتالوان
montalbanejo	مونتالوانيخو
montalbo	مونتالوو
montalbos	مونتالووس
montalvos	مونتالووس
montan	مونتان
montanchez	مونتانچيث
montanyola	مونتانيولا
montarto	مونتارتو
monteagudo	مونتياغوذو
montearagon	مونتياراغون
montederramo	مونتيذيرامو
montefrio	مونتيفريو
montejaque	مونتيخاکه
montejicar	مونتيخيکار
montellano	مونتيليانو
montemolin	مونتيمولين
monterrey	مونتيريي
monterroso	مونتيروسو
monterrubio	مونتيروويو
montesa	مونتيسا
montesclaros	مونتيسکلاروس
montiel	مونتيل
montijo	مونتيخو
montilla	مونتيليا
montillana	مونتيليانا
montizon	مونتيثون
montmelo	مونتميلو
monton	مونتون
montoro	مونتورو
montras	مونتراس
montroy	مونتروي
montuenga	مونتوينگا
montuiri	مونتويري
monturque	مونتورکه
monzon	مونثون
mora	مورا
moral	مورال
moraleja	موراليخا
morales	موراليس
moralina	مورالينا
moraña	مورانا
morante	مورانته
moratalla	موراتاليا
morcillo	مورثيليو
moreda	موريذا
morell	موريلي
morella	موريليا
morentin	مورينتين
mores	موريس
morey	موريي
moriles	موريليس
morillejo	موريليخو
morla	مورلا
moros	موروس
mos	موس
mosqueruela	موسکيرويلا
mostoles	موستوليس
motilla	موتيليا
motilleja	موتيليخا
motos	موتوس
motril	موتريل
moya	مويا
moyuela	مويويلا
mozoncillo	موثونثيليو
muchamiel	موچاميل
mucientes	موثينتيس
muel	مويل
mugaire	موغايره
mugardos	موغارذوس
mugia	موخيا
mugica	موخيکا
muiños	موينوس
mula	مولا
muñana	مونانا
munebrega	مونيوريغا
munera	مونيرا
mungia	مونخيا
munico	مونيکو
muniesa	مونيسا
munilla	مونيليا
muñogalindo	مونوغاليندو
muñogrande	مونوغرانده
muntadas	مونتاذاس
muras	موراس
murchante	مورچانته
murcia	مورثيا
murguia	مورغيا
muriel	موريل
muro	مورو
muros	موروس
murtas	مورتاس
murueta	مورويتا
nacimiento	ناثيمينتو
nagore	ناغوره
naharros	ناآروس
najera	ناخيرا
nambroca	نامبروکا
naquera	ناکيرا
narboneta	ناروونيتا
naron	نارون
nava	ناوا
navacerrada	ناواثيراذا
navachica	ناواچيکا
navaconcejo	ناواکونثيخو
navafria	ناوافريا
navahermosa	ناواايرموسا
navahondilla	ناوااونديليا
navajas	ناواخاس
naval	ناوال
navalacruz	ناوالاکروث
navalagamella	ناوالاغاميليا
navalcaballo	ناوالکاواليو
navalcan	ناوالکان
navaleno	ناوالينو
navalguijo	ناوالغيخو
navalilla	ناواليليا
navalmanzano	ناوالمانثانو
navalmoral	ناوالمورال
navalmoralejo	ناوالموراليخو
navalonguilla	ناوالونگيليا
navalosa	ناوالوسا
navalpino	ناوالپينو
navalsauz	ناوالساوث
navaluenga	ناوالوينگا
navardun	ناوارذون
navarres	ناواريس
navarrete	ناواريته
navas	ناواس
navasa	ناواسا
navascues	ناواسکويس
navasfrias	ناواسفرياس
navata	ناواتا
navelgas	ناويلغاس
naves	ناويس
navia	ناويا
nebreda	نيوريذا
neda	نيذا
negredo	نيغريذو
negreira	نيغرييرا
neila	نييلا
nerja	نيرخا
nerpio	نيرپيو
nerva	نيروا
nestar	نيستار
niebla	نيولا
nieves	نيويس
nigran	نيغران
niguelas	نيغيلاس
nijar	نيخار
noain	نواين
noalejo	نواليخو
noblejas	نووليخاس
noceda	نوثيذا
noez	نويث
nofuentes	نوفوينتيس
nogales	نوغاليس
nograles	نوغراليس
noguera	نوغيرا
nogueruelas	نوغيرويلاس
nois	نويس
nolay	نولاي
nombela	نومبيلا
nonaspe	نوناسپه
noreña	نورينا
novales	نوواليس
novallas	نووالياس
novelda	نوويلدا
noves	نوويس
novillas	نوويلياس
noya	نويا
nueno	نوينو
nueva	نويوا
nules	نوليس
nulles	نوليس
numancia	نومانثيا
nuñomoral	نونومورال
obon	اوون
ocaña	اوکانا
ocejon	اوثيخون
ocentejo	اوثينتيخو
ochagavia	اوچاغاويا
ochandiano	اوچانديانو
oden	اوذين
odon	اوذون
ohanes	اوآنيس
oímbra	اويمبرا
ojen	اوخين
ojos	اوخوس
olalla	اولاليا
olave	اولاوه
olazagutia	اولاثاغوتيا
olba	اولوا
oleiros	اولييروس
oliana	اوليانا
olias	اولياس
oliete	اوليته
oliola	اوليولا
olite	اوليته
oliva	اوليوا
olivares	اوليواريس
olivella	اوليويليا
olivenza	اوليوينثا
olleria	اوليريا
ollo	اوليو
olmedillas	اولميذيلياس
olmedo	اولميذو
olmillos	اولميليوس
olocau	اولوکاو
olombrada	اولومبراذا
olost	اولوست
olot	اولوت
olvan	اولوان
olvega	اولويغا
olvena	اولوينا
olvera	اولويرا
olza	اولثا
oña	اونا
oñate	اوناته
oncala	اونکالا
onda	اوندا
ondara	اوندارا
ondarroa	اونداروا
onis	اونيس
ontaneda	اونتانيذا
onteniente	اونتينينته
ontur	اونتور
onzonilla	اونثونيليا
oquillas	اوکيلياس
orbara	اوروارا
orce	اورثه
orcera	اورثيرا
orcheta	اورچيتا
orduña	اورذونا
orea	اوريا
orejo	اوريخو
orense	اورينسه
ores	اوريس
orgaña	اورغانا
orgaz	اورغاث
orgiva	اورخيوا
oria	اوريا
orihuela	اورياويلا
orio	اوريو
oris	اوريس
orista	اوريستا
orle	اورله
orol	اورول
oropesa	اوروپيسا
oroso	اوروسو
orozco	اوروثکو
orrios	اوريوس
orrius	اوريوس
orusco	اوروسکو
osera	اوسيرا
osor	اوسور
osorno	اوسورنو
ostiz	اوستيث
osuna	اوسونا
oteiza	اوتييثا
oteo	اوتيو
otero	اوتيرو
otivar	اوتيوار
otura	اوتورا
oural	اوورال
outes	اووتيس
ouviaño	اوويانو
ovejo	اوويخو
oviedo	اوويذو
oya	اويا
oyarzun	اويارثون
oyon	اويون
ozaeta	اوثايتا
padron	پاذرون
padul	پاذول
paguera	پاغيرا
pajares	پاخاريس
pajaron	پاخارون
pajaroncillo	پاخارونثيليو
palafrugell	پالافروخيلي
palamos	پالاموس
palancas	پالانکاس
palanques	پالانکيس
palanquinos	پالانکينوس
palencia	پالينثيا
palenciana	پالينثيانا
palentino	پالينتينو
palenzuela	پالينثويلا
pallares	پالياريس
pallars	پاليارس
palleja	پاليخا
pallerols	پاليرولس
palma	پالما
palo	پالو
palomas	پالوماس
palomeque	پالوميکه
palomera	پالوميرا
pals	پالس
pampliega	پامپليغا
pamplona	پامپلونا
pancorbo	پانکوروو
pancrudo	پانکروذو
panes	پانيس
paniza	پانيثا
panticosa	پانتيکوسا
pantoja	پانتوخا
panton	پانتون
paones	پاونيس
papeles	پاپيليس
paracuellos	پاراکويليوس
paradas	پاراذاس
paradaseca	پاراذاسيکا
paradela	پاراذيلا
paramo	پارامو
parauta	پاراوتا
parcent	پارثينت
pardilla	پارذيليا
paredes	پاريذيس
pareja	پاريخا
parets	پاريتس
parga	پارغا
parla	پارلا
parlaba	پارلاوا
parres	پاريس
parrillas	پاريلياس
partaloa	پارتالوا
parzan	پارثان
pasajes	پاساخيس
pasaron	پاسارون
pastoriza	پاستوريثا
pastrana	پاسترانا
pauls	پاولس
pavias	پاوياس
paymogo	پايموغو
pechina	پيچينا
pedralba	پيذرالوا
pedralbes	پيذرالويس
pedreguer	پيذريغير
pedrera	پيذريرا
pedroche	پيذروچه
pedrola	پيذرولا
pedroso	پيذروسو
pedrouzos	پيذرووثوس
pegalajar	پيغالاخار
pego	پيغو
pelahustan	پيلااوستان
peleagonzalo	پيلياغونثالو
pelegrina	پيليغرينا
peloche	پيلوچه
peñacerrada	پيناثيراذا
peñafiel	پينافيل
peñaflor	پينافلور
peñagolosa	پيناغولوسا
penagos	پيناغوس
peñalba	پينالوا
peñalen	پينالين
peñarrubia	پيناروويا
peñascosa	پيناسکوسا
peñausende	پيناوسينده
peniscola	پينيسکولا
pepino	پيپينو
peracense	پيراثينسه
perafita	پيرافيتا
peral	پيرال
peralejos	پيراليخوس
peralta	پيرالتا
peraltilla	پيرالتيليا
peralveche	پيرالويچه
peramola	پيرامولا
peranzanes	پيرانثانيس
peratallada	پيراتالياذا
perdiguera	پيرذيغيرا
perelada	پيريلاذا
perello	پيريليو
pereña	پيرينا
pereruela	پيريرويلا
periana	پيريانا
perorrubio	پيروروويو
pertusa	پيرتوسا
perves	پيرويس
