# Baby names
અંશ	انش
મહાત્મન	مهاتمن
મહાનંદ	مهانند
મહાપુરુષ	مهابوروش
મહાબુદ્ધિ	مهابوددهی
મહાર્થ	مهارته
મહાર્વીન	مهاروین
મહાલીંગ	مهالینج
મહાલ્યા	مهالیا
મહાશ્રી	مهاشری
મહિપતિ	مهیبتی
મહીથા	مهیتها
મહેંદ્રા	مهیندرا
માંગેશ	مانجیش
માંધુનીકા	ماندهونیكا
માંનાર્પ	ماننارب
માંનીક્યા	ماننیكیا
માંનીચ	ماننیتش
માંનીવ	ماننیو
માંનુંસ્મીથા	ماننونسمیتها
માંનોત	ماننوت
માંન્ગીરી	ماننجیری
માંન્તીકા	ماننتیكا
માંન્દામારી	ماننداماری
માંન્દારિકા	ماننداریكا
માંલાવાશ્રી	مانلاواشری
માતંગા	ماتنجا
માતેઃ	ماتیها
માત્રે	ماتري
માથુર	ماتهور
માધવ દાસ	مادهو داس
માધવિલતા	مادهویلتا
માધાન	مادهان
માધુજ	مادهوج
માનજ	مانج
માનવિત	مانویت
માનીન્ત	مانینت
માન્દાવિક	مانداویك
મારવી	ماروی
મારીરાજ	ماریراج
મારુત	ماروت
માર્કાન્દાય	ماركاندای
માર્ગશી	مارجشی
માર્ગી	مارجی
માર્દવ	ماردو
માર્મિક	مارمیك
માલતી	مالتی
માલથી	مالتهی
માલારવિલી	مالارویلی
માલારાવન	مالاراون
માલિની	مالینی
માહિતા	ماهیتا
મેધાસ્વી	میدهاسوی
મૈથીલ્ય	مایتهیلی
મૈનાલી	ماینالی
મૈનાવી	مایناوی
મૈમત	مایمت
મૌલિકા	ماولیكا
મૌસુમ	ماوسوم
યજ્નારૂપ	یجناروب
યતિકા	یتیكا
યદુ	یدو
યદુક્રિષ્ના	یدوكریشنا
યદુવીર	یدوویر
યમ્યા	یمیا
યશિત	یشیت
યશોધર	یشودهر
યશ્દીપ	یشدیب
યશ્વી	یشوی
યાઝટ	یاجهط
યાતિયાસા	یاتییاسا
યામાજીત	یاماجیت
યાશીકા	یاشیكا
યાશ્રી	یاشری
યાસી	یاسی
યાહ્વી	یاهوی
યીશાઈ	ییشاإ
યુકાશ્રી	یوكاشری
યુક્ત	یوكت
યુગ	یوج
યુગંશ	یوجنش
યુગન	یوجن
યુગ્મ	یوجم
યુધાજિત	یودهاجیت
યુધિસઠિર	یودهیسطهیر
યુનાય	یونای
યુવંશ	یوونش
યુવાની	یووانی
યુવિક	یوویك
યૂરા	یورا
યેધાંત	ییدهانت
યેનાક્ષી	ییناكشی
યોગજ	یوجج
યોગદા	یوجدا
યોગના	یوجنا
યોગાવી	یوجاوی
યોગી	یوجی
યોગ્યથા	یوجیتها
યોનેન્દ્ર	یونیندر
યૌષા	یاوشا
રંગનાથ	رنجناته
રંતાજ	رنتاج
રકશ્ન્ડા	ركشندا
રકીશી	ركیشی
રક્તકમળ	ركتكمر
રક્ષ્ય	ركشی
રઘુનાથ	رجهوناته
રજીની	رجینی
રતન	رتن
રત્ના કુમાર	رتنا كومار
રત્નાબલી	رتنابلی
રત્નાવલી	رتناولی
રદીતે	ردیتي
રનક	رنك
રનવા	رنوا
રનામીતા	رنامیتا
રમિતા	رمیتا
રમેશ	رمیش
રમ્બેશ	رمبیش
રમ્યક	رمیك
રયાપ્પા	ریاببا
રવિકાંત	رویكانت
રવિકુમાર	رویكومار
રવીતેજા	رویتیجا
રવીન	روین
રવીન્ધાર	رویندهار
રવીશ	رویش
રવેન	روین
રશેષ	رشیش
રશ્મી	رشمی
રસવંત	رسونت
રહલ	رهل
રહસ્ય	رهسی
રાકવી	راكوی
રાખિ	راكهی
રાગાવર્દીની	راجاوردینی
રાગ્વેદ	راجوید
રાજન	راجن
રાજરમણ	راجرمن
રાજલક્ષ્મી	راجلكشمی
રાજસેકરણ	راجسیكرن
રાજાન	راجان
રાજિંદર	راجیندر
રાજુસ	راجوس
રાજેંદ્ર	راجیندر
રાજેશ્રી	راجیشری
રાજ્કલા	راجكلا
રાજ્યશ્રી	راجیشری
રાજ્વિકા	راجویكا
રાત્રિ	راتری
રાધક	رادهك
રાધા	رادها
રાનું	رانون
રામ	رام
રામ  સેવક	رام  سیوك
રામનાથ	رامناته
રામરા	رامرا
રામસ્વરૂપ	رامسوروب
રામાંભાદ્રણ	رامانبهادرن
રામાધુતા	رامادهوتا
રાવના	راونا
રાસબિહારી	راسبیهاری
રિન્કલ	رینكل
રિસા	ریسا
રીકાર્નાવ	ریكارناو
રીકીતા	ریكیتا
રીકીશા	ریكیشا
રીગ્વેદીતા	ریجویدیتا
રીથ	ریته
રીથેકા	ریتهیكا
રીધી	ریدهی
રીનું	رینون
રીન્સીન	رینسین
રીમા	ریما
રીશીતા	ریشیتا
રીહાનના	ریهاننا
રેચિકા	ریتشیكا
રેનેશ	رینیش
રેમિથા	ریمیتها
રેશમી	ریشمی
રોનક	رونك
લકી	لكی
લક્ષિતા	لكشیتا
લક્ષ્મી શ્રીનિવાસ	لكشمی شرینیواس
લક્ષ્મીદેવી	لكشمیدیوی
લક્ષ્મીનાથ	لكشمیناته
લગાન	لجان
લજ્જા	لججا
લજ્જાન	لججان
લજ્જાવતી	لججاوتی
લતા	لتا
લબોની	لبونی
લલિતામોહના	للیتاموهنا
લશિકા	لشیكا
લાઈના	لاإنا
લાકેશ	لاكیش
લાક્શેતા	لاكشیتا
લાચ્મન	لاتشمن
લાતીશ	لاتیش
લાધી	لادهی
લારીસા	لاریسا
લાર્મિકા	لارمیكا
લાલીતેશ	لالیتیش
લાલીત્યા	لالیتیا
લાલીમા	لالیما
લાવણ્ય	لاونی
લાવીશ	لاویش
લાસીવીન્રાજ	لاسیوینراج
લાસુશા	لاسوشا
લિંગાધ્યક્ષ	لینجادهیكش
લીકીથ	لیكیته
લીથીકા	لیتهیكا
લીનું	لینون
લીન્નેત	لیننیت
લીમીશા	لیمیشا
લીલાધર	لیلادهر
લીલાવર્તી	لیلاورتی
લીશાંત	لیشانت
લુંહાન	لونهان
લુકેશા	لوكیشا
લૂની	لونی
લેઓરા	لیاورا
લેખિત	لیكهیت
લેના	لینا
લેમ્મીએ	لیممیي
લોઉકિક	لووكیك
લોકનાથ	لوكناته
લોકનેત્ર	لوكنیتر
લોકાજિત	لوكاجیت
લોકેન્દ્ર	لوكیندر
લોક્ષી	لوكشی
લોપેશ	لوبیش
લોલા	لولا
લોલિતા	لولیتا
લોવ્યમ	لوویم
લોશીની	لوشینی
લોહિની	لوهینی
વંદિત	وندیت
વંશજા	ونشجا
વંહી	ونهی
વકૃત	وكرت
વક્ષ	وكش
વજરાંગ	وجرانج
વજ્રબાહૂ	وجرباهو
વજ્રાકાયા	وجراكایا
વજ્રિન	وجرین
વજ્રેશ્વરી	وجریشوری
વનદેવ	وندیو
વનાની	ونانی
વયુનંદ	ویونند
વય્યા	وییا
વરજોત્તામાં	ورجوتتامان
વરદરાજ	وردراج
વરદાન	وردان
વરપ્રદા	وربردا
વરલક્ષ્મી	ورلكشمی
વરિયાસ	ورییاس
વર્ધીન	وردهین
વર્શિની	ورشینی
વલાવન	ولاون
વલ્લભ	وللبه
વશીતા	وشیتا
વસંતા	وسنتا
વસતીન	وستین
વસવી	وسوی
વસુલ	وسول
વાક્પતિ	واكبتی
વાચસ્પતિ	واتشسبتی
વાચ્ય	واتشی
વાજ્રહાસ્તા	واجرهاستا
વાનામાલી	وانامالی
વાનાવારાયણ	واناواراین
વાનૈપકા-વેરીન્દોન	وانایبكا-ویریندون
વામન	وامن
વામાંનીએ	واماننیي
વાર	وار
વાલકય	والكی
વાલી	والی
વાસંતાપ્રભા	واسنتابربها
વાસુકી	واسوكی
વાસુમાંથા	واسومانتها
વિઅર	ویار
વિકાસીની	ویكاسینی
વિકાસ્ની	ویكاسنی
વિક્ષિત	ویكشیت
વિદ્વાથ	ویدواته
વિધિ	ویدهی
વિનતા	وینتا
વિબુષા	ویبوشا
વિભાવા	ویبهاوا
વિમલા	ویملا
વિરબાહુ	ویرباهو
વિલાસિની	ویلاسینی
વીક્ષા	ویكشا
વીચિકા	ویتشیكا
વીજીલા	ویجیلا
વીની	وینی
વીમા	ویما
વીરોત્તમ	ویروتتم
વેક્રાંત	ویكرانت
વેગવાહીની	ویجواهینی
વેણુગોપાલ	وینوجوبال
વેત્રિવાલ	ویتریوال
વેદાંશી	ویدانشی
વેદાત્મન	ویداتمن
વેદાત્મને	ویداتمني
વેદાર્થ	ویدارته
વેદીષ	ویدیش
વેધા	ویدها
વેધાસ	ویدهاس
વેધીકા	ویدهیكا
વેનાહ	ویناه
વેનીધર	وینیدهر
વેન્કાત્શીવા	وینكاتشیوا
વેન્નેલા	ویننیلا
વેલુ	ویلو
વેવેશા	ویویشا
વૈજનાથ	وایجناته
વૈદાહી	وایداهی
વૈદ્યનાથ	وایدیناته
વૈધે	وایدهي
વૈનાવિન	وایناوین
વૈશાકા	وایشاكا
વૈશાખી	وایشاكهی
વૈશાલી	وایشالی
વૈશ્વિક	وایشویك
વૈષ્ણવી	وایشنوی
વૈસાખી	وایساكهی
સંચાલી	سنتشالی
સંજય	سنجی
સંજીથા	سنجیتها
સંજુકતા	سنجوكتا
સંતવાના	سنتوانا
સંદીતી	سندیتی
સંદીપન	سندیبن
સંભાવના	سنبهاونا
સંયક્તા	سنیكتا
સંવિકા	سنویكا
સંસ્કૃતિ	سنسكرتی
સંસ્કૃતી	سنسكرتی
સકલ	سكل
સક્તીવેલ	سكتیویل
સક્શિક	سكشیك
સક્શીન્યા	سكشینیا
સક્ષમ	سكشم
સચંદ્ર	ستشندر
સજૂ	سجو
સદગુરૂ	سدجورو
સદબિંદુ	سدبیندو
સદરુ	سدرو
સદા શિવમ	سدا شیوم
સદાશિવ	سداشیو
સદિવા	سدیوا
સદ્વિખા	سدویكها
સનવ	سنو
સનીલ	سنیل
સનેશ	سنیش
સનૈતા	سنایتا
સપર્ણા	سبرنا
સપુષ્પા	سبوشبا
સપ્તોર્શી	سبتورشی
સબરીનાથાન	سبریناتهان
સભ્રાંત	سبهرانت
સમન્યુ	سمنیو
સમબરણ	سمبرن
સમભ્દ્ધા	سمبهددها
સમય	سمی
સમરવીર	سمرویر
સમાંર્ધ	سمانرده
સમાધાન	سمادهان
સમિયા	سمییا
સમીક્ક્સા	سمیككسا
સમીક્ષા	سمیكشا
સમ્બુદ્ધા	سمبوددها
સમ્યનાતન	سمیناتن
સમ્રીધ	سمریده
સમ્હીઠા	سمهیطها
સરલા	سرلا
સર્જના	سرجنا
સહલાદ	سهلاد
સહસ્ત્રજિત	سهسترجیت
સહસ્વીની	سهسوینی
સહુરી	سهوری
સહૃદય	سهردی
સહેજ	سهیج
સહોજ	سهوج
સહ્ય	سهی
સાંદીપની	ساندیبنی
સાઈ અમર્ત્ય	ساإ امرتی
સાઈ કાર્તિક	ساإ كارتیك
સાઈ દાસ	ساإ داس
સાઈ સુરિયા	ساإ سورییا
સાતેજ	ساتیج
સાદ્રીશી	سادریشی
સાધકા	سادهكا
સાધન	سادهن
સાનંદના	سانندنا
સાનવી તારીતા	سانوی تاریتا
સાનાવી	ساناوی
સાન્વી	سانوی
સાફલ્ય	سابهلی
સાબી	سابی
સામલી	ساملی
સામાન	سامان
સારંગી	سارنجی
સારસ	سارس
સારાવતી	ساراوتی
સાલીની	سالینی
સાહસ્રપાત	ساهسربات
સાહુલ	ساهول
સેન્ડી	سیندی
સૈનિ	ساینی
સૈનું	ساینون
સૈય્યન	ساییین
સૈલેન્દ્ર	سایلیندر
સૈશા	سایشا
હંસરાજ	هنسراج
હંસાવાથ્ય	هنساواتهی
હંસિન	هنسین
હંસીની	هنسینی
હઝેલ	هجهیل
હનસીકા	هنسیكا
હનાર્વીન	هناروین
હનુમાન	هنومان
હમૃથા	همرتها
હમ્સિની	همسینی
હરશું	هرشون
હરા	هرا
હરિઅક્સા	هریاكسا
હરિકિશન	هریكیشن
હરિદા	هریدا
હરિનાક્ષી	هریناكشی
હરિમંતી	هریمنتی
હરી	هری
હરી કિશન	هری كیشن
હરીકરણ	هریكرن
હરીદર્પા	هریدربا
હરીદાસાપ્રિયા	هریداسابرییا
હરીદીપ	هریدیب
હરીધામ	هریدهام
હરીવલ્લભ	هریوللبه
હરીશ્વ	هریشو
હર્લીના	هرلینا
હર્શાશ્રી	هرشاشری
હર્શિક	هرشیك
હર્ષ વીર	هرش ویر
હર્ષિતા	هرشیتا
હર્સ્વીતા	هرسویتا
હલેય	هلیی
હવીસા	هویسا
હશન	هشن
હસીક	هسیك
હસીથા	هسیتها
હસ્મીથા	هسمیتها
હાકેશ	هاكیش
હાનીકા	هانیكا
હાર્શીની	هارشینی
હાહન	هاهن
હિડિંબા	هیدینبا
હિતાંશી	هیتانشی
હિતેક્ષા	هیتیكشا
હિતેન્દ્ર	هیتیندر
હિનલ	هینل
હિનેશ	هینیش
હિમાકાર	هیماكار
હિમાઘ્ના	هیماجهنا
હિમાલ	هیمال
હિશા	هیشا
હિશેતા	هیشیتا
હીમીર	هیمیر
હીરકની	هیركنی
હીરાન્યાપ્પા	هیرانیاببا
હીર્નાક્ષી	هیرناكشی
હીલ્લેય	هیللیی
હુમીશા	هومیشا
હુમૈલા	هومایلا
હેઇઅન	هیإان
હેત	هیت
હેતની	هیتنی
હેતવ	هیتو
હેત્વિક	هیتویك
હેમંત	هیمنت
હેમદેવ	هیمدیو
હેમલતા	هیملتا
હેમા	هیما
હેમાઁગી	هیمانجی
હેમાંગા	هیمانجا
હેમાકેશ	هیماكیش
હેમાલા	هیمالا
હેમાલી	هیمالی
હેમાવતી	هیماوتی
હેમીતા	هیمیتا
હેયન	هیین
હેશીકા	هیشیكا
હોનહાર	هونهار
હ્રિથિક	هریتهیك
હ્રીત્વિકા	هریتویكا
હ્રીદાન	هریدان
હ્રીવાન	هریوان
હ્રીશાંત	هریشانت
હ્રીશાબ	هریشاب
હ્રીશુલ	هریشول
હ્રુધાઈ	هرودهاإ
