# Baby names
অকার্যতানাযা	اكاریتانایا
সলীজ	سلیج
সলোখ	سلوكه
সহজানংদ	سهجانند
সহস্য	سهسی
সহুরী	سهوری
সহেলী	سهیلی
সহ্রুদী	سهرودی
সাঈ	ساي
সাঈ কুমার	ساي كومار
সাঈ চরণ	ساي تشرن
সাঈ সাহস	ساي ساهس
সাকেত  শ্রীরাম	ساكیت  شریرام
সাগরী	ساجری
সাগ্নীকা	ساجنیكا
সাচিকা	ساتشیكا
সাজিশ	ساجیش
সাত্বী	ساتبی
সাধনা	سادهنا
সাধীন	سادهین
সাধ্রী	سادهری
সানাবী	سانابی
সানিযা	سانییا
সাফল্য	سابهلی
সামলী	ساملی
সামান	سامان
সালন	سالن
সাহিত্য	ساهیتی
সাহিল	ساهیل
সৈকত	سایكت
সৈচারণ	سایتشارن
সৈলী	سایلی
সৈলেশ্বর	سایلیشبر
সৈস্বেঠা	سایسبیطها
হংসিক	هنسیك
হতিশা	هتیشا
হনীমা	هنیما
হনীশ	هنیش
হনুমংত	هنومنت
হন্বীথা	هنبیتها
হবন	هبن
হম্সলেখা	همسلیكها
হযাতী	هیاتی
হরম্যা	هرمیا
হরা	هرا
হরীআক্ষ	هریآكش
হরীচংদনা	هریتشندنا
হরীরাম	هریرام
হরীশ	هریش
হরেকৃষ্ণ	هریكرشن
হরেশ	هریش
হরেহান	هریهان
হর্থীকা	هرتهیكا
হর্শত	هرشت
হশন	هشن
হশিকা	هشیكا
হশ্বর্ধন	هشبردهن
হসিত	هسیت
হসীত	هسیت
হসীনী	هسینی
হস্বীকা	هسبیكا
হস্সীনী	هسسینی
হাকেশ	هاكیش
হারজীত	هارجیت
হাসীতা	هاسیتا
হিডিংবা	هیدینبا
হিত	هیت
হিতেশ	هیتیش
হিথীকা	هیتهیكا
হিমংজয	هیمنجی
হিমবংত	هیمبنت
হিরকনী	هیركنی
হিরণ	هیرن
হিরেশ	هیریش
হিশেথা	هیشیتها
হীমীর	هیمیر
হেতংশ	هیتنش
হেনীত	هینیت
হেনীশী	هینیشی
হেপ্পী	هیببی
হেমচংদর	هیمتشندر
হেমরাজ	هیمراج
হেমা লাথী	هیما لاتهی
হেমাংগ	هیمانج
হেমাংবিংদু	هیمانبیندو
হেমাংশু	هیمانشو
হেমাগনী	هیماجنی
হেমিল	هیمیل
হেম্স	هیمس
হেরংব	هیرنب
হৈমাং	هيمان
হৈযা	هيیا
হোমা	هوما
হ্রাদিনী	هرادینی
হ্রাধা	هرادها
হ্রীদা	هریدا
হ্রীদান্ক্ষ	هریدانكش
