abu dabi	አቡ ዳቢ
ɲ̥u ɲ̥uː uɲ̥ː uɲ̥ːu uɲ̥ːuː	ኙ ኙ፞ ኡኝ፟ ኡኙ፟ ኡኙ፝
ɲ̥i ɲ̥iː iɲ̥ː iɲ̥ːi iɲ̥ːiː	ኚ ኚ፞ ኢኝ፟ ኢኚ፟ ኢኚ፝
ɲ̥a ɲ̥aː aɲ̥ː aɲ̥ːa aɲ̥ːaː	ኛ ኛ፞ አኝ፟ አኛ፟ አኛ፝
ɲ̥e ɲ̥eː eɲ̥ː eɲ̥ːe eɲ̥ːeː	ኜ ኜ፞ ኤኝ፟ ኤኜ፟ ኤኜ፝
ɲ̥ɨ ɲ̥ɨː ɨɲ̥ː ɨɲ̥ːɨ ɨɲ̥ːɨː	ኝ ኝ፞ እኝ፟ እኝ፟ እኝ፝
ɲ̥o ɲ̥oː oɲ̥ː oɲ̥ːo oɲ̥ːoː	ኞ ኞ፞ ኦኝ፟ ኦኞ፟ ኦኞ፝
#
# https://en.wikipedia.org/wiki/Palatal_nasal
ɲə ɲəː əɲː əɲːə əɲːəː	ኘ ኘ፞ ኧኝ፟ ኧኘ፟ ኧኘ፝
ɲu ɲuː uɲː uɲːu uɲːuː	ኙ ኙ፞ ኡኝ፟ ኡኙ፟ ኡኙ፝
ɲi ɲiː iɲː iɲːi iɲːiː	ኚ ኚ፞ ኢኝ፟ ኢኚ፟ ኢኚ፝
ɲa ɲaː aɲː aɲːa aɲːaː	ኛ ኛ፞ አኝ፟ አኛ፟ አኛ፝
ɲe ɲeː eɲː eɲːe eɲːeː	ኜ ኜ፞ ኤኝ፟ ኤኜ፟ ኤኜ፝
ɲɨ ɲɨː ɨɲː ɨɲːɨ ɨɲːɨː	ኝ ኝ፞ እኝ፟ እኝ፟ እኝ፝
ɲo ɲoː oɲː oɲːo oɲːoː	ኞ ኞ፞ ኦኝ፟ ኦኞ፟ ኦኞ፝
#
# https://en.wikipedia.org/wiki/Voiceless_velar_nasal
əŋ̊ː əŋ̊ːə əŋ̊ːəː	ኧንግ፟ ኧንገ፟ ኧንገ፝
uŋ̊ː uŋ̊ːu uŋ̊ːuː	ኡንግ፟ ኡንጉ፟ ኡንጉ፝
iŋ̊ː iŋ̊ːi iŋ̊ːiː	ኢንግ፟ ኢንጊ፟ ኢንጊ፝
aŋ̊ː aŋ̊ːa aŋ̊ːaː	አንግ፟ አንጋ፟ አንጋ፝
eŋ̊ː eŋ̊ːe eŋ̊ːeː	ኤንግ፟ ኤንጌ፟ ኤንጌ፝
ɨŋ̊ː ɨŋ̊ːɨ ɨŋ̊ːɨː	እንግ፟ እንግ፟ እንግ፝
oŋ̊ː oŋ̊ːo oŋ̊ːoː	ኦንግ፟ ኦንጎ፟ ኦንጎ፝
əŋ̊ːʷə əŋ̊ːʷəː	ኧንጐ፟ ኧንጐ፝
uŋ̊ːʷu uŋ̊ːʷuː	ኡንጕ፟ ኡንጕ፝
iŋ̊ːʷi iŋ̊ːʷiː	ኢንጒ፟ ኢንጒ፝
aŋ̊ːʷa aŋ̊ːʷaː	አንጓ፟ አንጓ፝
eŋ̊ːʷe eŋ̊ːʷeː	ኤንጔ፟ ኤንጔ፝
#
# https://en.wikipedia.org/wiki/Velar_nasal
əŋː əŋːə əŋːəː	ኧንግ፟ ኧንገ፟ ኧንገ፝
uŋː uŋːu uŋːuː	ኡንግ፟ ኡንጉ፟ ኡንጉ፝
iŋː iŋːi iŋːiː	ኢንግ፟ ኢንጊ፟ ኢንጊ፝
aŋː aŋːa aŋːaː	አንግ፟ አንጋ፟ አንጋ፝
eŋː eŋːe eŋːeː	ኤንግ፟ ኤንጌ፟ ኤንጌ፝
ɨŋː ɨŋːɨ ɨŋːɨː	እንግ፟ እንግ፟ እንግ፝
oŋː oŋːo oŋːoː	ኦንግ፟ ኦንጎ፟ ኦንጎ፝
əŋːʷə əŋːʷəː	ኧንጐ፟ ኧንጐ፝
uŋːʷu uŋːʷuː	ኡንጕ፟ ኡንጕ፝
iŋːʷi iŋːʷiː	ኢንጒ፟ ኢንጒ፝
aŋːʷa aŋːʷaː	አንጓ፟ አንጓ፝
eŋːʷe eŋːʷeː	ኤንጔ፟ ኤንጔ፝
#
# https://en.wikipedia.org/wiki/Uvular_nasal (voiceless)
ɴ̥ə ɴ̥əː əɴ̥ː əɴ̥ːə əɴ̥ːəː	ጘ ጘ፞ ኧጝ፟ ኧጘ፟ ኧጘ፝
ɴ̥u ɴ̥uː uɴ̥ː uɴ̥ːu uɴ̥ːuː	ጙ ጙ፞ ኡጝ፟ ኡጙ፟ ኡጙ፝
ɴ̥i ɴ̥iː iɴ̥ː iɴ̥ːi iɴ̥ːiː	ጚ ጚ፞ ኢጝ፟ ኢጚ፟ ኢጚ፝
ɴ̥a ɴ̥aː aɴ̥ː aɴ̥ːa aɴ̥ːaː	ጛ ጛ፞ አጝ፟ አጛ፟ አጛ፝
ɴ̥e ɴ̥eː eɴ̥ː eɴ̥ːe eɴ̥ːeː	ጜ ጜ፞ ኤጝ፟ ኤጜ፟ ኤጜ፝
ɴ̥ɨ ɴ̥ɨː ɨɴ̥ː ɨɴ̥ːɨ ɨɴ̥ːɨː	ጝ ጝ፞ እጝ፟ እጝ፟ እጝ፝
ɴ̥o ɴ̥oː oɴ̥ː oɴ̥ːo oɴ̥ːoː	ጞ ጞ፞ ኦጝ፟ ኦጞ፟ ኦጞ፝
#
# https://en.wikipedia.org/wiki/Uvular_nasal (voiceless, alternate symbol)
ɴ̊ə ɴ̊əː əɴ̊ː əɴ̊ːə əɴ̊ːəː	ጘ ጘ፞ ኧጝ፟ ኧጘ፟ ኧጘ፝
ɴ̊u ɴ̊uː uɴ̊ː uɴ̊ːu uɴ̊ːuː	ጙ ጙ፞ ኡጝ፟ ኡጙ፟ ኡጙ፝
ɴ̊i ɴ̊iː iɴ̊ː iɴ̊ːi iɴ̊ːiː	ጚ ጚ፞ ኢጝ፟ ኢጚ፟ ኢጚ፝
ɴ̊a ɴ̊aː aɴ̊ː aɴ̊ːa aɴ̊ːaː	ጛ ጛ፞ አጝ፟ አጛ፟ አጛ፝
ɴ̊e ɴ̊eː eɴ̊ː eɴ̊ːe eɴ̊ːeː	ጜ ጜ፞ ኤጝ፟ ኤጜ፟ ኤጜ፝
ɴ̊ɨ ɴ̊ɨː ɨɴ̊ː ɨɴ̊ːɨ ɨɴ̊ːɨː	ጝ ጝ፞ እጝ፟ እጝ፟ እጝ፝
ɴ̊o ɴ̊oː oɴ̊ː oɴ̊ːo oɴ̊ːoː	ጞ ጞ፞ ኦጝ፟ ኦጞ፟ ኦጞ፝
#
# https://en.wikipedia.org/wiki/Uvular_nasal
ɴə ɴəː əɴː əɴːə əɴːəː	ጘ ጘ፞ ኧጝ፟ ኧጘ፟ ኧጘ፝
ɴu ɴuː uɴː uɴːu uɴːuː	ጙ ጙ፞ ኡጝ፟ ኡጙ፟ ኡጙ፝
ɴi ɴiː iɴː iɴːi iɴːiː	ጚ ጚ፞ ኢጝ፟ ኢጚ፟ ኢጚ፝
ɴa ɴaː aɴː aɴːa aɴːaː	ጛ ጛ፞ አጝ፟ አጛ፟ አጛ፝
ɴe ɴeː eɴː eɴːe eɴːeː	ጜ ጜ፞ ኤጝ፟ ኤጜ፟ ኤጜ፝
ɴɨ ɴɨː ɨɴː ɨɴːɨ ɨɴːɨː	ጝ ጝ፞ እጝ፟ እጝ፟ እጝ፝
ɴo ɴoː oɴː oɴːo oɴːoː	ጞ ጞ፞ ኦጝ፟ ኦጞ፟ ኦጞ፝
#
# https://en.wikipedia.org/wiki/Voiceless_bilabial_stop
pə pəː əpː əpːə əpːəː	ፐ ፐ፞ ኧፕ፟ ኧፐ፟ ኧፐ፝
pu puː upː upːu upːuː	ፑ ፑ፞ ኡፕ፟ ኡፑ፟ ኡፑ፝
pi piː ipː ipːi ipːiː	ፒ ፒ፞ ኢፕ፟ ኢፒ፟ ኢፒ፝
pa paː apː apːa apːaː	ፓ ፓ፞ አፕ፟ አፓ፟ አፓ፝
pe peː epː epːe epːeː	ፔ ፔ፞ ኤፕ፟ ኤፔ፟ ኤፔ፝
pɨ pɨː ɨpː ɨpːɨ ɨpːɨː	ፕ ፕ፞ እፕ፟ እፕ፟ እፕ፝
po poː opː opːo opːoː	ፖ ፖ፞ ኦፕ፟ ኦፖ፟ ኦፖ፝
#
# https://en.wikipedia.org/wiki/Voiceless_bilabial_stop
# https://en.wikipedia.org/wiki/Aspirated_consonant
pʰə pʰəː əpːʰ əpːʰə əpːʰəː	ጰ ጰ፞ ኧጵ፟ ኧጰ፟ ኧጰ፝
pʰu pʰuː upːʰ upːʰu upːʰuː	ጱ ጱ፞ ኡጵ፟ ኡጱ፟ ኡጱ፝
pʰi pʰiː ipːʰ ipːʰi ipːʰiː	ጲ ጲ፞ ኢጵ፟ ኢጲ፟ ኢጲ፝
pʰa pʰaː apːʰ apːʰa apːʰaː	ጳ ጳ፞ አጵ፟ አጳ፟ አጳ፝
pʰe pʰeː epːʰ epːʰe epːʰeː	ጴ ጴ፞ ኤጵ፟ ኤጴ፟ ኤጴ፝
pʰɨ pʰɨː ɨpːʰ ɨpːʰɨ ɨpːʰɨː	ጵ ጵ፞ እጵ፟ እጵ፟ እጵ፝
pʰo pʰoː opːʰ opːʰo opːʰoː	ጶ ጶ፞ ኦጵ፟ ኦጶ፟ ኦጶ፝
#
# https://en.wikipedia.org/wiki/Voiceless_bilabial_stop
# https://en.wikipedia.org/wiki/Palatalization_(phonetics)
pʲə pʲəː əpːʲə əpːʲəː	ፕየ ፕየ፞ ኧፕ፟የ ኧፕ፟የ፞
pʲu pʲuː upːʲu upːʲuː	ፕዩ ፕዩ፞ ኡፕ፟ዩ ኡፕ፟ዩ፞
pʲi pʲiː ipːʲi ipːʲiː	ፕዪ ፕዪ፞ ኢፕ፟ዪ ኢፕ፟ዪ፞
pʲa pʲaː apːʲa apːʲaː	ፕያ ፕያ፞ አፕያ፟ አፕያ፝
pʲe pʲeː epːʲe epːʲeː	ፕዬ ፕዬ፞ ኤፕ፟ዬ ኤፕ፟ዬ፞
pʲɨ pʲɨː ɨpːʲɨ ɨpːʲɨː	ፕይ ፕይ፞ እፕ፟ይ እፕ፟ይ፞
pʲo pʲoː opːʲo opːʲoː	ፕዮ ፕዮ፞ ኦፕ፟ዮ ኦፕ፟ዮ፞
#
# https://en.wikipedia.org/wiki/Voiceless_bilabial_stop
# https://en.wikipedia.org/wiki/Labialization
pʷə pʷəː əpːʷə əpːʷəː	ፕወ ፕወ፞ ኧፕ፟ወ ኧፕ፟ወ፞
pʷu pʷuː upːʷu upːʷuː	ፕዉ ፕዉ፞ ኡፕ፟ዉ ኡፕ፟ዉ፞
pʷi pʷiː ipːʷi ipːʷiː	ፕዊ ፕዊ፞ ኢፕ፟ዊ ኢፕ፟ዊ፞
pʷa pʷaː apːʷa apːʷaː	ፗ ፗ፞ አፗ፟ አፗ፝
pʷe pʷeː epːʷe epːʷeː	ፕዌ ፕዌ፞ ኤፕ፟ዌ ኤፕ፟ዌ፞
pʷɨ pʷɨː ɨpːʷɨ ɨpːʷɨː	ፕው ፕው፞ እፕ፟ው እፕ፟ው፞
pʷo pʷoː opːʷo opːʷoː	ፕዎ ፕዎ፞ ኦፕ፟ዎ ኦፕ፟ዎ፞
#
# https://en.wikipedia.org/wiki/Voiceless_bilabial_stop
# https://en.wikipedia.org/wiki/Ejective_consonant
pʼə pʼəː əpːʼ əpʼː əpːʼə əpʼːə əpːʼəː əpʼːəː	ጰ ጰ፞ ኧጵ፟ ኧጵ፟ ኧጰ፟ ኧጰ፟ ኧጰ፝ ኧጰ፝
pʼu pʼuː upːʼ upʼː upːʼu upʼːu upːʼuː upʼːuː	ጱ ጱ፞ ኡጵ፟ ኡጵ፟ ኡጱ፟ ኡጱ፟ ኡጱ፝ ኡጱ፝
pʼi pʼiː ipːʼ ipʼː ipːʼi ipʼːi ipːʼiː ipʼːiː	ጲ ጲ፞ ኢጵ፟ ኢጵ፟ ኢጲ፟ ኢጲ፟ ኢጲ፝ ኢጲ፝
pʼa pʼaː apːʼ apʼː apːʼa apʼːa apːʼaː apʼːaː	ጳ ጳ፞ አጵ፟ አጵ፟ አጳ፟ አጳ፟ አጳ፝ አጳ፝
pʼe pʼeː epːʼ epʼː epːʼe epʼːe epːʼeː epʼːeː	ጴ ጴ፞ ኤጵ፟ ኤጵ፟ ኤጴ፟ ኤጴ፟ ኤጴ፝ ኤጴ፝
pʼɨ pʼɨː ɨpːʼ ɨpʼː ɨpːʼɨ ɨpʼːɨ ɨpːʼɨː ɨpʼːɨː	ጵ ጵ፞ እጵ፟ እጵ፟ እጵ፟ እጵ፟ እጵ፝ እጵ፝
pʼo pʼoː opːʼ opʼː opːʼo opʼːo opːʼoː opʼːoː	ጶ ጶ፞ ኦጵ፟ ኦጵ፟ ኦጶ፟ ኦጶ፟ ኦጶ፝ ኦጶ፝
#
# https://en.wikipedia.org/wiki/Voiceless_bilabial_stop
# https://en.wikipedia.org/wiki/Ejective_consonant
# https://en.wikipedia.org/wiki/Labialization
pʼʷə pʼʷəː əpʼːʷə əpʼːʷəː	ጵወ ጵወ፞ ኧጵ፟ወ ኧጵ፟ወ፞
pʼʷu pʼʷuː upʼːʷu upʼːʷuː	ጵዉ ጵዉ፞ ኡጵ፟ዉ ኡጵ፟ዉ፞
pʼʷi pʼʷiː ipʼːʷi ipʼːʷiː	ጵዊ ጵዊ፞ ኢጵ፟ዊ ኢጵ፟ዊ፞
pʼʷa pʼʷaː apʼːʷa apʼːʷaː	ጷ ጷ፞ አጷ፟ አጷ፝
pʼʷe pʼʷeː epʼːʷe epʼːʷeː	ጵዌ ጵዌ፞ ኤጵ፟ዌ ኤጵ፟ዌ፞
pʼʷɨ pʼʷɨː ɨpʼːʷɨ ɨpʼːʷɨː	ጵው ጵው፞ እጵ፟ው እጵ፟ው፞
pʼʷo pʼʷoː opʼːʷo opʼːʷoː	ጵዎ ጵዎ፞ ኦጵ፟ዎ ኦጵ፟ዎ፞
#
# TODO(sascha): Add more test cases.
hə həː əhː əhːə əhːəː	ሀ ሀ፞ ኧህ፟ ኧሀ፟ ኧሀ፝
hu huː uhː uhːu uhːuː	ሁ ሁ፞ ኡህ፟ ኡሁ፟ ኡሁ፝
hi hiː ihː ihːi ihːiː	ሂ ሂ፞ ኢህ፟ ኢሂ፟ ኢሂ፝
ha haː ahː ahːa ahːaː	ሃ ሃ፞ አህ፟ አሃ፟ አሃ፝
he heː ehː ehːe ehːeː	ሄ ሄ፞ ኤህ፟ ኤሄ፟ ኤሄ፝
hɨ hɨː ɨhː ɨhːɨ ɨhːɨː	ህ ህ፞ እህ፟ እህ፟ እህ፝
ho hoː ohː ohːo ohːoː	ሆ ሆ፞ ኦህ፟ ኦሆ፟ ኦሆ፝
lə ləː əlː əlːə əlːəː	ለ ለ፞ ኧል፟ ኧለ፟ ኧለ፝
lu luː ulː ulːu ulːuː	ሉ ሉ፞ ኡል፟ ኡሉ፟ ኡሉ፝
li liː ilː ilːi ilːiː	ሊ ሊ፞ ኢል፟ ኢሊ፟ ኢሊ፝
la laː alː alːa alːaː	ላ ላ፞ አል፟ አላ፟ አላ፝
le leː elː elːe elːeː	ሌ ሌ፞ ኤል፟ ኤሌ፟ ኤሌ፝
lɨ lɨː ɨlː ɨlːɨ ɨlːɨː	ል ል፞ እል፟ እል፟ እል፝
lo loː olː olːo olːoː	ሎ ሎ፞ ኦል፟ ኦሎ፟ ኦሎ፝
bə bəː əbː əbːə əbːəː	በ በ፞ ኧብ፟ ኧበ፟ ኧበ፝
bu buː ubː ubːu ubːuː	ቡ ቡ፞ ኡብ፟ ኡቡ፟ ኡቡ፝
bi biː ibː ibːi ibːiː	ቢ ቢ፞ ኢብ፟ ኢቢ፟ ኢቢ፝
ba baː abː abːa abːaː	ባ ባ፞ አብ፟ አባ፟ አባ፝
be beː ebː ebːe ebːeː	ቤ ቤ፞ ኤብ፟ ኤቤ፟ ኤቤ፝
bɨ bɨː ɨbː ɨbːɨ ɨbːɨː	ብ ብ፞ እብ፟ እብ፟ እብ፝
bo boː obː obːo obːoː	ቦ ቦ፞ ኦብ፟ ኦቦ፟ ኦቦ፝
rə rəː ərː ərːə ərːəː	ረ ረ፞ ኧር፟ ኧረ፟ ኧረ፝
ru ruː urː urːu urːuː	ሩ ሩ፞ ኡር፟ ኡሩ፟ ኡሩ፝
ri riː irː irːi irːiː	ሪ ሪ፞ ኢር፟ ኢሪ፟ ኢሪ፝
ra raː arː arːa arːaː	ራ ራ፞ አር፟ አራ፟ አራ፝
re reː erː erːe erːeː	ሬ ሬ፞ ኤር፟ ኤሬ፟ ኤሬ፝
rɨ rɨː ɨrː ɨrːɨ ɨrːɨː	ር ር፞ እር፟ እር፟ እር፝
ro roː orː orːo orːoː	ሮ ሮ፞ ኦር፟ ኦሮ፟ ኦሮ፝
ʃə ʃəː əʃː əʃːə əʃːəː	ሸ ሸ፞ ኧሽ፟ ኧሸ፟ ኧሸ፝
ʃu ʃuː uʃː uʃːu uʃːuː	ሹ ሹ፞ ኡሽ፟ ኡሹ፟ ኡሹ፝
ʃi ʃiː iʃː iʃːi iʃːiː	ሺ ሺ፞ ኢሽ፟ ኢሺ፟ ኢሺ፝
ʃa ʃaː aʃː aʃːa aʃːaː	ሻ ሻ፞ አሽ፟ አሻ፟ አሻ፝
ʃe ʃeː eʃː eʃːe eʃːeː	ሼ ሼ፞ ኤሽ፟ ኤሼ፟ ኤሼ፝
ʃɨ ʃɨː ɨʃː ɨʃːɨ ɨʃːɨː	ሽ ሽ፞ እሽ፟ እሽ፟ እሽ፝
ʃo ʃoː oʃː oʃːo oʃːoː	ሾ ሾ፞ ኦሽ፟ ኦሾ፟ ኦሾ፝
kʼə kʼəː əkʼː əkːʼ əkʼːə əkːʼə əkʼːəː əkːʼəː	ቀ ቀ፞ ኧቅ፟ ኧቅ፟ ኧቀ፟ ኧቀ፟ ኧቀ፝ ኧቀ፝
kʼu kʼuː ukʼː ukːʼ ukʼːu ukːʼu ukʼːuː ukːʼuː	ቁ ቁ፞ ኡቅ፟ ኡቅ፟ ኡቁ፟ ኡቁ፟ ኡቁ፝ ኡቁ፝
kʼi kʼiː ikʼː ikːʼ ikʼːi ikːʼi ikʼːiː ikːʼiː	ቂ ቂ፞ ኢቅ፟ ኢቅ፟ ኢቂ፟ ኢቂ፟ ኢቂ፝ ኢቂ፝
kʼa kʼaː akʼː akːʼ akʼːa akːʼa akʼːaː akːʼaː	ቃ ቃ፞ አቅ፟ አቅ፟ አቃ፟ አቃ፟ አቃ፝ አቃ፝
kʼe kʼeː ekʼː ekːʼ ekʼːe ekːʼe ekʼːeː ekːʼeː	ቄ ቄ፞ ኤቅ፟ ኤቅ፟ ኤቄ፟ ኤቄ፟ ኤቄ፝ ኤቄ፝
kʼɨ kʼɨː ɨkʼː ɨkːʼ ɨkʼːɨ ɨkːʼɨ ɨkʼːɨː ɨkːʼɨː	ቅ ቅ፞ እቅ፟ እቅ፟ እቅ፟ እቅ፟ እቅ፝ እቅ፝
kʼo kʼoː okʼː okːʼ okʼːo okːʼo okʼːoː okːʼoː	ቆ ቆ፞ ኦቅ፟ ኦቅ፟ ኦቆ፟ ኦቆ፟ ኦቆ፝ ኦቆ፝
kʼʷə kʼʷəː əkʼːʷə əkːʼʷə əkʼːʷəː əkːʼʷəː	ቈ ቈ፞ ኧቈ፟ ኧቈ፟ ኧቈ፝ ኧቈ፝
kʼwə kʼwəː əkʼːwə əkːʼwə əkʼːwəː əkːʼwəː	ቈ ቈ፞ ኧቈ፟ ኧቈ፟ ኧቈ፝ ኧቈ፝
kʼʷu kʼʷuː ukʼːʷu ukːʼʷu ukʼːʷuː ukːʼʷuː	ቍ ቍ፞ ኡቍ፟ ኡቍ፟ ኡቍ፝ ኡቍ፝
kʼwu kʼwuː ukʼːwu ukːʼwu ukʼːwuː ukːʼwuː	ቍ ቍ፞ ኡቍ፟ ኡቍ፟ ኡቍ፝ ኡቍ፝
kʼʷi kʼʷiː ikʼːʷi ikːʼʷi ikʼːʷiː ikːʼʷiː	ቊ ቊ፞ ኢቊ፟ ኢቊ፟ ኢቊ፝ ኢቊ፝
kʼwi kʼwiː ikʼːwi ikːʼwi ikʼːwiː ikːʼwiː	ቊ ቊ፞ ኢቊ፟ ኢቊ፟ ኢቊ፝ ኢቊ፝
kʼʷa kʼʷaː akʼːʷa akːʼʷa akʼːʷaː akːʼʷaː	ቋ ቋ፞ አቋ፟ አቋ፟ አቋ፝ አቋ፝
kʼwa kʼwaː akʼːwa akːʼwa akʼːwaː akːʼwaː	ቋ ቋ፞ አቋ፟ አቋ፟ አቋ፝ አቋ፝
kʼʷe kʼʷeː ekʼːʷe ekːʼʷe ekʼːʷeː ekːʼʷeː	ቌ ቌ፞ ኤቌ፟ ኤቌ፟ ኤቌ፝ ኤቌ፝
kʼwe kʼweː ekʼːwe ekːʼwe ekʼːweː ekːʼweː	ቌ ቌ፞ ኤቌ፟ ኤቌ፟ ኤቌ፝ ኤቌ፝
bə bəː əbː əbːə əbːəː	በ በ፞ ኧብ፟ ኧበ፟ ኧበ፝
bu buː ubː ubːu ubːuː	ቡ ቡ፞ ኡብ፟ ኡቡ፟ ኡቡ፝
bi biː ibː ibːi ibːiː	ቢ ቢ፞ ኢብ፟ ኢቢ፟ ኢቢ፝
ba baː abː abːa abːaː	ባ ባ፞ አብ፟ አባ፟ አባ፝
be beː ebː ebːe ebːeː	ቤ ቤ፞ ኤብ፟ ኤቤ፟ ኤቤ፝
bɨ bɨː ɨbː ɨbːɨ ɨbːɨː	ብ ብ፞ እብ፟ እብ፟ እብ፝
bo boː obː obːo obːoː	ቦ ቦ፞ ኦብ፟ ኦቦ፟ ኦቦ፝
və vəː əvː əvːə əvːəː	ቨ ቨ፞ ኧቭ፟ ኧቨ፟ ኧቨ፝
vu vuː uvː uvːu uvːuː	ቩ ቩ፞ ኡቭ፟ ኡቩ፟ ኡቩ፝
vi viː ivː ivːi ivːiː	ቪ ቪ፞ ኢቭ፟ ኢቪ፟ ኢቪ፝
va vaː avː avːa avːaː	ቫ ቫ፞ አቭ፟ አቫ፟ አቫ፝
ve veː evː evːe evːeː	ቬ ቬ፞ ኤቭ፟ ኤቬ፟ ኤቬ፝
vɨ vɨː ɨvː ɨvːɨ ɨvːɨː	ቭ ቭ፞ እቭ፟ እቭ፟ እቭ፝
vo voː ovː ovːo ovːoː	ቮ ቮ፞ ኦቭ፟ ኦቮ፟ ኦቮ፝
ʔə ʔəː	አ አ፞
ʔu ʔuː	ኡ ኡ፞
ʔi ʔiː	ኢ ኢ፞
ʔa ʔaː	ኣ ኣ፞
ʔe ʔeː	ኤ ኤ፞
ʔɨ ʔɨː	እ እ፞
ʔo ʔoː	ኦ ኦ፞
kə kəː əkː əkːə əkːəː	ከ ከ፞ ኧክ፟ ኧከ፟ ኧከ፝
ku kuː ukː ukːu ukːuː	ኩ ኩ፞ ኡክ፟ ኡኩ፟ ኡኩ፝
ki kiː ikː ikːi ikːiː	ኪ ኪ፞ ኢክ፟ ኢኪ፟ ኢኪ፝
ka kaː akː akːa akːaː	ካ ካ፞ አክ፟ አካ፟ አካ፝
ke keː ekː ekːe ekːeː	ኬ ኬ፞ ኤክ፟ ኤኬ፟ ኤኬ፝
kɨ kɨː ɨkː ɨkːɨ ɨkːɨː	ክ ክ፞ እክ፟ እክ፟ እክ፝
ko koː okː okːo okːoː	ኮ ኮ፞ ኦክ፟ ኦኮ፟ ኦኮ፝
kʷə kʷəː əkːʷə əkːʷəː	ኰ ኰ፞ ኧኰ፟ ኧኰ፝
kwə kwəː əkːwə əkːwəː	ኰ ኰ፞ ኧኰ፟ ኧኰ፝
kʷu kʷuː ukːʷu ukːʷuː	ኵ ኵ፞ ኡኵ፟ ኡኵ፝
kwu kwuː ukːwu ukːwuː	ኵ ኵ፞ ኡኵ፟ ኡኵ፝
kʷi kʷiː ikːʷi ikːʷiː	ኲ ኲ፞ ኢኲ፟ ኢኲ፝
kwi kwiː ikːwi ikːwiː	ኲ ኲ፞ ኢኲ፟ ኢኲ፝
kʷa kʷaː akːʷa akːʷaː	ኳ ኳ፞ አኳ፟ አኳ፝
kwa kwaː akːwa akːwaː	ኳ ኳ፞ አኳ፟ አኳ፝
kʷe kʷeː ekːʷe ekːʷeː	ኴ ኴ፞ ኤኴ፟ ኤኴ፝
kwe kweː ekːwe ekːweː	ኴ ኴ፞ ኤኴ፟ ኤኴ፝
kʷɨ kʷɨː ɨkːʷɨ ɨkːʷɨː	ክው ክው፞ እክው፟ እክው፝
kwɨ kwɨː ɨkːwɨ ɨkːwɨː	ክው ክው፞ እክው፟ እክው፝
kʷo kʷoː okːʷo okːʷoː	ክዎ ክዎ፞ ኦክዎ፟ ኦክዎ፝
kwo kwoː okːwo okːwoː	ክዎ ክዎ፞ ኦክዎ፟ ኦክዎ፝
wə wəː	ወ ወ፞
wu wuː	ዉ ዉ፞
wi wiː	ዊ ዊ፞
wa waː	ዋ ዋ፞
we weː	ዌ ዌ፞
wɨ wɨː	ው ው፞
wo woː	ዎ ዎ፞
ʕə ʕəː	ዐ ዐ፞
ʕu ʕuː	ዑ ዑ፞
ʕi ʕiː	ዒ ዒ፞
ʕa ʕaː	ዓ ዓ፞
ʕe ʕeː	ዔ ዔ፞
ʕɨ ʕɨː	ዕ ዕ፞
ʕo ʕoː	ዖ ዖ፞
zə zəː əzː əzːə əzːəː	ዘ ዘ፞ ኧዝ፟ ኧዘ፟ ኧዘ፝
zu zuː uzː uzːu uzːuː	ዙ ዙ፞ ኡዝ፟ ኡዙ፟ ኡዙ፝
zi ziː izː izːi izːiː	ዚ ዚ፞ ኢዝ፟ ኢዚ፟ ኢዚ፝
za zaː azː azːa azːaː	ዛ ዛ፞ አዝ፟ አዛ፟ አዛ፝
ze zeː ezː ezːe ezːeː	ዜ ዜ፞ ኤዝ፟ ኤዜ፟ ኤዜ፝
zɨ zɨː ɨzː ɨzːɨ ɨzːɨː	ዝ ዝ፞ እዝ፟ እዝ፟ እዝ፝
zo zoː ozː ozːo ozːoː	ዞ ዞ፞ ኦዝ፟ ኦዞ፟ ኦዞ፝
zwa zwaː azːwa azːwaː	ዟ ዟ፞ አዟ፟ አዟ፝
zʷa zʷaː azːʷa azːʷaː	ዟ ዟ፞ አዟ፟ አዟ፝
ʒə ʒəː əʒː əʒːə əʒːəː	ዠ ዠ፞ ኧዢ፟ ኧዠ፟ ኧዠ፝
ʒu ʒuː uʒː uʒːu uʒːuː	ዡ ዡ፞ ኡዢ፟ ኡዡ፟ ኡዡ፝
ʒi ʒiː iʒː iʒːi iʒːiː	ዢ ዢ፞ ኢዢ፟ ኢዢ፟ ኢዢ፝
ʒa ʒaː aʒː aʒːa aʒːaː	ዣ ዣ፞ አዢ፟ አዣ፟ አዣ፝
ʒe ʒeː eʒː eʒːe eʒːeː	ዤ ዤ፞ ኤዢ፟ ኤዤ፟ ኤዤ፝
ʒɨ ʒɨː ɨʒː ɨʒːɨ ɨʒːɨː	ዥ ዥ፞ እዢ፟ እዥ፟ እዥ፝
ʒo ʒoː oʒː oʒːo oʒːoː	ዦ ዦ፞ ኦዢ፟ ኦዦ፟ ኦዦ፝
ʒʷa ʒʷaː aʒːʷa aʒːʷaː	ዧ ዧ፞ አዧ፟ አዧ፝
jə jəː əjː əjːə əjːəː	የ የ፞ ኧይ፟ ኧየ፟ ኧየ፝
ju juː ujː ujːu ujːuː	ዩ ዩ፞ ኡይ፟ ኡዩ፟ ኡዩ፝
ji jiː ijː ijːi ijːiː	ዪ ዪ፞ ኢይ፟ ኢዪ፟ ኢዪ፝
ja jaː ajː ajːa ajːaː	ያ ያ፞ አይ፟ አያ፟ አያ፝
