# Baby names
அகஜா	اكجا
மஹாத்யுதா	مهاتیوتا
மஹாந்தேஷ	مهانتیش
மஹாந்ய	مهانی
மஹாபாலா	مهابالا
மஹாபுத்தி	مهابوتتی
மஹாமாநீ	مهامانی
மஹாயோகீ	مهایوكی
மஹால்யா	مهالیا
மஹாவித்யா	مهاویتیا
மஹிஷா	مهیشا
மஹீபதி	مهیبتی
மஹேஂத்ரா	مهینترا
மஹேக	مهیك
மஹேஷநீ	مهیشنی
மாஂகா	مانكا
மாஂதிக	مانتیك
மாஂநாஷ்யுஂ	مانناشیون
மாஂநீமாஂரண	ماننیمانرن
மாஂநீமோஜ்ஹீ	ماننیموجهی
மாஂநீஷ்கா	ماننیشكا
மாஂநுஸரீ	ماننوسری
மாஂநோரீதா	ماننوریتا
மாஂந்ஜுநாதா	ماننجوناتا
மாஂரீஸ்வாரீ	مانریسواری
மாஂர்தஂதா	مانرتنتا
மாஂல்லீயா	مانللییا
மாதவ தாஸ	ماتو تاس
மாதுஜ	ماتوج
மாதுவேமந	ماتوویمن
மாத்ருதேவ	ماتروتیو
மாத்ரே	ماتري
மாந	مان
மாநகா	مانكا
மாநதந	مانتن
மாநவ	مانو
மாநீஏ	مانیي
மாந்தாதா	مانتاتا
மாந்தாரீ	مانتاری
மாந்வீர	مانویر
மாரகாதம	ماركاتم
மாருதி	ماروتی
மார்கீத	ماركیت
மார்ஷக	مارشك
மால மரகந	مال مركن
மாலிநீ	مالینی
மாலு	مالو
மால்லேஷா	ماللیشا
மாஹிதா	ماهیتا
மாஹீப	ماهیب
மிக்ஷா	میكشا
மேத	میت
மேதிநீ	میتینی
மேதுநா	میتونا
மைத்ரா	مایترا
மைத்ரீ	مایتری
மைமத	مایمت
மௌலிகா	ماولیكا
மௌலீஷா	ماولیشا
யஜநேஷ	یجنیش
யஜுர	یجور
யஜ்நேஷ	یجنیش
யது	یتو
யதுநஂதந	یتوننتن
யதுராஜ	یتوراج
யவநா	یونا
யஷராஜ	یشراج
யஷஸ்விந	یشسوین
யஷாஸ்காராம	یشاسكارام
யஷு	یشو
யஷோதா	یشوتا
யஷோதேவ	یشوتیو
யஸ்மீநீ	یسمینی
யாக்நீதா	یاكنیتا
யாசந	یاتشن
யாஜ்நா	یاجنا
யாஜ்ஹீநீ	یاجهینی
யாதவ	یاتو
யாதாவந	یاتاون
யாதுதாநீ	یاتوتانی
யார	یار
யாஸ்தீகா	یاستیكا
யாஹ்வீ	یاهوی
யுஂகலராஜ	یونكلراج
யுகல	یوكل
யுதாஜீத	یوتاجیت
யுநாய	یونای
யுவநாத	یوونات
யுவராநீ	یوورانی
யுவாநவ	یووانو
யேதாஂத	ییتانت
யேநாக்ஷீ	ییناكشی
யேஷ்வீ	ییشوی
யோகதீபா	یوكتیبا
யோகாஷ்ரீ	یوكاشری
யோகீந	یوكین
யோகீஷ	یوكیش
யோகேஷ்வரந	یوكیشورن
யோஜித	یوجیت
யோஜீதா	یوجیتا
யோதீந	یوتین
யோஷா	یوشا
யோஷாநா	یوشانا
யௌஷா	یاوشا
ரஂகிதா	رنكیتا
ரஂகீத	رنكیت
ரஂஜநீ	رنجنی
ரஂஜீநா	رنجینا
ரகவா	ركوا
ரகஷ்ந்டா	ركشنطا
ரகு	ركو
ரகுரமண	ركورمن
ரகுவர	ركوور
ரக்தாகமல	ركتاكمل
ரக்தீமாஂ	ركتیمان
ரக்ஷாதீ	ركشاتی
ரணஜீ	رنجی
ரதாஂக	رتانك
ரத்நாநிதி	رتنانیتی
ரத்நாபலீ	رتنابلی
ரத்நாவலீ	رتناولی
ரந்கௌரவ	رنكاورو
ரந்ஜீக	رنجیك
ரந்வித	رنویت
ரமாகாஂத	رماكانت
ரமாயா	رمایا
ரம்பேஷ	رمبیش
ரம்யக	رمیك
ரவீந்தார	روینتار
ரவ்யஂகீ	روینكی
ரஷ்மீல	رشمیل
ரஸநா	رسنا
ரஸவிஹாரீ	رسویهاری
ரஸிக	رسیك
ரஸ்லுஂநீ	رسلوننی
ரஹஸ	رهس
ராகவீ	راكوی
ராகிநீ	راكینی
ராக்வீநதார	راكوینتار
ராஜ  கிரண	راج  كیرن
ராஜாப்ரதா	راجابرتا
ராஜார்ஷீ	راجارشی
ராஜாவேல	راجاویل
ராஜாவேலுஂ	راجاویلون
ராஜிகா	راجیكا
ராஜீதா	راجیتا
ராஜ்யலக்ஷ்மீ	راجیلكشمی
ராதா	راتا
ராதா வல்லப	راتا وللب
ராதாராநீ	راتارانی
ராதிக	راتیك
ராதிகா	راتیكا
ராத்நாநீதீ	راتنانیتی
ராத்ரி	راتری
ராம  ஸேவக	رام  سیوك
ராமப்ரீய	رامبریی
ராமாநஂத	راماننت
ராமிநீ	رامینی
ராமேஷ்வர	رامیشور
ராவநா	راونا
ராஷி	راشی
ராஹீந்ய	راهینی
ரிஷ்மிதா	ریشمیتا
ரிஹா	ریها
ரீகீதா	ریكیتا
ரீக்வீதா	ریكویتا
ரீதாநா	ریتانا
ரீதி	ریتی
ரீதூ	ریتو
ரீத்திதா	ریتتیتا
ரீத்யாஂஷ	ریتیانش
ரீநீ	رینی
ரீப்யா	ریبیا
ரீமநா	ریمنا
ரீம்பீ	ریمبی
ரீஷ்மேதா	ریشمیتا
ரேஜீஷ	ریجیش
ரேணு	رینو
ரேநுக	رینوك
ரேநேஷ	رینیش
ரேந்ஜீநீ	رینجینی
ரேவா	ریوا
ரேஹாஂஷீ	ریهانشی
ரேஹேஈலா	ریهیيلا
ரைவத	رایوت
ரௌஷந	راوشن
லகஸித	لكسیت
லக்ஷ்மீ ஷ்ரீநிவாஸ	لكشمی شرینیواس
லக்ஷ்மீகோபால	لكشمیكوبال
லக்ஷ்மீநாராயநா	لكشمیناراینا
லஜ்ஜா	لججا
லஜ்ஜாகா	لججاكا
லஜ்ஜீதா	لججیتا
லலித	للیت
லலிதகிஷோரே	للیتكیشوري
லலிதசஂத்ரா	للیتتشنترا
லலீதாமபிகா	للیتامبیكا
லலீத்யா	للیتیا
லவலீ	لولی
லாச்மந	لاتشمن
லாதாநகீ	لاتانكی
லாதீகா	لاتیكا
லாதேஷ	لاتیش
லாத்வீகா	لاتویكا
லாபந்ய	لابنی
லாராந	لاران
லாரீநா	لارینا
லாலநா	لالنا
லாலமணி	لالمنی
லாவந	لاون
லாவிக	لاویك
லாவீத்ர	لاویتر
லாவீஷ	لاویش
லாவ்நாய	لاونای
லாஸக	لاسك
லாஸ்ய	لاسی
லீதீகா	لیتیكا
லீநா	لینا
லீநுஂ	لینون
லீந்கபஂடீ	لینكبنطی
லீந்கம	لینكم
லீந்கஸம்ய	لینكسمی
லீந்கேஸ்வரண	لینكیسورن
லீபஷீதா	لیبشیتا
லீபாக்ஷீ	لیباكشی
லீப்ஸீகா	لیبسیكا
லுகேஷ	لوكیش
லூநீ	لونی
லேஈவீநா	لیيوینا
லேக	لیك
லேகீஷா	لیكیشا
லேக்ஷாநா	لیكشانا
லேமாஂ	لیمان
லேமாஂநா	لیماننا
லோகநாயாகீ	لوكنایاكی
லோகாஜநாநீ	لوكاجنانی
லோகாபுஜ்ய	لوكابوجی
லோகேந்தீரண	لوكینتیرن
லோகேஷ்வாரீ	لوكیشواری
லோக்யா	لوكیا
லோலா	لولا
லோவ்யம	لوویم
லோஸீ	لوسی
லோஹிதாஷ்வா	لوهیتاشوا
லோஹீத	لوهیت
லௌஹித்ய	لاوهیتی
வஂசித	ونتشیت
வஂஷ	ونش
வஂஷிகா	ونشیكا
வஂஷீ	ونشی
வஂஹிஷிகா	ونهیشیكا
வக்ரதுஂட	وكرتونط
வஜ்ரக்ஷா	وجركشا
வஜ்ராஜித	وجراجیت
வதநா	وتنا
வத்ஸிந	وتسین
வநாநீ	ونانی
வநித	ونیت
வநிதா	ونیتا
வநீத	ونیت
வயுநஂத	ویوننت
வரஜோத்தாமாஂ	ورجوتتامان
வரப்ரதா	وربرتا
வரரோஹா	ورروها
வருநாப்ரியா	ورونابرییا
வருந்ய	ورونی
வருந்ஸாஈ	ورونساي
வரேஷ	وریش
வர்ணித	ورنیت
வர்ஷ	ورش
வர்ஷநேயா	ورشنییا
வர்ஷாந	ورشان
வர்ஷால	ورشال
வர்ஷீதா	ورشیتا
வர்ஷீல	ورشیل
வலாக	ولاك
வல்லபா	وللبا
வல்லவ	وللو
வஷீகரண	وشیكرن
வஷீஷ்கா	وشیشكا
வஸஂதீ	وسنتی
வஸதிகா	وستیكا
வஸீ	وسی
வஸுல	وسول
வஸ்தாவீ	وستاوی
வஸ்மீஹா	وسمیها
வாகீஷ	واكیش
வாஜ்ரநாகா	واجرناكا
வாதஷா	واتشا
வாதிவேலந	واتیویلن
வாத்ஸக	واتسك
வாநுஂ	وانون
வாந்யா	وانیا
வாமா	واما
வாரநா	وارنا
வாஸஂதாமாலிகா	واسنتامالیكا
வாஸுந்தரா	واسونترا
வாஸுமந	واسومن
வாஸுமாஂதா	واسومانتا
வாஸுராதா	واسوراتا
விஜயாஸ்ரீ	ویجیاسری
விதாஸ்ரீ	ویتاسری
விதுலா	ویتولا
வித்யாலக்ஷ்மீ	ویتیالكشمی
விநாம்ப்ரா	وینامبرا
விநாயிகா	ویناییكا
விபாத	ویبات
விமலா	ویملا
விரமாஂநீகாநதா	ویرماننیكانتا
விராமநீ	ویرامنی
விஹாநா	ویهانا
வீஆந	ویآن
வீநாவாநீ	ویناوانی
வீர்யவாந	ویریوان
வேக்ஷநா	ویكشنا
வேணு	وینو
வேதவித்யா	ویتویتیا
வேதவ்ரதா	ویتورتا
வேதாஂக	ویتانك
வேதாஂகா	ویتانكا
வேதாந்த	ویتانت
வேதார்த	ویتارت
வேதாஷ்ரீ	ویتاشری
வேதீமாஂ	ویتیمان
வேத்ரிவால	ویتریوال
வேத்ரீவேல	ویتریویل
வேத்வியந	ویتویین
வேநிமாதவ	وینیماتو
வேநீ	وینی
வேநீஷா	وینیشا
வேந்காதேஷ்வாரா	وینكاتیشوارا
வேந்மதீ	وینمتی
வேம்பரஸீ	ویمبرسی
வைகுஂட	وایكونط
வைஜயஂதீ	وایجینتی
வைதுர்யா	وایتوریا
வைத்யாத	وایتیات
வைஷாக	وایشاك
வைஷித	وایشیت
ஷக்திதார்ய	شكتیتاری
ஸஂகத  தலீவந	سنكت  تلیون
ஸஂகவீ	سنكوی
ஸஂகீநீ	سنكینی
ஸஂகேத	سنكیت
ஸஂக்ராஂதி	سنكرانتی
ஸஂசயீதா	سنتشییتا
ஸஂசாநா	سنتشانا
ஸஂசீதீ	سنتشیتی
ஸஂஜய	سنجی
ஸஂஜாலீ	سنجالی
ஸஂஜீவநீ	سنجیونی
ஸஂஜீவீ	سنجیوی
ஸஂஜோலீ	سنجولی
ஸஂததா	سنتتا
ஸஂதீதீ	سنتیتی
ஸஂதீப	سنتیب
ஸஂதோக	سنتوك
ஸஂதோஷீதா	سنتوشیتا
ஸஂரகதா	سنركتا
ஸஂஸிதா	سنسیتا
ஸகா	سكا
ஸகுண	سكون
ஸக்ஷண	سكشن
ஸசிதா	ستشیتا
ஸசிதாநஂத விக்ரஹ	ستشیتاننت ویكره
ஸசிநதேவ	ستشینتیو
ஸசீதந	ستشیتن
ஸசீநா	ستشینا
ஸசீந்தேஓ	ستشینتیاو
ஸதநாந்தம	ستنانتم
ஸதபிஂது	ستبینتو
ஸதிஷ	ستیش
ஸநாவ்ய	سناوی
ஸந்நிதி	سننیتی
ஸபரஂக	سبرنك
ஸபரீநாத	سبرینات
ஸப்தாபீ	سبتابی
ஸமக	سمك
ஸமாஂநவீ	سماننوی
ஸமாஜஸ	سماجس
ஸமீர	سمیر
ஸமீரந	سمیرن
ஸமீரா	سمیرا
ஸமுத்ரா	سموترا
ஸம்மோத	سمموت
ஸம்யுஂக்தா	سمیونكتا
ஸம்ரீத்தீ	سمریتتی
ஸரஜா	سرجا
ஸரஸா	سرسا
ஸரிஷா	سریشا
ஸர்பாநீ	سربانی
ஸலஜ	سلج
ஸஹரதய	سهرتی
ஸஹஷ்ரத	سهشرت
ஸஹஸ்வீநீ	سهسوینی
ஸஹிகா	سهیكا
ஸஹீத	سهیت
ஸஹீராம	سهیرام
ஸஹேஜ	سهیج
ஸாஂபா	سانبا
ஸாஇ ஆநஂத	ساي آننت
ஸாஇ ராம	ساي رام
ஸாஈ லதா	ساي لتا
ஸாஈநாத	ساينات
ஸாஈப்ரதாப	سايبرتاب
ஸாகரிகா	ساكریكا
ஸாக்நீகா	ساكنیكا
ஸாசீ	ساتشی
ஸாதரீ	ساتری
ஸாதவிக	ساتویك
ஸாநியா	سانییا
ஸாமர	سامر
ஸாமலீ	ساملی
ஸாயக	سایك
ஸாரஂகீ	سارنكی
ஸாவஂத	ساونت
ஸாவித்ரீ	ساویتری
ஸாஹத	ساهت
ஸாஹஸ	ساهس
ஸாஹிதீ	ساهیتی
ஸுப்ரியா	سوبرییا
ஸைகரா	سایكرا
ஹஂஷல	هنشل
ஹஂஸராஜ	هنسراج
ஹயாதீ	هیاتی
ஹரஜீத	هرجیت
ஹரம்யா	هرمیا
ஹரஷீகேஷ	هرشیكیش
ஹரிகரஷ்ண	هریكرشن
ஹரித	هریت
ஹரிநாராயண	هریناراین
ஹரிந்த்ரநாத	هرینترنات
ஹரிப்ரீத	هریبریت
ஹரிமஂதீ	هریمنتی
ஹரீதாம	هریتام
ஹரீநாதா	هریناتا
ஹரீபேஅஸாத	هریبیاسات
ஹரீவல்லப	هریوللب
ஹரீஷ்ரீ	هریشری
ஹரீஷ்வ	هریشو
ஹரேந்த்ர	هرینتر
ஹரேஹாந	هریهان
ஹர்ஜஸ	هرجس
ஹர்திக	هرتیك
ஹர்பீதா	هربیتا
ஹர்யக்ஷ	هریكش
ஹர்ஷதா	هرشتا
ஹர்ஷாலா	هرشالا
ஹர்ஷிகா	هرشیكا
ஹர்ஷீநீ	هرشینی
ஹர்ஷீயா	هرشییا
ஹர்ஸிகா	هرسیكا
ஹவிஷ	هویش
ஹவீந்தா	هوینتا
ஹவ்யா	هویا
ஹஸமுக	هسموك
ஹஸித	هسیت
ஹாரிகா	هاریكا
ஹாரீஜ	هاریج
ஹிதீஷீந	هیتیشین
ஹிதைஷ	هیتایش
ஹிந்தீ	هینتی
ஹிமாசல	هیماتشل
ஹிமாந	هیمان
ஹிரேந	هیرین
ஹிஷால	هیشال
ஹிஷீதா	هیشیتا
ஹீரா	هیرا
ஹீராந்யாப்பா	هیرانیاببا
ஹுமீஷா	هومیشا
ஹும்ஸீகா	هومسیكا
ஹுர்தித்யா	هورتیتیا
ஹுவீஷ்கா	هوویشكا
ஹுவேந்த்ர	هووینتر
ஹேஇஅந	هیيان
ஹேதார்த	هیتارت
ஹேதீநீ	هیتینی
ஹேது	هیتو
ஹேநா	هینا
ஹேமதேவ	هیمتیو
ஹேமா லாதீ	هیما لاتی
ஹேமாஂம்பரீ	هیمانمبری
ஹேமாஂவாநீ	هیمانوانی
ஹேமாநீ	هیمانی
ஹேமாவாதிநஂதந	هیماواتیننتن
ஹேமீத்ரா	هیمیترا
ஹேம்க்ரீஷ	هیمكریش
ஹேரீத	هیریت
ஹைமாஂ	هيمان
ஹோநஹார	هونهار
ஹ்ரீகீந	هریكین
ஹ்ரீதித	هریتیت
ஹ்ரீஷாப	هریشاب
