# Baby names
ਅਂਗਦ	انجد
ਤੀਰਨ /ਤਿਹ੍ਰਣ /ਤੇਯ੍ਰੁਣ	تیرن /تیهرن /تییرون
ਤੀਰਾਥ੍ਰਾਮ	تیراتهرام
ਤੁਵਿਜਾਤ	توویجات
ਤੇਕਜੀਤ	تیكجیت
ਤੇਕਦੀਪ	تیكدیب
ਤੇਕਪ੍ਰਿਤ	تیكبریت
ਤੇਕ੍ਪਾਲ	تیكبال
ਤੇਘਬਹਾਦੁਰ	تیجهبهادور
ਤੇਜਧਾਰਾਮ	تیجدهارام
ਤੇਜਨਾਮ	تیجنام
ਤੇਜਪ੍ਰਤਾਪ	تیجبرتاب
ਤੇਜ਼	تیج
ਤੇਜਾਸਵੀਰ	تیجاسویر
ਤੇਜੀਨਦੇਰ੍ਜੀਤ	تیجیندیرجیت
ਤੇਜੀਨਦੇਰ੍ਪਾਲ	تیجیندیربال
ਤੋਤਾਸਿਂਹ	توتاسینه
ਤ੍ਰਿਪਲ	تریبل
ਤ੍ਰਿਲੋਚਨ	تریلوتشن
ਤ੍ਰੀਭਾਵਾਨ	تریبهاوان
ਤ੍ਰੀਸ਼ਾਨਜੋਤ	تریسانجوت
ਤ੍ਰੀਸ਼ਾਨਦੀਪ	تریساندیب
ਤ੍ਰੀਸ਼ਾਨਬੀਰ	تریسانبیر
ਥਾਕੁਰਨਾਮ	تهاكورنام
ਥਾਲਭੂਪ	تهالبهوب
ਥਾਲਰਾਜ	تهالراج
ਥੀਰਮਾਨ	تهیرمان
ਥੀਰ੍ਧੀਆਨ	تهیردهیآن
ਦਮਨਜਿਤ	دمنجیت
ਦਮਨਜੋਤ	دمنجوت
ਦਯਾਜੋਤ	دیاجوت
ਦਯਾਦੀਪ	دیادیب
ਦਰਮੀਨ੍ਦੇਰ	درمیندیر
ਦਰ੍ਪ੍ਰਿਤ	دربریت
ਦਲਜੋਧ	دلجوده
ਦਲਬੀਨਦੇਰ	دلبیندیر
ਦਲਬੀਨ੍ਦੇਰ੍ਜਿਤ	دلبیندیرجیت
ਦਲਰਾਜ	دلراج
ਦਲੇਰ	دلیر
ਦਵੀਨ੍ਦੇਰ	دویندیر
ਦਿਦਾਰ	دیدار
ਦਿਨਤੇਕ	دینتیك
ਦਿਪਲੀਨ	دیبلین
ਦਿਲਜੋਤ	دیلجوت
ਦਿਲਨਿਤ	دیلنیت
ਦਿਲਪ੍ਰਿਤ	دیلبریت
ਦਿਲਮਿਤ	دیلمیت
ਦਿਲਰਿਤ	دیلریت
ਦਿਲਸ਼ਾਨ	دیلسان
ਦਿਲਸ਼ੇਰ	دیلسیر
ਦਿਵ੍ਯਜ੍ਯੋਤ	دیویجیوت
ਦੀਲਜੀਤ	دیلجیت
ਦੀਲਬਾਘ	دیلباجه
ਦੀਲ੍ਜਿਤ	دیلجیت
ਦੀਵ੍ਯਜੋਤ	دیویجوت
ਦੇਵਜੀਤ	دیوجیت
ਦੇਵਪ੍ਰਿਤ	دیوبریت
ਦੇਵਾਤ੍ਮਾ	دیواتما
ਦੇਵੀਨ੍ਦੇਰ	دیویندیر
ਧਰਮਜ੍ਯੋਤ	دهرمجیوت
ਧਰਮਪਾਲ	دهرمبال
ਧਰਮਪ੍ਰੀਤ	دهرمبریت
ਧਰਮਲੀਨ	دهرملین
ਧੀਅਨ੍ਜੋਗ	دهیانجوج
ਨਕ੍ਸ਼ਤ੍ਰਾ	نكسترا
ਨਮ੍ਰੀਤਾਬੀਰ	نمریتابیر
ਨਯਨਦੀਪ	نیندیب
ਨਰਿਨ੍ਦਰ	نریندر
ਨਰੇਨ੍ਦ੍ਰ	نریندر
ਨਵਜੀਤ	نوجیت
ਨਵਜੀਵਨ	نوجیون
ਨਵਦੀਪ	نودیب
ਨਵਬੀਰ	نوبیر
ਨਵਮਿਤ	نومیت
ਨਵ੍ਜੀਨ੍ਦੇਰ	نوجیندیر
ਨਾਗਂਦਰ	ناجندر
ਨਾਨਕੀ	نانكی
ਨਾਨਵੀਰ	نانویر
ਨਾਨ੍ਦਾਨਜਿਤ	ناندانجیت
ਨਾਨ੍ਦਾਨਪ੍ਰਿਤ	ناندانبریت
ਨਾਮਜੀਵ	نامجیو
ਨਾਮਜੋਗ	نامجوج
ਨਾਮਜੋਤ	نامجوت
ਨਾਮਜੋਧ	نامجوده
ਨਾਮਧਾਰ	نامدهار
ਨਾਮਧਿਯਨ	نامدهیین
ਨਾਮਧਿਰ	نامدهیر
ਨਾਮਨੀਰ੍ਮਾਲ	نامنیرمال
ਨਾਮਨੀਵਾਸ	نامنیواس
ਨਾਮਪ੍ਰਿਤ	نامبریت
ਨਾਮਪ੍ਰੇਮ	نامبریم
ਨਾਮਭਾਗਤ	نامبهاجت
ਨਾਮਵਿਚਾਰ	نامویتشار
ਨਾਮਸ਼ਰਣ	نامسرن
ਨਾਮਾਂਡੋਲ਼	ناماندول
ਨਾਮਾਹਾਰ	ناماهار
ਨਾਮੁਤ੍ਤਮ	ناموتتم
ਨਾਮ੍ਰਾਤਨ	نامراتن
ਨਾਮ੍ਰਿਤਾ	نامریتا
ਨਾਮ੍ਰੀਤਾਜੋਤ	نامریتاجوت
ਨਾਮ੍ਰੀਤਾਦੀਪ	نامریتادیب
ਨਾਮ੍ਰੀਤਾਪ੍ਰਿਤ	نامریتابریت
ਨਾਰ	نار
ਨਾਰਂਜਨ	نارنجن
ਨਾਰੀਤਪਲ	ناریتبل
ਨਾਰੀਨਦੇਰਦੀਪ	ناریندیردیب
ਨਾਰੈਨ	ناراین
ਨਾਵਿਨਜਿਤ	ناوینجیت
ਨਾਵ੍ਕੀਰਣ	ناوكیرن
ਨਾਵ੍ਕੀਰਨਜੋਤ	ناوكیرنجوت
ਨਾਵ੍ਪ੍ਰਿਤ	ناوبریت
ਨਿਮਾਈ	نیماإ
ਨਿਰਂਜਨ	نیرنجن
ਨਿਰਂਜਨਾ	نیرنجنا
ਨਿਰ੍ਮਲਜੀਤ	نیرملجیت
ਨਿਲਾਮਜੋਤ	نیلامجوت
ਨਿਲਾਮਪੁਲ	نیلامبول
ਨਿਲਾਮਪ੍ਰਿਤ	نیلامبریت
ਨਿਲਾਮਬੇਰ	نیلامبیر
ਨਿਸ਼ਾ	نیسا
ਨਿਹ੍ਚਾਲਤੇਕ	نیهتشالتیك
ਨਿਹ੍ਚਾਲਮਿਤ	نیهتشالمیت
ਨੀਤਨਾਮ	نیتنام
ਨੀਨਦੇਰ੍ਬੀਰ	نیندیربیر
ਨੀਮਮਾਂਪ੍ਰਿਤ	نیممانبریت
ਨੀਮਮਾਂਰ੍ਦੀਪ	نیممانردیب
ਨੀਮ੍ਮਾਂਰਤਾ	نیممانرتا
ਨੀਮ੍ਰਤ	نیمرت
ਨੀਰਮਾਂਲਦੀਪ	نیرمانلدیب
ਨੀਰਮਾਂਲਬੀਰ	نیرمانلبیر
ਨੀਰਮੋਲ	نیرمول
ਨੀਰਵੈਰ	نیروایر
ਨੀਰ੍ਭਾਉ	نیربهاو
ਨੀਰ੍ਮਾਂਲਕਾਰਾਮ	نیرمانلكارام
ਨੀਰ੍ਮਾਂਲਜੀਵ	نیرمانلجیو
ਨੀਰ੍ਮਾਂਲਜੋਤ	نیرمانلجوت
ਨੀਰ੍ਮਾਂਲਤੇਕ	نیرمانلتیك
ਨੀਰ੍ਮਾਂਲਧਾਰਾਮ	نیرمانلدهارام
ਨੀਰ੍ਮਾਂਲਪ੍ਰਿਤ	نیرمانلبریت
ਨੀਸ਼ਾਨ੍ਦੀਪ	نیساندیب
ਨੀਹ੍ਚਾਲ੍ਪ੍ਰੇਮ	نیهتشالبریم
ਨੂਰਦੇਵ	نوردیو
ਨੂਰਨਿਤ	نورنیت
ਨੂਰਪ੍ਰਿਤ	نوربریت
ਨੇਕਨਾਮ	نیكنام
ਨੇਕੀਨਦੇਰ	نیكیندیر
ਨੇਕ੍ਦੀਪ	نیكدیب
ਨੇਕ੍ਪਾਲ	نیكبال
ਨੇਹ੍ਚਾਲਪ੍ਰਿਤ	نیهتشالبریت
ਨੈਨਤਾਰ	ناینتار
ਨੈਨਦੀਪ	نایندیب
ਨੈਨੀਨਦੇਰ	ناینیندیر
ਨੋਉਲਖ	نوولكه
ਨੌਹਨੀਹਲ	ناوهنیهل
ਨ੍ਰੀਪਜੋਤ	نریبجوت
ਪਤਵਂਤ	بتونت
ਪਤਵੀਰ	بتویر
ਪਦਾਮਜਿਤ	بدامجیت
ਪਦਾਮਪ੍ਰੇਮ	بدامبریم
ਪਦ੍ਮਸ਼੍ਰੀ	بدمسری
ਪਰਤਾਪ ; ਪਰਤਾਪ	برتاب ; برتاب
ਪਰਤਾਪੀ	برتابی
ਪਰਦੀਪ	بردیب
ਪਰਬੀਨ	بربین
ਪਰਮਕਮਲ਼	برمكمل
ਪਰਮਕਿਰਤ	برمكیرت
ਪਰਮਗੁਨ	برمجون
ਪਰਮਜਾਪ	برمجاب
ਪਰਮਜੀਤ ; ਪਰਮਜੀਤ	برمجیت ; برمجیت
ਪਰਮਜੁਗਤ	برمجوجت
ਪਰਮਜੋਗ	برمجوج
ਪਰਮਜੋਧ	برمجوده
ਪਰਮਠਾਕਰ	برمطهاكر
ਪਰਮਤੇਕ	برمتیك
ਪਰਮਦੀਪ	برمدیب
ਪਰਮਧਾਰਾਮ	برمدهارام
ਪਰਮਧਿਰ	برمدهیر
ਪਰਮਪਾਲ	برمبال
ਪਰਮਪ੍ਰੇਮ	برمبریم
ਪਰਮਬੋਧ	برمبوده
ਪਰਮਯੋਗ	برمیوج
ਪਰਮਰਂਗ	برمرنج
ਪਰਮਲੀਨ	برملین
ਪਰਮਸ਼ਾਂਤ	برمسانت
ਪਰਮਸਿਤਾਲ	برمسیتال
ਪਰਮਸੁਖ	برمسوكه
ਪਰਮਸੇਵਕ	برمسیوك
ਪਰਮਾਧਾਰ	برمادهار
ਪਰਮਾਰ੍ਥ	برمارته
ਪਰਮਿਂਦਰ	برمیندر
ਪਰਮੀਤ	برمیت
ਪਰਮ੍ਦਯਾ	برمدیا
ਪਰਸਂਜੀਤ	برسنجیت
ਪਰਸ਼ੋਤਮ	برسوتم
ਪਰਾਮਨੀਵਾਸ	برامنیواس
ਪਰੀਦਰ੍ਸ਼ਨ	بریدرسن
ਪਰ੍ਗਤ	برجت
ਪਰ੍ਵੀਨ੍ਦੇਰ	برویندیر
ਪਲਬੀਨਦੇਰ	بلبیندیر
ਪਲਵੀਨ੍ਦੇਰ੍ਪਾਲ	بلویندیربال
ਪਵਾਨਜੋਤ	بوانجوت
ਪਵਾਨਦੀਪ	بواندیب
ਪਵਾਨਪ੍ਰਿਤ	بوانبریت
ਪਵਾਨਵੀਰ	بوانویر
ਪਵੀਤ	بویت
ਪਾਰਂਗਤ	بارنجت
ਪੁਨੀਤ	بونیت
ਪੁਨੀਤਪਾਲ	بونیتبال
ਪੁਰਾਨਪ੍ਰੇਮ	بورانبریم
ਪੁਰਾਨ੍ਜੀਤ	بورانجیت
ਪੁਸ਼ਪ੍ਰਿਤ	بوسبریت
ਪੁਸ਼੍ਪਿਤਾ	بوسبیتا
ਪੂਰਨਜੀਤ	بورنجیت
ਪ੍ਰਗਿਤ	برجیت
ਪ੍ਰਜਨਾ	برجنا
ਪ੍ਰਣਿਤ	برنیت
ਪ੍ਰਨੀਤਾ	برنیتا
ਪ੍ਰਫੂਲਦੀਪ	بربهولدیب
ਪ੍ਰਭਕੀਰਤ	بربهكیرت
ਪ੍ਰਭਕੀਰ੍ਪਾਲ	بربهكیربال
ਪ੍ਰਭਗੀਤ	بربهجیت
ਪ੍ਰਭਚਰਣ	بربهتشرن
ਪ੍ਰਭਚੇਤਨ	بربهتشیتن
ਪ੍ਰਭਜਿਤ	بربهجیت
ਪ੍ਰਭਜੀਤ	بربهجیت
ਪ੍ਰਭਜੀਵਨ	بربهجیون
ਪ੍ਰਭਜੋਗ	بربهجوج
ਪ੍ਰਭਜੋਤੇ	بربهجوتي
ਪ੍ਰਭਜੋਧ	بربهجوده
ਪ੍ਰਭਤਿਰਥ	بربهتیرته
ਪ੍ਰਭਦਾਸ	بربهداس
ਪ੍ਰਭਧਿਯਨ	بربهدهیین
ਪ੍ਰਭਧਿਰਾਜ	بربهدهیراج
ਪ੍ਰਭਨਾਮ	بربهنام
ਪ੍ਰਭਨੂਰ	بربهنور
ਪ੍ਰਭਪਰ੍ਵਾਨ	بربهبروان
ਪ੍ਰਭਬੋਧ	بربهبوده
ਪ੍ਰਭਮਿਤ	بربهمیت
ਪ੍ਰਭਮੇਹਾਰ	بربهمیهار
ਪ੍ਰਭਲੀਨ	بربهلین
ਪ੍ਰਭਵਿਚਾਰ	بربهویتشار
ਪ੍ਰਭਸਂਗਤ	بربهسنجت
ਪ੍ਰਭਸਿਤਾਲ	بربهسیتال
ਪ੍ਰਭਾਤਕੀਰਣ	بربهاتكیرن
ਪ੍ਰਭ੍ਰਮਣ	بربهرمن
ਪ੍ਰਭ੍ਰਾਤਨ	بربهراتن
ਪ੍ਰਭ੍ਰੂਪ	بربهروب
ਪ੍ਰਸ਼ਾਰਨਬੀਰ	برسارنبیر
ਪ੍ਰਿਤਮੋਹਨ	بریتموهن
ਪ੍ਰਿਤੀਨ੍ਦੇਰ	بریتیندیر
ਪ੍ਰਿਤ੍ਵੀਰ	بریتویر
ਪ੍ਰੀਤਪਾਲ	بریتبال
ਪ੍ਰੀਤਮ੍ਹਾਰੀ	بریتمهاری
ਪ੍ਰੀਤਾਮਜਿਤ	بریتامجیت
ਪ੍ਰੀਥਾਮ੍ਦੀਪ	بریتهامدیب
ਪ੍ਰੀਥੀਪਾਲ	بریتهیبال
ਪ੍ਰੀਥ੍ਵੀਪਾਲ	بریتهویبال
ਪ੍ਰੇਮਜਿਤ	بریمجیت
ਪ੍ਰੇਮਤੇਕ	بریمتیك
ਪ੍ਰੇਮਪਾਲ	بریمبال
ਪ੍ਰੇਮਬਂਸ	بریمبنس
ਪ੍ਰੇਮਭਾਗਤ	بریمبهاجت
ਪ੍ਰੇਮਰਂਗ	بریمرنج
ਪ੍ਰੇਮਰਮਣ	بریمرمن
ਪ੍ਰੇਮਰਸ	بریمرس
ਪ੍ਰੇਮਲੀਨ	بریملین
ਪ੍ਰੇਮਵਾਂਤ	بریموانت
ਪ੍ਰੇਮਸੀਰੀ	بریمسیری
ਪ੍ਰੇਮਸੁਖ	بریمسوكه
ਪ੍ਰੇਮ੍ਵੀਰ	بریمویر
ਫਕੀਰ	بهكیر
ਫਤੇਹਕਾਰਾਮ	بهتیهكارام
ਫਤੇਹਪ੍ਰਿਤ	بهتیهبریت
ਫਤੇਹਬੀਰ	بهتیهبیر
ਫਤੇਹ੍ਵਂਤ	بهتیهونت
ਫਾਜਲ	بهاجل
ਫੁਲਵਂਤ	بهولونت
ਫੋਜੀਨਦੇਰ	بهوجیندیر
ਬਂਸਮਿਤ	بنسمیت
ਬਕ੍ਸ਼ੀ	بكسی
ਬਚਾਨਬੀਰ	بتشانبیر
ਬਚੀਨ੍ਤ	بتشینت
ਬਨੀਤ	بنیت
ਬਨੀਨਦੇਰ	بنیندیر
ਬਰਿਨ੍ਦ੍ਰ	بریندر
ਬਰੀਨ੍ਦੇਰ	بریندیر
ਬਲਤੇਜ	بلتیج
ਬਲਦੀਪ	بلدیب
ਬਲਦੇਵ	بلدیو
ਬਲਮੋਹਨ	بلموهن
ਬਲਰਾਜ	بلراج
ਬਲਵਿਂਦਰ	بلویندر
ਬਲੀਨਦੇਰ	بلیندیر
ਬਲੀਹਾਰ	بلیهار
ਬਲ੍ਵਿਨ੍ਦ੍ਰ	بلویندر
ਬਲ੍ਵੀਨ੍ਦੇਰ	بلویندیر
ਬਹਾਦਰ	بهادر
ਬਾਲਮਿਤ	بالمیت
ਬਿਸ਼ਨਪਾਲ	بیسنبال
ਬਿਸ੍ਮੀਤ	بیسمیت
ਬੀਨਦੇਰ	بیندیر
ਬੀਨਾ	بینا
ਬੀਬੀਨਾਨਾਕੀ	بیبیناناكی
ਬੀਮਾਂਲਜੋਤ	بیمانلجوت
ਬੀਰੀਨਦਾਰ	بیریندار
ਬੀਸਮਾਧ	بیسماده
ਬੀਸ਼੍ਮਿਤ	بیسمیت
ਬੁਜੀ	بوجی
ਬੁਧ੍ਪ੍ਰਿਤ	بودهبریت
ਬੁਧ੍ਰੂਪ	بودهروب
ਬੇਂਤ	بینت
ਬੇਨ੍ਨੀ	بیننی
ਬੇਬੇ	بیبي
ਬੈਰਾਗੀ	بایراجی
ਬ੍ਰਹਮਜੋਤ	برهمجوت
ਬ੍ਰਹਾਮਲੀਨ	برهاملین
ਬ੍ਰਹਾਮ੍ਜੀਤ	برهامجیت
ਬ੍ਰਹ੍ਮਲੀਨ	برهملین
ਬ੍ਰਹ੍ਮਵੀਰ	برهمویر
ਬ੍ਰਿਜੇਂਦਰ	بریجیندر
ਬ੍ਰੀਜੋਧ	بریجوده
ਭਗਤ	بهجت
ਭਗਵਾਨ	بهجوان
ਭਜਨਿਕ	بهجنیك
ਭਰਪੂਰ	بهربور
ਭਾਘਵੀਨ੍ਦੇਰ	بهاجهویندیر
ਭਾਜ੍ਨਾਮ	بهاجنام
ਭਾਜ੍ਨਿਤ	بهاجنیت
ਭਾਵਜਿਤ	بهاوجیت
ਭਾਵਜੀਨ੍ਦੇਰ	بهاوجیندیر
ਭਾਵਨਦੀਪ	بهاوندیب
ਭਾਵਨੀਤ	بهاونیت
ਭਾਵਪਾਲ	بهاوبال
ਭਾਵਪ੍ਰੇਮ	بهاوبریم
ਭਾਵਲੀਨ	بهاولین
ਭੀਨਦੇਰ੍ਪਾਲ	بهیندیربال
ਭੁਪੀਨ੍ਦੇਰ	بهوبیندیر
ਮਂਗਲਾ	منجلا
ਮਂਤੇਕ	منتیك
ਮਜਾਲ	مجال
ਮਣਿਪਾਲ	منیبال
ਮਧੁਪ੍ਰਿਤ	مدهوبریت
ਮਧੁਰਬੀਨ	مدهوربین
ਮਧੁਵਂਤ	مدهوونت
ਮਨਵਂਤ	منونت
ਮਰਦੁਲਾ	مردولا
ਮਸ੍ਤਪ੍ਰੇਮ	مستبریم
ਮਸ੍ਤਾਨ	مستان
ਮਸ੍ਤੁਕ	مستوك
ਮਸ੍ਤ੍ਵੀਰ	مستویر
ਮਹਨਬੀਰ	مهنبیر
ਮਹਾਜਿਤ	مهاجیت
ਮਹਾਨਗਿਯਨ	مهانجیین
ਮਹਾਨਗੀਤ	مهانجیت
ਮਹਾਨਗੁਨ	مهانجون
ਮਹਾਨਜਿਤ	مهانجیت
ਮਹਾਨਜੀਵਨ	مهانجیون
ਮਹਾਨਜੋਤ	مهانجوت
ਮਹਾਨਤੇਕ	مهانتیك
ਮਹਾਨਤ੍ਰੀਪਾਤ	مهانتریبات
ਮਹਾਨਦੀਪ	مهاندیب
ਮਹਾਨਪਾਲ	مهانبال
ਮਹਾਨਪ੍ਰੇਮ	مهانبریم
ਮਹਾਨਭਗਤ	مهانبهجت
ਮਹਿਨਦੇਰ੍ਪ੍ਰਿਤ	مهیندیربریت
ਮਹੀਨਗਾ	مهینجا
ਮਹੀਨਦੇਰ੍ਪਾਲ	مهیندیربال
ਮਹੇਕਪ੍ਰਿਤ	مهیكبریت
ਮਹੇਨਦੇਰ	مهیندیر
ਮਹੇਰਬਾਨੀ	مهیربانی
ਮਹੇਸ਼ੀਨਦੇਰ	مهیسیندیر
ਮਾਂਨਕਰਣ	ماننكرن
ਮਾਂਨਗਲ੍ਪ੍ਰਿਤ	ماننجلبریت
ਮਾਂਨਵਾਨ੍ਤ੍ਬੀਰ	ماننوانتبیر
ਮਾਂਨਸੀਰਤ	ماننسیرت
ਮਾਂਨਾਵੀਨਦੇਰ	مانناویندیر
ਮਾਂਨਾਸਪ੍ਰੇਮ	مانناسبریم
ਮਾਂਨੀਨਦੇਰ੍ਬੀਰ	ماننیندیربیر
ਮਾਂਨੋਹਾਰਜੋਤ	ماننوهارجوت
ਮਾਂਨੋਹਾਰਦੀਪ	ماننوهاردیب
ਮਾਂਨੋਹਾਰ੍ਜੀਤ	ماننوهارجیت
ਮਾਂਨੋਹਾਰ੍ਪਲ	ماننوهاربل
ਮਾਂਨ੍ਗਲ੍ਜੀਤ	ماننجلجیت
ਮਾਂਨ੍ਗਲ੍ਪ੍ਰੇਮ	ماننجلبریم
ਮਾਂਨ੍ਸ਼ਿਤਾਲ	ماننسیتال
ਮਾਦਨਬੀਰ	مادنبیر
ਮਾਦਾਨਕੀਰ੍ਪਾਲ	مادانكیربال
ਮਾਦਾਨਪਾਲ	مادانبال
ਮਾਨਤੇਜ	مانتیج
ਮਾਨਦੇਵ	ماندیو
ਮਾਨਪੁਲ	مانبول
ਮਾਨਬੀਰ	مانبیر
ਮਾਨਰਿਤ	مانریت
ਮਾਨਾਸਦੀਪ	ماناسدیب
ਮਾਨ੍ਕੀਰਣ	مانكیرن
ਮਾਨ੍ਗਲ੍ਜੋਤ	مانجلجوت
ਮਾਨ੍ਪ੍ਰੀਯਾ	مانبرییا
ਮਾਯ੍ਰਾਯ	مایرای
ਮਿਤ੍ਰਾ	میترا
ਮਿਤ੍ਰਾਜ	میتراج
ਮੀਰਾ	میرا
ਮੁਕੁਂਦਾ	موكوندا
ਮੁਕੁਨਦ੍ਪ੍ਰਿਤ	موكوندبریت
ਮੁਖ੍ਤਯਾਰ	موكهتیار
ਮੁਦ੍ਰਾ	مودرا
ਮੁਨਦੀਪ	موندیب
ਮੁਨਲੇਨੇ	مونلیني
ਮੇਸ਼	میس
ਮੇਹਰ	میهر
ਮੇਹਾਰਤੇਕ	میهارتیك
ਮੇਹਾਰਪਲ	میهاربل
ਮੇਹਾਰਪ੍ਰਿਤ	میهاربریت
ਮੇਹਾਰਭੂਪ	میهاربهوب
ਮੇਹਾਰਮਿਤ	میهارمیت
ਮੇਹੇਰ	میهیر
ਮੇਹੇਰਬਾਨੀ	میهیربانی
ਮੋਨੀਨ੍ਦੇਰ	مونیندیر
ਮੋਹਨਤੇਕ	موهنتیك
ਮੋਹਨਮਿਤ	موهنمیت
ਮੋਹਨਲੀਨ	موهنلین
ਮੋਹਨਵਂਤ	موهنونت
ਮੋਹਨਵੀਰ	موهنویر
ਮੋਹਿਨ੍ਦੇਰਪਾਲ	موهیندیربال
ਮੋਹੇਨਪਲ	موهینبل
ਮੋਹੇਨਪ੍ਰਿਤ	موهینبریت
ਯਕਿਨ	یكین
ਯਸ਼ਜੋਤ	یسجوت
ਯਸ਼ਨੂਰ	یسنور
ਯਸ਼ਪਾਲ	یسبال
ਯਸ਼ਵਂਤ	یسونت
ਯਸ਼੍ਦੀਪ	یسدیب
ਯਾਤੀਨਪਾਲ	یاتینبال
ਯਾਦਲੀਨ	یادلین
ਯਾਦਵੀਰ	یادویر
ਯਾਦ੍ਬੀਰ	یادبیر
ਯਾਸ੍ਮੀਨੇ	یاسمیني
ਯੁਵਰਾਨੀ	یوورانی
ਯੋਗੇਸ਼ਪਾਲ	یوجیسبال
ਰਂਗ ਰਮਨ	رنج رمن
ਰਂਗਜੋਤ	رنججوت
ਰਂਗਪ੍ਰਿਤ	رنجبریت
ਰਂਗਾਤਮ	رنجاتم
ਰਂਗੀਵਨ	رنجیون
ਰਂਜੀਤ	رنجیت
ਰਘੁਜਿਤ	رجهوجیت
ਰਘੁਬਂਸ	رجهوبنس
ਰਚਨਜਿਤ	رتشنجیت
ਰਚਨਜੋਤ	رتشنجوت
ਰਚ੍ਪੀਨਦੇਰ੍ਜਿਤ	رتشبیندیرجیت
ਰਜੀਨਦਾਰ	رجیندار
ਰਣਦੀਪ	رندیب
ਰਣਬੀਰ	رنبیر
ਰਤਨ੍ਕਾਰਾਮ	رتنكارام
ਰਤ੍ਤਾਨਜੋਤ	رتتانجوت
ਰਤ੍ਤਾਨਦੀਪ	رتتاندیب
ਰਨਗ੍ਰਤ੍ਤੀ	رنجرتتی
ਰਨਪ੍ਰਿਤ	رنبریت
ਰਪੀਨਦੇਰ	ربیندیر
ਰਮਚੇਤਨ	رمتشیتن
ਰਮਣੀਕ	رمنیك
ਰਮਨਜਿਤ	رمنجیت
ਰਮਨਦੀਪ	رمندیب
ਰਮਨਿਤ	رمنیت
ਰਮਨੀਵਾਸ	رمنیواس
ਰਮਲੀਨ	رملین
ਰਮਾਂਨਜੋਤ	رماننجوت
ਰਮਾਂਨਰੂਪ	رماننروب
ਰਮਾਂਨਸੁਖ	رماننسوكه
ਰਮਿਤ	رمیت
ਰਮਿਨਾਜੀਤ	رمیناجیت
ਰਮੀਨਦੇਰ੍ਜਿਤ	رمیندیرجیت
ਰਮੀਨਦੇਰ੍ਪਾਲ	رمیندیربال
ਰਮੀਨਦੇਰ੍ਪ੍ਰਿਤ	رمیندیربریت
ਰਮੀਨਦੇਰ੍ਬੀਰ	رمیندیربیر
ਰਮੇਸ਼ਪਲ	رمیسبل
ਰਮੇਸ਼ਮਿਤ	رمیسمیت
ਰਵਜੋਤ	روجوت
ਰਵਨੀਤ	رونیت
ਰਵਿਨ੍ਦਰ	رویندر
ਰਵਿਰਾਜ	رویراج
ਰਵੀਦੀਪ	رویدیب
ਰਵੀਨਦੇਰ੍ਦੀਪ	رویندیردیب
ਰਵੀਨਦੇਰ੍ਮਿਤ	رویندیرمیت
ਰਸਂਜਿਤ	رسنجیت
ਰਸਂਜੋਤ	رسنجوت
ਰਸਂਮਿਤ	رسنمیت
ਰਸਗੁਨ	رسجون
ਰਸਜੋਤ	رسجوت
ਰਸਧਾਰਮ	رسدهارم
ਰਸਨਂਦ	رسنند
ਰਸਪ੍ਰਿਤ	رسبریت
ਰਸਬੀਰ	رسبیر
ਰਸਭਾਗਤ	رسبهاجت
ਰਸਮ	رسم
ਰਸਮ੍ਰਿਤ	رسمریت
ਰਸਲੀਨ	رسلین
ਰਸਵਂਤ	رسونت
ਰਸ਼ਾਨ੍ਪ੍ਰਿਤ	رسانبریت
ਰਸੁਤ੍ਤਮ	رسوتتم
ਰਹੁਲਜੀਤ	رهولجیت
ਰਹੁਲਦੀਪ	رهولدیب
ਰਾਖਨਾਂ	راكهنان
ਰਾਖਬੀਰ	راكهبیر
ਰਾਜਕਿਰਣ	راجكیرن
ਰਾਜਦੀਪ	راجدیب
ਰਾਜਨਾਰੀਨ੍ਦ	راجناریند
ਰਾਜਪਰਾਮ	راجبرام
ਰਾਜਪਾਲ	راجبال
ਰਾਜਪ੍ਰਤਾਪ	راجبرتاب
ਰਾਜਮਂਦਰ	راجمندر
ਰਾਜਮਿਤ	راجمیت
ਰਾਜਸ਼ਰਣ	راجسرن
ਰਾਜਸੁਖ	راجسوكه
ਰਾਜਾਨਜਿਤ	راجانجیت
ਰਾਜਾਨਮਿਤ	راجانمیت
ਰਾਜਾਨ੍ਦੀਪ	راجاندیب
ਰਾਤਾਨਗੀਤ	راتانجیت
ਰਾਤਾਨਚੇਤਨ	راتانتشیتن
ਰਾਤਾਨਜੀਵਨ	راتانجیون
ਰਾਤਾਨਪ੍ਰਿਤ	راتانبریت
ਰਾਤਾਨਮਿਤ	راتانمیت
ਰਾਤਾਨਵਂਤ	راتانونت
ਰਾਤਾਨਾਤਮ	راتاناتم
ਰਾਮਦਾਸ	رامداس
ਰਾਮਪਾਲ	رامبال
ਰਾਮਰਂਗ	رامرنج
ਰਾਮਰਤ੍ਤਨ	رامرتتن
ਰਾਮਸੁਖ	رامسوكه
ਰਾਸਰਮਣ	راسرمن
ਰਾਸ਼੍ਪਲ	راسبل
ਰਾਸ਼੍ਮੀਨਦੇਰ	راسمیندیر
ਰਿਧਿਮਾ	ریدهیما
ਰੀਜਕ	ریجك
ਰੀਤੀਨਦੇਰ	ریتیندیر
ਰੀਪਨ੍ਜੋਤ	ریبنجوت
ਰੀਪੁਦਮ	ریبودم
