# Baby names
അകര്ശാനാ	اكرشانا
മണികാംത	منیكانت
മദുരാ	مدورا
മധുനിഷാ	مدهونیشا
മധുമാംലീ	مدهومانلی
മധുരിമാ	مدهوریما
മധുവംതീ	مدهوونتی
മനജീത	منجیت
മനപ	منب
മനസ്വിന	منسوین
മനാല്പ	منالب
മനീതാ	منیتا
മനീഷ	منیش
മനോജ	منیاج
മനോരനജനീ	منیارنجنی
മനോരിഥാ	منیاریتها
മന്നത	مننت
മന്മായീ	منمایی
മല്ലികാ	مللیكا
മഹംത	مهنت
മഹാതപസ്വീ	مهاتبسوی
മഹാദുര്ഗാ	مهادورجا
മഹാദേവാ	مهادیوا
മഹാദേവാദീപുജീതാ	مهادیوادیبوجیتا
മഹാന്തേശ	مهانتیش
മഹാബാലാ	مهابالا
മഹാസ്വേതാ	مهاسویتا
മഹിപതി	مهیبتی
മഹിഷാസുരമര്ദിനീ	مهیشاسورمردینی
മഹീജിത	مهیجیت
മഹേംദ്രാ	مهیندرا
മഹേശ	مهیش
മഹേശനീ	مهیشنی
മഹേശീ	مهیشی
മാംതിക	مانتیك
മാംനീമോഝ്ഹീ	ماننیمیاجههی
മാംനുസരീ	ماننوسری
മാംന്ക്ഷ	ماننكش
മാംന്ഗീരീ	ماننجیری
മാംന്താവ്യാഹ	ماننتاویاه
മാംന്തീകാ	ماننتیكا
മാംന്ദീതാ	مانندیتا
മാംലാമാംകാല മകാന	مانلامانكال مكان
മാഇല	مايل
മാനകാ	مانكا
മാനജ	مانج
മാനശ	مانش
മാനിക	مانیك
മാനീശീന	مانیشین
മാനോരിത	مانیاریت
മാന്കന	مانكن
മാന്ദാവിക	مانداویك
മായാ	مایا
മാര്ഗശീ	مارجشی
മാര്ഗീ	مارجی
മാര്തംദ	مارتند
മാര്ഥീകാ	مارتهیكا
മാര്യ	ماری
മാര്യാ	ماریا
മാര്ഷാ	مارشا
മാലാര്കോഡീ	مالاركیادی
മാലിനീ	مالینی
മാല്ലേശാ	ماللیشا
മാസൂമ	ماسوم
മാസൂമീ	ماسومی
മാഹിയാ	ماهییا
മാഹിരാജ	ماهیراج
മാഹുലീ	ماهولی
മിലീ	میلی
മിഹീകാ	میهیكا
മീനാ	مینا
മേധ	میده
മേധീനീ	میدهینی
മൈത്രായ	مایترای
മൌലീശാ	میلیشا
മ്യ്ഥിലീ	میتهیلی
യംശ	ینش
യക്ഷ	یكش
യജും	یجون
യജുസ	یجوس
യജ്നേശ	یجنیش
യഥാര്ഥ	یتهارته
യദുനംദന	یدونندن
യശസ്വിനീ	یشسوینی
യശാശ്രീ	یشاشری
യശ്ദീപ	یشدیب
യശ്മിത	یشمیت
യശ്മിതാ	یشمیتا
യശ്വാര്ധാനാ	یشواردهانا
യശ്വീന	یشوین
യശ്വീനീ	یشوینی
യസ്വംഥ	یسونته
യാക്സീനീ	یاكسینی
യാഗ്നാകായാ	یاجناكایا
യാഗ്നീഥാ	یاجنیتها
യാചന	یاتشن
യാതീരാജു	یاتیراجو
യാദവീ	یادوی
യാദവേന്ദ്ര	یادویندر
യാന്തി	یانتی
യാശ്രീഥാ	یاشریتها
യാഷ്ക	یاشك
യാസസ്വീ	یاسسوی
യുഗന്തീകാ	یوجنتیكا
യുഗപ	یوجب
യുഗാന്ധര	یوجاندهر
യുതി	یوتی
യുവംശ	یوونش
യുവനാഥ	یووناته
യുവല	یوول
യുവാഥീ	یوواتهی
യുവാന  സൂര്യ	یووان  سوری
യുവ്നീക	یوونیك
യേര്രപ്പാ	ییررببا
യേശനാ	ییشنا
യേശാസ്വീനീ	ییشاسوینی
യേസസരീ	ییسسری
യോഗദേവാ	ییاجدیوا
യോഗരാജ	ییاجراج
യോഗാനംദ	ییاجانند
യോഗിത	ییاجیت
യോഗിതാ	ییاجیتا
യോഗിഥ	ییاجیته
യോഗേശ്വര	ییاجیشور
യോഗ്ദീപ	ییاجدیب
യോത്ശനാ	ییاتشنا
യോനേന്ദ്ര	ییانیندر
യോഹ്ശീനീ	ییاهشینی
യൌവാനീ	ییوانی
രംഗനാഥ	رنجناته
രംജന	رنجن
രംജികാ	رنجیكا
രംജീവ	رنجیو
രഈര്ഥ	ريرته
രക്ത	ركت
രക്തകമള	ركتكمر
രക്ഷികാ	ركشیكا
രക്ഷിത	ركشیت
രഘവാ	رجهوا
രഘവേന്ദര	رجهویندر
രഘുനാഥ	رجهوناته
രജത	رجت
രജനീശ	رجنیش
രജനേശ	رجنیش
രജീത	رجیت
രതന	رتن
രതാംജലി	رتانجلی
രതീക	رتیك
രതുല	رتول
രത്നാകര	رتناكر
രത്നാബലീ	رتنابلی
രഥനാ	رتهنا
രന്യ	رنی
രന്വിഥാ	رنویتها
രബേക	ربیك
രമാംസ്വമ്യ	رمانسومی
രമ്ബേശ	رمبیش
രയാന	ریان
രര്ശ്മീതാ	ررشمیتا
രവി കാന്ത	روی كانت
രവികാംത	رویكانت
രവിത	رویت
രവീജാ	رویجا
രവീനാ	روینا
രവ്യംകീ	روینكی
രശീലാ	رشیلا
രസവംത	رسونت
രസ്മീന	رسمین
രാഈ കുമാര	راي كومار
രാഖീ	راكهی
രാഗാവ	راجاو
രാഗിനീ	راجینی
രാഗേശ	راجیش
രാഗ്വേദ	راجوید
രാജക	راجك
രാജകന്യാ	راجكنیا
രാജഗോപാല	راججیابال
രാജയവര്ദന	راجیوردن
രാജാ	راجا
രാജാര്ശീ	راجارشی
രാജികാ	راجیكا
രാജീവ	راجیو
രാജേംദ്രമോഹന	راجیندرمیاهن
രാജേശ്വര	راجیشور
രാജ്യശ്രീ	راجیشری
രാധാനീ	رادهانی
രാനീ	رانی
രാമ  കീന്കാര	رام  كینكار
രാമഗോപാല	رامجیابال
രാമചന്ദ്രന	رامتشندرن
രാമനാരായണ	رامناراین
രാമരാ	رامرا
രാമരാജ	رامراج
രാമാംസുഗ്രീവാ	رامانسوجریوا
രാമാനംദ	رامانند
രാമാനുജമ	رامانوجم
രാമോജീ	رامیاجی
രാഹിത്യ	راهیتی
രാഹീന്യ	راهینی
രാഹുലരാജ	راهولراج
രിദ്ധി	ریددهی
രീചികാ	ریتشیكا
രീതൂ	ریتو
രീഥേകാ	ریتهیكا
രീദേവ	ریدیو
രീധമാം	ریدهمان
രീഭ്യാ	ریبهیا
രീശും	ریشون
രീശ്മേഥാ	ریشمیتها
രേഖാ	ریكها
രേത്വിക	ریتویك
രേധാ	ریدها
രേനാ	رینا
രേനേശ	رینیش
രേമാംനീകാ	ریماننیكا
രേമീ	ریمی
രേവാതീ	ریواتی
രേവീഥാ	ریویتها
രേശമീ	ریشمی
രേശ്വീന	ریشوین
രേഹാംശീ	ریهانشی
രേഹാനാ	ریهانا
രേഹേഈലാ	ریهیيلا
രേഹ്നുഘാ	ریهنوجها
രൈവത	رایوت
രൈവതാ	رایوتا
ലംഗീത	لنجیت
ലക്ഷ	لكش
ലക്ഷാകീ	لكشاكی
ലക്ഷിതാ	لكشیتا
ലക്ഷ്മീകാനതമ	لكشمیكانتم
ലജ്ജാ	لججا
ലജ്ജാകാ	لججاكا
ലതാ	لتا
ലതേശ	لتیش
ലവപാല	لوبال
ലവലീന	لولین
ലഹരീ	لهری
ലാക്ശേതാ	لاكشیتا
ലാജവംതീ	لاجونتی
ലാതീശ	لاتیش
ലാനീബന	لانیبن
ലാഭാ	لابها
ലാമ്ബോധാര	لامبیادهار
ലാരീനാ	لارینا
ലാര്മികാ	لارمیكا
ലാര്രാജ	لارراج
ലാര്ശന	لارشن
ലാവനീ	لاونی
ലാവിനാ	لاوینا
ലീകേശ	لیكیش
ലീത്സാ	لیتسا
ലീനാശാ	لیناشا
ലീനീത	لینیت
ലീപാക്ഷീ	لیباكشی
ലീപ്സീകാ	لیبسیكا
ലീമനാ	لیمنا
ലീലാമഈ	لیلامي
ലീശാംത	لیشانت
ലുസിയാ	لوسییا
ലേഈവീനാ	لیيوینا
ലേഖീശാ	لیكهیشا
ലേമാര	لیمار
ലോകനേത്ര	لیاكنیتر
ലോകാജനാനീ	لیاكاجنانی
ലോകാമാത്രീ	لیاكاماتری
ലോകീഥാ	لیاكیتها
ലോകേന്ദ്ര	لیاكیندر
ലോഗീനീ	لیاجینی
ലോഗേശ്വരണ	لیاجیشورن
ലോചനാ	لیاتشنا
ലോനാ	لیانا
ലോമാംകേശ	لیامانكیش
ലോഹിത	لیاهیت
ലോഹിതാശ്വാ	لیاهیتاشوا
ലൌക്യ	لیكی
വംദിതാ	وندیتا
വംസികൃഷ്ണ	ونسیكرشن
വനദ	وند
വനമാംഥീ	ونمانتهی
വനസ	ونس
വനിനാധ	ونیناده
വന്ജുല	ونجول
വപുസ	وبوس
വയദീശ	ویدیش
വരലീ	ورلی
വരിന	ورین
വരിയാസ	ورییاس
വരുന	ورون
വരുനികാ	ورونیكا
വര്ണിത	ورنیت
വര്ധമാന	وردهمان
വര്ധാനീ	وردهانی
വര്ധീമൈനകാപുജീതാ	وردهیماینكابوجیتا
വര്നീശാ	ورنیشا
വര്ശനേയാ	ورشنییا
വര്ശീകാ	ورشیكا
വര്ശീതാ	ورشیتا
വര്ശീദ	ورشید
വര്ഷനീ	ورشنی
വല്ലികാ	وللیكا
വസംതാ	وسنتا
വസംതീ	وسنتی
വസീസതാ	وسیستا
വസുമിത്ര	وسومیتر
വസുസേന	وسوسین
വാക്പതി	واكبتی
വാക്ഷു	واكشو
വാച്യ	واتشی
വാജ്രക്ഷ	واجركش
വാതത്മാജ	واتتماج
വാത്സല്യ	واتسلی
വാദിവേലും	وادیویلون
വാനര	وانر
വാന്ശുല	وانشول
വാമന	وامن
വാമാംക്ഷീ	وامانكشی
വാമീല	وامیل
വാരനാ	وارنا
വാരുനീ	وارونی
വാലാരമാംഥീ	والارمانتهی
വാല്ല്മാംനാലന	واللماننالن
വാശു	واشو
വാസുമന	واسومن
വാഹിനീ	واهینی
വികീശാ	ویكیشا
വിക്ഷിത	ویكشیت
വിജയാലക്ഷ്മീ	ویجیالكشمی
വിജയാശാനഥീ	ویجیاشانتهی
വിജീതാ	ویجیتا
വിദിശാ	ویدیشا
വിദ്യാ	ویدیا
വിദ്യുല	ویدیول
വിധാഥരീ	ویدهاتهری
വിന്ധുജാ	ویندهوجا
വിബാലീ	ویبالی
വിഭാവാ	ویبهاوا
വിഭൂതി	ویبهوتی
വിഭൂഷ	ویبهوش
വിയാമര്ശ	وییامرش
വിരഗനാപതീ	ویرجنابتی
വിരഭാദ്രപ്പാ	ویربهادرببا
വിരാജ	ویراج
വിലാശീനീ	ویلاشینی
വീണാ	وینا
വീണാധാരീ	وینادهاری
വേക്രാംത	ویكرانت
വേഗ	ویج
വേഗവാഹീനീ	ویجواهینی
വേഗീ	ویجی
വേണു	وینو
വേത്ത്രീ	ویتتری
വേത്രിവാല	ویتریوال
വേത്രീവേല	ویتریویل
വേദകാര്തിക	ویدكارتیك
വേദവല്ലീ	ویدوللی
വേദാ	ویدا
വേദാ ശ്രീ	ویدا شری
വേധാംത	ویدهانت
വേന്കാത്രമണ	وینكاترمن
വേന്തന	وینتن
വേന്നേലാ	ویننیلا
വേന്മതീ	وینمتی
വേലു	ویلو
വേഹംത	ویهنت
വൈകുംഠ	وایكونطه
വൈജീനാഥ	وایجیناته
വൈദത	وایدت
വൈദേഹീ	وایدیهی
വൈദ്യുംത	وایدیونت
വൈധേ	وایدهي
വൈധ്യാത	وایدهیات
വൈരാഗ	وایراج
വൈരോചന	وایریاتشن
വൈശാലീ	وایشالی
വൈശ്വീ	وایشوی
വൈഷ്ണവീ	وایشنوی
വൈസകാ	وایسكا
സംക്രാംതി	سنكرانتی
സംഗമിത്ര	سنجمیتر
സംഗമീധീരാ	سنجمیدهیرا
സംചയ	سنتشی
സംചീതീ	سنتشیتی
സംജേനാ	سنجینا
സംജോലീ	سنجیالی
സംതോക	سنتیاك
സംദിപോന	سندیبیان
സംദീപ	سندیب
സംദേശ	سندیش
സംധരാ	سندهرا
സംധ്യാ	سندهیا
സംബീതാ	سنبیتا
സംമീതാ	سنمیتا
സംയുക്ത	سنیوكت
സംവിധാ	سنویدها
സംവീഥാ	سنویتها
സംസ്കൃതി	سنسكرتی
സംഹിത	سنهیت
സക്ശീന്യാ	سكشینیا
സഖ്യാ	سكهیا
സഗന	سجن
സഗുനാ	سجونا
സചിതാ	ستشیتا
സചിദാനംദ വിഗ്രഹ	ستشیدانند ویجره
സചേതന	ستشیتن
സച്ചിദാനംദാ	ستشتشیدانندا
സജീത	سجیت
സജീലീ	سجیلی
സദഗതി	سدجتی
സദഗുനാ	سدجونا
സദാശിവ	سداشیو
സദിശ	سدیش
സപനാ	سبنا
സപുഷ്പാ	سبوشبا
സപ്താബീ	سبتابی
സപ്തോര്ശീ	سبتیارشی
സമജാ	سمجا
സമദര്ശീ	سمدرشی
സമഭ്ദ്ധാ	سمبهددها
സമരേശ	سمریش
സമാംദ്രിതാ	سماندریتا
സമാംര്ധ	سمانرده
സമാജസ	سماجس
സമാരാസ്യാ	سماراسیا
സമിക	سمیك
സമിരന	سمیرن
സമേംദ്ര	سمیندر
സമേശ	سمیش
സമ്പൂര്ണ	سمبورن
സമ്പ്രഥ്യ	سمبرتهی
സമ്പ്രീതീ	سمبریتی
സമ്രാട	سمراط
സമ്രീധ	سمریده
സരസംഗീ	سرسنجی
സലീജ	سلیج
സഹര്സീതാ	سهرسیتا
സഹശ്രദ	سهشرد
സഹസ്ത്രജീത	سهسترجیت
സഹസ്ത്രബാഹു	سهسترباهو
സഹീത	سهیت
സഹീരാമ	سهیرام
സഹ്യ	سهی
സാംജ	سانج
സാഇ രാമ	ساي رام
സാഈനാഥ	سايناته
സാചീ	ساتشی
സാജന	ساجن
സാദ്രീശീ	سادریشی
സാദ്വിഥാ	سادویتها
സാധന	سادهن
സാധ്യാ	سادهیا
സാനിധ്യ	سانیدهی
സാമംതാ	سامنتا
സാമ്ഭാ	سامبها
സാരണീ	سارنی
സാരഥീ	سارتهی
സാരികാ	ساریكا
സാലവീ	سالوی
സാലസാ	سالسا
സൈകത	سایكت
സൈനീത്യ	ساینیتی
സൈന്ധന്യ	سایندهنی
സൈലീ	سایلی
സൈഹാര്സന	سایهارسن
ഹംസമാലാ	هنسمالا
ഹംസാവാഥ്യ	هنساواتهی
ഹനാര്വീന	هناروین
ഹനീതാ	هنیتا
ഹനുപ	هنوب
ഹനുമാന	هنومان
ഹബീതാ	هبیتا
ഹമസാദീപികാ	همسادیبیكا
ഹമസാനംദീനീ	همسانندینی
ഹമീര	همیر
ഹരജീത	هرجیت
ഹരജീവന	هرجیون
ഹരനാധ	هرناده
ഹരശും	هرشون
ഹരികിശന	هریكیشن
ഹരിഗംഗാ	هریجنجا
ഹരിഗോപാല	هریجیابال
ഹരിദാസ	هریداس
ഹരിദ്വാര	هریدوار
ഹരിപ്രീത	هریبریت
ഹരിമംതീ	هریمنتی
ഹരീ	هری
ഹരേശ്വര	هریشور
ഹര്മീന	هرمین
ഹര്ഷണ	هرشن
ഹര്സികാ	هرسیكا
ഹശ്മീതാ	هشمیتا
ഹസമുഖ	هسموكه
ഹസീതാ	هسیتا
ഹസ്വീഥാ	هسویتها
ഹാര്ദീനീ	هاردینی
ഹാര്ശീനീ	هارشینی
ഹാലിക	هالیك
ഹിംഡോള	هیندیار
ഹിംദോലാ	هیندیالا
ഹിതാക്ഷീ	هیتاكشی
ഹിതീ	هیتی
ഹിഥീക്സാ	هیتهیكسا
ഹിമാംശു	هیمانشو
ഹിമാക്ഷ	هیماكش
ഹിമാലയ	هیمالی
ഹിരംയക	هیرنیك
ഹിരവ	هیرو
ഹിരവാ	هیروا
ഹിരുധായാ	هیرودهایا
ഹിവാ	هیوا
ഹീരാനമാം	هیرانمان
ഹീരാന്യാപ്രകാഈ	هیرانیابركاي
ഹീര്നാക്ഷീ	هیرناكشی
ഹുവീശ്കാ	هوویشكا
ഹൃദയനാഥ	هردیناته
ഹേഈദീ	هیيدی
ഹേജല	هیجل
ഹേതാ	هیتا
ഹേതാശ	هیتاش
ഹേത്ശ്രീ	هیتشری
ഹേഥാന്ശ്രീ	هیتهانشری
ഹേനീത	هینیت
ഹേനീല	هینیل
ഹേമനാഥ	هیمناته
ഹേമലതാ	هیملتا
ഹേമാ	هیما
ഹേമാംദ്രികാ	هیماندریكا
ഹേമാഗൌരീ	هیماجیری
ഹേമാനംദ	هیمانند
ഹേമാലാ	هیمالا
ഹേമാവതീ	هیماوتی
ഹേമാവാതിനംദന	هیماواتینندن
ഹേമേംദു	هیمیندو
ഹേയന	هیین
ഹേയാംശ	هییانش
ഹേരീത	هیریت
ഹേലീ	هیلی
ഹോന്നേശാ	هیاننیشا
ഹോമാ	هیاما
ഹ്രീത്വിക	هریتویك
ഹ്രീദാന്ക്ഷ	هریدانكش
ഹ്രീധാന	هریدهان
ഹ്രീശന	هریشن
ഹ്രീശാംത	هریشانت
ഹ്രീഷിത	هریشیت
ഹ്രുദയ	هرودی
ഹ്രുശാല	هروشال
ഹ്രേയാംശ	هرییانش
ഹ്ര്യ്ദയേശ	هریدییش
