# Baby names
ಅಕಾರ್ಯಸುತಾ	اكاریسوتا
ನಾರ್ಸೀಮುಲುಂ	نارسیمولون
ನಾಲಾನೀಲ	نالانیل
ನಾಲಾವೇನ್ಭಾ	نالاوینبها
ನಾವಾಪ್ರಿಯನ	ناوابریین
ನಾವಾಮಾಂಲ್ಲೀ	ناوامانللی
ನಾವೀಶಾ	ناویشا
ನಾವ್ಯಶ್ರೀ	ناویشری
ನಾವ್ಯಸರೀ	ناویسری
ನಾವ್ಯಾ	ناویا
ನಾಹುಲ	ناهول
ನಿಕೀನ	نیكین
ನಿಖಾರ	نیكهار
ನಿಖಿಲೇಶ	نیكهیلیش
ನಿದೇಶ	نیدیش
ನಿಧ್ಯಾಥೀ	نیدهیاتهی
ನಿಭಯ	نیبهی
ನಿರಜಾ	نیرجا
ನಿರ್ಜಲಾ	نیرجلا
ನಿಶಾ	نیشا
ನಿಶಿಥಿನೀ	نیشیتهینی
ನಿಹಾರಿಕಾ	نیهاریكا
ನೀಕಮ	نیكم
ನೀಕಾನ್ದರ್ಯ	نیكاندری
ನೀಕೀಲ	نیكیل
ನೀಕುಂಜ	نیكونج
ನೀಕುಲ	نیكول
ನೀಚೀತಾ	نیتشیتا
ನೀಜಾ	نیجا
ನೀಡೀ	نیدی
ನೀತಾ	نیتا
ನೀದೀಶ	نیدیش
ನೀನಾ	نینا
ನೀನ್ನ್ಯ	نیننی
ನೀಭೀಶ	نیبهیش
ನೀರುಧೀ	نیرودهی
ನೀರೇಕ್ಷಾ	نیریكشا
ನೀಲ	نیل
ನೀಲ ಕಾಂತಾ	نیل كانتا
ನೀಲ ಮಾಧವ	نیل مادهو
ನೀಲಂಜನಾ	نیلنجنا
ನೀಲಕಮಾಲಾ	نیلكمالا
ನೀಲದೇವೀ	نیلدیوی
ನೀಲಯ	نیلی
ನೀಲಾಂಜನ	نیلانجن
ನೀಲಾಮ್ಬೇರ	نیلامبیر
ನೀಲೋರ್ಮ್ಯ	نیلورمی
ನೀಲ್ಸಾ	نیلسا
ನೀಶಾಲೀ	نیشالی
ನೀಷ್ಟಾ	نیشطا
ನೀಸಿತೀನೀ	نیسیتینی
ನೀಸ್ಚೀಥಾ	نیستشیتها
ನೀಹಮ	نیهم
ನೀಹಾರಿಕಾ	نیهاریكا
ನೀಹೀಥಾ	نیهیتها
ನೀಹೀರಾ	نیهیرا
ನೇಮಾ	نیما
ನೇಮಾಂಲೀ	نیمانلی
ನೇಹಾರಿಕಾ	نیهاریكا
ನೈತಿ	نایتی
ನೈರೀತೀ	نایریتی
ನೈವೇದ	نایوید
ನೈಷೀ	نایشی
ನೌಬಹಾರ	ناوبهار
ಪಂಕಜ಼ಾ	بنكجا
ಪಂಖೀ	بنكهی
ಪಂಚಮ	بنتشم
ಪಂಚಾಲೀ	بنتشالی
ಪಂಥ	بنته
ಪಂಧಾರೀ	بندهاری
ಪಣ-ಗೇಶ	بن-جیش
ಪತಾಲಾ	بتالا
ಪತ್ರಲಿಕಾ	بترلیكا
ಪದಮಾವತೀ	بدماوتی
ಪದ್ಮಬಂಧೂ	بدمبندهو
ಪದ್ಮಹಸ್ತಾ	بدمهستا
ಪದ್ಮಾಂನಾಭಾ ಪ್ರಿಯಾ	بدماننابها برییا
ಪನೀಶ್ಕಾ	بنیشكا
ಪನ್ಕಾಜಮ	بنكاجم
ಪನ್ದಾಲಾವಾಸನ	بندالاواسن
ಪಪಮ್ಮಾಂ	ببممان
ಪರಮಂದಾ	برمندا
ಪರಮಪುರುಷ	برمبوروش
ಪರಮಹಂಸ	برمهنس
ಪರಮಾ	برما
ಪರಮೇಶ್ವರೀ	برمیشوری
ಪರಮ್ವಾರ್ದಾನ	برمواردان
ಪರವೀನ	بروین
ಪರಾಯಂತ್ರ	براینتر
ಪರಾಶ	براش
ಪರಿಕ್ಷಿತ	بریكشیت
ಪರಿಣೀತಾ	برینیتا
ಪರಿತಾ	بریتا
ಪರಿತುಷ್ಟಿ	بریتوشطی
ಪರಿಷ್ಕಾರ	بریشكار
ಪರಿಹಾ	بریها
ಪರೀಮೀತ	بریمیت
ಪರು	برو
ಪರ್ಣವ	برنو
ಪರ್ಣಿಕಾ	برنیكا
ಪರ್ನಾಭಾ	برنابها
ಪರ್ವತ	بروت
ಪರ್ವತೀಪ್ರಿತ	بروتیبریت
ಪರ್ವತೇಶ್ವರ	بروتیشور
ಪರ್ವನ	برون
ಪಲಾನೀಚಾಮ್ಯ	بلانیتشامی
ಪಲಾಶೀನೀ	بلاشینی
ಪವನ	بون
ಪವೀಥಾ	بویتها
ಪಾಂಖಡೀ	بانكهدی
ಪಾಂಚಾಲೀ	بانتشالی
ಪಾಂಡುರಂಗ	باندورنج
ಪಾಓಲಾ	باولا
ಪಾರಸ	بارس
ಪಾರಾ	بارا
ಪಾರ್ತೀಬನ	بارتیبن
ಪಾರ್ಥಾಪ್ರತಿಮ	بارتهابرتیم
ಪಾರ್ಥಿಕ	بارتهیك
ಪಾರ್ವತೀ	باروتی
ಪಾರ್ವಾಥೀ	بارواتهی
ಪಾಲ	بال
ಪಾಲನೀವೇಲ	بالنیویل
ಪಾಲೀನ	بالین
ಪಾವಾನಾ	باوانا
ಪಾವಾನೀ	باوانی
ಪಾಸೀ	باسی
ಪಿಂಗಲ	بینجل
ಪಿಂಗಲಾ	بینجلا
ಪಿತಾವಾಸನೇ	بیتاواسني
ಪಿವಾಲ	بیوال
ಪೀಉಶಾ	بیوشا
ಪೀತೋಬಾಶ	بیتوباش
ಪೀನ್ಕೇಶ	بینكیش
ಪೀರನೀಥಾ	بیرنیتها
ಪುರ್ನೀಮಾಂ	بورنیمان
ಪೂಜನ	بوجن
ಪೂಜಾ	بوجا
ಪೂನಿಶ	بونیش
ಪೂರಬ	بورب
ಪೂರ್ವಗಂಗಾ	بوروجنجا
ಪೂರ್ವಜ	بوروج
ಪೂರ್ವಾ	بوروا
ಪೇಮಲ	بیمل
ಪೌಶಾಲೀ	باوشالی
ಪ್ರಗನ್ಯಾ	برجنیا
ಪ್ರಗಿತ	برجیت
ಪ್ರಚೀತೀ	برتشیتی
ಪ್ರಜೀಶಾ	برجیشا
ಪ್ರದಿಪಾ	بردیبا
ಪ್ರದೀಪ್ತಾ	بردیبتا
ಪ್ರನಾವಾಶ್ರೀ	برناواشری
ಪ್ರನಿತಾ	برنیتا
ಪ್ರನೀಕಾ	برنیكا
ಪ್ರಭಂಜನ	بربهنجن
ಪ್ರಭಾಕರ	بربهاكر
ಪ್ರಭಾದಾ	بربهادا
ಪ್ರಮಿಕಾ	برمیكا
ಪ್ರಹಾರ್ಶೀನೀ	برهارشینی
ಪ್ರಹಾಸಾ	برهاسا
ಪ್ರಾನಲ	برانل
ಫಣೀಶ	بهنیش
ಫ಼ಾಲ್ಗುನ	بهالجون
ಫುಲ್ಲಾರಾ	بهوللارا
ಬಂದನಾ	بندنا
ಬಂಧೀನೀ	بندهینی
ಬಂಸೀಲಾಲ	بنسیلال
ಬಖ್ತಾವರ	بكهتاور
ಬಗ್ಯಾರಾಜ	بجیاراج
ಬನಬಿಹಾರೀ	بنبیهاری
ಬರ್ಷಾ	برشا
ಬಲರಾಮ	بلرام
ಬಲವಾನ	بلوان
ಬಲಾದೀತ್ಯ	بلادیتی
ಬವೀಶ್ಯಸರೀ	بویشیسری
ಬಹವಾಸ್ಯ	بهواسی
ಬಹುಲಾ	بهولا
ಬಹುಲೇಯನ	بهولیین
ಬಾಂಕೇ ಬಿಹಾರೀ	بانكي بیهاری
ಬಾಜೀನಾಥ	باجیناته
ಬಾನೀ	بانی
ಬಾಪು	بابو
ಬಾಲಗೋಪಾಲ	بالجوبال
ಬಾಲಚಂದ್ರಾ	بالتشندرا
ಬಾಲನಾಥ	بالناته
ಬಾಲಾಜೀ	بالاجی
ಬಾಲಾರವೀ	بالاروی
ಬಿಂದುಮಾಲಿನೀ	بیندومالینی
ಬಿಂದೂಸರ	بیندوسر
ಬಿಜೋಯ	بیجوی
ಬಿನೋದ	بینود
ಬಿಪಾಶಾ	بیباشا
ಬಿಮ್ಬಾ	بیمبا
ಬಿರಂಚೀ	بیرنتشی
ಬಿಲ್ವಾ	بیلوا
ಬೀದಯುಂತ	بیدیونت
ಬೀನೋದೀನೀ	بینودینی
ಬೀನ್ಕಾಲ	بینكال
ಬೀಭು	بیبهو
ಬೀರಾತ	بیرات
ಬುದ್ಧ	بودده
ಬುದ್ಧಿ	بوددهی
ಬೇನುಂ	بینون
ಬೇನ್ನೀ	بیننی
ಬೇನ್ಶಿಕ	بینشیك
ಬೇಲುರಮೀ	بیلورمی
ಬೈರ	بایر
ಬೈಸಾಖೀ	بایساكهی
ಬೋನಾಸರೀ	بوناسری
ಬ್ರಹ್ಮಾವತೀ	برهماوتی
ಬ್ರೀಜಲ	بریجل
ಬ್ರೀನ್ದಾವಾನೀ	برینداوانی
ಬ್ಲೇಸ್ಸೀ	بلیسسی
ಭಕ್ತಿ	بهكتی
ಭಗವತೀ	بهجوتی
ಭದ್ರಕ	بهدرك
ಭದ್ರಕ್ಷ	بهدركش
ಭದ್ರಾ	بهدرا
ಭದ್ರೀಶಾ	بهدریشا
ಭವಾನಿದಾಸ	بهوانیداس
ಭವಿಷ್ಯಾ	بهویشیا
ಭವೀಶ	بهویش
ಭವ್ಯ	بهوی
ಭಾಗವಾಥ	بهاجواته
ಭಾಗಿರತ	بهاجیرت
ಭಾಗ್ಯವತೀ	بهاجیوتی
ಭಾಗ್ಯಶ್ರೀ	بهاجیشری
ಭಾಗ್ಯಾ	بهاجیا
ಭಾತ್ರಶ್ರೀ	بهاترشری
ಭಾದ್ರಿಕಾ	بهادریكا
ಭಾನುಜ	بهانوج
ಭಾನುದಾಸ	بهانوداس
ಭಾನುಪ್ರಿಯಾ	بهانوبرییا
ಭಾರನೀಧಾರ	بهارنیدهار
ಭಾರೂಕ	بهاروك
ಭಾರ್ತಿಹಾರೀ	بهارتیهاری
ಭಾವತೀ	بهاوتی
ಭಾವಾಥಾರೀನೀ	بهاواتهارینی
ಭಾವಾಪ್ರಿಯಾ	بهاوابرییا
ಭಾವಿಕ	بهاویك
ಭಾವಿತಾ	بهاویتا
ಭಾವೀಶಾ	بهاویشا
ಭಾವ್ಯಶ್ರೀ	بهاویشری
ಭಾಶ್ವೀನೀ	بهاشوینی
ಭಾಸ್ಕರಣ	بهاسكرن
ಭಾಸ್ಕೇರ	بهاسكیر
ಭಿಮಾಂಬಾಲಾ	بهیمانبالا
ಭೀಮ	بهیم
ಭೀಷಮ	بهیشم
ಭೀಷ್ಮ	بهیشم
ಭುವಿಕ	بهوویك
ಭೂತೇಶ್ವರ	بهوتیشور
ಭೂಪಾಲ	بهوبال
ಭೂಪಾಲೀ	بهوبالی
ಭೂಪೇನ	بهوبین
ಭೂಮತ	بهومت
ಭೂಮಿಕಾ	بهومیكا
ಭೇರವೀ	بهیروی
ಭೇರೇಶ	بهیریش
ಭೋಲಾನಾಥ	بهولاناته
ಭ್ರೀಜ	بهریج
ಮಂಜುಶ್ರೀ	منجوشری
ಮಂತವ್ಯ	منتوی
ಮಂದಾರ	مندار
ಮಂದಿನ	مندین
ಮಂದೀಪಾ	مندیبا
ಮಂಶಾ	منشا
ಮಕರ	مكر
ಮಣಿಕಾಂತ	منیكانت
ಮಣಿಮಾಲಾ	منیمالا
ಮಣಿಶಂಕರ	منیشنكر
ಮದುರಾ	مدورا
ಮಧುಜಾ	مدهوجا
ಮಧುರಾನೀ	مدهورانی
ಮಧುಲಿಕಾ	مدهولیكا
ಮಧುಶಾ	مدهوشا
ಮನನಶ	مننش
ಮನಸ್ವೀ	منسوی
ಮನಹರ	منهر
ಮನಾಗೋಬೀನದಾ	مناجوبیندا
ಮನಾಲೀ	منالی
ಮನಿಕುನ್ತಾಲಾ	منیكونتالا
ಮನಿರಾಮ	منیرام
ಮನಿಶಿಕಾ	منیشیكا
ಮನೀದೀಪ	منیدیب
ಮನೀಬಲನ	منیبلن
ಮನೀಷಾ	منیشا
ಮನೋಜವಾಯಾ	منوجوایا
ಮನೋರಥ	منورته
ಮನೋಹರಣ	منوهرن
ಮನ್ನನ	مننن
ಮನ್ವೀರ	منویر
ಮರಲಾ	مرلا
ಮಲಯಾ	ملیا
ಮಲಿಕಾ	ملیكا
ಮಲೀಂಗಾ	ملینجا
ಮಲ್ಕಾ	ملكا
ಮಹಂತ	مهنت
ಮಹಾಕಾಲ	مهاكال
ಮಹಾಗಂಗಾ	مهاجنجا
ಮಹಾತ್ಮಾ	مهاتما
ಮಹಾತ್ರೂ	مهاترو
ಮಹಾನ್ಯ	مهانی
ಮಹಾಬಲಾ	مهابلا
ಮಹಾಬಾಲಾ	مهابالا
ಮಹಾಬುದ್ಧಿ	مهابوددهی
ಮಹಾಲಕ್ಷ್ಮೀ	مهالكشمی
ಮಹಿರಂಶ	مهیرنش
ಮಹೀಧೇರ	مهیدهیر
ಮಹುಬಾಲಾ	مهوبالا
ಮಾಂಧುಘನೇ	ماندهوجهني
ಮಾಂಧುವೇಮಾನ	ماندهوویمان
ಮಾಂನಾಶ್ಯುಂ	مانناشیون
ಮಾಂನುರಾಈ	ماننوراي
ಮಾಂನೋತ	ماننوت
ಮಾಂಮೋನ	مانمون
ಮಾಇಲ	مايل
ಮಾಗತ	ماجت
ಮಾಗಧೀ	ماجدهی
ಮಾತನ	ماتن
ಮಾಧವನ	مادهون
ಮಾಧುಜ	مادهوج
ಮಾಧುರೀ	مادهوری
ಮಾಧುರ್ಯ	مادهوری
ಮಾನಸ್ವೀತಾ	مانسویتا
ಮಾನ್ಮಾತನ	مانماتن
ಮಾನ್ವಿತ	مانویت
ಮಾಯರಾ	مایرا
ಮಾರೀರಾಜ	ماریراج
ಮಾರುತ	ماروت
ಮಾರೂತ	ماروت
ಮಾರ್ಗಶೀ	مارجشی
ಮಾಲವ	مالو
ಮಾಲಾರ್ಕೋಡೀ	مالاركودی
ಮಾಲ್ಲೇಶಾ	ماللیشا
ಮಾಹಿತ	ماهیت
ಮೇಧೀನೀ	میدهینی
ಯಂಶ	ینش
ಯಜನ	یجن
ಯಜುಸ	یجوس
ಯದುನಂದನ	یدونندن
ಯಶಸ್ವಿನೀ	یشسوینی
ಯಶಾಲ	یشال
ಯಶುಸ	یشوس
ಯಶೋದಾಗರ್ಬಾ ಸಮ್ಭೂತಾ	یشوداجربا سمبهوتا
ಯಶ್ಯಾಸ್ಸರೀ	یشیاسسری
ಯಶ್ವಾರ್ಧಾನಾ	یشواردهانا
ಯಾಗ್ನೀಥಾ	یاجنیتها
ಯಾದ್ನ್ಯೇಶ	یادنییش
ಯಾಮಾಜೀತ	یاماجیت
ಯಾಲೀನೀ	یالینی
ಯಾಲೀಸಾಈ	یالیساي
ಯಾಶೀನೀ	یاشینی
ಯಾಶ್ವನ	یاشون
ಯುಕ್ತಾತಮಾಂ	یوكتاتمان
ಯುಗಲ	یوجل
ಯುಗಾಂಕ	یوجانك
ಯುಗಾನ್ಧರ	یوجاندهر
ಯುಗ್ಮ	یوجم
ಯುಥಿಕಾ	یوتهیكا
ಯುಧಾವ	یودهاو
ಯುಧ್ಧ	یودهده
ಯುವಾಕ್ಷೀ	یوواكشی
ಯುವಾನೀ	یووانی
ಯುವೀ	یووی
ಯುವೀನ	یووین
ಯುಸು	یوسو
ಯೇಶಾಸ್ವೀ	ییشاسوی
ಯೇಶ್ವೀ	ییشوی
ಯೇಸ್ವಂಠ	ییسونطه
ಯೋಗದಾ	یوجدا
ಯೋಗಲಕ್ಷ್ಮೀ	یوجلكشمی
ಯೋಗಾ	یوجا
ಯೋಗೀ ಶ್ರೀ	یوجی شری
ಯೋಗೀಸಾಇ	یوجیساي
ಯೋಗ್ದೀಪ	یوجدیب
ಯೋಗ್ರಾಮ	یوجرام
ಯೋನಿತಾ	یونیتا
ಯೋಹನ	یوهن
ರಂಗೀತ	رنجیت
ರಂಗೇಶ	رنجیش
ರಂತೀಕಾ	رنتیكا
ರಕ್ತ	ركت
ರಕ್ಷಾತೀ	ركشاتی
ರಕ್ಷಾನಾ	ركشانا
ರಕ್ಷ್ಯ	ركشی
ರಘುನನ್ದನ	رجهونندن
ರಘುಪತಿ	رجهوبتی
ರಘುಪ್ರಿಯಾ	رجهوبرییا
ರಚನಾ	رتشنا
ರಣಜೀ	رنجی
ರಣವಿಜಯ	رنویجی
ರತಿಕಾ	رتیكا
ರತ್ನಕುಂಡಲ	رتنكوندل
ರತ್ನಾಲೀ	رتنالی
ರತ್ನೇಶ	رتنیش
ರಥನಾ	رتهنا
ರನಾಮೀತಾ	رنامیتا
ರನ್ಯ	رنی
ರಮಾ  ದೇವೀ	رما  دیوی
ರಮಾಕಾಂತ	رماكانت
ರಮಿಲಾ	رمیلا
ರಮೋಲಾ	رمولا
ರವಿಕೀರ್ತೀ	رویكیرتی
ರವಿಚಂದ್ರ	رویتشندر
ರವಿಜ	رویج
ರವಿತಾ	رویتا
ರವಿನಾ	روینا
ರವಿಶಂಕರ	رویشنكر
ರವೀಂದ್ರ	رویندر
ರಶೀಕಾ	رشیكا
ರಶ್ಮೀ	رشمی
ರಶ್ಮೀಸ್ರಯಾ	رشمیسریا
ರಸರಾಜ	رسراج
ರಸಿಕಾ	رسیكا
ರಾಗಾ	راجا
ರಾಗಾವೀ	راجاوی
ರಾಗಾವೀನೋದೀನೀ	راجاوینودینی
ರಾಜಕುಮಾರೀ	راجكوماری
ರಾಜನ	راجن
ರಾಜಬೀರ	راجبیر
ರಾಜವೀ	راجوی
ರಾಜಸೇಕರಣ	راجسیكرن
ರಾಜಾಹಮ್ಸನ	راجاهمسن
ರಾಜೀ	راجی
ರಾಜ್ಕಲಾ	راجكلا
ರಾಜ್ಬಲಾ	راجبلا
ರಾತ್ನಾನೀಧೀ	راتنانیدهی
ರಾಧೇಯಾ	رادهییا
ರಾನಾ	رانا
ರಾಮಚರಣ	رامتشرن
ರಾಮರಾಜ	رامراج
ರಾಮಸುಂದರ	رامسوندر
ರಾಮಾದೀಪ	رامادیب
ರಾಯಂಶ	راینش
ರಾಷೀಪ	راشیب
ರಾಸ್ಯಾ	راسیا
ರಿಶಿಮಾ	ریشیما
ರಿಹಾನ	ریهان
ರೀಅನಾ	ریانا
ರೀತಮಾಂ	ریتمان
ರೀತ್ಶೀಕಾ	ریتشیكا
ರೀಥೀಶಾ	ریتهیشا
ರೀಥ್ವೀ	ریتهوی
ರೀದ್ಧೀಮಾಂ	ریددهیمان
ರೀನ್ಸೀನ	رینسین
ರೀಮೀ	ریمی
ರೀಶಾನೀ	ریشانی
ರೀಶೋನಾ	ریشونا
ರೀಸ್ಲುಂನಾ	ریسلوننا
ರೂಂಗ / ರಂಗ	رونج / رنج
ರೇಡ್ಡೀ	ریددی
ರೇಥುಶಾನಾ	ریتهوشانا
ರೇನುಕ	رینوك
ರೇಭಾ	ریبها
ರೇಮಾಂನೀಕಾ	ریماننیكا
ರೇಮ್ಯಾ	ریمیا
ರೇವಂತ	ریونت
ರೇಶಿಕಾ	ریشیكا
ರೇಹಾ	ریها
ರೇಹ್ನುಘಾ	ریهنوجها
ಲಕೀ	لكی
ಲಕ್ಷಾಕೀ	لكشاكی
ಲಕ್ಷಿತಾ	لكشیتا
ಲಕ್ಷ್ಮಣಅಪರಣದಾತಾ	لكشمنابرنداتا
ಲಕ್ಷ್ಮೀ	لكشمی
ಲಕ್ಷ್ಮೀ   ನಾರಾಯಣ	لكشمی   ناراین
ಲಕ್ಷ್ಮೀನ	لكشمین
ಲಖಿತ	لكهیت
ಲಜ್ಜಕ	لججك
ಲಜ್ಜಾ	لججا
ಲತಾಕಾರಾ	لتاكارا
ಲಯನಾ	لینا
ಲಲಿತಾದಿತ್ಯ	للیتادیتی
ಲವಂಗೀ	لونجی
ಲವನಾ	لونا
ಲವಲೀನ	لولین
ಲವಾಮ	لوام
ಲಾಥಾನಗೀ	لاتهانجی
ಲಾಬನ್ಯ	لابنی
ಲಾಬುಕೀ	لابوكی
ಲಾಭಾ	لابها
ಲಾರ್ಮಿಕಾ	لارمیكا
ಲಾಲಸಾ	لالسا
ಲಾಲಾತೇಂದು	لالاتیندو
ಲಾವನ್ತೀಕಾ	لاونتیكا
ಲಾವಾಲಿಕಾ	لاوالیكا
ಲಾಸ್ಯಾವೀ	لاسیاوی
ಲಿಖಿತ	لیكهیت
ಲಿಮಿಯಾ	لیمییا
ಲೀಗ	لیج
ಲೀತೀಶಾ	لیتیشا
ಲೀನಾಥಾ	لیناتها
ಲೀನೀತ	لینیت
ಲೀನ್ಗದೇವಾರುಂ	لینجدیوارون
ಲೀನ್ಗರಾಜಾ	لینجراجا
ಲೀನ್ಗೀಃ	لینجیها
ಲೀಪಿಕಾ	لیبیكا
ಲೀಲಾಮಈ	لیلامي
ಲೀಲಾವತೀ	لیلاوتی
ಲೀಶಾ	لیشا
ಲುಕೇಶ	لوكیش
ಲುಪೇಶ	لوبیش
ಲೇಈಶಾ	لیيشا
ಲೇಕ್ಯಾ	لیكیا
ಲೇಕ್ಷಾನಾ	لیكشانا
ಲೇಖಕ	لیكهك
ಲೇಖೀಶಾ	لیكهیشا
ಲೋಕಪ್ರಕಾಶ	لوكبركاش
ಲೋಕಾಕೃತಿ	لوكاكرتی
ಲೋಕಾಜನಾನೀ	لوكاجنانی
ಲೋಕಾಧ್ಯಕ್ಷ	لوكادهیكش
ಲೋಕ್ಭುಶನ	لوكبهوشن
ಲೋಕ್ಷೀ	لوكشی
ಲೋಗಚಾನ್ದ್ರಣ	لوجتشاندرن
ಲೋಗನ	لوجن
ಲೋಗನಾಥನ	لوجناتهن
ಲೋಗೀನೀ	لوجینی
ಲೋಗೇಶ	لوجیش
ಲೋನಾ	لونا
ಲೋಮಶ	لومش
ಲೋಮಾಂಕೇಶ	لومانكیش
ಲೋಲೀಥ್ಯಾ	لولیتهیا
ಲೋವೇಯಂಶ	لوویینش
ಲೋಶೀನೀ	لوشینی
ಲೋಹೀತಾ	لوهیتا
ಲೋಹೀತ್ಸರಣ	لوهیتسرن
ವಂಶಿಕಾ	ونشیكا
ವಕ್ರತುನ್ಡಾ	وكرتوندا
ವಕ್ಷ	وكش
ವಚನ	وتشن
ವತ್ಸಲಾ	وتسلا
ವರಲಕ್ಷ್ಮೀ	ورلكشمی
ವರ್ದಾನೀ	وردانی
ವರ್ಧಾನೀ	وردهانی
ವರ್ನೀಥಾ	ورنیتها
ವರ್ಷಾನ	ورشان
ವಲ್ಲಭೀ	وللبهی
ವಶೀತಾ	وشیتا
ವಸತೀನ	وستین
ವಸಾ	وسا
ವಸೀಸತಾ	وسیستا
ವಸುಧಾ	وسودها
ವಸುಮಿತ್ರ	وسومیتر
ವಸುರೂಪ	وسوروب
ವಸುಶ	وسوش
ವಸ್ಥಾವೀ	وستهاوی
ವಹೀಂ	وهین
ವಾಕ್ಶಾನಾ	واكشانا
ವಾಗ್ಮೀನ	واجمین
ವಾಜ್ರಕ್ಷ	واجركش
ವಾಜ್ರನಾಖಾ	واجرناكها
ವಾತ್ಸಲ್ರಾಜ	واتسلراج
ವಾದಿವೇಲನ	وادیویلن
ವಾದಿವೇಲುಂ	وادیویلون
ವಾದೀರಾಜ	وادیراج
ವಾನಿಶ್ರೀ	وانیشری
ವಾನುಜಾ	وانوجا
ವಾಮನ	وامن
ವಾಮಾಂಕ್ಷೀ	وامانكشی
ವಾಮಿಲ	وامیل
ವಾಮ್ಶೀಥಾ	وامشیتها
ವಾಯಾ	وایا
ವಾಯು	وایو
ವಾಸನ	واسن
ವಾಸು	واسو
ವಾಸುಮಾಂಥಾ	واسومانتها
ವಿಅರ	ویار
ವಿಕ್ಟೋರಿಯಾ	ویكطورییا
ವಿಕ್ರಾಂತಿ	ویكرانتی
ವಿಜಯಾಲಕ್ಷ್ಮೀ	ویجیالكشمی
ವಿಜೀತಾ	ویجیتا
ವಿಜುಲ	ویجول
ವಿದಿಶಾ	ویدیشا
ವಿದ್ವಾಥ	ویدواته
ವಿನತಿ	وینتی
ವಿನಸ	وینس
ವಿನಾ	وینا
ವಿನಾಥೀ	ویناتهی
ವಿನಾಯಿಕಾ	ویناییكا
ವಿನ್ದ್ಯಾ	ویندیا
ವಿಭಾಸ	ویبهاس
ವಿಭೀ	ویبهی
ವಿಭೂಷ	ویبهوش
ವಿಮಲಾ	ویملا
ವಿರಬಾಬು	ویربابو
ವಿಲಾಸಿನೀ	ویلاسینی
ವಿಹಾನೀ	ویهانی
ವಿಹಾರಿಕಾ	ویهاریكا
ವೀಅಲಾಶೀನೀ	ویالاشینی
ವೇಂಕಟ ಮಾನೀ	وینكط مانی
ವೇತ್ರೀ	ویتری
ವೇದನ್ಜಾನಾ	ویدنجانا
ವೇದಾಂಗ	ویدانج
ವೇದಾತ್ಮನೇ	ویداتمني
ವೇದಾಸ್ವರೂಪೀ	ویداسوروبی
ವೇದೀಥಾ	ویدیتها
ವೇದ್ವಿಯನ	ویدویین
ವೇಧಾವಲ್ಲೀ	ویدهاوللی
ವೇನಮಾಂಥೀ	وینمانتهی
ವೇನಾ	وینا
ವೇನೀ	وینی
ವೇನ್ಕಟಾಗೀರೀ	وینكطاجیری
ವೇನ್ಕಟೇಶಾ	وینكطیشا
ವೇನ್ಕನಾ	وینكنا
ವೇಲ್ಕ್ಯ	ویلكی
ವೇವೇಶಾ	ویویشا
ವೈಗಾ	وایجا
ವೈಜಯಂತೀ	وایجینتی
ವೈಜಯೀ	وایجیی
ವೈದಿಕ	وایدیك
ವೈದೀಕಾ	وایدیكا
ವೈಧೇ	وایدهي
ವೈಧ್ಯಾತ	وایدهیات
ಶೈಲೇಶ	شایلیش
ಸಂಗಮ	سنجم
ಸಂಗೀತಾ	سنجیتا
ಸಂಚಾನಾ	سنتشانا
ಸಂಜಾಣಥೀ	سنجانتهی
ಸಂಜೀವ	سنجیو
ಸಂಜೀವೀ	سنجیوی
ಸಂಜುಕ್ಥಾ	سنجوكتها
ಸಂಥೀನೀ	سنتهینی
ಸಂದೀಪ್ತಾ	سندیبتا
ಸಂಧರಾ	سندهرا
ಸಂಪದಾ	سنبدا
ಸಂಮತ	سنمت
ಸಕ್ಥೀದಾರ	سكتهیدار
ಸಖಾ	سكها
ಸಗ್ನೀಕ	سجنیك
ಸಚ್ಚಿತ	ستشتشیت
ಸಚ್ಚಿದಾನಂದ ವಿಗ್ರಹ	ستشتشیدانند ویجره
ಸಜೂ	سجو
ಸದಗತಾ	سدجتا
ಸನಾತನ	سناتن
ಸನಾಥ	سناته
ಸಫ಼ಲಾ	سبهلا
ಸಫ್ಫರ	سبهبهر
ಸಬರಿಶ	سبریش
ಸಬಿತಾ	سبیتا
ಸಮಕ್ಷ	سمكش
ಸಮಜ	سمج
ಸಮನ್ಯು	سمنیو
ಸಮಬರಣ	سمبرن
ಸಮಭಾವನ	سمبهاون
ಸಮಾಂನ್ವಿತಾ	سماننویتا
ಸಮಾಂಶ್ರಯ	سمانشری
ಸಮಿಕ	سمیك
ಸಮೀರ	سمیر
ಸಮೀರಾ	سمیرا
ಸಮುದಾಯ	سمودای
ಸಮುದ್ರಾ	سمودرا
ಸಮೇಂದು	سمیندو
ಸಮ್ಪ್ರಸಾದ	سمبرساد
ಸಮ್ಪ್ರಿತೀ	سمبریتی
ಸಮ್ಬತ	سمبت
ಸಮ್ಮಾದ	سمماد
ಸಮ್ಯಕ	سمیك
ಸಮ್ಶೀನೀ	سمشینی
ಸಮ್ಸ್ಕಾರಾ	سمسكارا
ಸಮ್ಹೀಠಾ	سمهیطها
ಸರಜಾ	سرجا
ಸರಿಶಾ	سریشا
ಸರ್ಗಿನೀ	سرجینی
ಸಹಶ್ರದ	سهشرد
ಸಾಈ ಅರ್ಜುನ	ساي ارجون
ಸಾಈ ಶ್ರೀ	ساي شری
