# Baby names
ଅକର୍ଯସୁଟ	اكریسوط
ମମତି	ممتی
ମମ୍ତା	ممتا
ମଲିନି	ملینی
ମଲ୍ଲି	مللی
ମଲ୍ଲୁ	مللو
ମଲ୍ଲେଶମ୍	مللیشم
ମଲ୍ଲେଶ୍	مللیش
ମହାକାଲ୍	مهاكال
ମହାକ୍ରମ୍	مهاكرم
ମହାଗୌରି	مهاجاوری
ମହାଜୀଟ୍	مهاجیط
ମହାଞା	مهانا
ମହାଟେଜସ୍	مهاطیجس
ମହାଡେବ୍	مهادیب
ମହାତି	مهاتی
ମହାନନ୍ଡ୍	مهانند
ମହାନ୍ଟ୍	مهانط
ମହାନ୍ତି	مهانتی
ମହାବାଲା	مهابالا
ମହାଭଡ୍ରା	مهابهدرا
ମହାମନି	مهامنی
ମହାରନ୍ତ୍	مهارنت
ମହାଲ୍ଯା	مهالیا
ମହାଶ୍ରି	مهاشری
ମହିରା	مهیرا
ମହିର୍	مهیر
ମହେନ୍ଡ୍ରା	مهیندرا
ମହେଶ୍ବୁଅର୍	مهیشبوار
ମହେସ୍ବୁଅରି	مهیسبواری
ମହ୍ନବ୍	مهنب
ମାକାଲି	ماكالی
ମାଞଟା	مانطا
ମାନବ୍	مانب
ମାନିକାନ୍ଟ୍	مانیكانط
ମାଲ୍ବିକା	مالبیكا
ମୈଟ୍ରଯୀ	مایطریی
ଯକ୍ଶିଟା	یكشیطا
ଯକ୍ଶିତ୍	یكشیت
ଯଗ୍ନକଯା	یجنكیا
ଯଟିଶ୍	یطیش
ଯତି	یتی
ଯତିଶ୍	یتیش
ଯଯିନ୍	ییین
ଯଶବୁଇନି	یشبوينی
ଯଶାଶ୍ରୀ	یشاشری
ଯଶାସ୍ବି	یشاسبی
ଯଶି	یشی
ଯଶ୍ ରାଜ୍	یش راج
ଯଶ୍ବନ୍ତ୍	یشبنت
ଯଶ୍ରୀ	یشری
ଯସ୍ବୁଅନ୍ତ୍	یسبوانت
ଯାଗ୍ଯାସେନ୍	یاجیاسین
ଯାଜଟ୍	یاجط
ଯାଟୁଦନି	یاطودنی
ଯାଡାବେନ୍ଡ୍ରା	یادابیندرا
ଯାମାହିଲ୍	یاماهیل
ଯାମୁନା	یامونا
ଯାମ୍ଯା	یامیا
ଯାହ୍ବି	یاهبی
ଯୁକସ୍ରି	یوكسری
ଯୁଗନ୍ଶ୍	یوجنش
ଯୁଗେନ୍ଡେର୍	یوجیندیر
ଯୁବନ୍ ସୁର୍ଯା	یوبن سوریا
ଯୁବରାନି	یوبرانی
ଯୁବାରାମ୍	یوبارام
ଯୁବିନ୍	یوبین
ଯୁବ୍ରାନି	یوبرانی
ଯେଇଗବନ୍	ییيجبن
ଯେଘରାଜ୍	ییجهراج
ଯେତର୍ତ୍	ییترت
ଯେମା	ییما
ଯେସ୍ବୁଅନ୍ତ୍	ییسبوانت
ଯେସ୍ବୁଇନ୍	ییسبوين
ଯୋଗାଜି	یوجاجی
ଯୋଗୀଟା	یوجیطا
ଯୋହନ୍	یوهن
ରକଶ୍ନ୍ଡା	ركشندا
ରକ୍ଶଟି	ركشطی
ରକ୍ଶିନା	ركشینا
ରଘୁନନ୍ଡନ୍	رجهونندن
ରଘୁନାତ୍	رجهونات
ରଙିତ୍	رنجیت
ରଜନିକାନ୍ଟା	رجنیكانطا
ରଜନ୍ଞା	رجننا
ରଟନା	رطنا
ରଟ୍ନା ପ୍ରିଯା	رطنا برییا
ରଟ୍ନାଜ୍ଯୋଟି	رطناجیوطی
ରଟ୍ନାବଲି	رطنابلی
ରତ୍ନା	رتنا
ରନିଶ୍	رنیش
ରନ୍ଜନି	رنجنی
ରନ୍ଜଯ୍	رنجی
ରନ୍ଜୁ	رنجو
ରନ୍ବିତା	رنبیتا
ରବିପ୍ରଭା	ربیبربها
ରବିଯାନ୍କି	ربییانكي
ରବେକ୍	ربیك
ରମନୁଜମ୍	رمنوجم
ରମାକାନ୍ଟ୍	رماكانط
ରମାଦେବି	رمادیبی
ରମୈଅହ୍	رمایاه
ରମ୍ଯଦେବି	رمیدیبی
ରଶିକା	رشیكا
ରଶିଲା	رشیلا
ରଶ୍ବୁଇନା	رشبوينا
ରଶ୍ମିନ୍	رشمین
ରସୁଲ୍	رسول
ରହାମ୍	رهام
ରହ୍ନି	رهنی
ରାଓସହେବ୍	راوسهیب
ରାକା	راكا
ରାଗେଶ୍	راجیش
ରାଘବା	راجهبا
ରାଘବ୍	راجهب
ରାଜଲକ୍ଶ୍ମି	راجلكشمی
ରାଜାରମନ୍	راجارمن
ରାଜାରମେଶ୍	راجارمیش
ରାଜେଶ୍ରମ୍	راجیشرم
ରାଜ୍	راج
ରାଜ୍ କିରନ୍	راج كیرن
ରାଜ୍କଲା	راجكلا
ରାଝନ୍ସ୍	راجهنس
ରାଧା କ୍ରିଶ୍ନା	رادها كریشنا
ରାମୋଜି	راموجی
ରାମ୍	رام
ରାମ୍ଗୋପାଲ୍	رامجوبال
ରାମ୍ସାଗର୍	رامساجر
ରାହୁଲ୍ରାଜ୍	راهولراج
ରୀଟ୍	ریط
ରୀତନା	ریتنا
ରୀନା	رینا
ରୀମା	ریما
ରେବନ୍ତି	ریبنتی
ରେବନ୍ତିକା	ریبنتیكا
ରେମିତା	ریمیتا
ରେଶିତା	ریشیتا
ରେହେଇଲା	ریهیيلا
ରୈନା	راینا
ଲକ୍ଶନା	لكشنا
ଲକ୍ଶା	لكشا
ଲକ୍ଶିଟା	لكشیطا
ଲକ୍ଶ୍ମି	لكشمی
ଲକ୍ଶ୍ମି ପ୍ରିଯା	لكشمی برییا
ଲଜ୍ଜବୁଅଟି	لججبواطی
ଲଜ୍ବଟି	لجبطی
ଲଜ୍ବନ୍ଟି	لجبنطی
ଲତା	لتا
ଲନିବନ୍	لنیبن
ଲବନା	لبنا
ଲବିନ୍	لبین
ଲବ୍ଯ୍	لبی
ଲମ୍ବକର୍ନା	لمبكرنا
ଲରଞା	لرنا
ଲରିନା	لرینا
ଲଲମ୍	للم
ଲଲିଟ୍ମୋହନ୍	للیطموهن
ଲଲିଟ୍ରାଜ୍	للیطراج
ଲସିକ୍	لسیك
ଲହାରି	لهاری
ଲାଲିଟ୍ଯା	لالیطیا
ଲାଲିମା	لالیما
ଲାସ୍ଯା	لاسیا
ଲିଙେଶ୍	لینجیش
ଲିନିଶା	لینیشا
ଲିମିଶା	لیمیشا
ଲିଯାନା	لییانا
ଲିଲା	لیلا
ଲିଲାଦର୍	لیلادر
ଲିଶନ୍ତ୍	لیشنت
ଲୀଲବୁଅଟି	لیلبواطی
ଲୁନି	لونی
ଲୁମ୍ବିକା	لومبیكا
ଲୁମ୍ବିନି	لومبینی
ଲୁହିଟ୍	لوهیط
ଲୂକେଶ୍ବୁଅରି	لوكیشبواری
ଲେଖିଶା	لیكهیشا
ଲେଖ୍ଯା	لیكهیا
ଲେନିଶା	لینیشا
ଲେପକ୍ଶ୍	لیبكش
ଲେମା	لیما
ଲୋଉକ୍ଯା	لووكیا
ଲୋକକ୍ରିଟି	لوككریطی
ଲୋକିନି	لوكینی
ଲୋକେଶ୍ବୁଅରନ୍	لوكیشبوارن
ଲୋକ୍ପ୍ରକାଶ୍	لوكبركاش
ଲୋଗିଟା	لوجیطا
ଲୋବେଶ୍	لوبیش
ଲୋମଶ୍	لومش
ଲୋହିଟା	لوهیطا
ସକଲେଶ୍ବୁଅର୍	سكلیشبوار
ସଙିଟା	سنجیطا
ସଙିନି	سنجینی
ସଚନ୍ଡ୍ରା	ستشندرا
ସଚି	ستشی
ସଚିଡାନନ୍ଡ୍	ستشیدانند
ସଚିନ୍	ستشین
ସଚିନ୍ଡେଓ	ستشیندیاو
ସଚେଟନ୍	ستشیطن
ସଡାର୍	سدار
ସଡାଶିବା	سداشیبا
ସଡିଶ୍	سدیش
ସଡ୍ଗଟି	سدجطی
ସଡ୍ଗୁରୁ	سدجورو
ସଦନା	سدنا
ସନ୍କରି	سنكری
ସନ୍ଜନ	سنجن
ସନ୍ଜିଟା	سنجیطا
ସବରୀଶ୍	سبریش
ସବିତା	سبیتا
ସବୁରି	سبوری
ସବ୍ରଙ୍	سبرنج
ସଭ୍ଯା	سبهیا
ସଭ୍ରନ୍ଟ୍	سبهرنط
ସମଞା	سمنا
ସମତା	سمتا
ସମିକା	سمیكا
ସମେନ୍	سمین
ସମେଶ୍	سمیش
ସମ୍ବିତି	سمبیتی
ସମ୍ବିତ୍	سمبیت
ସମ୍ବୁଡ୍ଦା	سمبوددا
ସମ୍ବୋଦ୍	سمبود
ସମ୍ଯତା	سمیتا
ସମ୍ରିଡ୍ଦା	سمریددا
ସଲେନା	سلینا
ସଲୋଖ୍	سلوكه
ସଲୋହି	سلوهی
ସହଡେବ୍	سهدیب
ସହ୍ଡେବ୍	سهدیب
ସାଇ ଆନନ୍ଡ୍	ساي آنند
ସାଇ କୁମାରି	ساي كوماری
ସାଇ କୁମାର୍	ساي كومار
ସାଇ ବାନି	ساي بانی
ସାଇ ସର୍ବେଶ୍	ساي سربیش
ସାଇଯ୍ଯାନ୍	سايییان
ସାଜିତ୍	ساجیت
ସାଜିଲି	ساجیلی
ସାଟ୍ବିକ୍	ساطبیك
ସାନିଦ୍ଯା	سانیدیا
ସାନିଯା	سانییا
ସାରାନ୍ଶ୍	سارانش
ସାହସ୍ଟ୍ରାଜିଟ୍	ساهسطراجیط
ସାହିଟ୍ଯା	ساهیطیا
ସାହିରାମ୍	ساهیرام
ସାହିଲ୍	ساهیل
ସାହୁଲ୍	ساهول
ସୈଜଯାନି	سایجیانی
ସୈଜାସି	سایجاسی
ସୈଜିଲ୍	سایجیل
ସୈନାତ୍	ساینات
ସୈନିଟ୍	ساینیط
ସୈହିଶ୍	سایهیش
ହନିମା	هنیما
ହନିଶା	هنیشا
ହନିଶ୍	هنیش
ହନୀଶା	هنیشا
ହନୁମନ୍ଟା	هنومنطا
ହବିହ୍	هبیه
ହମ୍ସାନନ୍ଡି	همسانندی
ହମ୍ସିକା	همسیكا
ହରିକିଶନ୍	هریكیشن
ହରିଟେଜା	هریطیجا
ହରିତା	هریتا
ହରିତ୍	هریت
ହରିଦ	هرید
ହରିନା	هرینا
ହରିନାରାଯନ୍	هریناراین
ହରିପେଅସାଡ୍	هریبیاساد
ହରିମନ୍ଟି	هریمنطی
ହରେଶ୍	هریش
ହର୍କେଶ୍	هركیش
ହର୍ଟେଇଜ୍	هرطیيج
ହର୍ବି	هربی
ହର୍ଶଲା	هرشلا
ହର୍ଶିତା	هرشیتا
ହର୍ଶିତ୍	هرشیت
ହର୍ଶ୍ ବୀର୍	هرش بیر
ହର୍ଶ୍ନିଲ୍	هرشنیل
ହର୍ସିକା	هرسیكا
ହଶ୍ମିତା	هشمیتا
ହଶ୍ରୀ	هشری
ହସିଟା	هسیطا
ହସିନା	هسینا
ହସ୍ତା	هستا
ହସ୍ବିତା	هسبیتا
ହସ୍ମିତା	هسمیتا
ହାରିତ୍	هاریت
ହିଟେନ୍ଡ୍ରା	هیطیندرا
ହିତେଶ୍	هیتیش
ହିମା	هیما
ହିମାଗୋଉରି	هیماجووری
ହିମାଘ୍ନା	هیماجهنا
ହିମାନ୍ସୁ	هیمانسو
ହିମାବନ୍ତ୍	هیمابنت
ହିରଞଦା	هیرندا
ହିରନ୍ମଯି	هیرنمیی
ହିରନ୍ମଯ୍	هیرنمی
ହିରିଶା	هیریشا
ହିର୍ବୁଅ	هیربوا
ହିଲ୍ଲା	هیللا
ହୀଟ୍ରାଜ୍	هیطراج
ହୀନା	هینا
ହୀର୍ବ	هیرب
ହେଇଡି	هیيدی
ହେଟବ୍	هیطب
ହେଟୁ	هیطو
ହେଟ୍ବୀକ୍	هیطبیك
ହେଟ୍ସ୍ଯା	هیطسیا
ହେତନ୍ଶି	هیتنشی
ହେନଲ୍	هینل
ହେମଙିନି	هیمنجینی
ହେମନ୍ଟ୍	هیمنط
ହେମନ୍ତ୍	هیمنت
ହେମନ୍ତ୍ସ୍ରୀ	هیمنتسری
ହେମପ୍ରସାଡ୍	هیمبرساد
ହେମବଟିନନ୍ଡନ୍	هیمبطینندن
ହେମସ୍ରି	هیمسری
ହେମିଶା	هیمیشا
ହେମ୍କେଶ୍	هیمكیش
ହେମ୍କ୍ରିଶ୍	هیمكریش
ହେମ୍ରାଜ୍	هیمراج
ହେରକ୍	هیرك
ହୋନ୍ହାର୍	هونهار
ହ୍ରିଦ୍ଯା	هریدیا
