childCode	Label	parentCode	Label
!Xu (Q5508716)	Khoisan [Other] (khi) (khi, Q3361)
"Norman" Tasmanian (Q454030)	Northeastern Tasmanian (Q705806)
Huehuetla Tepehua (tee) (tee, Q5645)	Tepehua (Q3407)
Huetar (Q3551)	Chibchan languages (cba) (cba, Q52047)
Hueytlalpan Otomi (Q592940)	Otomian languages (oto) (oto, Q3635)
Huichol (hch) (hch, Q3557)	Corachol (Q516941)
Huichol (hch) (hch, Q3557)	Q166139 (Q166139)
Huilliche (huh) (huh, Q3553)	Araucanian (Q62663)
Huishu (Q5561404)	Tangkhul (Q151665)
Huishui Miao (Q593521)	West Hmongic (Q798540)
Huitepec Mixtec (mxs) (mxs, Q1295372)	Mixtec (Q3636)
Huizhou Chinese (czh) (czh, Q5654)	Chinese (zh) (zh, Q785)
Huizhou Chinese (czh) (czh, Q5654)	Sinitic (Q3385)
Hukumina (huw) (huw, Q314298)	Central Maluku (Q321747)
Hukumina (huw) (huw, Q712882)	Hukumina (huw) (huw, Q314298)
Hula (hul) (hul, Q638217)	Papuan Tip (Q303910)
Hulaulá (huy) (huy, Q3342)	Q256057 (Q256057)
Hulung (huk) (huk, Q1295250)	Three Rivers (Q1264356)
Humburi Senni Songhay (hmb) (hmb, Q3548)	Songhai (son) (son, Q50519)
Humla (hut) (hut, Q1758891)	Central Tibetan (Q506191)
Humla (hut) (hut, Q1758891)	Tibeto-Burman languages (tbq) (tbq, Q3406)
Hunde (hke) (hke, Q306543)	Bantu [Other] (bnt) (bnt, Q3314)
Hung (hnu) (hnu, Q1263275)	Cuoi (Q338050)
Hungarian (hu) (hu, Q906)	Ugric (Q15663)
Hungu (hng) (hng, Q11645637)	Holu (hol) (hol, Q412113)
Hunjara-Kaina Ke (Q6321393)	Binanderean (Q321737)
Hunnic (xhc) (xhc, Q3595)	Altaic [Other] (tut) (tut, Q3784)
Hunsrik (hrx) (hrx, Q30404)	Q50390 (Q50390)
Hunzib (huz) (huz, Q5656)	East Tsezic (Q12143766)
Huon (Q594610)	Finisterre–Huon (Q321745)
Huon Gulf (Q306444)	North New Guinea (Q303911)
Hupa (hup) (hup, Q2805)	Pacific Coast Athabaskan (Q2065)
Hupdë (jup) (jup, Q314338)	Nadahup (Q185643)
Hurrian (xhu) (xhu, Q3574)	Hurro-Urartian (Q114415)
Hurro-Urartian (Q114415)	Q3477 (Q3477)
Hutterite German (geh) (geh, Q3338)	Q319567 (Q319567)
Hwana (hwo) (hwo, Q5649)	Afro-Asiatic [Other] (afa) (afa, Q2526)
Hwela (Q5376625)	Ligbi (lig) (lig, Q3359)
Hyam (jab) (jab, Q3540)	Benue–Congo (Q3325)
Hyolmo (scp) (scp, Q1984109)	Kyirong–Kagate (Q645095)
Hértevin (hrt) (hrt, Q3329)	Q2860 (Q2860)
Hõne (juh) (juh, Q596457)	Jukunoid (Q171162)
Iaai (iai) (iai, Q28288)	New Caledonian (Q309122)
Iatmul (ian) (ian, Q598346)	Ndu (Q321749)
Iau (tmu) (tmu, Q5686)	Tariku (Q4700750)
Ibali Teke (tek) (tek, Q280291)	Teke (Q3652)
Ibaloi (ibl) (ibl, Q314738)	Northern Luzon (Q28930)
Iban (iba) (iba, Q3342)	Ibanic (Q321746)
Iban (iba) (iba, Q485013)	Dayak (Q305774)
Iban (iba) (iba, Q744283)	Austronesian [Other] (map) (map, Q4922)
Iban (iba) (iba, Q744283)	Ibanic (Q321746)
Ibanag (ibg) (ibg, Q177559)	Cagayan Valley (Q705826)
Ibanag (ibg) (ibg, Q177559)	Northern Luzon (Q28930)
Ibani (iby) (iby, Q1128047)	KaKiBa languages (Q1263281)
Ibanic (Q321746)	Coastal Dayak (Q11708822)
Ibatan (ivb) (ivb, Q1874821)	Batanic (Q318263)
Iberian (xib) (xib, Q85521)	Q2016217 (Q2016217)
Iberian Romance (Q74953)	Gallo-Iberian (Q95432)
Iberian Romance (Q74953)	Q8538012 (Q8538012)
Ibhili (Q1684629)	Nzebi (Q175549)
Ibibio (Q274364)	Cross River (Q114109)
Ibibio (ibb) (ibb, Q3379)	Ibibio (Q274364)
Ibinda (Q598406)	San Salvador Kongo (kwy) (kwy, Q1101768)
Ibino (ibn) (ibn, Q381328)	Lower Cross River (Q381319)
Ibu (ibu) (ibu, Q1173223)	Sahu (saj) (saj, Q739975)
Ibuoro (ibr) (ibr, Q381330)	Lower Cross River (Q381319)
Icelandic (is) (is, Q29)	North Germanic languages (gmq) (gmq, Q10608)
Icelandic (is) (is, Q29)	West Scandinavian (Q179257)
Iceve-Maci (bec) (bec, Q3544)	Tivoid (Q75237)
Ida'an (dbj) (dbj, Q304155)	Sabahan (Q321751)
Idaté (idt) (idt, Q1295251)	Ramelaic (Q1584168)
Idere (ide) (ide, Q381328)	Obolo (ann) (ann, Q3661)
Idesa (ids) (ids, Q391397)	Edo (Q128746)
Idoma (idu) (idu, Q3547)	Etulo-Idoma (Q1263078)
Idomoid (Q97419)	Benue–Congo (Q3325)
Idon (idc) (idc, Q391336)	Plateau (Q126747)
Idu-Mishmi (clk) (clk, Q5641)	Digaro (Q5640)
Ifo (iff) (iff, Q790254)	Erromanga (Q1263067)
Ifugao (Q3574)	Northern Luzon (Q28930)
Igala (igl) (igl, Q3551)	Yoruboid (Q178974)
Igana (igg) (igg, Q599145)	Tamolan (Q768163)
Igbo (ig) (ig, Q3357)	Benue–Congo (Q3325)
Igbo (ig) (ig, Q3357)	Igboid (Q142910)
Igbo (ig) (ig, Q3357)	Kwa (Q3343)
Igboid (Q142910)	Benue–Congo (Q3325)
Ignaciano (ign) (ign, Q314819)	Moxo (Q692754)
Igo (ahl) (ahl, Q3541)	Kposo-Ahlo-Bowili (Q1263483)
Iha (ihp) (ihp, Q599449)	West Bomberai (Q798449)
Ihievbe (ihi) (ihi, Q344119)	Edo (Q128746)
Ija-Zuba (vki) (vki, Q1101138)	Alumic (Q473735)
Ijo (ijo) (ijo, Q132202)	Ijoid (Q132575)
Ijo (ijo) (ijo, Q132202)	Kwa (Q3343)
Ijoid (Q132575)	Atlantic-Congo languages (alv) (alv, Q77112)
Ik (ikx) (ikx, Q3547)	Kuliak (Q179147)
Ika (ikk) (ikk, Q3540)	Igboid (Q142910)
Ikaranggal (ikr) (ikr, Q599540)	Paman (Q264065)
Ikhin (Q10211975)	Edo (Q128746)
Ikizu (ikz) (ikz, Q1097762)	Great Lakes Bantu (Q559942)
Iko (iki) (iki, Q381329)	Obolo (ann) (ann, Q3661)
Ikoma-Nata-Isenye (ntk) (ntk, Q599611)	Great Lakes Bantu (Q559942)
Ikpeng (txi) (txi, Q934489)	Cariban (Q3309)
Ikposo (kpo) (kpo, Q3502)	Kposo-Ahlo-Bowili (Q1263483)
Ikwere (ikw) (ikw, Q3539)	Igboid (Q142910)
Ikwo (iqw) (iqw, Q1192647)	Q1192702 (Q1192702)
Ila (ilb) (ilb, Q599688)	Bantu [Other] (bnt) (bnt, Q3314)
Ile Ape (ila) (ila, Q1247338)	Flores–Lembata (Q1704337)
Ili Turki (ili) (ili, Q3362)	Eastern Karluk (Q421532)
Ili'uun (ilu) (ilu, Q1263288)	Wetarese (Q3687)
Ilianen Manobo (mbi) (mbi, Q1491691)	Manobo languages (mno) (mno, Q321748)
Illyrian (xil) (xil, Q3597)	Q181507 (Q181507)
Iloko (ilo) (ilo, Q3593)	Northern Luzon (Q28930)
Ilongot (ilk) (ilk, Q314878)	Northern Luzon (Q28930)
Ilue (ilv) (ilv, Q381330)	Lower Cross River (Q381319)
Ilwana (mlk) (mlk, Q600135)	Northeast Coast Bantu (Q705784)
Imbabura Highland Quichua (qvi) (qvi, Q2555970)	Highland Ecuadorian Quichua (Q6238573)
Imbongu (imo) (imo, Q1263289)	Kaugel (Q637869)
Imgarri dialect (Q12325352)	Maltese (mt) (mt, Q916)
Imonda (imn) (imn, Q600572)	Waris (Q1264507)
Imotong (Q11073694)	Nilotic (Q51340)
Imroing (imr) (imr, Q600839)	Telaah Babar Barat (Q2427521)
Inabaknon (abx) (abx, Q282016)	Sama–Bajaw (Q216040)
Inapang (mzu) (mzu, Q601356)	Tamolan (Q768163)
Inari Sami (smn) (smn, Q3346)	Eastern Sami (Q350126)
Indic [Other] (inc) (inc, Q3357)	Indo-Iranian languages (iir) (iir, Q3351)
Indic [Other] (inc) (inc, Q3357)	Q1560938 (Q1560938)
Indo-European [Other] (ine) (ine, Q1986)	Q2016217 (Q2016217)
Indo-European [Other] (ine) (ine, Q1986)	Q27631 (Q27631)
Indo-European [Other] (ine) (ine, Q1986)	Q77186 (Q77186)
Indo-Iranian languages (iir) (iir, Q3351)	Indo-European [Other] (ine) (ine, Q1986)
Indo-Iranian languages (iir) (iir, Q3351)	Q9879175 (Q9879175)
Indo-Melanesian (Q137841)	Malayo-Polynesian languages (poz) (poz, Q14315)
Indo-Portuguese (Sri Lanka) (idb-LK) (idb-LK, Q353712)	Indo-Portuguese (idb) (idb, Q602555)
Indo-Portuguese (idb) (idb, Q602555)	Creoles and pidgins, Portuguese-based [Other] (cpp) (cpp, Q1450710)
Indonesian (id) (id, Q924)	Malay (ms) (ms, Q923)
Indonesian Arabic (Q11578163)	Arabic (ar) (ar, Q1395)
Indonesian Bajau (bdl) (bdl, Q288003)	South Sulawesi (Q277819)
Indonesian Sign Language (inl) (inl, Q391547)	Malaysian Sign Language (xml) (xml, Q3342)
Indonesian languages (Q3863847)	Austronesian [Other] (map) (map, Q4922)
Indramayu Sundanese (Q11274465)	Cirebonese Sundanese (Q1247347)
Indri (idr) (idr, Q3566)	Sere (Q745305)
Indri–Togoyo (Q12246349)	Sere (Q745305)
Inebu One (oin) (oin, Q1295378)	One (Q709352)
Ineseño (inz) (inz, Q3544)	Chumashan (Q128842)
Inga (inb) (inb, Q3549)	Ingan Quechua IIB (Q5379495)
Ingain (Q315091)	Jê (Q148359)
Ingan Quechua IIB (Q5379495)	Northern Quechua (Q107363)
Ingrian (izh) (izh, Q3355)	Finnic (Q3332)
Ingrian dialects (Q1053553)	Finnish (fi) (fi, Q141)
Ingush (inh) (inh, Q3350)	Nakh (Q2444)
Inland Gulf (Q603478)	Anim (Q5560399)
Inland Gulf (Q603478)	Trans-New Guinea languages (ngf) (ngf, Q3401)
Inland Min (Q2066723)	Min Chinese (Q5650)
Inlaod Itneg (iti) (iti, Q1295358)	Itneg (Q1522052)
Innu-aimun (moe) (moe, Q1335)	Q2005746 (Q2005746)
Inonhan (loc) (loc, Q240087)	Western Visayan (Q321737)
Inor (ior) (ior, Q3576)	Gurage (Q352801)
Inpui Naga (nkf) (nkf, Q2148181)	Zeme (Q18929)
Insular Celtic (Q21450)	Celtic [Other] (cel) (cel, Q2529)
Insular Indo-Aryan (Q1217930)	Indic [Other] (inc) (inc, Q3357)
Interior Salish (Q1504390)	Salishan languages (sal) (sal, Q3398)
Inuinnaqtun (Q2807)	Q2799 (Q2799)
Inuinnaqtun (Q2807)	Western Canadian Inuktitut (ikt) (ikt, Q1665317)
Inxokvari (Q315397)	Tsezic (Q165153)
Iowa-Oto (iow) (iow, Q5673)	Western Siouan (Q698187)
Ipai (Q302747)	Kumiai (dih) (dih, Q2006491)
Ipalapa Amuzgo (azm) (azm, Q1263301)	Amuzgo (Q3509)
Ipiko (ipo) (ipo, Q1056651)	Inland Gulf (Q603478)
Ipulo (ass) (ass, Q3540)	Tivoid (Q75237)
Iquito (iqu) (iqu, Q266918)	Zaparoan (Q3391)
Ir (irr) (irr, Q307188)	Ta’Oi (Q2057623)
Iranian [Other] (ira) (ira, Q3352)	Indo-Iranian languages (iir) (iir, Q3351)
Iranun [Malaysia] (ilm) (ilm, Q1295358)	Danao (Q312329)
Iranun [Malaysia] (ilm) (ilm, Q6321492)	Danao (Q312329)
Iranun [Malaysia] (ilm) (ilm, Q6321492)	Iranun [Malaysia] (ilm) (ilm, Q1295358)
Iranun [Philippines] (ilp) (ilp, Q6321493)	Danao (Q312329)
Iranun [Philippines] (ilp) (ilp, Q6321493)	Iranun [Malaysia] (ilm) (ilm, Q1295358)
Iraqw (irk) (irk, Q3359)	Cushitic [Other] (cus) (cus, Q3324)
Irarutu (irh) (irh, Q302792)	South Halmahera (Q321736)
Iraya (iry) (iry, Q606835)	Northern Mindoro (Q705875)
Iresim (ire) (ire, Q606939)	Cenderawasih (Q235496)
Irish (ga) (ga, Q914)	Goidelic (Q5643)
Irish Sign Language (isg) (isg, Q1418)	Q550192 (Q550192)
Iroquoian languages (iro) (iro, Q3362)	Q5173 (Q5173)
Irula (iru) (iru, Q3336)	Dravidian [Other] (dra) (dra, Q3331)
Irula (iru) (iru, Q3336)	Tamil languages (Q768141)
Isanzu (isn) (isn, Q607889)	East Bantu (Q4134725)
Isarog Agta (agk) (agk, Q607898)	Bikol (bik) (bik, Q3545)
Isconahua (isc) (isc, Q305297)	Panoan (Q154453)
Isekiri (its) (its, Q3604)	Edekiri (Q533673)
Ishkashimi (isk) (isk, Q1871123)	Pamir (Q177286)
Ishkashimi (isk) (isk, Q3341)	Ishkashimi (isk) (isk, Q1871123)
Isinai (inn) (inn, Q608109)	Meso-Cordilleran (Q757150)
Isirawa (srl) (srl, Q420380)	Kwerba (Q1263513)
Island Carib (crb) (crb, Q345073)	Ta-Arawakan (Q767273)
Islander Creole English (icr) (icr, Q204458)	Creoles and pidgins, English based [Other] (cpe) (cpe, Q3198)
Isle-de-France Creole (Q1662819)	Creoles and pidgins, French-based [Other] (cpf) (cpf, Q3326)
Isnag (isd) (isd, Q608516)	Cagayan Valley (Q705826)
Isoko (iso) (iso, Q3541)	Southwestern Edoid (Q1263390)
Israeli Sign Language (isr) (isr, Q291186)	Semitic [Other] (sem) (sem, Q3404)
Isthmus Mixe (mir) (mir, Q608887)	Lowland Mixe (Q5619904)
Isthmus-Cosoleacaque Nahuatl (nhk) (nhk, Q1295375)	Nahuatl (nah) (nah, Q1330)
Isthmus-Cosoleacaque Nahuatl (nhk) (nhk, Q1295375)	Q59690 (Q59690)
Isthmus-Mecayapan Nahuatl (nhx) (nhx, Q1295375)	Nahuatl (nah) (nah, Q1330)
Isthmus-Pajapan Nahuatl (nhp) (nhp, Q239127)	Nahuatl (nah) (nah, Q1330)
Istriot (ist) (ist, Q3584)	Dalmatian Romance (Q9764607)
Istro Romanian (ruo) (ruo, Q3362)	Eastern Romance (Q14757)
Isu [Fako Division] (szv) (szv, Q3543)	Sawabantu (Q53200)
Isu [Menchum Division] (isu) (isu, Q608942)	Grassfields Bantu (Q75093)
Italian (Switzerland) (it-CH) (it-CH, Q67214)	Italian (it) (it, Q65)
Italian (it) (it, Q65)	Italo-Romance (Q335648)
Italian (it) (it, Q65)	Q8538012 (Q8538012)
Italian Sign Language (ise) (ise, Q37561)	Q550192 (Q550192)
Italic languages (itc) (itc, Q13184)	Indo-European [Other] (ine) (ine, Q1986)
Italo-Celtic (Q91343)	Indo-European [Other] (ine) (ine, Q1986)
Italo-Dalmatian (Q331338)	Italo-Western (Q11260)
Italo-Romance (Q335648)	Romance [Other] (roa) (roa, Q1981)
Italo-Western (Q11260)	Romance [Other] (roa) (roa, Q1981)
Itawit (itv) (itv, Q391552)	Cagayan Valley (Q705826)
Itelmen (itl) (itl, Q3362)	Kamchatkan (Q260617)
Itene (ite) (ite, Q303864)	Chapacuran (Q106262)
Iteri (itr) (itr, Q208318)	Left May (Q61446)
Itik (itx) (itx, Q609471)	Orya–Tor (Q1659009)
Itneg (Q1522052)	Meso-Cordilleran (Q757150)
Ito (itw) (itw, Q1112881)	Lower Cross River (Q381319)
Itonama (ito) (ito, Q95058)	Q5173 (Q5173)
Itsari (Q440758)	Dargin (Q522263)
Itu Mbon Uzo (itm) (itm, Q1097773)	Lower Cross River (Q381319)
Itundujia Mixtec (mce) (mce, Q1295372)	Western Baja Mixtec (Q5092503)
Itzá (itz) (itz, Q3553)	Yucatecan (Q411987)
Iu Mien (ium) (ium, Q249880)	Mienic (Q799269)
Ivatan (ivv) (ivv, Q354708)	Batanic (Q318263)
Ivernic (Q315630)	Brythonic (Q15687)
Ivernic (Q315630)	Insular Celtic (Q21450)
Iwaidja (ibd) (ibd, Q197742)	Iwaidjan (Q419696)
Iwal (kbm) (kbm, Q315639)	Western Oceanic (Q270128)
Iwam (Q1514785)	Iwam-Wogamus (Q2537824)
Iwam (iwm) (iwm, Q391521)	Iwam (Q1514785)
Iwam-Wogamus (Q2537824)	Sepik (Q350877)
Iwur (iwo) (iwo, Q610100)	Ok (Q708168)
Ixcatec (ixc) (ixc, Q5670)	Popolocan (Q513227)
Ixil (ixl) (ixl, Q3552)	Mamean (Q1115582)
Ixpantepec Nieves Mixtec (Q12315293)	Mixtec (Q3636)
Ixtenco Otomi (otz) (otz, Q610117)	Otomian languages (oto) (oto, Q3635)
Ixtlán Zapotec (Q610118)	Zapotec (zap) (zap, Q1321)
Ixtlán Zapotec (Q6216870)	Northern Zapotec (Q6213064)
Iyengar Tamil (Q351485)	Tamil (ta) (ta, Q588)
Iyive (uiv) (uiv, Q1112865)	Tivoid (Q75237)
Iyo (nca) (nca, Q610133)	Gusap-Mot (Q1611085)
Iyo'wujwa Chorote (crq) (crq, Q354092)	Chorote (Q296452)
Iyojwa'ja Chorote (crt) (crt, Q350411)	Chorote (Q296452)
Iyojwája chorote (Q562679)	Charruan (Q311242)
Izere (izr) (izr, Q610192)	Plateau (Q126747)
Izii (izz) (izz, Q391438)	Q1192702 (Q1192702)
Iznasen Berber (Q2294853)	Zenati (Q229395)
Izon (ijc) (ijc, Q3548)	Ijo (ijo) (ijo, Q132202)
Izora (cbo) (cbo, Q391545)	East Kainji (Q532868)
Iñapari (inp) (inp, Q1533803)	Piro (Q1563088)
Jabutí (jbt) (jbt, Q206002)	Yabutian (Q1527134)
Jad (jda) (jda, Q1263344)	Lahuli-Spiti (Q647351)
Jah Hut (jah) (jah, Q274266)	Aslian (Q311108)
Jahaic (Q612301)	Aslian (Q311108)
Jair Awyu (awv) (awv, Q1611017)	Awyu (Q1262742)
Jaitmatang (Q6353728)	Yuin-Kuric (Q383302)
Jakun (jak) (jak, Q421696)	Malayic (Q66262)
Jalapa De Díaz Mazatec (maj) (maj, Q391599)	Mazatecan (Q3623)
Jalkunan (bxl) (bxl, Q1100978)	Jeri (Q618209)
Jamaican Country Sign Language (jcs) (jcs, Q612741)	Q391503 (Q391503)
Jamaican Creole English (jam) (jam, Q3593)	Creoles and pidgins, English based [Other] (cpe) (cpe, Q3198)
Jamaican Creole English (jam) (jam, Q3593)	Q697005 (Q697005)
Jamamadí (jaa) (jaa, Q305327)	Arauan languages (auf) (auf, Q62677)
Jambi Malay (jax) (jax, Q391576)	Malay (ms) (ms, Q923)
Jamiltepec Mixtec (mxt) (mxt, Q1295373)	Mixtec (Q3636)
Jamsay Dogon (djm) (djm, Q391329)	Dogon (Q123477)
Jan Awei (Q1688999)	Jukunoid (Q171162)
Jandai (jan) (jan, Q615091)	Durubalic (Q531679)
Jandiatuba Mayoruna (Q1689209)	Panoan (Q154453)
Jangshung (jna) (jna, Q1263350)	West Himalayish (Q230169)
Janji (jni) (jni, Q391533)	East Kainji (Q532868)
Japanese (ja) (ja, Q528)	Japonic (Q3361)
Japanese-based pidgins and creoles (Q6208307)	Creoles and pidgins [Other] (crp) (crp, Q1968216)
Japhug (Q316224)	Jiarong (jya) (jya, Q83202)
Japonic (Q3361)	Altaic [Other] (tut) (tut, Q3784)
Japonic (Q3361)	Q9879175 (Q9879175)
Japrería (jru) (jru, Q344140)	Cariban (Q3309)
Japura-Colombia (Q9716424)	Arawakan languages (awd) (awd, Q62675)
Jaqaru (jqr) (jqr, Q3344)	Aymaran (Q3301)
Jaquirana Remo (Q1689236)	Panoan (Q154453)
Jara (jaf) (jaf, Q5628)	Afro-Asiatic [Other] (afa) (afa, Q2526)
Jarai (jra) (jra, Q3337)	Chamic languages (cmc) (cmc, Q299750)
Jarawa [India] (anq) (anq, Q247552)	Ongan (Q209057)
Jarawan (Q168343)	Mbam-Bubi-Jarawan (Q11658612)
Jarqu'i (Q6216872)	Western Iranian (Q12985)
Jarrakan (Q203942)	Australian languages (aus) (aus, Q20514)
Jaru (ddj) (ddj, Q316280)	Ngumbin (Q702269)
Jauja Wanca Quechua (qxw) (qxw, Q1295384)	Wanka Quechua (Q3696)
Javanese (jv) (jv, Q3354)	Malayo-Polynesian languages (poz) (poz, Q14315)
Javanesic (Q11290298)	Javanic (Q1250915)
Javanic (Q1250915)	Q31955 (Q31955)
Javindo (jvd) (jvd, Q271989)	Dutch-based creole languages (Q179262)
Jawe (jaz) (jaz, Q316320)	New Caledonian (Q309122)
Jawoyn (djn) (djn, Q1355374)	Gunwinyguan (Q252142)
Jaya (jyy) (jyy, Q64172)	Bagirmi (Q484194)
Jebero (jeb) (jeb, Q96703)	Cahuapanan (Q102579)
Jedek (Q4806844)	Jahaic (Q612301)
Jehai (jhi) (jhi, Q317674)	Jahaic (Q612301)
Jeikó (Q617652)	Jê (Q148359)
Jejara Naga (pzn) (pzn, Q713366)	Naga (Q1132374)
Jejueo (jje) (jje, Q12964)	Korean (ko) (ko, Q917)
Jejueo (jje) (jje, Q12964)	Koreanic (Q1126352)
Jek (Q354169)	Lezgic (Q214437)
Jelkung (Q617682)	East Chadic (Q227622)
Jemez (tow) (tow, Q391287)	Tanoan (Q38628)
Jenaama Bozo (bze) (bze, Q1095063)	Bozo (Q3502)
Jennu Kurumba (xuj) (xuj, Q2128254)	Tamil-Kodagu (Q2549451)
Jennu Kurumba (xuj) (xuj, Q2128254)	Tamil–Kannada (Q647850)
Jeolla dialect (Q1125016)	Korean (ko) (ko, Q917)
Jere (jer) (jer, Q391544)	East Kainji (Q532868)
Jeri (Q618209)	Central Mande (Q597290)
Jeri Kuo (jek) (jek, Q1103193)	Jeri (Q618209)
Jerung (jee) (jee, Q5637)	Kiranti (Q92214)
Jewish Palestinian Aramaic (jpa) (jpa, Q94890)	Western Aramaic (Q339421)
Jiarong (jya) (jya, Q83202)	Gyalrongic (Q5693)
Jiba (juo) (juo, Q619199)	Jukunoid (Q171162)
Jiberti (Q8010405)	Somali languages (Q755916)
Jibyal (Q4881327)	Angas (Q2058607)
Jicaquean (Q1217930)	Mesoamerican languages (Q247841)
Jicarilla Apache (apj) (apj, Q2827)	Apache languages (apa) (apa, Q2775)
Jie (Q12442418)	Altaic [Other] (tut) (tut, Q3784)
Jilbe (jie) (jie, Q5628)	Biu–Mandara (Q225154)
Jimi [Cameroon] (jim) (jim, Q5628)	Biu–Mandara (Q225154)
Jimi [Nigeria] (jmi) (jmi, Q350230)	South Bauchi (Q2058609)
Jingulu (jig) (jig, Q620243)	Mirndi (Q429409)
Jino (Q620271)	Hanoish (Q564934)
Jinyu Chinese (cjy) (cjy, Q5647)	Chinese (zh) (zh, Q785)
Jinyu Chinese (cjy) (cjy, Q5647)	Sinitic (Q3385)
Jiongnai Bunu (pnu) (pnu, Q5632)	Sheic (Q6078755)
Jirajara (Q620296)	Jirajaran (Q302865)
Jirajaran (Q302865)	Q5173 (Q5173)
Jirel (jul) (jul, Q5686)	Q164115 (Q164115)
Jita (jit) (jit, Q620322)	Great Lakes Bantu (Q559942)
Jivaroan-Cahuapanan (Q597289)	Q5173 (Q5173)
Jizhao (Q4524275)	Kra–Dai (Q3417)
Jju (kaj) (kaj, Q3540)	Central Plateau (Q506166)
Joba (job) (job, Q1312340)	Great Lakes Bantu (Q559942)
Jofotek-Bromnya (jbr) (jbr, Q1688684)	Orya–Tor (Q1659009)
Jogi (jog) (jog, Q1957230)	Indic [Other] (inc) (inc, Q3357)
Jogo (Q621482)	Manding–Jogo (Q1263615)
Jola-Fonyi (dyo) (dyo, Q350783)	Q3517 (Q3517)
Jonkor Bourmataguil (jeu) (jeu, Q5626)	East Chadic (Q227622)
Jopará (Q104176)	Guarani (gn) (gn, Q3587)
Jorá (jor) (jor, Q539397)	Q2918817 (Q2918817)
Jowshaqani (Q6234067)	Northwestern Iranian (Q39057)
Ju (juu) (juu, Q391489)	South Bauchi (Q2058609)
Juaneño (Q311087)	Takic (Q128030)
Juang (jun) (jun, Q3336)	South Munda (Q1263399)
Judaeo-Aragonese (Q291619)	Aragonese (an) (an, Q876)
Judaeo-Aragonese (Q291619)	Judaeo-Romance (Q93196)
Judaeo-Papiamento (Q11943806)	Creoles and pidgins, Portuguese-based [Other] (cpp) (cpp, Q1450710)
Judaeo-Romance (Q93196)	Q61594 (Q61594)
Judaeo-Romance (Q93196)	Romance [Other] (roa) (roa, Q1981)
Judeo-Arabic (jrb) (jrb, Q3773)	Arabic (ar) (ar, Q1395)
Judeo-Arabic (jrb) (jrb, Q3773)	Q61594 (Q61594)
Judeo-Arabic (jrb) (jrb, Q5659)	Judeo-Arabic (jrb) (jrb, Q3773)
Judeo-Berber (jbe) (jbe, Q3585)	Atlas (Q312302)
Judeo-Egyptian Arabic (Q6238828)	Judeo-Arabic (jrb) (jrb, Q3773)
Judeo-Esfahani (Q12436713)	Western Iranian (Q12985)
Judeo-Georgian (jge) (jge, Q3573)	Georgian (ka) (ka, Q810)
Judeo-Georgian (jge) (jge, Q3573)	Q61594 (Q61594)
Judeo-Hamedani (Q630242)	Northwestern Iranian (Q39057)
Judeo-Iraqi Arabic (yhd) (yhd, Q5659)	Arabic (ar) (ar, Q1395)
Judeo-Isfahani (Q6238831)	Northwestern Iranian (Q39057)
Judeo-Italian (itk) (itk, Q114541)	Judaeo-Romance (Q93196)
Judeo-Italian (itk) (itk, Q114541)	Judeo-Latin (Q5698)
Judeo-Kashani (Q594352)	Northwestern Iranian (Q39057)
Judeo-Latin (Q5698)	Judaeo-Romance (Q93196)
Judeo-Latin (Q5698)	Q61594 (Q61594)
Judeo-Malay (Q12084730)	Austronesian [Other] (map) (map, Q4922)
Judeo-Malay (Q12084730)	Malay (ms) (ms, Q923)
Judeo-Malay (Q12084730)	Malayic (Q66262)
Judeo-Malay (Q12084730)	Malayo-Polynesian languages (poz) (poz, Q14315)
Judeo-Persian (jpr) (jpr, Q3336)	Persian (fa) (fa, Q916)
Judeo-Tat (jdt) (jdt, Q5649)	Muslim Tat (ttt) (ttt, Q5648)
Judeo-Tat (jdt) (jdt, Q5649)	Q61594 (Q61594)
Judeo-Tripolitanian Arabic (yud) (yud, Q5659)	Libyan Arabic (ayl) (ayl, Q5650)
Judeo-Yazdi (Q6238833)	Northwestern Iranian (Q39057)
Judeo-Yemeni Arabic (jye) (jye, Q5659)	Judeo-Arabic (jrb) (jrb, Q3773)
Judæo-Iranian (Q417317)	Iranian [Other] (ira) (ira, Q3352)
Judæo-Iranian (Q417317)	Q61594 (Q61594)
Judæo-Urdu (Q11276081)	Urdu (ur) (ur, Q161)
Jukun-Mbembe-Wurbo (Q1263390)	Jukunoid (Q171162)
Jukunoid (Q171162)	Benue–Congo (Q3325)
Julud (Q4340097)	Katla (Q637768)
Juma (Q1687949)	Cariban (Q3309)
Jumaytepeque (Q2533962)	Xinca (xin) (xin, Q154649)
Jumjum (jum) (jum, Q1128369)	Southern Burun (Q756969)
Jungle Inga (inj) (inj, Q1611501)	Ingan Quechua IIB (Q5379495)
Juquila Mixe (mxq) (mxq, Q2555972)	Midland Mixe (Q684237)
Jur Modo (bex) (bex, Q5668)	Bongo–Bagirmi (Q350504)
Jurchen (juc) (juc, Q5673)	Jurchenic (Q10588943)
Jurchenic (Q10588943)	Southern Tungusic (Q10730064)
Jurúna (jur) (jur, Q402317)	Yuruna (Q321746)
Jutish (jut) (jut, Q134032)	Danish (da) (da, Q903)
Juwal (mwb) (mwb, Q631910)	Marienberg (Q157058)
Juxtlahuaca Mixtec (vmc) (vmc, Q2555958)	Southern Baja Mixtec (Q5725947)
Juǀʼhoan (ktz) (ktz, Q119229)	Q3290 (Q3290)
